ED_CODE,ED_NAME,DINOVO,HEARNS,HUN,HUTCHEON,KIDD,WATSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
068,PARKDALE--HIGH PARK,65,8,4,11,0,26,"Toronto",001, ,0,0,0,114,283,"Annette Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,85,15,3,19,1,48,"Toronto",002, ,1,1,0,173,372,"Annette Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,75,17,3,12,0,34,"Toronto",003, ,2,0,0,143,311,"Annette Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,93,19,3,30,1,41,"Toronto",004, ,0,0,0,187,311,"West Toronto Baptist Church",20071010
068,PARKDALE--HIGH PARK,85,8,3,15,1,29,"Toronto",005, ,0,0,0,141,283,"Lucy McCormick Senior Public School",20071010
068,PARKDALE--HIGH PARK,77,22,0,11,2,53,"Toronto",006, ,1,0,0,166,387,"Lucy McCormick Senior Public School",20071010
068,PARKDALE--HIGH PARK,38,12,0,19,0,39,"Toronto",007, ,0,0,1,109,247,"Warren Park Junior Public School",20071010
068,PARKDALE--HIGH PARK,96,22,4,47,1,74,"Toronto",008, ,0,0,0,244,374,"St. James Catholic School",20071010
068,PARKDALE--HIGH PARK,82,14,0,36,2,47,"Toronto",009, ,0,0,1,182,329,"St. James Catholic School",20071010
068,PARKDALE--HIGH PARK,74,11,2,20,0,30,"Toronto",010, ,0,0,0,137,268,"King George Junior Public School",20071010
068,PARKDALE--HIGH PARK,63,14,0,28,3,50,"Toronto",011, ,1,0,0,159,290,"King George Junior Public School",20071010
068,PARKDALE--HIGH PARK,82,16,0,32,7,55,"Toronto",012, ,0,1,0,193,371,"King George Junior Public School",20071010
068,PARKDALE--HIGH PARK,7,1,2,6,1,17,"Toronto",013s, ,0,0,0,34,90,"Runnymede Healthcare Centre",20071010
068,PARKDALE--HIGH PARK,55,13,0,12,0,32,"Toronto",014, ,0,0,0,112,260,"Annette Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,98,23,1,21,2,54,"Toronto",015, ,0,0,2,201,441,"Annette Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,114,21,0,23,0,56,"Toronto",016, ,0,0,0,214,367,"Annette Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,98,32,1,29,2,50,"Toronto",017, ,2,0,0,214,379,"Annette Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,74,18,2,40,2,44,"Toronto",018, ,0,1,0,181,422,"West Toronto Baptist Church",20071010
068,PARKDALE--HIGH PARK,87,19,2,16,0,36,"Toronto",019, ,1,0,0,161,386,"St. Cecilia's Catholic Church",20071010
068,PARKDALE--HIGH PARK,71,21,2,34,0,49,"Toronto",020, ,1,4,0,182,382,"St. Cecilia's Catholic Church",20071010
068,PARKDALE--HIGH PARK,70,21,2,15,0,38,"Toronto",021, ,7,0,0,153,308,"Lucy McCormick Senior Public School",20071010
068,PARKDALE--HIGH PARK,64,21,2,18,0,51,"Toronto",022, ,0,1,0,157,309,"Lucy McCormick Senior Public School",20071010
068,PARKDALE--HIGH PARK,66,17,1,19,1,47,"Toronto",023, ,2,0,0,153,318,"Warren Park Junior Public School",20071010
068,PARKDALE--HIGH PARK,72,7,0,50,0,57,"Toronto",024, ,0,1,0,187,346,"Warren Park Junior Public School",20071010
068,PARKDALE--HIGH PARK,82,22,0,40,0,42,"Toronto",025, ,0,0,0,186,321,"St. James Catholic School",20071010
068,PARKDALE--HIGH PARK,78,24,0,40,1,52,"Toronto",026, ,2,0,0,197,349,"Humbercrest Public School",20071010
068,PARKDALE--HIGH PARK,86,15,2,43,1,44,"Toronto",027, ,0,0,0,191,335,"King George Junior Public School",20071010
068,PARKDALE--HIGH PARK,98,11,1,30,2,40,"Toronto",028, ,1,0,0,183,325,"James Culnan Catholic School",20071010
068,PARKDALE--HIGH PARK,86,12,0,27,1,59,"Toronto",029, ,2,0,0,187,358,"King George Junior Public School",20071010
068,PARKDALE--HIGH PARK,69,14,1,27,2,57,"Toronto",030, ,1,0,0,171,370,"St. Cecilia Catholic School",20071010
068,PARKDALE--HIGH PARK,98,18,0,23,0,54,"Toronto",031, ,2,0,0,195,380,"St. Cecilia Catholic School",20071010
068,PARKDALE--HIGH PARK,87,19,0,42,0,77,"Toronto",032, ,0,1,0,226,421,"St. Cecilia Catholic School",20071010
068,PARKDALE--HIGH PARK,112,21,1,50,1,63,"Toronto",033, ,1,0,0,249,414,"St. Cecilia Catholic School",20071010
068,PARKDALE--HIGH PARK,80,22,1,26,1,51,"Toronto",034, ,1,0,0,182,363,"Humberside Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,88,28,1,19,2,33,"Toronto",035, ,0,0,2,173,348,"Humberside Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,101,26,0,30,5,61,"Toronto",036, ,0,0,0,223,375,"St. Cecilia's Catholic Church",20071010
068,PARKDALE--HIGH PARK,72,22,1,24,2,54,"Toronto",037, ,0,2,0,177,347,"Indian Road Crescent Junior Public School",20071010
068,PARKDALE--HIGH PARK,69,26,3,22,1,56,"Toronto",038, ,0,0,0,177,396,"Indian Road Crescent Junior Public School",20071010
068,PARKDALE--HIGH PARK,115,34,5,19,3,83,"Toronto",039, ,0,1,0,260,410,"Indian Road Crescent Junior Public School",20071010
068,PARKDALE--HIGH PARK,109,27,3,45,1,71,"Toronto",040, ,0,0,0,256,441,"Indian Road Crescent Junior Public School",20071010
068,PARKDALE--HIGH PARK,83,26,2,13,0,27,"Toronto",041, ,1,0,0,152,311,"Lucy McCormick Senior Public School",20071010
068,PARKDALE--HIGH PARK,125,24,3,26,1,57,"Toronto",042, ,0,0,4,240,441,"Keele Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,86,25,2,42,2,62,"Toronto",043, ,1,0,0,220,351,"Warren Park Junior Public School",20071010
068,PARKDALE--HIGH PARK,88,19,2,55,1,84,"Toronto",044, ,1,0,0,250,395,"Humbercrest Public School",20071010
068,PARKDALE--HIGH PARK,58,14,0,29,0,45,"Toronto",045, ,1,1,0,148,268,"Runnymede Presbyterian Church",20071010
068,PARKDALE--HIGH PARK,74,22,0,39,1,55,"Toronto",046, ,1,0,0,192,352,"Runnymede Presbyterian Church",20071010
068,PARKDALE--HIGH PARK,75,18,2,36,1,55,"Toronto",047, ,2,0,0,189,325,"James Culnan Catholic School",20071010
068,PARKDALE--HIGH PARK,72,23,2,19,0,56,"Toronto",048, ,0,0,0,172,310,"Runnymede United Church",20071010
068,PARKDALE--HIGH PARK,127,33,1,53,1,65,"Toronto",049, ,1,1,0,282,488,"Runnymede Junior and Senior Public School",20071010
068,PARKDALE--HIGH PARK,80,25,2,62,1,75,"Toronto",050, ,0,0,0,245,435,"Humberside Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,100,30,0,16,1,52,"Toronto",051, ,0,1,0,200,369,"Humberside Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,90,24,4,36,0,57,"Toronto",052, ,0,0,0,211,447,"Humberside Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,68,25,1,18,1,70,"Toronto",053, ,1,0,0,184,342,"Keele Street Public School",20071010
