ED_CODE,ED_NAME,HALL,MILLER,RHODES,RICHTER,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
069,PARRY SOUND--MUSKOKA,26,7,13,2,"Monetville",001, ,0,0,0,48,50,"Dokis Community Centre",20071010
069,PARRY SOUND--MUSKOKA,59,88,46,14,"Restoule",002, ,0,1,0,208,336,"Restoule Community Centre",20071010
069,PARRY SOUND--MUSKOKA,20,74,33,10,"Port Loring",003, ,1,0,0,138,244,"Port Loring Royal Canadian Legion Branch 415",20071010
069,PARRY SOUND--MUSKOKA,28,72,50,12,"Arnstein",004, ,0,0,0,162,257,"Argyle Lions Community Centre",20071010
069,PARRY SOUND--MUSKOKA,30,43,29,8,"South River",005, ,0,0,0,110,281,"Machar Municipal Hall",20071010
069,PARRY SOUND--MUSKOKA,37,79,43,9,"South River",006, ,0,0,0,168,393,"Chalmers United Church Hall",20071010
069,PARRY SOUND--MUSKOKA,13,4,14,1,"Pickerel",007, ,0,0,0,32,88,"Henvey First Nation Band Office",20071010
069,PARRY SOUND--MUSKOKA,32,64,74,6,"Britt",008, ,0,0,0,176,456,"Britt Royal Canadian Legion Branch 591",20071010
069,PARRY SOUND--MUSKOKA,10,55,15,7,"Port Loring",009, ,0,0,0,87,184,"Port Loring Royal Canadian Legion Branch 415",20071010
069,PARRY SOUND--MUSKOKA,22,96,35,27,"South River",010, ,1,0,0,181,357,"Machar Municipal Hall",20071010
069,PARRY SOUND--MUSKOKA,26,58,21,11,"South River",011, ,0,0,0,116,265,"Chalmers United Church Hall",20071010
069,PARRY SOUND--MUSKOKA,14,57,25,10,"South River",012, ,0,0,0,106,278,"Chalmers United Church Hall",20071010
069,PARRY SOUND--MUSKOKA,33,82,31,16,"Sundridge",013, ,0,1,0,163,341,"Sundridge Community Centre, Happy Gang (Seniors)",20071010
069,PARRY SOUND--MUSKOKA,9,28,21,3,"South River",015, ,0,0,0,61,167,"Chalmers United Church Hall",20071010
069,PARRY SOUND--MUSKOKA,11,35,5,6,"Sundridge",016, ,0,0,0,57,108,"Sundridge Community Centre",20071010
069,PARRY SOUND--MUSKOKA,53,111,45,26,"Magnetawan",017, ,0,1,0,236,401,"Magnetawan Community Centre",20071010
069,PARRY SOUND--MUSKOKA,25,102,28,20,"Sundridge",018, ,1,1,2,179,315,"Sundridge Community Centre, Happy Gang (Seniors)",20071010
069,PARRY SOUND--MUSKOKA,13,54,28,15,"Sundridge",019, ,2,1,0,113,259,"Sundridge Community Centre",20071010
069,PARRY SOUND--MUSKOKA,29,70,24,15,"Sundridge",020, ,0,0,0,138,254,"Sundridge Community Centre",20071010
069,PARRY SOUND--MUSKOKA,34,63,33,10,"Sundridge",021, ,0,0,0,140,295,"Sundridge Community Centre",20071010
069,PARRY SOUND--MUSKOKA,5,0,9,2,"Britt",022, ,0,0,0,16,18,"Magnetawan First Nation",20071010
069,PARRY SOUND--MUSKOKA,13,55,26,16,"Dunchurch",023, ,0,0,0,110,201,"Hagerman Dunchurch Community Centre",20071010
069,PARRY SOUND--MUSKOKA,32,98,35,23,"Sundridge",024, ,1,1,0,190,341,"Sundridge Community Centre, Happy Gang (Seniors)",20071010
069,PARRY SOUND--MUSKOKA,26,58,37,26,"Burks Falls",025, ,0,0,0,147,306,"Armour Township Municipal Office",20071010
069,PARRY SOUND--MUSKOKA,47,143,80,32,"Dunchurch",026, ,0,0,0,302,465,"Hagerman Dunchurch Community Centre",20071010
069,PARRY SOUND--MUSKOKA,23,49,34,11,"Ahmic Harbour",027, ,0,0,0,117,255,"Croft Ahmic Fire Hall",20071010
069,PARRY SOUND--MUSKOKA,35,99,36,14,"Magnetawan",028, ,2,0,0,186,299,"Magnetawan Community Centre",20071010
069,PARRY SOUND--MUSKOKA,26,68,28,14,"Burks Falls",029, ,0,1,0,137,255,"Ryerson Township Office",20071010
069,PARRY SOUND--MUSKOKA,28,48,24,9,"Burks Falls",030, ,0,0,0,109,297,"Burk's Falls Young at Heart Senior Citizens' Club",20071010
069,PARRY SOUND--MUSKOKA,27,70,25,12,"Burks Falls",032, ,0,0,0,134,309,"Burk's Falls Young at Heart Senior Citizens' Club",20071010
069,PARRY SOUND--MUSKOKA,16,50,36,11,"Burks Falls",033, ,0,0,0,113,323,"Burk's Falls Young at Heart Senior Citizens' Club",20071010
069,PARRY SOUND--MUSKOKA,36,77,44,18,"Katrine",034, ,1,0,0,176,355,"Katrine Community Centre",20071010
069,PARRY SOUND--MUSKOKA,9,27,14,7,"Burks Falls",035, ,0,0,0,57,157,"Burk's Falls Young at Heart Senior Citizens' Club",20071010
069,PARRY SOUND--MUSKOKA,21,34,15,4,"Kearney",036, ,0,0,0,74,161,"Kearney Community Centre",20071010
069,PARRY SOUND--MUSKOKA,6,73,28,7,"Pointe au Baril",037, ,0,0,0,114,133,"Pointe au Baril Community Centre",20071010
