ED_CODE,ED_NAME,ALLMAN,BANNON,HANSEN,PAYNE,RUTHERFORD,SMINK,WILKINSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
070,PERTH--WELLINGTON,0,6,12,9,79,1,67,"Mount Forest",001, ,2,0,0,176,339,"Mount Forest & District Community Centre",20071010
070,PERTH--WELLINGTON,0,3,19,26,66,0,53,"Mount Forest",002, ,3,0,0,170,337,"Mount Forest & District Community Centre",20071010
070,PERTH--WELLINGTON,2,3,13,12,48,0,25,"Mount Forest",003, ,0,1,0,104,267,"Mount Forest & District Community Centre",20071010
070,PERTH--WELLINGTON,0,3,13,6,17,2,22,"Mount Forest",004, ,0,0,0,63,178,"Mount Forest & District Community Centre",20071010
070,PERTH--WELLINGTON,2,0,4,3,19,0,21,"Wellington North",005s, ,0,1,0,50,103,"Birmingham Lodge",20071010
070,PERTH--WELLINGTON,1,1,15,8,90,1,75,"Mount Forest",006, ,0,0,1,192,363,"Mount Forest & District Community Centre",20071010
070,PERTH--WELLINGTON,1,2,15,10,59,0,30,"Mount Forest",007, ,0,0,0,117,303,"Mount Forest & District Community Centre",20071010
070,PERTH--WELLINGTON,3,7,7,10,37,0,50,"Mount Forest",008, ,0,0,0,114,280,"Mount Forest & District Community Centre",20071010
070,PERTH--WELLINGTON,0,4,25,10,52,0,62,"Mount Forest",009, ,0,0,0,153,307,"Mount Forest & District Community Centre",20071010
070,PERTH--WELLINGTON,2,1,15,13,56,0,53,"Damascus",010, ,1,1,0,142,271,"Damascus Community Centre",20071010
070,PERTH--WELLINGTON,1,2,20,9,39,0,60,"Clifford",011, ,1,0,0,132,267,"Clifford Community Centre",20071010
070,PERTH--WELLINGTON,0,1,25,19,41,2,52,"Clifford",012, ,2,0,0,142,317,"Clifford Community Centre",20071010
070,PERTH--WELLINGTON,1,3,15,15,64,2,50,"Clifford",013, ,1,0,0,151,355,"Clifford Community Centre",20071010
070,PERTH--WELLINGTON,1,0,8,16,57,0,34,"Harriston",014, ,1,0,0,117,215,"Harriston & Minto Community Complex",20071010
070,PERTH--WELLINGTON,2,1,15,17,62,0,74,"Mount Forest",015, ,0,1,0,172,393,"Mount Forest & District Community Centre",20071010
070,PERTH--WELLINGTON,0,0,1,1,15,0,5,"Mount Forest",016s, ,1,0,0,23,84,"Saugeen Valley Nursing Home",20071010
070,PERTH--WELLINGTON,0,2,22,14,64,1,48,"Mount Forest",017, ,0,0,0,151,346,"Mount Forest & District Community Centre",20071010
070,PERTH--WELLINGTON,1,4,8,14,39,0,80,"Mount Forest",018, ,1,0,0,147,329,"Mount Forest & District Community Centre",20071010
070,PERTH--WELLINGTON,0,7,11,30,95,2,99,"Harriston",019, ,0,0,0,244,463,"Harriston & Minto Community Complex",20071010
070,PERTH--WELLINGTON,1,1,17,18,103,0,68,"Harriston",020, ,0,1,0,209,408,"Harriston & Minto Community Complex",20071010
070,PERTH--WELLINGTON,2,4,19,5,56,1,63,"Mount Forest",021, ,0,0,0,150,425,"Mount Forest & District Community Centre",20071010
070,PERTH--WELLINGTON,1,11,20,25,86,0,63,"Mount Forest",022, ,1,0,0,207,476,"Mount Forest & District Community Centre",20071010
070,PERTH--WELLINGTON,0,1,14,19,63,0,59,"Harriston",023, ,2,0,1,159,301,"Harriston & Minto Community Complex",20071010
070,PERTH--WELLINGTON,0,0,2,0,9,0,12,"Harriston",024s, ,0,1,0,24,104,"Caressant Care Harriston",20071010
070,PERTH--WELLINGTON,1,0,12,4,38,0,30,"Harriston",025, ,0,1,0,86,174,"Harriston & Minto Community Complex",20071010
070,PERTH--WELLINGTON,0,3,16,16,58,0,46,"Harriston",026, ,0,0,0,139,300,"Harriston & Minto Community Complex",20071010
070,PERTH--WELLINGTON,0,2,20,34,87,0,103,"Harriston",027, ,0,1,0,247,438,"Harriston & Minto Community Complex",20071010
