ED_CODE,ED_NAME,FITZPATRICK,LEAL,MORGAN,NICKLE,STUCKY,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
071,PETERBOROUGH,9,9,1,9,1,"Apsley",001, ,0,0,0,29,46,"Anchorage Marina",20071010
071,PETERBOROUGH,38,20,0,18,10,"Havelock",002, ,0,0,0,86,142,"Edmonds Residence",20071010
071,PETERBOROUGH,19,5,0,3,4,"Lakefield",003, ,0,0,0,31,117,"Irwin Inn",20071010
071,PETERBOROUGH,81,65,0,40,18,"Havelock",004, ,0,0,0,204,344,"Cordova Mines Community Centre",20071010
071,PETERBOROUGH,52,51,7,15,12,"Lakefield",005, ,1,1,0,139,284,"Wesley United Church",20071010
071,PETERBOROUGH,56,59,2,25,16,"Young's Point",006, ,0,0,0,158,308,"Young's Point United Church",20071010
071,PETERBOROUGH,47,45,2,16,12,"Warsaw",007, ,0,0,0,122,214,"Douro-Dummer Municipal Office",20071010
071,PETERBOROUGH,56,43,5,17,10,"Lakefield",008, ,0,0,0,131,249,"Irwin Inn",20071010
071,PETERBOROUGH,49,82,4,22,12,"Lakefield",009, ,0,0,0,169,355,"Wesley United Church",20071010
071,PETERBOROUGH,34,49,0,26,6,"Warsaw",010, ,0,0,0,115,257,"Douro-Dummer Municipal Office",20071010
071,PETERBOROUGH,44,66,4,21,16,"Lakefield",012, ,1,0,0,152,320,"Wesley United Church",20071010
071,PETERBOROUGH,61,91,2,39,20,"Young's Point",013, ,0,0,0,213,394,"Young's Point United Church",20071010
071,PETERBOROUGH,52,58,0,26,21,"Havelock",014, ,0,2,2,161,336,"Havelock-Belmont Public School",20071010
071,PETERBOROUGH,80,89,0,38,14,"Havelock",015, ,1,1,0,223,490,"Belmont Women's Institute Hall",20071010
071,PETERBOROUGH,20,64,4,46,15,"Curve Lake",016, ,0,1,0,150,364,"Curve Lake First Nation Community Centre",20071010
071,PETERBOROUGH,16,75,2,42,7,"Curve Lake",017, ,0,0,0,142,357,"Curve Lake First Nation Community Centre",20071010
071,PETERBOROUGH,54,78,8,23,14,"Young's Point",018, ,0,0,0,177,310,"Young's Point United Church",20071010
071,PETERBOROUGH,48,48,2,31,12,"Warsaw",019, ,0,0,0,141,259,"Warsaw Public School",20071010
071,PETERBOROUGH,62,55,3,28,23,"Norwood",020, ,4,0,0,175,431,"Norwood District Public School",20071010
071,PETERBOROUGH,48,44,0,13,8,"Havelock",021, ,0,0,0,113,305,"Havelock-Belmont Public School",20071010
071,PETERBOROUGH,92,58,3,25,26,"Havelock",022, ,2,0,0,206,420,"Belmont Women's Institute Hall",20071010
071,PETERBOROUGH,43,43,1,17,19,"Havelock",023, ,1,0,0,124,217,"Belmont Women's Institute Hall",20071010
071,PETERBOROUGH,50,69,0,17,12,"Ennismore",024, ,1,0,0,149,310,"St. Martin's Roman Catholic Church Hall",20071010
071,PETERBOROUGH,67,67,0,20,10,"Ennismore",025, ,0,0,0,164,369,"St. Martin's Roman Catholic Church Hall",20071010
071,PETERBOROUGH,56,69,1,22,17,"Young's Point",026, ,1,1,0,167,405,"Young's Point United Church",20071010
071,PETERBOROUGH,49,79,4,37,24,"Lakefield",027, ,0,0,0,193,321,"Ridpath Junior Public School",20071010
071,PETERBOROUGH,49,75,0,34,11,"Warsaw",028, ,0,0,0,169,284,"Warsaw Public School",20071010
071,PETERBOROUGH,40,61,1,22,11,"Havelock",029, ,0,0,0,135,338,"Rebekah/Oddfellows Hall",20071010
071,PETERBOROUGH,46,56,2,24,11,"Havelock",030, ,0,0,0,139,349,"Rebekah/Oddfellows Hall",20071010
071,PETERBOROUGH,79,92,1,32,16,"Ennismore",031, ,1,1,0,222,401,"St. Martin's Roman Catholic Church Hall",20071010
071,PETERBOROUGH,47,81,3,20,15,"Ennismore",032, ,0,0,0,166,392,"St. Martin's School",20071010
071,PETERBOROUGH,48,60,5,33,21,"Lakefield",033, ,1,0,0,168,307,"St. Paul's School",20071010
071,PETERBOROUGH,8,15,2,3,0,"Lakefield",034s, ,0,1,0,29,100,"Extendicare Lakefield",20071010
071,PETERBOROUGH,42,73,0,35,17,"Lakefield",035, ,0,0,0,167,290,"St. Paul's School",20071010
071,PETERBOROUGH,28,41,4,23,11,"Lakefield",036, ,0,0,0,107,271,"Ridpath Junior Public School",20071010
071,PETERBOROUGH,41,69,0,29,6,"Lakefield",037, ,0,0,0,145,303,"Ridpath Junior Public School",20071010
071,PETERBOROUGH,48,96,0,36,12,"Lakefield",038, ,0,0,0,192,352,"Ridpath Junior Public School",20071010
071,PETERBOROUGH,60,91,4,47,13,"Lakefield",039, ,0,0,0,215,405,"Ridpath Junior Public School",20071010
071,PETERBOROUGH,54,102,2,28,13,"Warsaw",040, ,0,1,0,200,314,"Warsaw Public School",20071010
071,PETERBOROUGH,44,54,1,30,17,"Norwood",041, ,0,0,0,146,399,"St. Paul's School",20071010
071,PETERBOROUGH,40,52,1,23,17,"Havelock",042, ,0,0,0,133,298,"Rebekah/Oddfellows Hall",20071010
071,PETERBOROUGH,62,111,1,30,7,"Ennismore",043, ,2,1,0,214,381,"St. Martin's Roman Catholic Church Hall",20071010
071,PETERBOROUGH,51,109,1,26,14,"Ennismore",044, ,0,0,0,201,435,"St. Martin's School",20071010
071,PETERBOROUGH,38,73,0,17,10,"Lakefield",045, ,0,0,0,138,282,"St. Paul's School",20071010
