ED_CODE,ED_NAME,ARTHURS,HALL,INSANG,LALCHAN,MOFFAT,NEWELL,PERSAUD,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
072,PICKERING--SCARBOROUGH EAST,95,67,0,14,26,3,0,"Pickering",001, ,0,0,0,205,444,"Vaughan Willard Public School",20071010
072,PICKERING--SCARBOROUGH EAST,64,37,0,4,19,2,3,"Pickering",002, ,0,0,0,129,380,"Glengrove Public School",20071010
072,PICKERING--SCARBOROUGH EAST,72,29,0,13,28,2,1,"Pickering",003, ,1,0,0,146,409,"Glengrove Public School",20071010
072,PICKERING--SCARBOROUGH EAST,101,42,2,7,25,1,1,"Pickering",004, ,0,0,0,179,420,"Glengrove Public School",20071010
072,PICKERING--SCARBOROUGH EAST,74,34,1,11,21,4,1,"Pickering",005A, ,0,2,1,149,339,"Glengrove Public School",20071010
072,PICKERING--SCARBOROUGH EAST,75,37,1,16,31,1,3,"Pickering",005B, ,0,1,0,165,346,"Glengrove Public School",20071010
072,PICKERING--SCARBOROUGH EAST,60,25,0,8,27,0,0,"Pickering",006, ,0,0,0,120,293,"St. Mary Catholic Secondary School",20071010
072,PICKERING--SCARBOROUGH EAST,123,57,0,20,18,2,1,"Pickering",007, ,0,0,0,221,418,"Gandatsetiagon Public School",20071010
072,PICKERING--SCARBOROUGH EAST,114,77,1,16,19,1,2,"Pickering",008, ,0,1,0,231,430,"Seventh-Day Adventist Church",20071010
072,PICKERING--SCARBOROUGH EAST,119,106,1,8,25,0,1,"Pickering",009, ,0,1,1,262,484,"William Dunbar Public School",20071010
072,PICKERING--SCARBOROUGH EAST,100,90,0,21,18,2,1,"Pickering",010, ,0,0,0,232,449,"Seventh-Day Adventist Church",20071010
072,PICKERING--SCARBOROUGH EAST,110,74,4,28,45,0,0,"Pickering",011, ,1,0,0,262,487,"William Dunbar Public School",20071010
072,PICKERING--SCARBOROUGH EAST,89,83,3,15,20,0,0,"Pickering",012, ,0,0,0,210,445,"Vaughan Willard Public School",20071010
072,PICKERING--SCARBOROUGH EAST,97,82,1,18,25,0,0,"Pickering",013, ,4,0,0,227,427,"Vaughan Willard Public School",20071010
072,PICKERING--SCARBOROUGH EAST,77,79,2,17,17,3,0,"Pickering",014, ,1,1,0,197,402,"Vaughan Willard Public School",20071010
072,PICKERING--SCARBOROUGH EAST,126,58,1,15,23,1,3,"Pickering",015, ,1,1,0,229,453,"Vaughan Willard Public School",20071010
072,PICKERING--SCARBOROUGH EAST,54,42,2,13,24,2,0,"Pickering",016, ,1,0,0,138,343,"Glengrove Public School",20071010
072,PICKERING--SCARBOROUGH EAST,54,39,1,18,25,1,0,"Pickering",017, ,0,0,0,138,294,"Glengrove Public School",20071010
072,PICKERING--SCARBOROUGH EAST,73,54,0,8,27,2,0,"Pickering",018, ,0,0,1,165,389,"City of Pickering, City Hall",20071010
072,PICKERING--SCARBOROUGH EAST,41,17,1,0,15,0,0,"Pickering",019, ,0,0,0,74,248,"City of Pickering, City Hall",20071010
072,PICKERING--SCARBOROUGH EAST,62,27,0,12,13,0,0,"Pickering",020, ,0,0,0,114,297,"Altona Forest Public School",20071010
072,PICKERING--SCARBOROUGH EAST,104,69,2,12,18,1,0,"Pickering",021, ,1,0,0,207,460,"Altona Forest Public School",20071010
072,PICKERING--SCARBOROUGH EAST,117,64,4,12,18,0,0,"Pickering",022, ,3,0,0,218,446,"St. Mary Catholic Secondary School",20071010
072,PICKERING--SCARBOROUGH EAST,60,47,0,6,12,1,1,"Pickering",023A, ,0,0,0,127,262,"St. Mary Catholic Secondary School",20071010
