ED_CODE,ED_NAME,ARKILANDER,DENOUDEN,DOMBROWSKY,JENKINS,LUCENO,TUCK,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
073,PRINCE EDWARD--HASTINGS,7,88,80,28,6,0,"Combermere",001, ,0,0,0,209,400,"Purdy Evangelical Baptist Church",20071010
073,PRINCE EDWARD--HASTINGS,9,61,59,30,4,0,"Maynooth",002, ,1,0,0,164,348,"Maynooth Community Centre",20071010
073,PRINCE EDWARD--HASTINGS,9,51,75,26,0,3,"Maynooth",003, ,0,0,0,164,353,"Maynooth Community Centre",20071010
073,PRINCE EDWARD--HASTINGS,11,49,64,8,3,1,"Bancroft",004, ,0,0,0,136,263,"Carlow Community Centre",20071010
073,PRINCE EDWARD--HASTINGS,23,73,71,14,2,1,"Maynooth",005, ,0,0,1,185,438,"Maynooth Community Centre",20071010
073,PRINCE EDWARD--HASTINGS,8,56,59,20,0,0,"Maynooth",006, ,1,0,0,144,323,"Maynooth Community Centre",20071010
073,PRINCE EDWARD--HASTINGS,10,40,37,13,1,0,"Bancroft",007, ,0,0,0,101,199,"Carlow Community Centre",20071010
073,PRINCE EDWARD--HASTINGS,9,81,84,23,3,0,"Bancroft",008, ,1,0,0,201,450,"Bird's Creek Public School",20071010
073,PRINCE EDWARD--HASTINGS,11,44,63,21,3,0,"Bancroft",009, ,0,0,0,142,304,"Bird's Creek Public School",20071010
073,PRINCE EDWARD--HASTINGS,7,45,76,18,5,0,"Bancroft",010, ,0,0,0,151,212,"Bird's Creek Public School",20071010
073,PRINCE EDWARD--HASTINGS,4,50,43,8,0,0,"Bancroft",011, ,0,0,0,105,270,"Royal Canadian Legion - Branch 181",20071010
073,PRINCE EDWARD--HASTINGS,11,84,89,21,1,1,"Bancroft",012, ,1,0,0,208,422,"Royal Canadian Legion - Branch 181",20071010
073,PRINCE EDWARD--HASTINGS,2,20,33,7,0,0,"Bancroft",013, ,0,1,0,63,144,"Royal Canadian Legion - Branch 181",20071010
073,PRINCE EDWARD--HASTINGS,4,35,40,12,0,0,"Bancroft",014, ,0,0,0,91,170,"Mayo Community Centre",20071010
