ED_CODE,ED_NAME,COTRUPI,COUTURE,KIDD,MORIDI,YUAN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
075,RICHMOND HILL,11,17,2,71,58,"Richmond Hill",001, ,0,0,0,159,347,"Trillium Woods Elementary School",20071010
075,RICHMOND HILL,7,10,3,70,55,"Richmond Hill",002, ,1,0,0,146,334,"Trillium Woods Elementary School",20071010
075,RICHMOND HILL,7,12,0,86,95,"Richmond Hill",003, ,1,0,0,201,432,"St. Theresa of Lisieux Catholic High School",20071010
075,RICHMOND HILL,19,9,0,71,73,"Richmond Hill",004, ,0,2,0,174,422,"Trillium Woods Elementary School",20071010
075,RICHMOND HILL,5,5,0,35,29,"Richmond Hill",005, ,2,0,0,76,126,"Trillium Woods Elementary School",20071010
075,RICHMOND HILL,9,15,0,55,65,"Richmond Hill",006, ,0,0,0,144,263,"Trillium Woods Elementary School",20071010
075,RICHMOND HILL,14,5,2,79,77,"Richmond Hill",007A, ,1,0,0,178,445,"Our Lady Help of Christians Catholic School",20071010
075,RICHMOND HILL,13,8,2,79,64,"Richmond Hill",007B, ,0,0,0,166,377,"Our Lady Help of Christians Catholic School",20071010
075,RICHMOND HILL,12,15,0,75,74,"Richmond Hill",008, ,0,1,0,177,364,"St. Theresa of Lisieux Catholic High School",20071010
075,RICHMOND HILL,14,10,1,65,66,"Richmond Hill",009, ,0,0,0,156,381,"St. Theresa of Lisieux Catholic High School",20071010
075,RICHMOND HILL,8,10,4,79,95,"Richmond Hill",010, ,0,0,0,196,451,"St. Theresa of Lisieux Catholic High School",20071010
075,RICHMOND HILL,15,7,0,116,77,"Richmond Hill",011, ,0,0,0,215,429,"Father Henri Nouwen Catholic School",20071010
075,RICHMOND HILL,16,17,2,91,113,"Richmond Hill",012, ,1,2,0,242,484,"Father Henri Nouwen Catholic School",20071010
075,RICHMOND HILL,10,4,0,92,42,"Richmond Hill",013, ,1,0,0,149,427,"Trillium Woods Elementary School",20071010
075,RICHMOND HILL,13,11,4,97,67,"Richmond Hill",014, ,3,0,0,195,478,"Father Henri Nouwen Catholic School",20071010
075,RICHMOND HILL,10,12,0,69,55,"Richmond Hill",015, ,0,1,0,147,357,"Rouge Woods Community Centre",20071010
075,RICHMOND HILL,3,9,1,73,61,"Richmond Hill",016, ,0,0,0,147,389,"Rouge Woods Community Centre",20071010
075,RICHMOND HILL,11,8,1,71,62,"Richmond Hill",017, ,14,0,0,167,405,"Our Lady Help of Christians Catholic School",20071010
075,RICHMOND HILL,7,8,1,58,48,"Richmond Hill",018, ,1,0,0,123,240,"Our Lady Help of Christians Catholic School",20071010
075,RICHMOND HILL,10,11,0,69,63,"Richmond Hill",019, ,2,0,0,155,347,"Our Lady Help of Christians Catholic School",20071010
075,RICHMOND HILL,13,12,0,68,95,"Richmond Hill",020, ,1,0,0,189,445,"St. Theresa of Lisieux Catholic High School",20071010
075,RICHMOND HILL,10,24,3,89,79,"Richmond Hill",021, ,0,1,0,206,402,"Father Henri Nouwen Catholic School",20071010
075,RICHMOND HILL,7,10,2,67,85,"Richmond Hill",022, ,0,0,0,171,378,"Silver Pines Public School",20071010
075,RICHMOND HILL,9,14,1,114,113,"Richmond Hill",023, ,1,0,0,252,528,"Silver Pines Public School",20071010
075,RICHMOND HILL,8,6,2,65,53,"Richmond Hill",024, ,0,0,0,134,381,"Silver Pines Public School",20071010
075,RICHMOND HILL,17,24,1,55,39,"Richmond Hill",025, ,1,0,0,137,364,"Beverley Acres Public School",20071010
075,RICHMOND HILL,20,14,3,57,39,"Richmond Hill",026, ,1,1,0,135,283,"Beverley Acres Public School",20071010
075,RICHMOND HILL,35,25,3,46,35,"Richmond Hill",027, ,0,0,0,144,389,"Beverley Acres Public School",20071010
075,RICHMOND HILL,22,21,2,63,44,"Richmond Hill",028, ,0,1,0,153,382,"Beverley Acres Public School",20071010
075,RICHMOND HILL,26,18,3,62,60,"Richmond Hill",029, ,1,2,0,172,367,"Beverley Acres Public School",20071010
075,RICHMOND HILL,29,20,2,47,41,"Richmond Hill",030, ,0,0,1,140,319,"Beverley Acres Public School",20071010
075,RICHMOND HILL,17,9,0,82,69,"Richmond Hill",031, ,0,0,0,177,489,"Rouge Woods Community Centre",20071010
075,RICHMOND HILL,10,13,2,77,97,"Richmond Hill",032, ,0,1,0,200,489,"Richmond Rose Public School",20071010
075,RICHMOND HILL,15,8,1,92,80,"Richmond Hill",033, ,0,0,0,196,477,"Rouge Woods Community Centre",20071010
075,RICHMOND HILL,21,5,1,73,64,"Richmond Hill",034, ,0,0,0,164,386,"Rouge Woods Community Centre",20071010
075,RICHMOND HILL,21,14,4,86,89,"Richmond Hill",035, ,1,1,0,216,525,"Rouge Woods Community Centre",20071010
075,RICHMOND HILL,16,11,0,72,52,"Richmond Hill",036A, ,0,2,1,154,387,"Our Lady Help of Christians Catholic School",20071010
075,RICHMOND HILL,13,17,2,90,96,"Richmond Hill",036B, ,1,0,0,219,515,"Our Lady Help of Christians Catholic School",20071010
075,RICHMOND HILL,21,10,1,123,103,"Richmond Hill",037, ,0,0,0,258,504,"Silver Pines Public School",20071010
075,RICHMOND HILL,23,10,2,118,68,"Richmond Hill",038, ,1,0,1,223,480,"St. Mary Immaculate Elementary School",20071010
075,RICHMOND HILL,20,13,1,121,94,"Richmond Hill",039, ,3,1,0,253,567,"Silver Pines Public School",20071010
075,RICHMOND HILL,14,21,1,89,44,"Richmond Hill",040, ,0,1,0,170,358,"O.M. MacKillop Public School",20071010
075,RICHMOND HILL,23,13,0,63,29,"Richmond Hill",041, ,2,0,0,130,263,"O.M. MacKillop Public School",20071010
075,RICHMOND HILL,23,18,4,70,34,"Richmond Hill",042, ,1,0,0,150,292,"O.M. MacKillop Public School",20071010
075,RICHMOND HILL,28,17,1,81,45,"Richmond Hill",043A, ,0,0,0,172,391,"Crosby Heights Public School",20071010
075,RICHMOND HILL,23,22,4,75,43,"Richmond Hill",043B, ,2,0,0,169,399,"Crosby Heights Public School",20071010
075,RICHMOND HILL,35,21,3,74,51,"Richmond Hill",044, ,3,0,0,187,372,"Crosby Heights Public School",20071010
075,RICHMOND HILL,9,8,0,72,57,"Richmond Hill",045, ,0,1,0,147,392,"Richmond Rose Public School",20071010
075,RICHMOND HILL,4,9,0,78,62,"Richmond Hill",046, ,0,2,0,155,427,"Richmond Rose Public School",20071010
075,RICHMOND HILL,11,4,3,102,85,"Richmond Hill",047, ,0,0,0,205,537,"Richmond Rose Public School",20071010
075,RICHMOND HILL,11,8,1,70,79,"Richmond Hill",048, ,0,2,0,171,444,"Rouge Woods Community Centre",20071010
075,RICHMOND HILL,13,4,2,76,98,"Richmond Hill",049, ,0,1,0,194,526,"Rouge Woods Community Centre",20071010
075,RICHMOND HILL,15,6,1,87,56,"Richmond Hill",050, ,0,1,0,166,389,"Silver Stream Public School",20071010
075,RICHMOND HILL,11,14,1,101,73,"Richmond Hill",051A, ,1,0,0,201,540,"Silver Stream Public School",20071010
075,RICHMOND HILL,7,7,0,57,69,"Richmond Hill",051B, ,1,1,1,143,392,"Silver Stream Public School",20071010
075,RICHMOND HILL,11,16,3,81,89,"Richmond Hill",052, ,2,0,1,203,431,"St. Mary Immaculate Elementary School",20071010
075,RICHMOND HILL,12,14,1,135,100,"Richmond Hill",053, ,1,0,0,263,506,"St. Mary Immaculate Elementary School",20071010
075,RICHMOND HILL,14,12,0,102,104,"Richmond Hill",054, ,0,0,2,234,464,"St. Mary Immaculate Elementary School",20071010
075,RICHMOND HILL,23,42,0,72,55,"Richmond Hill",055, ,2,0,0,194,361,"O.M. MacKillop Public School",20071010
075,RICHMOND HILL,23,17,4,111,53,"Richmond Hill",056, ,1,0,0,209,357,"O.M. MacKillop Public School",20071010
075,RICHMOND HILL,22,28,0,80,45,"Richmond Hill",057, ,1,0,0,176,357,"O.M. MacKillop Public School",20071010
075,RICHMOND HILL,12,9,0,55,27,"Richmond Hill",058, ,2,0,0,105,254,"M. L. McConaghy Seniors' Centre",20071010
075,RICHMOND HILL,12,8,0,42,27,"Richmond Hill",059, ,2,2,0,93,217,"M. L. McConaghy Seniors' Centre",20071010
075,RICHMOND HILL,23,31,3,93,65,"Richmond Hill",060, ,1,1,0,217,476,"M. L. McConaghy Seniors' Centre",20071010
075,RICHMOND HILL,21,22,3,101,51,"Richmond Hill",061, ,0,2,0,200,398,"Crosby Heights Public School",20071010
075,RICHMOND HILL,37,21,1,103,37,"Richmond Hill",062, ,0,0,1,200,375,"Crosby Heights Public School",20071010
075,RICHMOND HILL,22,17,0,54,40,"Richmond Hill",063, ,0,0,0,133,307,"Crosby Heights Public School",20071010
075,RICHMOND HILL,16,15,0,89,57,"Richmond Hill",064, ,0,0,0,177,469,"Richmond Rose Public School",20071010
075,RICHMOND HILL,9,7,0,77,72,"Richmond Hill",065, ,0,0,0,165,421,"Bayview Secondary School",20071010
075,RICHMOND HILL,12,8,0,73,57,"Richmond Hill",066, ,0,1,0,151,394,"Silver Stream Public School",20071010
075,RICHMOND HILL,19,9,1,76,70,"Richmond Hill",067, ,3,0,0,178,422,"Silver Stream Public School",20071010
075,RICHMOND HILL,7,8,1,76,91,"Richmond Hill",068, ,0,1,0,184,533,"Silver Stream Public School",20071010
075,RICHMOND HILL,8,6,1,70,68,"Richmond Hill",069A, ,0,3,0,156,441,"Bayview Hill Community Centre",20071010
075,RICHMOND HILL,12,6,2,66,91,"Richmond Hill",069B, ,0,1,0,178,551,"Bayview Hill Community Centre",20071010
075,RICHMOND HILL,19,29,3,114,107,"Richmond Hill",070, ,0,1,0,273,483,"Pleasantville Public School",20071010
075,RICHMOND HILL,16,33,4,104,75,"Richmond Hill",071, ,2,0,0,234,436,"Pleasantville Public School",20071010
075,RICHMOND HILL,31,32,3,92,66,"Richmond Hill",072, ,0,0,0,224,412,"Pleasantville Public School",20071010
075,RICHMOND HILL,19,36,0,72,41,"Richmond Hill",073, ,0,0,0,168,328,"M. L. McConaghy Seniors' Centre",20071010
075,RICHMOND HILL,14,23,0,39,36,"Richmond Hill",074, ,0,0,0,112,202,"M. L. McConaghy Seniors' Centre",20071010
075,RICHMOND HILL,17,23,0,50,48,"Richmond Hill",075, ,0,0,0,138,300,"M. L. McConaghy Seniors' Centre",20071010
075,RICHMOND HILL,21,20,0,65,27,"Richmond Hill",076, ,2,0,0,135,308,"M. L. McConaghy Seniors' Centre",20071010
075,RICHMOND HILL,16,10,2,45,25,"Richmond Hill",077s, ,2,3,0,103,145,"Rose Town Seniors Apartments",20071010
075,RICHMOND HILL,19,24,4,113,54,"Richmond Hill",078, ,0,0,0,214,389,"Walter Scott Public School",20071010
075,RICHMOND HILL,22,8,1,65,42,"Richmond Hill",079, ,0,0,0,138,292,"Walter Scott Public School",20071010
075,RICHMOND HILL,17,7,0,20,15,"Richmond Hill",080, ,0,0,0,59,169,"Walter Scott Public School",20071010
075,RICHMOND HILL,17,18,0,107,52,"Richmond Hill",081, ,0,1,0,195,368,"Walter Scott Public School",20071010
075,RICHMOND HILL,17,5,2,37,33,"Richmond Hill",082, ,0,0,0,94,195,"Walter Scott Public School",20071010
075,RICHMOND HILL,6,14,2,111,73,"Richmond Hill",083, ,0,0,1,207,558,"Bayview Secondary School",20071010
075,RICHMOND HILL,4,9,0,66,77,"Richmond Hill",084, ,1,0,0,157,525,"Bayview Secondary School",20071010
075,RICHMOND HILL,4,5,2,75,58,"Richmond Hill",085, ,1,2,0,147,472,"Bayview Hill Community Centre",20071010
075,RICHMOND HILL,23,32,0,98,77,"Richmond Hill",086, ,0,1,1,232,444,"Pleasantville Public School",20071010
075,RICHMOND HILL,27,25,2,93,67,"Richmond Hill",087, ,0,0,1,215,434,"Pleasantville Public School",20071010
075,RICHMOND HILL,2,2,1,13,10,"Richmond Hill",088s, ,2,0,0,30,116,"York Central Hospital",20071010
075,RICHMOND HILL,16,15,1,78,66,"Richmond Hill",089, ,0,1,0,177,375,"Richmond Hill Central Library",20071010
075,RICHMOND HILL,18,22,0,63,71,"Richmond Hill",090, ,0,0,0,174,291,"M. L. McConaghy Seniors' Centre",20071010
