ED_CODE,ED_NAME,BOSCH,BRADLEY,GOTS,HAMMOND,SMITH,TIMMS,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
076,ST. CATHARINES,29,44,1,0,9,27,"St. Catharines",001, ,0,0,0,110,261,"Club LaSalle",20071010
076,ST. CATHARINES,14,58,0,0,11,63,"St. Catharines",002, ,0,1,0,147,277,"Club LaSalle",20071010
076,ST. CATHARINES,14,120,0,0,13,88,"St. Catharines",003, ,0,0,1,236,405,"Club LaSalle",20071010
076,ST. CATHARINES,35,112,1,1,14,71,"St. Catharines",004, ,0,0,0,234,381,"Club LaSalle",20071010
076,ST. CATHARINES,35,47,2,0,13,30,"St. Catharines",005, ,0,1,0,128,263,"Port Weller Community Centre",20071010
076,ST. CATHARINES,27,96,2,0,14,79,"St. Catharines",006, ,0,0,0,218,387,"Port Weller Community Centre",20071010
076,ST. CATHARINES,16,35,2,1,14,31,"St. Catharines",007, ,0,0,0,99,235,"Port Weller Community Centre",20071010
076,ST. CATHARINES,18,140,0,0,13,77,"St. Catharines",008, ,1,0,0,249,426,"Prince Philip Public School",20071010
076,ST. CATHARINES,16,144,0,1,12,66,"St. Catharines",009, ,0,3,1,243,438,"Prince Philip Public School",20071010
076,ST. CATHARINES,18,24,0,0,2,34,"St. Catharines",010, ,0,1,0,79,200,"Port Weller Community Centre",20071010
076,ST. CATHARINES,41,126,3,1,19,59,"St. Catharines",011, ,0,1,0,250,412,"Port Weller Community Centre",20071010
076,ST. CATHARINES,13,124,1,0,12,41,"St. Catharines",012, ,0,0,0,191,344,"Assumption Catholic School",20071010
076,ST. CATHARINES,23,129,1,0,17,56,"St. Catharines",013, ,0,0,0,226,390,"Assumption Catholic School",20071010
076,ST. CATHARINES,18,124,0,2,14,51,"St. Catharines",014, ,1,0,1,211,357,"Michael J. Brennan Catholic School",20071010
076,ST. CATHARINES,13,86,1,0,11,62,"St. Catharines",015, ,0,0,0,173,326,"Michael J. Brennan Catholic School",20071010
076,ST. CATHARINES,10,119,2,1,13,72,"St. Catharines",016, ,0,2,0,219,409,"St. John Ukrainian Catholic Church",20071010
076,ST. CATHARINES,21,102,0,0,17,68,"St. Catharines",017, ,2,0,0,210,363,"St. John Ukrainian Catholic Church",20071010
076,ST. CATHARINES,13,101,2,0,8,57,"St. Catharines",018, ,0,1,0,182,370,"St. John Ukrainian Catholic Church",20071010
076,ST. CATHARINES,28,101,0,1,11,44,"St. Catharines",019, ,0,1,1,187,310,"Prince Philip Public School",20071010
076,ST. CATHARINES,19,33,1,0,8,21,"St. Catharines",020, ,0,0,0,82,188,"Assumption Catholic School",20071010
076,ST. CATHARINES,16,107,0,0,7,65,"St. Catharines",021, ,0,0,0,195,344,"Prince Philip Public School",20071010
076,ST. CATHARINES,16,115,2,2,5,61,"St. Catharines",022, ,0,0,0,201,333,"Assumption Catholic School",20071010
