ED_CODE,ED_NAME,BRYANT,D'SA,DE KERCKHOVE,GOLDSTEIN,HELLER,KITTREDGE,LEBORG,THOMPSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
077,ST. PAUL'S,66,9,0,55,8,1,0,1,"Toronto",001, ,0,0,0,140,262,"Maurice Cody Community Centre",20071010
077,ST. PAUL'S,48,7,0,37,11,0,0,3,"Toronto",002, ,0,0,0,106,236,"Northern Secondary School",20071010
077,ST. PAUL'S,84,25,0,50,19,0,0,0,"Toronto",003, ,0,0,0,178,351,"North Toronto Secondary School",20071010
077,ST. PAUL'S,39,7,0,17,8,1,0,1,"Toronto",004, ,0,0,0,73,170,"Northern Secondary School",20071010
077,ST. PAUL'S,59,9,2,17,14,0,1,0,"Toronto",005, ,0,0,0,102,188,"Northern Secondary School",20071010
077,ST. PAUL'S,82,16,0,57,31,2,1,0,"Toronto",006, ,0,0,0,189,316,"Northern Secondary School",20071010
077,ST. PAUL'S,42,8,0,21,19,0,0,0,"Toronto",007, ,0,0,1,91,214,"Northern Secondary School",20071010
077,ST. PAUL'S,32,1,7,11,12,0,0,1,"Toronto",008, ,0,0,0,64,128,"First Christian Reformed Church of Toronto",20071010
077,ST. PAUL'S,43,9,2,25,11,0,1,0,"Toronto",009, ,1,0,0,92,230,"First Christian Reformed Church of Toronto",20071010
077,ST. PAUL'S,64,10,0,45,28,3,0,0,"Toronto",010, ,0,0,0,150,274,"Maurice Cody Community Centre",20071010
077,ST. PAUL'S,64,12,0,58,15,0,0,0,"Toronto",011, ,0,0,0,149,315,"Maurice Cody Community Centre",20071010
077,ST. PAUL'S,33,6,0,12,19,4,0,0,"Toronto",012, ,0,0,0,74,221,"Montgomery Place",20071010
077,ST. PAUL'S,62,19,0,47,22,2,0,1,"Toronto",013, ,1,0,0,154,300,"Eglinton Junior Public School",20071010
077,ST. PAUL'S,46,3,1,47,5,2,1,0,"Toronto",014s, ,2,3,1,111,158,"Briton House",20071010
077,ST. PAUL'S,63,19,0,42,12,1,0,0,"Toronto",015, ,0,0,0,137,302,"First Christian Reformed Church of Toronto",20071010
077,ST. PAUL'S,79,10,0,49,22,0,0,0,"Toronto",016, ,0,0,0,160,293,"First Christian Reformed Church of Toronto",20071010
077,ST. PAUL'S,50,15,1,31,18,0,0,0,"Toronto",017, ,0,0,0,115,242,"First Christian Reformed Church of Toronto",20071010
077,ST. PAUL'S,109,25,2,51,29,3,0,0,"Toronto",018, ,0,1,0,220,371,"Maurice Cody Community Centre",20071010
077,ST. PAUL'S,83,18,1,47,14,0,1,0,"Toronto",019, ,0,2,0,166,302,"Maurice Cody Community Centre",20071010
077,ST. PAUL'S,63,16,0,41,13,0,2,0,"Toronto",020, ,0,0,0,135,260,"Unity Church of Truth",20071010
077,ST. PAUL'S,31,5,0,38,4,0,0,0,"Toronto",021, ,2,0,0,80,153,"Unity Church of Truth",20071010
077,ST. PAUL'S,..........................NO POLL HELD........................,,,,,,,,"Toronto",022, ,0,0,0,0,0,"",20071010
077,ST. PAUL'S,73,13,0,39,14,0,0,0,"Toronto",023, ,0,0,0,139,290,"Manor Road United Church",20071010
077,ST. PAUL'S,64,15,1,39,19,2,0,0,"Toronto",024, ,0,0,0,140,298,"Manor Road United Church",20071010
077,ST. PAUL'S,130,22,1,59,19,0,0,0,"Toronto",025, ,0,0,1,232,369,"Manor Road United Church",20071010
077,ST. PAUL'S,116,16,2,61,36,0,0,0,"Toronto",026, ,0,0,0,231,396,"Manor Road United Church",20071010
077,ST. PAUL'S,120,24,4,54,30,1,0,0,"Toronto",027, ,1,0,0,234,359,"Maurice Cody Community Centre",20071010
077,ST. PAUL'S,95,11,1,39,22,1,0,0,"Toronto",028, ,1,0,0,170,321,"Maurice Cody Community Centre",20071010
077,ST. PAUL'S,53,24,0,48,23,0,0,1,"Toronto",029, ,0,0,0,149,296,"Oriole Park Public School",20071010
077,ST. PAUL'S,47,18,1,25,16,0,0,0,"Toronto",030, ,0,0,0,107,248,"Oriole Park Public School",20071010
077,ST. PAUL'S,80,15,0,55,20,1,0,0,"Toronto",031, ,0,1,0,172,277,"Unity Church of Truth",20071010
077,ST. PAUL'S,109,20,0,61,18,0,0,0,"Toronto",032, ,0,0,0,208,373,"Unity Church of Truth",20071010
077,ST. PAUL'S,96,25,1,38,21,0,0,0,"Toronto",033, ,0,0,0,181,365,"Manor Road United Church",20071010
077,ST. PAUL'S,51,18,1,35,18,1,0,0,"Toronto",034, ,0,1,1,126,256,"Manor Road United Church",20071010
077,ST. PAUL'S,105,21,1,63,29,0,0,0,"Toronto",035, ,0,0,2,221,368,"Manor Road United Church",20071010
077,ST. PAUL'S,110,10,2,63,27,2,0,1,"Toronto",036, ,0,0,0,215,349,"Hodgson Senior Public School",20071010
077,ST. PAUL'S,90,21,0,52,21,1,0,0,"Toronto",037, ,0,2,0,187,352,"Hodgson Senior Public School",20071010
