ED_CODE,ED_NAME,BAILEY,DI COCCO,MILLITT,VAN BODEGOM,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
078,SARNIA--LAMBTON,62,77,32,19,"Camlachie",001, ,0,0,0,190,329,"Aberarder Central Public Elementary School",20071010
078,SARNIA--LAMBTON,90,88,40,22,"Camlachie",002, ,0,1,0,241,454,"Aberarder Central Public Elementary School",20071010
078,SARNIA--LAMBTON,87,64,33,15,"Camlachie",003, ,1,3,0,203,358,"Errol Village Public School",20071010
078,SARNIA--LAMBTON,65,37,34,13,"Camlachie",004, ,1,0,0,150,344,"Errol Village Public School",20071010
078,SARNIA--LAMBTON,136,68,32,23,"Camlachie",005, ,0,1,0,260,412,"Aberarder Central Public Elementary School",20071010
078,SARNIA--LAMBTON,81,78,34,16,"Sarnia",006, ,0,0,0,209,381,"Christ Lutheran Church",20071010
078,SARNIA--LAMBTON,94,83,50,18,"Brights Grove",007, ,0,0,0,245,365,"St. Michael Catholic Elementary School",20071010
078,SARNIA--LAMBTON,72,70,40,9,"Brights Grove",008, ,1,3,0,195,310,"Brights Grove School",20071010
078,SARNIA--LAMBTON,76,50,48,13,"Brights Grove",009, ,2,0,1,190,348,"Brights Grove School",20071010
078,SARNIA--LAMBTON,33,28,44,7,"Brights Grove",010, ,0,1,0,113,223,"Brights Grove School",20071010
078,SARNIA--LAMBTON,49,60,34,9,"Brights Grove",011, ,0,0,0,152,279,"Brights Grove School",20071010
078,SARNIA--LAMBTON,81,69,26,17,"Brights Grove",012, ,1,0,0,194,349,"Brights Grove School",20071010
078,SARNIA--LAMBTON,88,52,24,11,"Brights Grove",013, ,1,0,0,176,308,"St. Michael Catholic Elementary School",20071010
078,SARNIA--LAMBTON,71,69,27,14,"Camlachie",014, ,0,1,0,182,348,"Errol Village Public School",20071010
078,SARNIA--LAMBTON,94,68,38,13,"Camlachie",015, ,1,0,0,214,351,"Errol Village Public School",20071010
078,SARNIA--LAMBTON,83,67,30,17,"Sarnia",016, ,0,1,0,198,356,"Lakeroad Public School",20071010
078,SARNIA--LAMBTON,87,63,18,19,"Sarnia",017, ,0,0,2,189,364,"Gregory A. Hogan Catholic Elementary School",20071010
078,SARNIA--LAMBTON,84,65,18,12,"Sarnia",018, ,0,0,0,179,319,"Redeemer Christian Reformed Church",20071010
