ED_CODE,ED_NAME,ARBUS,MURPHY,ORAZIETTI,PRINGLE,RIOPEL,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
079,SAULT STE. MARIE,29,0,85,23,11,"Sault Ste. Marie",001, ,0,0,0,148,267,"Greenwood Public School",20071010
079,SAULT STE. MARIE,51,5,96,13,7,"Sault Ste. Marie",002, ,0,0,0,172,338,"Riuniti Restaurant",20071010
079,SAULT STE. MARIE,25,1,45,6,12,"Sault Ste. Marie",003, ,0,1,0,90,206,"Riuniti Restaurant",20071010
079,SAULT STE. MARIE,40,0,199,25,6,"Sault Ste. Marie",004, ,1,1,0,272,563,"R. M. Moore Public School",20071010
079,SAULT STE. MARIE,38,4,95,13,10,"Sault Ste. Marie",005, ,0,0,0,160,299,"Isabel Fletcher Public School",20071010
079,SAULT STE. MARIE,63,4,68,14,7,"Sault Ste. Marie",006, ,0,0,0,156,315,"Riuniti Restaurant",20071010
079,SAULT STE. MARIE,64,6,104,17,9,"Sault Ste. Marie",007, ,1,0,0,201,382,"Isabel Fletcher Public School",20071010
079,SAULT STE. MARIE,61,6,97,13,11,"Sault Ste. Marie",008, ,0,0,0,188,393,"Greenwood Public School",20071010
079,SAULT STE. MARIE,64,6,146,13,3,"Sault Ste. Marie",009, ,4,1,0,237,431,"Greenwood Public School",20071010
079,SAULT STE. MARIE,32,3,137,15,27,"Sault Ste. Marie",010, ,0,0,0,214,364,"Riuniti Restaurant",20071010
079,SAULT STE. MARIE,56,2,100,13,2,"Sault Ste. Marie",011, ,1,0,0,174,346,"Greenwood Public School",20071010
079,SAULT STE. MARIE,18,4,160,9,9,"Sault Ste. Marie",012, ,0,0,0,200,336,"Kiwedin Public School",20071010
079,SAULT STE. MARIE,13,1,24,6,1,"Sault Ste. Marie",013s, ,0,0,0,45,118,"Extendicare Tendercare Nursing Home",20071010
079,SAULT STE. MARIE,23,3,50,5,0,"Sault Ste. Marie",014s, ,1,2,0,84,110,"Great Northern Retirement Home",20071010
079,SAULT STE. MARIE,21,7,72,12,3,"Sault Ste. Marie",015s, ,2,0,0,117,413,"F.J. Davey Home",20071010
079,SAULT STE. MARIE,60,8,167,24,12,"Sault Ste. Marie",016, ,2,1,1,275,462,"Tarentorus Public School",20071010
079,SAULT STE. MARIE,47,0,89,9,4,"Sault Ste. Marie",017, ,0,0,0,149,349,"Holy Family School",20071010
079,SAULT STE. MARIE,43,2,51,6,2,"Sault Ste. Marie",018, ,0,0,0,104,251,"Holy Family School",20071010
079,SAULT STE. MARIE,43,2,98,2,6,"Sault Ste. Marie",019, ,1,1,0,153,279,"Holy Family School",20071010
079,SAULT STE. MARIE,54,3,54,7,3,"Sault Ste. Marie",020, ,0,0,0,121,280,"Korah Collegiate",20071010
079,SAULT STE. MARIE,40,1,150,13,6,"Sault Ste. Marie",021, ,0,0,0,210,366,"Our Lady of Lourdes Catholic School",20071010
079,SAULT STE. MARIE,51,0,74,5,0,"Sault Ste. Marie",022, ,0,0,0,130,267,"Isabel Fletcher Public School",20071010
079,SAULT STE. MARIE,34,0,111,10,5,"Sault Ste. Marie",023, ,0,0,0,160,328,"Our Lady of Lourdes Catholic School",20071010
