ED_CODE,ED_NAME,BLACKBURN,DEL GRANDE,PAPPAS,PHILLIPS,WANG,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
080,SCARBOROUGH--AGINCOURT,12,54,8,122,5,"Toronto",001, ,1,1,0,203,526,"Kennedy Public School",20071010
080,SCARBOROUGH--AGINCOURT,16,62,6,135,4,"Toronto",002, ,0,0,0,223,554,"Terry Fox Public School",20071010
080,SCARBOROUGH--AGINCOURT,14,45,15,108,1,"Toronto",003, ,1,1,2,187,527,"Kennedy Public School",20071010
080,SCARBOROUGH--AGINCOURT,14,65,9,119,2,"Toronto",004, ,0,2,0,211,556,"Kennedy Public School",20071010
080,SCARBOROUGH--AGINCOURT,16,49,12,137,4,"Toronto",005, ,0,0,0,218,567,"St. Henry Catholic Elementary School",20071010
080,SCARBOROUGH--AGINCOURT,13,46,2,129,5,"Toronto",006, ,0,1,0,196,552,"St. Henry Catholic Elementary School",20071010
080,SCARBOROUGH--AGINCOURT,8,63,8,121,3,"Toronto",007, ,1,0,0,204,568,"Terry Fox Public School",20071010
080,SCARBOROUGH--AGINCOURT,9,47,10,135,6,"Toronto",008, ,4,1,0,212,577,"Terry Fox Public School",20071010
080,SCARBOROUGH--AGINCOURT,13,52,6,113,4,"Toronto",009, ,0,2,0,190,509,"Kennedy Public School",20071010
080,SCARBOROUGH--AGINCOURT,11,69,4,131,1,"Toronto",010, ,4,0,0,220,576,"Terry Fox Public School",20071010
080,SCARBOROUGH--AGINCOURT,15,50,5,75,1,"Toronto",011, ,0,2,0,148,535,"L'Amoreaux Community Recreation Centre",20071010
080,SCARBOROUGH--AGINCOURT,29,73,13,143,7,"Toronto",012, ,4,1,0,270,561,"Sir Samuel B. Steele Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,12,68,8,152,2,"Toronto",013, ,0,0,0,242,594,"Sir Samuel B. Steele Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,2,29,3,79,4,"Toronto",014, ,1,0,0,118,373,"David Lewis Public School",20071010
080,SCARBOROUGH--AGINCOURT,23,41,9,148,0,"Toronto",015, ,0,0,3,224,538,"Terry Fox Public School",20071010
080,SCARBOROUGH--AGINCOURT,32,44,10,150,1,"Toronto",016, ,3,0,0,240,543,"David Lewis Public School",20071010
080,SCARBOROUGH--AGINCOURT,10,61,13,126,4,"Toronto",017, ,3,1,0,218,535,"David Lewis Public School",20071010
080,SCARBOROUGH--AGINCOURT,3,4,1,23,0,"Toronto",018s, ,0,0,0,31,158,"Mon Sheong Scarborough",20071010
080,SCARBOROUGH--AGINCOURT,20,55,9,128,3,"Toronto",019, ,0,0,0,215,449,"Sir Samuel B. Steele Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,18,61,11,121,2,"Toronto",020, ,1,0,0,214,529,"Sir Samuel B. Steele Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,19,41,8,74,2,"Toronto",021, ,1,0,0,145,436,"St. Henry Catholic Elementary School",20071010
080,SCARBOROUGH--AGINCOURT,14,40,8,91,3,"Toronto",022, ,0,0,0,156,376,"St. Henry Catholic Elementary School",20071010
080,SCARBOROUGH--AGINCOURT,13,39,9,108,1,"Toronto",023, ,2,0,0,172,477,"St. Henry Catholic Elementary School",20071010
080,SCARBOROUGH--AGINCOURT,13,51,4,75,4,"Toronto",024, ,0,1,0,148,391,"David Lewis Public School",20071010
080,SCARBOROUGH--AGINCOURT,20,43,8,149,4,"Toronto",025, ,1,3,0,228,536,"David Lewis Public School",20071010
080,SCARBOROUGH--AGINCOURT,16,50,11,114,3,"Toronto",026, ,0,1,0,195,426,"David Lewis Public School",20071010
080,SCARBOROUGH--AGINCOURT,9,45,10,142,3,"Toronto",027, ,4,0,0,213,546,"Silver Springs Public School",20071010
080,SCARBOROUGH--AGINCOURT,7,4,3,48,2,"Toronto",028s, ,0,2,1,67,283,"Tendercare Health Centre",20071010
080,SCARBOROUGH--AGINCOURT,13,59,12,126,1,"Toronto",029, ,2,0,0,213,450,"Beverly Glen Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,10,31,10,77,4,"Toronto",030, ,0,0,0,132,341,"Salvation Army Community Church",20071010
080,SCARBOROUGH--AGINCOURT,23,34,17,104,3,"Toronto",031, ,4,0,0,185,435,"Salvation Army Community Church",20071010
080,SCARBOROUGH--AGINCOURT,22,43,10,104,0,"Toronto",032, ,1,3,0,183,433,"Salvation Army Community Church",20071010
080,SCARBOROUGH--AGINCOURT,11,45,7,119,7,"Toronto",033, ,2,0,0,191,444,"Silver Springs Public School",20071010
080,SCARBOROUGH--AGINCOURT,22,36,15,154,8,"Toronto",034, ,1,3,0,239,519,"Silver Springs Public School",20071010
080,SCARBOROUGH--AGINCOURT,19,35,6,88,2,"Toronto",035, ,0,0,0,150,410,"Silver Springs Public School",20071010
080,SCARBOROUGH--AGINCOURT,18,29,8,72,2,"Toronto",036, ,0,1,0,130,445,"Lynnwood Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,29,62,23,138,3,"Toronto",037, ,1,0,0,256,543,"Chartland Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,30,41,10,147,5,"Toronto",038, ,1,0,1,235,527,"Chartland Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,19,56,7,135,4,"Toronto",039, ,0,1,0,222,520,"Chester Le Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,18,53,3,136,2,"Toronto",040, ,1,0,0,213,442,"Beverly Glen Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,37,61,7,113,2,"Toronto",041, ,1,0,0,221,551,"Beverly Glen Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,27,36,12,111,2,"Toronto",042, ,1,1,0,190,460,"Beverly Glen Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,29,36,6,117,2,"Toronto",043, ,0,2,0,192,407,"Brookmill Boulevard Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,0,0,0,0,0,"Toronto",044s, ,0,0,0,0,5,"Scarborough Hospital Grace Division",20071010
080,SCARBOROUGH--AGINCOURT,10,22,8,103,3,"Toronto",045, ,2,0,0,148,316,"Salvation Army Community Church",20071010
080,SCARBOROUGH--AGINCOURT,18,32,3,89,2,"Toronto",046, ,0,0,0,144,431,"Highland Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,20,48,5,102,4,"Toronto",047, ,1,1,0,181,446,"Lynnwood Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,12,60,13,86,5,"Toronto",048, ,1,0,0,177,415,"Lynnwood Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,19,28,8,66,3,"Toronto",049, ,5,1,0,130,432,"Lynnwood Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,32,35,8,108,4,"Toronto",050, ,0,2,0,189,490,"Chartland Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,43,34,11,100,6,"Toronto",051, ,0,2,0,196,453,"Chartland Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,26,40,9,127,2,"Toronto",052, ,1,2,0,207,451,"Chester Le Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,23,49,5,105,6,"Toronto",053, ,1,1,0,190,387,"Chester Le Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,16,33,5,103,4,"Toronto",054, ,1,2,0,164,479,"Beverly Glen Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,14,56,4,111,1,"Toronto",055, ,1,0,0,187,422,"Timberbank Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,23,58,8,127,5,"Toronto",056, ,0,0,0,221,547,"Timberbank Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,18,66,6,95,5,"Toronto",057, ,0,0,0,190,451,"Highland Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,16,52,14,87,2,"Toronto",058, ,1,1,0,173,400,"Highland Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,19,48,8,113,3,"Toronto",059, ,2,4,0,197,439,"Highland Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,17,56,4,111,0,"Toronto",060, ,4,0,0,192,472,"Lynnwood Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,21,72,4,100,7,"Toronto",061, ,1,1,0,206,509,"Lynnwood Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,31,74,17,136,0,"Toronto",062, ,1,1,0,260,545,"North Agincourt Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,32,54,19,112,3,"Toronto",063, ,0,1,0,221,516,"North Agincourt Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,19,56,5,181,1,"Toronto",064, ,3,3,0,268,534,"Sir John A. Macdonald Collegiate Institute",20071010
080,SCARBOROUGH--AGINCOURT,14,54,5,115,3,"Toronto",065, ,0,2,0,193,464,"North Bridlewood Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,24,28,9,87,5,"Toronto",066, ,0,0,0,153,404,"North Bridlewood Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,21,49,9,98,4,"Toronto",067, ,0,0,0,181,389,"North Bridlewood Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,18,36,8,76,1,"Toronto",068, ,0,2,0,141,397,"Bridlewood Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,18,36,2,102,3,"Toronto",069, ,0,1,0,162,408,"Timberbank Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,20,42,11,110,8,"Toronto",070, ,0,1,0,192,448,"Timberbank Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,18,80,19,151,2,"Toronto",071, ,5,0,0,275,547,"Highland Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,11,40,8,111,2,"Toronto",072, ,0,1,0,173,401,"Lynnwood Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,6,38,7,79,1,"Toronto",073, ,2,0,1,134,323,"North Agincourt Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,19,54,11,91,4,"Toronto",074, ,0,0,0,179,492,"Sir Alexander MacKenzie Senior Public School",20071010
080,SCARBOROUGH--AGINCOURT,24,56,4,159,1,"Toronto",075, ,4,2,1,251,427,"Sir John A. Macdonald Collegiate Institute",20071010
080,SCARBOROUGH--AGINCOURT,16,65,12,142,0,"Toronto",076, ,2,1,0,238,457,"Sir John A. Macdonald Collegiate Institute",20071010
080,SCARBOROUGH--AGINCOURT,20,69,11,142,3,"Toronto",077, ,1,1,0,247,550,"Bridlewood Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,19,61,12,137,1,"Toronto",078, ,0,0,0,230,509,"Timberbank Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,11,69,14,130,0,"Toronto",079, ,4,0,1,229,446,"Pauline Johnson Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,13,24,2,41,4,"Toronto",080, ,1,0,0,85,252,"Tam O'Shanter Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,5,30,2,45,0,"Toronto",081A, ,1,1,0,84,329,"Lynnwood Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,12,26,4,58,0,"Toronto",081B, ,0,0,0,100,312,"Lynnwood Heights Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,13,45,11,108,0,"Toronto",082, ,1,2,0,180,420,"North Agincourt Junior Public School",20071010
080,SCARBOROUGH--AGINCOURT,18,32,7,98,3,"Toronto",083, ,1,0,0,159,435,"Sir Alexander MacKenzie Senior Public School",20071010
