ED_CODE,ED_NAME,APPADURAI,DUGUID,LANG,MATHURIN,PREDOVICH,STRACHAN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
081,SCARBOROUGH CENTRE,27,146,2,15,0,12,"Toronto",001, ,1,1,0,204,469,"North Bendale Junior Public School",20071010
081,SCARBOROUGH CENTRE,33,47,2,25,3,6,"Toronto",002, ,0,1,0,117,346,"Edgewood Public School",20071010
081,SCARBOROUGH CENTRE,70,111,2,24,2,5,"Toronto",003, ,1,0,0,215,439,"St. Andrew's Public School",20071010
081,SCARBOROUGH CENTRE,19,70,2,15,1,1,"Toronto",004A, ,0,0,1,109,189,"Glamorgan Junior Public School",20071010
081,SCARBOROUGH CENTRE,24,40,0,12,2,1,"Toronto",004B, ,0,0,0,79,163,"Glamorgan Junior Public School",20071010
081,SCARBOROUGH CENTRE,30,76,0,29,1,12,"Toronto",005, ,3,0,0,151,375,"Edgewood Public School",20071010
081,SCARBOROUGH CENTRE,62,130,2,18,4,15,"Toronto",006, ,0,2,0,233,459,"St. Andrew's Public School",20071010
081,SCARBOROUGH CENTRE,58,126,4,30,0,14,"Toronto",007, ,2,1,0,235,434,"St. Andrew's Public School",20071010
081,SCARBOROUGH CENTRE,49,156,0,20,0,18,"Toronto",008, ,0,1,0,244,429,"North Bendale Junior Public School",20071010
081,SCARBOROUGH CENTRE,49,106,2,34,2,14,"Toronto",009, ,0,0,0,207,412,"North Bendale Junior Public School",20071010
081,SCARBOROUGH CENTRE,48,153,7,14,0,20,"Toronto",010, ,0,5,0,247,472,"North Bendale Junior Public School",20071010
081,SCARBOROUGH CENTRE,53,107,3,26,2,15,"Toronto",011, ,2,0,0,208,397,"Church of St. Andrew",20071010
081,SCARBOROUGH CENTRE,60,107,2,19,0,19,"Toronto",012, ,1,0,0,208,427,"Pharmacy Adult Learning Centre",20071010
081,SCARBOROUGH CENTRE,36,105,4,20,3,7,"Toronto",013, ,0,0,0,175,415,"Our Lady of Wisdom Catholic School",20071010
081,SCARBOROUGH CENTRE,59,105,1,31,3,12,"Toronto",014, ,2,0,0,213,476,"Pharmacy Adult Learning Centre",20071010
081,SCARBOROUGH CENTRE,39,61,1,13,4,6,"Toronto",015, ,0,2,0,126,368,"Ellesmere-Statton Public School",20071010
081,SCARBOROUGH CENTRE,26,54,5,3,4,3,"Toronto",016-1A, ,1,0,0,96,230,"Ellesmere-Statton Public School",20071010
081,SCARBOROUGH CENTRE,44,58,2,9,0,0,"Toronto",016-1B, ,0,0,0,113,302,"Ellesmere-Statton Public School",20071010
081,SCARBOROUGH CENTRE,49,68,2,13,1,7,"Toronto",016A, ,0,0,0,140,382,"Ellesmere-Statton Public School",20071010
081,SCARBOROUGH CENTRE,30,53,2,16,3,2,"Toronto",016B, ,0,0,0,106,304,"Ellesmere-Statton Public School",20071010
081,SCARBOROUGH CENTRE,76,55,3,9,1,1,"Toronto",017, ,1,2,0,148,347,"Glamorgan Junior Public School",20071010
081,SCARBOROUGH CENTRE,10,42,2,6,3,2,"Toronto",018s, ,0,2,0,67,208,"Leisureworld Caregiving Centre",20071010
081,SCARBOROUGH CENTRE,60,45,1,5,0,3,"Toronto",019, ,9,1,0,124,303,"Edgewood Public School",20071010
081,SCARBOROUGH CENTRE,37,123,3,39,1,21,"Toronto",020, ,11,0,0,235,415,"Edgewood Public School",20071010
081,SCARBOROUGH CENTRE,35,95,3,29,1,16,"Toronto",021, ,0,0,1,180,366,"Edgewood Public School",20071010
081,SCARBOROUGH CENTRE,49,118,1,28,0,8,"Toronto",022, ,1,1,0,206,393,"St. Andrew's Public School",20071010
081,SCARBOROUGH CENTRE,62,130,2,27,3,19,"Toronto",023, ,0,1,0,244,432,"Bendale Junior Public School",20071010
081,SCARBOROUGH CENTRE,48,121,3,22,1,14,"Toronto",024, ,0,1,0,210,391,"Bendale Junior Public School",20071010
081,SCARBOROUGH CENTRE,46,87,2,29,0,8,"Toronto",025, ,1,0,1,174,366,"St. Rose of Lima Catholic School",20071010
081,SCARBOROUGH CENTRE,26,36,1,12,2,6,"Toronto",026, ,0,0,0,83,231,"Church of St. Andrew",20071010
081,SCARBOROUGH CENTRE,51,117,8,37,2,21,"Toronto",027, ,0,0,0,236,445,"Pharmacy Adult Learning Centre",20071010
081,SCARBOROUGH CENTRE,62,115,0,32,0,10,"Toronto",028, ,2,1,0,222,409,"Our Lady of Wisdom Catholic School",20071010
081,SCARBOROUGH CENTRE,53,92,1,46,2,18,"Toronto",029, ,0,0,0,212,455,"Our Lady of Wisdom Catholic School",20071010
081,SCARBOROUGH CENTRE,..........................NO POLL HELD........................,,,,,,"Toronto",030s, ,0,0,0,0,0,"",20071010
081,SCARBOROUGH CENTRE,49,100,3,26,3,11,"Toronto",031, ,4,1,0,197,468,"Ellesmere-Statton Public School",20071010
081,SCARBOROUGH CENTRE,53,97,1,29,3,13,"Toronto",032, ,1,0,0,197,411,"Dorset Park Baptist Church",20071010
081,SCARBOROUGH CENTRE,8,12,2,7,1,2,"Toronto",033s, ,0,0,0,32,104,"Kennedy Long Term Care Facility",20071010
081,SCARBOROUGH CENTRE,45,107,6,21,3,22,"Toronto",034, ,5,0,0,209,399,"Edgewood Public School",20071010
081,SCARBOROUGH CENTRE,73,108,4,26,1,22,"Toronto",035, ,0,0,0,234,400,"Donwood Park Junior Public School",20071010
081,SCARBOROUGH CENTRE,61,102,4,24,0,7,"Toronto",036, ,2,1,1,202,371,"Donwood Park Junior Public School",20071010
081,SCARBOROUGH CENTRE,71,114,3,16,4,10,"Toronto",037, ,0,0,1,219,431,"St. Andrew's Presbyterian Church",20071010
081,SCARBOROUGH CENTRE,65,95,4,22,0,15,"Toronto",038, ,1,1,0,203,412,"St. Andrew's Presbyterian Church",20071010
081,SCARBOROUGH CENTRE,42,120,0,15,0,15,"Toronto",039, ,0,0,0,192,390,"St. Rose of Lima Catholic School",20071010
081,SCARBOROUGH CENTRE,39,117,5,34,3,7,"Toronto",040, ,0,0,0,205,402,"St. Rose of Lima Catholic School",20071010
081,SCARBOROUGH CENTRE,33,117,2,22,2,6,"Toronto",041, ,2,0,0,184,411,"Our Lady of Wisdom Catholic School",20071010
081,SCARBOROUGH CENTRE,44,123,2,45,2,17,"Toronto",042, ,1,0,0,234,469,"Maryvale Public School",20071010
081,SCARBOROUGH CENTRE,46,146,3,41,4,13,"Toronto",043, ,1,1,0,255,420,"Maryvale Public School",20071010
081,SCARBOROUGH CENTRE,36,103,0,20,0,15,"Toronto",044, ,0,0,0,174,407,"Buchanan Public School",20071010
081,SCARBOROUGH CENTRE,36,98,0,31,3,11,"Toronto",045, ,1,1,0,181,384,"Manhattan Park Junior Public School",20071010
081,SCARBOROUGH CENTRE,18,38,0,15,1,5,"Toronto",046, ,0,1,0,78,263,"St. Giles Anglican Church",20071010
081,SCARBOROUGH CENTRE,32,76,2,29,1,8,"Toronto",047, ,0,3,0,151,404,"St. Giles Anglican Church",20071010
081,SCARBOROUGH CENTRE,55,108,4,33,4,11,"Toronto",048, ,0,0,0,215,422,"St. Giles Anglican Church",20071010
081,SCARBOROUGH CENTRE,44,93,3,28,1,9,"Toronto",049, ,1,0,0,179,455,"Dorset Park Baptist Church",20071010
081,SCARBOROUGH CENTRE,40,69,0,6,0,5,"Toronto",050, ,0,0,0,120,315,"Donwood Park Junior Public School",20071010
081,SCARBOROUGH CENTRE,33,104,4,35,3,7,"Toronto",051, ,0,0,0,186,386,"Donwood Park Junior Public School",20071010
081,SCARBOROUGH CENTRE,48,125,1,11,1,15,"Toronto",052, ,3,1,0,205,404,"Donwood Park Junior Public School",20071010
081,SCARBOROUGH CENTRE,6,31,2,7,1,4,"Toronto",053s, ,0,0,0,51,262,"Bendale Acres",20071010
081,SCARBOROUGH CENTRE,26,110,3,10,1,1,"Toronto",054s, ,2,8,0,161,217,"Brimley Acres Seniors Residence",20071010
081,SCARBOROUGH CENTRE,20,79,5,19,2,8,"Toronto",055s, ,1,2,1,137,196,"Jack Goodlad Senior Citizens Residence",20071010
081,SCARBOROUGH CENTRE,6,24,0,3,3,2,"Toronto",056s, ,0,1,1,40,66,"Rockcliffe Long-Term Care Home",20071010
081,SCARBOROUGH CENTRE,..........................NO POLL HELD........................,,,,,,"Toronto",057s, ,0,0,0,0,0,"",20071010
081,SCARBOROUGH CENTRE,69,118,2,24,3,14,"Toronto",058, ,3,0,0,233,442,"Bendale Public Library",20071010
081,SCARBOROUGH CENTRE,64,118,6,20,0,14,"Toronto",059, ,0,0,0,222,469,"St. Nicholas Catholic School",20071010
081,SCARBOROUGH CENTRE,22,67,0,24,1,6,"Toronto",060, ,0,1,1,122,314,"Maryvale Public School",20071010
081,SCARBOROUGH CENTRE,33,102,1,16,1,8,"Toronto",061, ,2,0,0,163,364,"Maryvale Public School",20071010
081,SCARBOROUGH CENTRE,36,105,0,17,2,20,"Toronto",062, ,1,1,0,182,384,"Buchanan Public School",20071010
081,SCARBOROUGH CENTRE,48,125,0,38,2,20,"Toronto",063, ,1,0,0,234,434,"Manhattan Park Junior Public School",20071010
081,SCARBOROUGH CENTRE,48,88,2,24,3,9,"Toronto",064, ,2,1,0,177,420,"St. Giles Anglican Church",20071010
081,SCARBOROUGH CENTRE,38,131,2,38,0,15,"Toronto",065, ,1,0,0,225,448,"St. Giles Anglican Church",20071010
081,SCARBOROUGH CENTRE,47,133,3,38,1,10,"Toronto",066, ,1,1,0,234,432,"Dorset Park Junior Public School",20071010
081,SCARBOROUGH CENTRE,53,84,1,29,0,10,"Toronto",067, ,1,0,0,178,467,"Charles Gordon Senior Public School",20071010
081,SCARBOROUGH CENTRE,58,78,1,21,1,14,"Toronto",068, ,0,1,0,174,399,"Bendale Public Library",20071010
081,SCARBOROUGH CENTRE,53,96,1,11,0,9,"Toronto",069, ,0,0,0,170,406,"Knob Hill Junior Public School",20071010
081,SCARBOROUGH CENTRE,34,124,0,33,0,16,"Toronto",070, ,2,3,0,212,439,"Knob Hill Junior Public School",20071010
081,SCARBOROUGH CENTRE,59,135,3,28,3,9,"Toronto",071, ,10,0,0,247,489,"Bendale Public Library",20071010
081,SCARBOROUGH CENTRE,36,123,5,24,2,4,"Toronto",072, ,0,4,0,198,430,"Maryvale Public School",20071010
081,SCARBOROUGH CENTRE,21,93,1,17,1,8,"Toronto",073, ,0,1,0,142,394,"Wexford Collegiate School for the Arts",20071010
081,SCARBOROUGH CENTRE,33,92,4,30,0,10,"Toronto",074, ,3,0,0,172,372,"Buchanan Public School",20071010
081,SCARBOROUGH CENTRE,56,105,3,20,0,15,"Toronto",075, ,2,0,0,201,409,"Manhattan Park Junior Public School",20071010
081,SCARBOROUGH CENTRE,36,114,3,25,3,15,"Toronto",076, ,1,1,0,198,414,"Wexford United Church",20071010
081,SCARBOROUGH CENTRE,36,89,4,32,4,11,"Toronto",077, ,0,1,0,177,414,"Dorset Park Junior Public School",20071010
081,SCARBOROUGH CENTRE,30,37,1,5,1,3,"Toronto",078, ,0,1,0,78,226,"Dorset Park Junior Public School",20071010
081,SCARBOROUGH CENTRE,57,86,0,26,1,5,"Toronto",079, ,1,0,0,176,409,"Winston Churchill Collegiate Institute",20071010
