ED_CODE,ED_NAME,APELBAUM,BEST,CARVALHO,GRANT,KITCHEN,SHAN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
082,SCARBOROUGH--GUILDWOOD,1,100,1,96,7,40,"Toronto",001, ,1,2,1,249,498,"Brooks Road Public School",20071010
082,SCARBOROUGH--GUILDWOOD,0,96,1,38,4,55,"Toronto",002A, ,0,0,0,194,428,"Brooks Road Public School",20071010
082,SCARBOROUGH--GUILDWOOD,6,66,2,39,6,78,"Toronto",002B, ,1,1,0,199,417,"Brooks Road Public School",20071010
082,SCARBOROUGH--GUILDWOOD,2,130,2,93,18,22,"Toronto",003, ,5,0,0,272,491,"St. Edmund Campion Catholic School",20071010
082,SCARBOROUGH--GUILDWOOD,1,119,2,81,10,33,"Toronto",004, ,0,0,0,246,497,"Brooks Road Public School",20071010
082,SCARBOROUGH--GUILDWOOD,3,29,1,13,3,24,"Toronto",005, ,0,0,0,73,209,"Brooks Road Public School",20071010
082,SCARBOROUGH--GUILDWOOD,1,56,2,25,4,66,"Toronto",006, ,0,0,0,154,354,"Pope John Paul II Catholic Secondary School",20071010
082,SCARBOROUGH--GUILDWOOD,2,104,10,104,16,20,"Toronto",007, ,1,1,0,258,492,"St. Edmund Campion Catholic School",20071010
082,SCARBOROUGH--GUILDWOOD,1,80,4,54,13,54,"Toronto",008, ,2,0,0,208,378,"St. Edmund Campion Catholic School",20071010
082,SCARBOROUGH--GUILDWOOD,2,46,1,18,2,32,"Toronto",009, ,0,0,0,101,135,"Pope John Paul II Catholic Secondary School",20071010
082,SCARBOROUGH--GUILDWOOD,0,47,0,21,2,29,"Toronto",010, ,0,0,0,99,245,"Pope John Paul II Catholic Secondary School",20071010
082,SCARBOROUGH--GUILDWOOD,3,86,0,84,8,38,"Toronto",011, ,2,0,0,221,453,"Woburn Junior Public School",20071010
082,SCARBOROUGH--GUILDWOOD,1,22,0,14,5,16,"Toronto",012, ,0,0,0,58,88,"Centennial College",20071010
082,SCARBOROUGH--GUILDWOOD,0,70,0,60,7,40,"Toronto",013, ,0,0,1,178,447,"Pope John Paul II Catholic Secondary School",20071010
082,SCARBOROUGH--GUILDWOOD,..........................NO POLL HELD........................,,,,,,"Toronto",014s, ,0,0,0,0,0,"",20071010
082,SCARBOROUGH--GUILDWOOD,3,19,0,16,3,8,"Toronto",015s, ,1,2,0,52,236,"Seven Oaks Home for the Aged",20071010
082,SCARBOROUGH--GUILDWOOD,1,121,1,82,16,39,"Toronto",016, ,2,1,0,263,542,"Woburn Collegiate Institute",20071010
082,SCARBOROUGH--GUILDWOOD,2,76,3,78,10,48,"Toronto",017, ,0,0,0,217,453,"Heather Heights Junior Public School",20071010
082,SCARBOROUGH--GUILDWOOD,1,116,2,48,11,51,"Toronto",018, ,6,2,0,237,461,"Heather Heights Junior Public School",20071010
082,SCARBOROUGH--GUILDWOOD,0,106,0,74,30,34,"Toronto",019, ,0,1,1,246,431,"Heather Heights Junior Public School",20071010
082,SCARBOROUGH--GUILDWOOD,4,94,1,76,9,33,"Toronto",020, ,0,1,0,218,515,"West Hill Collegiate Institute",20071010
082,SCARBOROUGH--GUILDWOOD,2,78,1,84,15,20,"Toronto",021, ,1,0,0,201,391,"West Hill Public School",20071010
082,SCARBOROUGH--GUILDWOOD,3,10,0,34,1,0,"Toronto",022s, ,0,0,0,48,123,"Ehatare",20071010
082,SCARBOROUGH--GUILDWOOD,2,96,0,100,18,30,"Toronto",023, ,0,2,0,248,518,"West Hill Public School",20071010
082,SCARBOROUGH--GUILDWOOD,3,80,1,57,18,38,"Toronto",024, ,0,1,0,198,485,"St. Malachy Catholic School",20071010
082,SCARBOROUGH--GUILDWOOD,4,62,1,83,16,37,"Toronto",025, ,0,1,1,205,380,"St. Malachy Catholic School",20071010
082,SCARBOROUGH--GUILDWOOD,0,95,1,66,19,42,"Toronto",026, ,1,0,0,224,437,"Bellmere Junior Public School",20071010
082,SCARBOROUGH--GUILDWOOD,3,46,1,14,2,27,"Toronto",027, ,0,0,0,93,226,"Bellmere Junior Public School",20071010
082,SCARBOROUGH--GUILDWOOD,1,84,4,47,7,66,"Toronto",028, ,4,0,0,213,516,"Woburn Collegiate Institute",20071010
