ED_CODE,ED_NAME,ABBAT,BALKISSOON,CARVALHO,GOODEN,MERCER,WHITE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
083,SCARBOROUGH--ROUGE RIVER,12,68,0,25,0,21,"Toronto",001, ,3,1,0,130,338,"Heritage Park Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,1,102,1,24,1,17,"Toronto",002, ,1,0,0,147,364,"Whitefield Christian Schools",20071010
083,SCARBOROUGH--ROUGE RIVER,2,102,0,18,0,17,"Toronto",003, ,5,0,0,144,409,"Whitefield Christian Schools",20071010
083,SCARBOROUGH--ROUGE RIVER,2,75,1,8,1,8,"Toronto",004A, ,1,0,0,96,263,"The Divine Infant Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,1,68,0,9,1,9,"Toronto",004B, ,0,0,0,88,289,"The Divine Infant Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,1,63,0,12,0,28,"Toronto",005A, ,13,0,0,117,304,"Whitefield Christian Schools",20071010
083,SCARBOROUGH--ROUGE RIVER,1,87,1,25,1,26,"Toronto",005B, ,0,0,0,141,316,"Whitefield Christian Schools",20071010
083,SCARBOROUGH--ROUGE RIVER,2,97,1,9,1,23,"Toronto",006, ,2,3,0,138,437,"Whitefield Christian Schools",20071010
083,SCARBOROUGH--ROUGE RIVER,0,50,2,18,1,11,"Toronto",007A, ,0,0,0,82,251,"Whitefield Christian Schools",20071010
083,SCARBOROUGH--ROUGE RIVER,5,57,4,14,1,16,"Toronto",007B, ,1,0,0,98,273,"Whitefield Christian Schools",20071010
083,SCARBOROUGH--ROUGE RIVER,7,84,1,25,1,12,"Toronto",008, ,1,0,0,131,331,"Whitefield Christian Schools",20071010
083,SCARBOROUGH--ROUGE RIVER,2,67,2,15,1,10,"Toronto",009A, ,1,1,0,99,271,"Banting and Best Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,1,56,3,12,1,10,"Toronto",009B, ,0,0,0,83,263,"Banting and Best Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,2,44,1,17,4,10,"Toronto",010A, ,0,4,0,82,242,"Banting and Best Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,7,58,3,13,0,8,"Toronto",010B, ,0,0,0,89,275,"Banting and Best Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,12,67,5,10,1,15,"Toronto",011A, ,1,1,0,112,258,"Macklin Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,9,57,3,3,2,11,"Toronto",011B, ,0,1,0,86,245,"Macklin Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,1,66,1,22,1,10,"Toronto",012A, ,0,0,0,101,257,"Whitefield Christian Schools",20071010
083,SCARBOROUGH--ROUGE RIVER,1,62,3,15,0,9,"Toronto",012B, ,2,0,0,92,248,"Whitefield Christian Schools",20071010
083,SCARBOROUGH--ROUGE RIVER,2,81,1,12,0,13,"Toronto",013A, ,2,1,0,112,248,"Thomas L. Wells Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,5,74,2,20,0,13,"Toronto",013B, ,0,1,0,115,246,"Thomas L. Wells Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,11,142,2,27,2,37,"Toronto",014, ,1,0,1,223,458,"Thomas L. Wells Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,77,0,23,0,9,"Toronto",015A, ,0,0,0,112,255,"Thomas L. Wells Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,1,94,0,4,1,15,"Toronto",015B, ,0,0,0,115,255,"Thomas L. Wells Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,4,64,2,4,2,3,"Toronto",016A, ,0,0,0,79,270,"Port Royal Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,7,55,3,10,2,2,"Toronto",016B, ,1,1,0,81,262,"Port Royal Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,6,47,1,13,0,10,"Toronto",017A, ,0,1,0,78,220,"Port Royal Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,6,44,0,7,3,7,"Toronto",017B, ,0,0,0,67,223,"Port Royal Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,57,0,21,0,10,"Toronto",018A, ,0,0,0,91,272,"Port Royal Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,42,4,22,1,10,"Toronto",018B, ,0,2,0,84,263,"Port Royal Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,6,56,2,25,0,12,"Toronto",019A, ,0,0,0,101,288,"St. René Goupil Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,8,51,1,25,2,13,"Toronto",019B, ,0,1,0,101,270,"St. René Goupil Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,71,0,2,1,6,"Toronto",020A, ,0,0,0,83,247,"Prince of Peace Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,4,65,1,6,1,8,"Toronto",020B, ,0,2,0,87,246,"Prince of Peace Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,66,2,13,1,5,"Toronto",021A, ,2,0,0,92,296,"Prince of Peace Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,1,67,8,11,1,8,"Toronto",021B, ,0,0,0,96,284,"Prince of Peace Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,4,50,3,10,2,8,"Toronto",022A, ,0,0,0,77,257,"Banting and Best Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,2,45,1,7,1,1,"Toronto",022B, ,1,0,0,58,203,"Banting and Best Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,0,53,0,2,1,6,"Toronto",023, ,0,0,0,62,179,"The Divine Infant Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,4,63,3,19,1,14,"Toronto",024A, ,0,0,0,104,305,"The Divine Infant Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,2,48,3,16,0,14,"Toronto",024B, ,8,0,0,91,292,"The Divine Infant Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,60,2,17,0,13,"Toronto",025A, ,1,1,0,97,278,"Macklin Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,4,73,0,14,0,15,"Toronto",025B, ,0,0,0,106,259,"Macklin Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,0,73,3,17,1,20,"Toronto",026A, ,0,0,0,114,248,"Thomas L. Wells Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,7,61,3,10,1,11,"Toronto",026B, ,1,1,0,95,247,"Thomas L. Wells Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,5,56,2,7,0,8,"Toronto",027A, ,0,1,0,79,248,"Thomas L. Wells Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,2,93,1,12,0,16,"Toronto",027B, ,0,0,0,124,255,"Thomas L. Wells Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,5,88,1,20,3,29,"Toronto",028, ,0,0,0,146,364,"Thomas L. Wells Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,8,102,4,19,3,25,"Toronto",029, ,0,0,0,161,417,"Thomas L. Wells Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,1,118,2,18,2,28,"Toronto",030, ,1,0,0,170,444,"Heritage Park Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,117,4,7,1,24,"Toronto",031, ,3,0,0,159,461,"Heritage Park Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,74,1,16,3,13,"Toronto",032A, ,0,0,0,110,262,"Heritage Park Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,78,0,24,3,14,"Toronto",032B, ,0,0,0,122,266,"Heritage Park Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,5,81,2,13,1,21,"Toronto",033A, ,0,0,1,124,299,"St. Bede Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,100,2,13,0,17,"Toronto",033B, ,0,1,0,136,280,"St. Bede Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,2,57,2,16,1,9,"Toronto",034A, ,1,0,1,89,248,"St. Bede Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,7,71,5,6,3,12,"Toronto",034B, ,0,0,0,104,258,"St. Bede Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,2,72,1,14,0,15,"Toronto",035, ,1,0,0,105,317,"Malvern Methodist Church",20071010
083,SCARBOROUGH--ROUGE RIVER,10,77,5,21,0,18,"Toronto",036, ,1,2,0,134,434,"Port Royal Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,2,51,0,11,4,8,"Toronto",037A, ,0,0,0,76,203,"Milliken Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,1,51,1,12,1,6,"Toronto",037B, ,0,0,0,72,221,"Milliken Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,5,68,0,12,1,17,"Toronto",038A, ,0,0,0,103,255,"St. René Goupil Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,4,71,0,16,2,9,"Toronto",038B, ,0,0,0,102,259,"St. René Goupil Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,6,137,6,34,1,22,"Toronto",039, ,1,2,0,209,453,"St. René Goupil Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,9,91,1,25,1,18,"Toronto",040, ,0,0,0,145,448,"Prince of Peace Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,4,79,2,30,1,16,"Toronto",041A, ,0,1,0,133,270,"Agnes Macphail Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,66,0,21,0,5,"Toronto",041B, ,4,2,0,101,263,"Agnes Macphail Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,2,54,2,11,2,14,"Toronto",042A, ,0,1,0,86,265,"Agnes Macphail Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,2,64,1,9,1,5,"Toronto",042B, ,1,0,0,83,257,"Agnes Macphail Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,5,88,2,6,1,12,"Toronto",043A, ,2,0,0,116,305,"Agnes Macphail Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,4,71,1,9,1,5,"Toronto",043B, ,2,1,0,94,287,"Agnes Macphail Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,2,50,5,15,1,9,"Toronto",044A, ,0,0,0,82,279,"The Divine Infant Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,1,69,5,28,1,9,"Toronto",044B, ,0,1,0,114,277,"The Divine Infant Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,4,78,2,17,0,7,"Toronto",045A, ,0,0,0,108,244,"Macklin Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,80,0,13,0,11,"Toronto",045B, ,1,2,0,110,240,"Macklin Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,6,104,7,15,6,27,"Toronto",046, ,0,1,0,166,441,"Macklin Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,111,1,17,0,25,"Toronto",047, ,2,1,1,161,450,"Percy Williams Junior Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,1,62,2,6,1,14,"Toronto",048, ,2,0,0,88,347,"Neilson House Community Centre",20071010
083,SCARBOROUGH--ROUGE RIVER,2,53,1,13,0,22,"Toronto",049A, ,0,1,0,92,292,"Mary Shadd Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,55,1,11,3,16,"Toronto",049B, ,2,0,0,91,263,"Mary Shadd Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,2,72,1,10,1,10,"Toronto",050A, ,1,0,0,97,273,"Mary Shadd Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,2,80,0,15,0,17,"Toronto",050B, ,0,0,0,114,300,"Mary Shadd Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,6,90,2,8,0,25,"Toronto",051, ,1,0,0,132,386,"St. Bede Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,118,1,17,3,38,"Toronto",052, ,0,0,0,180,438,"Alexander Stirling Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,8,74,0,15,1,25,"Toronto",053A, ,1,0,0,124,289,"St. Bede Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,1,89,2,9,2,17,"Toronto",053B, ,0,0,0,120,280,"St. Bede Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,79,0,6,1,16,"Toronto",054A, ,1,0,0,106,316,"Fleming Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,2,96,0,13,1,17,"Toronto",054B, ,0,0,0,129,322,"Fleming Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,96,1,11,2,13,"Toronto",055, ,0,0,0,126,422,"Malvern Methodist Church",20071010
083,SCARBOROUGH--ROUGE RIVER,1,24,1,4,1,0,"Toronto",056s, ,1,0,0,32,137,"Yee Hong Centre For Geriatric Care - McNicoll",20071010
083,SCARBOROUGH--ROUGE RIVER,9,53,3,25,5,12,"Toronto",057A, ,0,2,0,109,267,"Milliken Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,6,58,1,20,1,18,"Toronto",057B, ,0,0,0,104,282,"Milliken Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,4,103,7,8,6,6,"Toronto",058, ,2,2,0,138,254,"Yee Hong Chinese Evergreen Manor",20071010
083,SCARBOROUGH--ROUGE RIVER,14,71,0,21,2,15,"Toronto",059A, ,0,1,0,124,269,"Milliken Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,6,52,1,16,0,16,"Toronto",059B, ,2,0,0,93,258,"Milliken Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,8,59,2,20,0,6,"Toronto",060A, ,1,0,1,97,228,"Milliken Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,60,0,17,0,9,"Toronto",060B, ,0,1,0,90,243,"Milliken Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,6,68,2,13,2,17,"Toronto",061A, ,0,0,0,108,256,"Agnes Macphail Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,3,84,2,19,2,14,"Toronto",061B, ,0,0,2,126,261,"Agnes Macphail Public School",20071010
083,SCARBOROUGH--ROUGE RIVER,7,100,1,23,3,12,"Toronto",062, ,0,0,0,146,415,"Our Lady of Grace Catholic School",20071010
083,SCARBOROUGH--ROUGE RIVER,4,62,0,12,0,15,"Toronto",063A, ,0,0,0,93,253,"Percy Williams Junior Public School",20071010
