ED_CODE,ED_NAME,BERARDINETTI,BORKOWSKI,CRAWFORD,DANCE,DIXON,SARKAR,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
084,SCARBOROUGH SOUTHWEST,71,2,38,2,14,35,"Toronto",001, ,5,0,0,167,341,"Jack Goodlad Community Centre",20071010
084,SCARBOROUGH SOUTHWEST,94,4,30,5,9,26,"Toronto",002, ,0,0,0,168,376,"Ionview Public School",20071010
084,SCARBOROUGH SOUTHWEST,139,2,30,2,12,15,"Toronto",003, ,1,1,0,202,409,"Iondale Heights United Church",20071010
084,SCARBOROUGH SOUTHWEST,66,2,21,1,3,20,"Toronto",004, ,0,0,0,113,274,"Jack Goodlad Community Centre",20071010
084,SCARBOROUGH SOUTHWEST,78,2,32,2,6,12,"Toronto",005, ,2,0,1,135,298,"Jack Goodlad Community Centre",20071010
084,SCARBOROUGH SOUTHWEST,92,0,42,4,10,17,"Toronto",006, ,0,1,0,166,419,"Robert Service Senior Public School",20071010
084,SCARBOROUGH SOUTHWEST,24,0,14,2,1,7,"Toronto",007s, ,1,1,0,50,74,"Trilogy",20071010
084,SCARBOROUGH SOUTHWEST,23,1,12,3,3,8,"Toronto",008s, ,0,1,0,51,185,"Kingsway Arms at McCowan",20071010
084,SCARBOROUGH SOUTHWEST,131,0,37,1,10,16,"Toronto",009, ,0,1,0,196,473,"H.A. Halbert Junior Public School",20071010
084,SCARBOROUGH SOUTHWEST,84,2,74,2,18,26,"Toronto",010, ,0,1,2,209,407,"Bliss Carman Senior Public School",20071010
084,SCARBOROUGH SOUTHWEST,107,4,43,3,6,23,"Toronto",011, ,3,0,0,189,394,"Ionview Public School",20071010
084,SCARBOROUGH SOUTHWEST,42,0,25,2,5,16,"Toronto",012, ,0,0,0,90,251,"Ionview Public School",20071010
084,SCARBOROUGH SOUTHWEST,125,6,66,3,9,31,"Toronto",013, ,0,1,0,241,449,"Iondale Heights United Church",20071010
084,SCARBOROUGH SOUTHWEST,61,1,33,0,8,28,"Toronto",014, ,3,0,0,134,322,"Iondale Heights United Church",20071010
084,SCARBOROUGH SOUTHWEST,49,0,16,3,2,7,"Toronto",015, ,0,0,0,77,235,"Jack Goodlad Community Centre",20071010
084,SCARBOROUGH SOUTHWEST,44,2,17,0,3,10,"Toronto",016, ,0,0,0,76,215,"Jack Goodlad Community Centre",20071010
084,SCARBOROUGH SOUTHWEST,57,4,31,0,12,27,"Toronto",017, ,1,0,0,132,345,"Jack Goodlad Community Centre",20071010
084,SCARBOROUGH SOUTHWEST,69,1,23,2,9,14,"Toronto",018, ,0,1,0,119,383,"120 Town Haven Place",20071010
084,SCARBOROUGH SOUTHWEST,102,2,30,1,7,38,"Toronto",019, ,2,2,0,184,450,"Walter Perry Junior Public School",20071010
084,SCARBOROUGH SOUTHWEST,124,3,54,0,13,26,"Toronto",020, ,0,0,0,220,436,"Walter Perry Junior Public School",20071010
084,SCARBOROUGH SOUTHWEST,57,1,20,2,2,23,"Toronto",021, ,1,0,0,106,281,"Walter Perry Junior Public School",20071010
084,SCARBOROUGH SOUTHWEST,99,1,69,1,24,34,"Toronto",022, ,1,0,0,229,438,"Anson Park Public School",20071010
084,SCARBOROUGH SOUTHWEST,54,1,62,2,18,28,"Toronto",023, ,0,0,0,165,363,"Bliss Carman Senior Public School",20071010
084,SCARBOROUGH SOUTHWEST,46,1,51,1,16,37,"Toronto",024, ,1,0,0,153,296,"Bliss Carman Senior Public School",20071010
084,SCARBOROUGH SOUTHWEST,10,1,11,1,1,3,"Toronto",025, ,0,0,0,27,143,"Clairlea Public School",20071010
084,SCARBOROUGH SOUTHWEST,166,1,34,0,6,46,"Toronto",026, ,1,5,0,259,503,"Ionview Public School",20071010
084,SCARBOROUGH SOUTHWEST,30,0,6,2,0,8,"Toronto",027, ,0,0,0,46,168,"Westminster Presbyterian Church",20071010
084,SCARBOROUGH SOUTHWEST,38,1,19,3,1,12,"Toronto",028, ,1,0,0,75,221,"Westminster Presbyterian Church",20071010
084,SCARBOROUGH SOUTHWEST,71,2,32,1,12,22,"Toronto",029, ,1,2,0,143,400,"Westminster Presbyterian Church",20071010
084,SCARBOROUGH SOUTHWEST,51,1,9,1,5,9,"Toronto",030, ,0,0,0,76,234,"Westminster Presbyterian Church",20071010
084,SCARBOROUGH SOUTHWEST,19,1,4,1,2,10,"Toronto",031, ,0,0,0,37,168,"Iondale Heights United Church",20071010
084,SCARBOROUGH SOUTHWEST,13,0,7,0,3,1,"Toronto",032, ,2,0,0,26,103,"St. Maria Goretti Catholic School",20071010
084,SCARBOROUGH SOUTHWEST,71,3,24,0,6,19,"Toronto",033, ,1,0,0,124,267,"St. Maria Goretti Catholic School",20071010
084,SCARBOROUGH SOUTHWEST,38,3,11,0,2,18,"Toronto",034, ,0,1,0,73,158,"Corvette Junior Public School",20071010
084,SCARBOROUGH SOUTHWEST,71,2,22,1,3,19,"Toronto",035, ,4,2,0,124,226,"St. Maria Goretti Catholic School",20071010
084,SCARBOROUGH SOUTHWEST,108,2,42,1,9,40,"Toronto",036, ,2,0,0,204,437,"St. Maria Goretti Catholic School",20071010
