ED_CODE,ED_NAME,AUSTIN,BENDER,ELLIS,FERGUSON,FISHMAN,TAYLOR,WILSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
085,SIMCOE--GREY,37,2,24,0,64,3,60,"Elmvale",001, ,0,0,0,190,400,"Elmvale District High School",20071010
085,SIMCOE--GREY,18,3,18,3,33,1,56,"Hillsdale",002, ,0,1,0,133,281,"Hillsdale Elementary School",20071010
085,SIMCOE--GREY,17,2,23,2,55,2,95,"Hillsdale",003, ,3,0,0,199,395,"Hillsdale Elementary School",20071010
085,SIMCOE--GREY,30,0,12,1,24,0,62,"Elmvale",004, ,0,0,0,129,302,"Elmvale District High School",20071010
085,SIMCOE--GREY,25,2,17,0,51,2,65,"Elmvale",005, ,0,0,0,162,319,"Elmvale District High School",20071010
085,SIMCOE--GREY,27,5,9,0,39,1,83,"Elmvale",006, ,2,1,0,167,380,"Elmvale District High School",20071010
085,SIMCOE--GREY,4,2,1,2,12,0,12,"Elmvale",007s, ,0,0,0,33,67,"Sara Vista Long Term Care Facility",20071010
085,SIMCOE--GREY,35,0,12,0,61,1,114,"Elmvale",008, ,2,3,0,228,431,"Elmvale District High School",20071010
085,SIMCOE--GREY,15,6,37,2,96,0,123,"Hillsdale",009, ,0,0,0,279,439,"Hillsdale Elementary School",20071010
085,SIMCOE--GREY,14,9,33,1,44,3,78,"Hillsdale",010, ,1,0,0,183,367,"Hillsdale Elementary School",20071010
085,SIMCOE--GREY,8,1,27,0,31,0,57,"Thornbury",011, ,0,1,0,125,138,"Beaver Valley Community Centre",20071010
085,SIMCOE--GREY,7,1,23,1,26,0,43,"Thornbury",012, ,0,0,0,101,189,"Beaver Valley Community Centre",20071010
085,SIMCOE--GREY,16,3,10,0,24,0,64,"Wasaga Beach",013, ,2,1,0,120,223,"Stars Arena",20071010
085,SIMCOE--GREY,22,4,32,1,63,3,116,"Elmvale",014, ,4,0,0,245,458,"Elmvale District High School",20071010
085,SIMCOE--GREY,17,0,13,1,27,0,72,"Hillsdale",015, ,0,0,0,130,193,"Hillsdale Elementary School",20071010
085,SIMCOE--GREY,9,1,16,0,33,1,29,"Thornbury",016, ,0,0,0,89,159,"Beaver Valley Community Centre",20071010
085,SIMCOE--GREY,17,5,38,0,85,1,80,"Thornbury",017, ,0,0,0,226,374,"Beaver Valley Community Centre",20071010
085,SIMCOE--GREY,11,5,35,1,48,1,56,"Thornbury",018, ,0,0,0,157,261,"Beaver Valley Community Centre",20071010
085,SIMCOE--GREY,22,1,43,2,45,0,72,"Thornbury",019, ,0,0,0,185,287,"Beaver Valley Community Centre",20071010
085,SIMCOE--GREY,1,2,1,1,12,1,15,"Thornbury",020s, ,0,0,1,34,83,"Errinrug Nursing & Retirement Home",20071010
085,SIMCOE--GREY,19,0,22,0,29,0,38,"Thornbury",021, ,0,0,0,108,205,"Beaver Valley Community Centre",20071010
085,SIMCOE--GREY,20,1,54,1,50,3,85,"Thornbury",022, ,2,0,2,218,338,"Beaver Valley Community Centre",20071010
