ED_CODE,ED_NAME,DOMSY,DUNLOP,HILL,RAYBOULD,VARCOE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
086,SIMCOE NORTH,49,62,24,1,21,"Penetanguishene",001, ,2,0,0,159,339,"Our Lady of the Rosary Mission",20071010
086,SIMCOE NORTH,98,34,15,0,6,"Christian Island",002, ,0,1,0,154,346,"Beausoleil First Nation",20071010
086,SIMCOE NORTH,19,58,4,0,5,"Severn Falls",003, ,0,0,0,86,181,"The River Emporium",20071010
086,SIMCOE NORTH,61,58,16,0,24,"Penetanguishene",004, ,0,2,0,161,415,"Our Lady of the Rosary Mission",20071010
086,SIMCOE NORTH,59,49,12,0,27,"Penetanguishene",005, ,1,0,0,148,306,"Lafontaine Parish Hall",20071010
086,SIMCOE NORTH,33,40,10,0,27,"Penetanguishene",006, ,0,1,0,111,299,"Our Lady of the Rosary Mission",20071010
086,SIMCOE NORTH,47,52,12,0,17,"Penetanguishene",007, ,1,0,0,129,264,"Our Lady of the Rosary Mission",20071010
086,SIMCOE NORTH,25,25,7,3,20,"Penetanguishene",008s, ,1,2,0,83,118,"Penetanguishene Mental Health Centre",20071010
086,SIMCOE NORTH,72,75,6,0,18,"Penetanguishene",009, ,0,0,0,171,323,"St. James Anglican Church Hall",20071010
086,SIMCOE NORTH,34,43,6,0,6,"Penetanguishene",010, ,0,0,0,89,191,"St. James Anglican Church Hall",20071010
086,SIMCOE NORTH,28,42,7,0,5,"Port Severn",011, ,0,0,0,82,189,"The Principal's School House",20071010
086,SIMCOE NORTH,23,65,6,0,15,"Washago",012, ,0,0,0,109,232,"Washago Community Centre",20071010
086,SIMCOE NORTH,56,66,11,0,23,"Penetanguishene",013, ,0,1,0,157,254,"Lafontaine Parish Hall",20071010
086,SIMCOE NORTH,73,50,15,0,15,"Penetanguishene",014, ,0,0,0,153,309,"Lafontaine Parish Hall",20071010
086,SIMCOE NORTH,70,55,13,1,29,"Penetanguishene",015, ,2,1,0,171,408,"Royal Canadian Legion #68",20071010
086,SIMCOE NORTH,63,57,24,0,12,"Penetanguishene",016, ,0,0,0,156,308,"Burkevale Protestant Separate School",20071010
086,SIMCOE NORTH,84,67,9,1,27,"Penetanguishene",017, ,0,0,0,188,434,"St. James Anglican Church Hall",20071010
086,SIMCOE NORTH,62,49,28,0,23,"Penetanguishene",018, ,0,2,0,164,363,"Burkevale Protestant Separate School",20071010
086,SIMCOE NORTH,84,70,4,0,20,"Penetanguishene",019, ,0,0,0,178,394,"Burkevale Protestant Separate School",20071010
086,SIMCOE NORTH,6,2,0,0,1,"Penetanguishene",020s, ,0,0,0,9,14,"Beechwood Private Hospital",20071010
086,SIMCOE NORTH,113,64,14,1,22,"Penetanguishene",021, ,0,1,0,215,414,"Burkevale Protestant Separate School",20071010
086,SIMCOE NORTH,83,69,17,1,26,"Penetanguishene",022, ,0,0,0,196,391,"St. James Anglican Church Hall",20071010
086,SIMCOE NORTH,117,41,20,0,11,"Penetanguishene",023, ,1,0,0,190,392,"Penetanguishene Secondary School",20071010
086,SIMCOE NORTH,112,71,22,0,8,"Penetanguishene",024, ,1,1,0,215,414,"Penetanguishene Secondary School",20071010
086,SIMCOE NORTH,68,81,1,0,13,"Penetanguishene",025, ,0,1,1,165,282,"Penetanguishene Secondary School",20071010
086,SIMCOE NORTH,45,56,7,1,8,"Penetanguishene",026, ,0,0,0,117,266,"Penetanguishene Secondary School",20071010
086,SIMCOE NORTH,48,40,8,0,9,"Port McNicoll",027, ,0,0,0,105,214,"Port McNicoll Community Centre",20071010
086,SIMCOE NORTH,50,66,19,0,10,"Victoria Harbour",028, ,0,0,0,145,327,"Victoria Harbour Public School",20071010
086,SIMCOE NORTH,19,45,7,0,4,"Port Severn",029, ,0,0,0,75,174,"The Principal's School House",20071010
086,SIMCOE NORTH,23,76,11,0,7,"Matchedash",030, ,0,0,0,117,218,"Matchedash Community Heritage Centre",20071010
086,SIMCOE NORTH,29,81,15,0,14,"Matchedash",031, ,0,0,0,139,257,"Matchedash Community Heritage Centre",20071010
086,SIMCOE NORTH,42,74,16,0,30,"Washago",032, ,1,1,0,164,338,"Washago Community Centre",20071010
086,SIMCOE NORTH,27,60,16,0,25,"Washago",033, ,0,0,0,128,276,"Washago Community Centre",20071010
086,SIMCOE NORTH,41,51,15,0,17,"Washago",034, ,0,0,0,124,233,"Washago Community Centre",20071010
086,SIMCOE NORTH,11,66,15,1,17,"Washago",035, ,0,0,0,110,237,"Washago Community Centre",20071010
086,SIMCOE NORTH,38,54,7,0,22,"Washago",036, ,0,1,1,123,222,"Washago Community Centre",20071010
086,SIMCOE NORTH,11,23,2,1,4,"Kirkfield",037, ,0,0,0,41,185,"Sebright United Church",20071010
086,SIMCOE NORTH,59,42,22,0,24,"Penetanguishene",038, ,0,0,0,147,291,"Lafontaine Parish Hall",20071010
086,SIMCOE NORTH,58,61,14,0,18,"Penetanguishene",039, ,1,0,0,152,394,"Royal Canadian Legion #68",20071010
