ED_CODE,ED_NAME,BEBJAK,BROWNELL,KENNEDY,SAVARD,TAYLOR,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
087,STORMONT--DUNDAS--SOUTH GLENGA,2,76,14,51,9,"South Glengarry",001, ,0,1,0,153,332,"École élémentaire catholique de L'Ange-Gardien",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,112,23,87,15,"South Glengarry",002, ,1,1,0,239,446,"École élémentaire catholique de L'Ange-Gardien",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,3,102,11,98,20,"North Stormont",003, ,3,0,0,237,425,"École élémentaire catholique La Source",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,55,3,20,5,"South Glengarry",004, ,1,0,0,85,237,"Green Valley Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,4,94,9,90,15,"North Stormont",005, ,1,0,0,213,421,"École élémentaire catholique La Source",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,49,7,35,3,"South Glengarry",007, ,1,1,0,97,157,"Green Valley Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,71,9,85,7,"South Glengarry",008, ,1,0,0,174,421,"S.J. McLeod Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,45,5,74,11,"North Stormont",009, ,0,0,0,135,324,"École élémentaire catholique La Source",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,98,21,104,14,"South Glengarry",010, ,1,1,0,240,498,"Green Valley Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,70,8,56,11,"South Glengarry",011, ,0,2,0,147,358,"S.J. McLeod Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,48,7,44,5,"South Glengarry",012, ,1,0,0,106,238,"S.J. McLeod Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,91,9,61,18,"Crysler",013, ,1,1,0,181,312,"Crysler Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,......................COMBINED WITH POLL 013 ....................,,,,,"North Stormont",014s, ,,,,,,"Crysler Residence",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,5,110,11,102,8,"Crysler",015, ,1,0,0,237,462,"Crysler Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,77,8,68,9,"North Stormont",016, ,0,0,0,163,360,"Avonmore Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,55,6,48,9,"Bonville",017, ,0,1,0,119,307,"Bonville Lions' Club",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,70,14,93,11,"South Glengarry",018, ,0,1,0,189,371,"Martintown Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,72,10,99,14,"South Glengarry",019, ,0,0,0,195,465,"Martintown Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,101,21,106,12,"South Glengarry",020, ,0,0,0,242,518,"Charlottenburgh and Lancaster District High School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,52,4,59,2,"South Glengarry",021, ,1,0,0,119,304,"S.J. McLeod Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,34,8,94,6,"North Dundas",022, ,0,0,0,142,323,"Winchester Township Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,46,8,74,7,"Crysler",023, ,0,0,0,135,285,"Crysler Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,43,12,55,12,"Finch",024, ,0,0,0,123,247,"Finch Seniors' Hall",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,74,8,65,9,"North Stormont",025, ,0,0,1,157,382,"Avonmore Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,99,16,78,11,"South Glengarry",026, ,1,0,0,205,382,"Charlottenburgh and Lancaster District High School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,12,3,4,1,"South Glengarry",027s, ,3,0,0,23,69,"Chateau Gardens",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,52,3,48,8,"Lancaster",028, ,1,0,0,114,292,"Glengarry Outreach Senior Services",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,80,8,49,5,"Lancaster",029, ,0,0,0,142,324,"Glengarry Outreach Senior Services",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,58,9,45,8,"South Glengarry",030, ,0,0,0,121,266,"St. Andrews Presbyterian Church Canada",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,3,91,14,111,18,"North Dundas",031, ,1,0,0,238,472,"Winchester Township Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,46,9,80,9,"Finch",032, ,0,0,0,144,281,"Finch Seniors' Hall",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,71,11,94,11,"Finch",033, ,0,2,0,190,376,"Finch Seniors' Hall",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,5,56,4,61,19,"North Stormont",034, ,2,0,0,147,335,"Avonmore Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,121,14,68,13,"Bonville",035, ,0,0,0,216,472,"Bonville Lions' Club",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,93,8,79,8,"South Glengarry",036, ,0,0,0,189,331,"Martintown Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,91,8,68,5,"South Glengarry",037, ,1,0,0,174,448,"Charlottenburgh and Lancaster District High School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,56,8,46,5,"South Glengarry",038, ,0,0,0,116,321,"St. Andrews Presbyterian Church Canada",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,55,9,89,11,"North Dundas",039, ,0,0,0,164,392,"Winchester Township Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,55,3,93,9,"Finch",040, ,0,0,0,160,328,"Finch Seniors' Hall",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,67,6,90,16,"South Stormont",041, ,0,0,0,181,386,"Newington Fire Hall",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,75,6,56,4,"Bonville",042, ,1,0,0,142,301,"Bonville Lions' Club",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,59,6,51,6,"South Stormont",043, ,1,0,0,125,283,"St. Andrew's Church",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,97,5,65,5,"South Stormont",044, ,0,0,0,173,341,"St. Andrew's Church",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,96,3,42,9,"South Glengarry",045, ,0,0,0,151,334,"Holy Trinity Catholic Secondary School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,77,3,53,14,"South Glengarry",046, ,1,0,0,149,344,"Holy Trinity Catholic Secondary School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,93,8,73,9,"Cornwall",047, ,0,1,0,184,395,"Salem United Church Trustees",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,40,6,91,13,"North Dundas",048, ,0,0,0,152,320,"Winchester Township Community Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,48,10,84,10,"North Dundas",049, ,1,1,0,154,316,"Legion Hall - Chesterville",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,77,12,108,21,"North Dundas",050, ,0,0,0,218,382,"Legion Hall - Chesterville",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,57,9,90,8,"North Dundas",051, ,3,0,0,168,293,"Legion Hall - Chesterville",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,5,77,5,60,16,"South Stormont",052, ,1,0,0,164,404,"St. Andrew's Church",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,114,7,78,14,"South Stormont",053, ,0,0,0,213,465,"St. Andrew's Church",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,125,5,66,17,"South Stormont",054, ,0,1,0,215,361,"École élémentaire catholique Sainte-Lucie",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,6,101,9,70,13,"South Stormont",055, ,0,0,0,199,379,"École élémentaire catholique Sainte-Lucie",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,5,77,2,35,14,"Cornwall",056, ,0,1,0,134,257,"Eamers Corners Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,101,4,64,19,"Cornwall",057, ,0,1,0,189,353,"Eamers Corners Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,106,6,57,16,"Cornwall",058, ,0,0,0,185,411,"Eamers Corners Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,61,6,73,14,"South Stormont",059, ,0,0,0,154,286,"École élémentaire catholique Sainte-Lucie",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,90,6,71,12,"Cornwall",060, ,0,0,0,180,443,"Eamers Corners Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,44,9,30,14,"Cornwall",061, ,0,0,0,99,296,"Seaway Senior Citizens Centre",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,116,6,74,12,"South Glengarry",062, ,0,0,0,209,414,"Holy Trinity Catholic Secondary School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,124,14,70,17,"South Glengarry",063, ,2,1,0,228,473,"Holy Trinity Catholic Secondary School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,89,4,67,11,"South Glengarry",064, ,0,0,0,171,318,"Holy Trinity Catholic Secondary School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,2,0,3,0,"Akwesasne",065, ,0,0,0,5,55,"Tsi Ionkwanonhsote",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,36,14,129,16,"North Dundas",066, ,0,1,0,196,456,"Inkerman Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,58,4,97,13,"North Dundas",067, ,0,0,0,172,318,"Winchester Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,66,4,101,16,"North Dundas",068, ,1,0,0,190,333,"Winchester Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,3,11,4,26,5,"North Dundas",069s, ,0,0,2,51,113,"Manoir Dundas Nursing Home",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,......................COMBINED WITH POLL 069s ....................,,,,,"North Dundas",070s, ,,,,,,"Winchester District Memorial Hospital",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,46,9,64,6,"North Dundas",071, ,0,1,0,126,273,"Winchester Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,21,2,55,12,"North Dundas",072, ,0,0,0,90,189,"Winchester Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,32,12,75,10,"North Dundas",073, ,0,0,0,129,300,"Winchester Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,45,10,89,13,"North Dundas",074, ,0,0,0,157,317,"Winchester Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,61,7,113,8,"North Dundas",075, ,0,0,0,190,368,"Winchester Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,3,65,11,102,11,"North Dundas",076, ,1,0,0,193,355,"Legion Hall - Chesterville",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,78,12,123,16,"South Stormont",077, ,0,0,0,230,436,"Newington Fire Hall",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,95,6,104,13,"Long Sault",078, ,1,0,0,220,458,"Anglican-Christ Church",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,181,6,86,12,"Long Sault",079, ,0,0,0,287,502,"Anglican-Christ Church",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,110,11,73,8,"Long Sault",080, ,2,0,0,205,401,"Anglican-Christ Church",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,30,4,32,6,"Cornwall",081, ,0,0,0,73,211,"Best Western Parkway Inn",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,115,4,55,12,"Cornwall",082, ,1,2,0,189,431,"Best Western Parkway Inn",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,102,5,63,15,"Cornwall",083, ,1,1,0,187,434,"Best Western Parkway Inn",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,78,5,47,18,"Cornwall",084, ,0,1,0,150,355,"Eamers Corners Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,13,1,2,1,"Cornwall",085s, ,0,0,0,17,34,"Heritage Manor",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,90,4,39,13,"Cornwall",086, ,2,3,0,152,404,"Best Western Parkway Inn",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,149,10,64,22,"Cornwall",087, ,0,0,0,245,524,"Best Western Parkway Inn",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,143,7,68,25,"Cornwall",088, ,0,0,0,244,507,"École élémentaire catholique Notre Dame",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,43,4,23,17,"Cornwall",089, ,0,0,0,87,232,"Best Western Parkway Inn",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,22,6,13,2,"Cornwall",090s, ,1,0,0,44,84,"Sandfield Place",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,113,7,85,6,"Cornwall",091, ,2,1,0,214,395,"Eamers Corners Public School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,67,4,27,15,"Cornwall",092, ,0,0,0,114,334,"Ramada Inn",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,65,3,31,12,"Cornwall",093, ,3,0,0,115,308,"École élémentaire catholique Notre Dame",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,69,3,30,28,"Cornwall",094, ,1,0,0,133,368,"École élémentaire catholique Notre Dame",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,2,46,4,48,10,"Cornwall",095, ,2,0,0,112,295,"École élémentaire catholique Notre Dame",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,0,87,4,41,12,"Cornwall",096, ,1,1,0,146,303,"Sacred Heart Catholic Elementary School",20071010
087,STORMONT--DUNDAS--SOUTH GLENGA,1,103,4,38,9,"Cornwall",097, ,1,0,0,156,392,"École élémentaire catholique Notre Dame",20071010
