ED_CODE,ED_NAME,BARTOLUCCI,BATTAINO,DELONGCHAMP,MURPHY-MARKETOS,POPESCU,SYLVESTRE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
088,SUDBURY,80,35,8,0,0,4,"Sudbury",001, ,4,0,0,131,342,"Club Amical Du New Sudbury",20071010
088,SUDBURY,93,40,13,0,0,7,"Sudbury",002, ,0,0,0,153,336,"Club Amical Du New Sudbury",20071010
088,SUDBURY,35,33,3,0,1,2,"Sudbury",003, ,0,0,0,74,263,"Carl A. Nesbitt Public School",20071010
088,SUDBURY,119,46,11,3,1,16,"Sudbury",004, ,0,0,0,196,369,"Carl A. Nesbitt Public School",20071010
088,SUDBURY,162,28,27,0,0,5,"Sudbury",005, ,0,0,0,222,431,"Church of the Ascension",20071010
088,SUDBURY,62,35,4,0,0,0,"Sudbury",006, ,0,0,0,101,287,"Cyril Varney Public School",20071010
088,SUDBURY,150,53,9,0,0,8,"Sudbury",007, ,0,2,0,222,464,"Cyril Varney Public School",20071010
088,SUDBURY,116,44,11,2,0,10,"Sudbury",008, ,0,1,0,184,372,"Cyril Varney Public School",20071010
088,SUDBURY,126,76,16,3,3,7,"Sudbury",009, ,0,0,0,231,434,"Cyril Varney Public School",20071010
088,SUDBURY,104,45,22,7,2,9,"Sudbury",010, ,2,0,0,191,411,"Cyril Varney Public School",20071010
088,SUDBURY,45,36,6,2,0,2,"Sudbury",011, ,0,0,0,91,229,"Elm West Playground",20071010
088,SUDBURY,119,28,15,2,0,5,"Sudbury",012, ,0,0,0,169,384,"École secondaire Macdonald-Cartier",20071010
088,SUDBURY,91,48,7,2,2,9,"Sudbury",013, ,1,0,0,160,375,"Club Amical Du New Sudbury",20071010
088,SUDBURY,126,34,26,1,0,19,"Sudbury",014, ,1,0,0,207,429,"Club Amical Du New Sudbury",20071010
088,SUDBURY,128,52,13,3,0,10,"Sudbury",015, ,1,1,0,208,373,"Club Amical Du New Sudbury",20071010
088,SUDBURY,173,45,19,1,2,8,"Sudbury",016, ,0,0,0,248,444,"Club Amical Du New Sudbury",20071010
088,SUDBURY,74,23,10,0,0,3,"Sudbury",017, ,2,0,0,112,176,"Carl A. Nesbitt Public School",20071010
088,SUDBURY,69,37,6,0,0,0,"Sudbury",018, ,1,0,0,113,266,"Carl A. Nesbitt Public School",20071010
088,SUDBURY,117,40,11,2,0,8,"Sudbury",019, ,5,1,0,184,372,"Carl A. Nesbitt Public School",20071010
088,SUDBURY,58,24,6,0,0,2,"Sudbury",020, ,0,0,0,90,168,"Carl A. Nesbitt Public School",20071010
088,SUDBURY,69,38,15,0,0,4,"Sudbury",021A, ,0,0,0,126,309,"Church of the Ascension",20071010
088,SUDBURY,69,35,4,0,0,11,"Sudbury",021B, ,0,0,0,119,296,"Church of the Ascension",20071010
088,SUDBURY,115,39,33,0,0,6,"Sudbury",022, ,0,0,0,193,408,"Church of the Ascension",20071010
088,SUDBURY,39,3,9,1,1,0,"Sudbury",023s, ,2,0,1,56,76,"Lasalle Residence",20071010
088,SUDBURY,113,36,9,0,1,6,"Sudbury",024, ,0,0,0,165,406,"Church of the Ascension",20071010
088,SUDBURY,114,41,7,3,1,4,"Sudbury",025, ,1,0,0,171,403,"Church of the Ascension",20071010
088,SUDBURY,104,57,10,1,0,10,"Sudbury",026, ,1,0,0,183,343,"Cyril Varney Public School",20071010
088,SUDBURY,87,36,9,1,1,4,"Sudbury",027A, ,1,0,0,139,267,"Cyril Varney Public School",20071010
088,SUDBURY,89,31,12,0,0,3,"Sudbury",027B, ,0,0,0,135,273,"Cyril Varney Public School",20071010
088,SUDBURY,76,53,9,0,0,5,"Sudbury",028, ,0,0,0,143,379,"St. Charles College",20071010
088,SUDBURY,96,67,2,6,0,6,"Sudbury",029, ,0,1,0,178,417,"St. Charles College",20071010
088,SUDBURY,37,31,4,0,0,7,"Sudbury",030A, ,0,0,0,79,285,"École secondaire Macdonald-Cartier",20071010
088,SUDBURY,55,39,7,1,1,2,"Sudbury",030B, ,0,0,0,105,375,"École secondaire Macdonald-Cartier",20071010
088,SUDBURY,94,37,7,2,3,2,"Sudbury",031s, ,2,6,0,153,366,"Pioneer Manor",20071010
088,SUDBURY,54,32,8,0,0,2,"Sudbury",032, ,0,0,0,96,299,"École secondaire Macdonald-Cartier",20071010
088,SUDBURY,32,26,2,0,1,3,"Sudbury",033, ,1,0,0,65,175,"École séparée Félix-Ricard",20071010
088,SUDBURY,28,15,1,0,0,3,"Sudbury",034, ,0,0,0,47,119,"École séparée Félix-Ricard",20071010
088,SUDBURY,93,34,12,0,0,5,"Sudbury",035, ,0,0,0,144,262,"St. Raphael School",20071010
088,SUDBURY,35,15,10,0,1,4,"Sudbury",036, ,2,0,0,67,158,"Carl A. Nesbitt Public School",20071010
088,SUDBURY,58,29,10,0,0,2,"Sudbury",037, ,0,0,0,99,236,"St. Raphael School",20071010
088,SUDBURY,110,45,9,1,2,3,"Sudbury",038, ,0,0,0,170,359,"St. Raphael School",20071010
088,SUDBURY,129,35,15,0,0,3,"Sudbury",039, ,0,0,0,182,342,"Churchill Public School",20071010
088,SUDBURY,122,50,14,0,1,7,"Sudbury",040, ,0,0,0,194,365,"Churchill Public School",20071010
088,SUDBURY,102,62,17,0,0,12,"Sudbury",041, ,2,0,0,195,410,"Churchill Public School",20071010
088,SUDBURY,33,26,4,1,0,3,"Sudbury",042, ,0,0,0,67,259,"St. Charles College",20071010
088,SUDBURY,68,32,10,0,0,3,"Sudbury",043, ,0,0,0,113,251,"Queen Elizabeth Public School",20071010
088,SUDBURY,50,26,1,0,1,3,"Sudbury",044, ,0,0,0,81,168,"Balmoral Apartment",20071010
088,SUDBURY,92,39,17,2,0,5,"Sudbury",045, ,1,0,0,156,337,"École secondaire Macdonald-Cartier",20071010
088,SUDBURY,102,37,7,4,2,4,"Sudbury",046, ,0,0,0,156,367,"École séparée Félix-Ricard",20071010
088,SUDBURY,103,22,11,0,0,5,"Sudbury",047A, ,0,0,0,141,249,"St. Raphael School",20071010
088,SUDBURY,91,29,9,2,0,6,"Sudbury",047B, ,0,0,0,137,266,"St. Raphael School",20071010
088,SUDBURY,118,43,23,1,0,8,"Sudbury",048, ,0,0,0,193,401,"St. Raphael School",20071010
088,SUDBURY,169,36,19,0,0,12,"Sudbury",049, ,0,0,0,236,438,"Westmount Retirement Residence",20071010
088,SUDBURY,138,32,15,0,0,9,"Sudbury",050, ,2,0,0,196,389,"St. Raphael School",20071010
088,SUDBURY,37,14,7,0,0,1,"Sudbury",051s, ,1,0,0,60,90,"Westmount Retirement Residence",20071010
088,SUDBURY,33,28,7,2,0,2,"Sudbury",052, ,1,0,0,73,249,"Westmount Avenue Public School",20071010
088,SUDBURY,105,35,25,3,0,11,"Sudbury",053, ,4,0,0,183,350,"Westmount Avenue Public School",20071010
088,SUDBURY,130,40,11,1,0,7,"Sudbury",054, ,0,0,0,189,359,"Churchill Public School",20071010
088,SUDBURY,94,23,16,1,0,5,"Sudbury",055, ,0,0,0,139,396,"St. Charles College",20071010
088,SUDBURY,144,53,12,0,1,10,"Sudbury",056, ,0,0,0,220,297,"St. Charles College",20071010
088,SUDBURY,81,47,8,0,0,4,"Sudbury",057, ,0,0,0,140,307,"Elm West Playground",20071010
088,SUDBURY,21,21,2,4,0,7,"Sudbury",058, ,0,0,0,55,197,"Grace Family Church",20071010
088,SUDBURY,6,9,0,1,0,1,"Sudbury",059, ,0,0,0,17,119,"Queen Elizabeth Public School",20071010
088,SUDBURY,35,28,8,0,0,3,"Sudbury",060, ,1,0,0,75,220,"Grace Family Church",20071010
088,SUDBURY,82,33,13,7,0,1,"Sudbury",061, ,0,0,0,136,308,"Queen Elizabeth Public School",20071010
088,SUDBURY,42,25,1,1,0,0,"Sudbury",062, ,0,0,0,69,128,"Tiffany Apartments",20071010
088,SUDBURY,24,29,8,0,0,2,"Sudbury",063, ,0,0,0,63,233,"Grace Family Church",20071010
088,SUDBURY,45,28,2,1,0,8,"Sudbury",064, ,1,0,0,85,230,"Queen Elizabeth Public School",20071010
088,SUDBURY,26,46,1,0,2,2,"Sudbury",065, ,0,0,0,77,230,"Balmoral Apartment",20071010
088,SUDBURY,37,25,1,1,1,4,"Sudbury",066, ,0,0,0,69,212,"École séparée St-Joseph",20071010
088,SUDBURY,50,31,9,1,0,5,"Sudbury",067, ,0,0,0,96,322,"Balmoral Apartment",20071010
088,SUDBURY,43,20,5,2,1,3,"Sudbury",068, ,0,0,0,74,220,"École séparée St-Joseph",20071010
