ED_CODE,ED_NAME,HELFERTY,KIDD,KING,KOJOKARO,PARROTT,RACCO,SHURMAN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
089,THORNHILL,7,2,0,1,2,64,107,"Vaughan",001, ,1,1,0,185,396,"Stephen Lewis Secondary School",20071010
089,THORNHILL,5,0,1,0,4,50,70,"Vaughan",002, ,0,0,0,130,298,"Stephen Lewis Secondary School",20071010
089,THORNHILL,9,1,0,1,4,37,74,"Vaughan",003, ,0,0,0,126,328,"Thornhill Woods Public School",20071010
089,THORNHILL,5,1,0,0,4,6,1,"Vaughan",004s, ,0,0,0,17,21,"Hesperus Fellowship Community",20071010
089,THORNHILL,4,0,1,0,5,58,14,"Markham",005, ,0,1,0,83,376,"St. Robert Catholic High School",20071010
089,THORNHILL,3,0,0,1,8,29,16,"Markham",006, ,0,1,0,58,276,"St. Robert Catholic High School",20071010
089,THORNHILL,6,0,2,0,3,32,31,"Markham",007, ,0,1,0,75,332,"St. Robert Catholic High School",20071010
089,THORNHILL,3,1,1,4,10,90,42,"Vaughan",008, ,0,0,0,151,370,"Forest Run Public School",20071010
089,THORNHILL,11,1,1,2,13,74,50,"Vaughan",009, ,0,1,0,153,377,"Forest Run Public School",20071010
089,THORNHILL,6,0,1,1,11,68,60,"Vaughan",010, ,1,1,0,149,428,"Forest Run Public School",20071010
089,THORNHILL,7,0,0,0,19,94,72,"Vaughan",011, ,0,0,0,192,488,"Forest Run Public School",20071010
089,THORNHILL,11,1,0,0,8,52,46,"Vaughan",012, ,0,0,0,118,303,"Forest Run Public School",20071010
089,THORNHILL,3,0,0,1,12,82,68,"Vaughan",013, ,1,1,0,168,397,"Forest Run Public School",20071010
089,THORNHILL,..........................NO POLL HELD........................,,,,,,,"Vaughan",014, ,0,0,0,0,0,"",20071010
089,THORNHILL,4,0,0,1,10,61,116,"Vaughan",015, ,1,0,0,193,392,"Stephen Lewis Secondary School",20071010
089,THORNHILL,3,2,0,0,5,68,85,"Vaughan",016, ,1,0,0,164,337,"Stephen Lewis Secondary School",20071010
089,THORNHILL,8,1,0,0,3,39,54,"Vaughan",017, ,1,0,0,106,248,"Stephen Lewis Secondary School",20071010
089,THORNHILL,5,0,0,2,2,30,78,"Vaughan",018, ,0,1,0,118,319,"Thornhill Woods Public School",20071010
089,THORNHILL,1,1,0,0,1,23,96,"Vaughan",019, ,0,0,0,122,280,"Thornhill Woods Public School",20071010
089,THORNHILL,6,1,0,0,5,51,101,"Vaughan",020, ,1,0,0,165,398,"Thornhill Woods Public School",20071010
089,THORNHILL,7,0,0,1,4,57,77,"Vaughan",021, ,0,0,1,147,336,"Thornhill Woods Public School",20071010
089,THORNHILL,16,3,1,2,18,101,53,"Markham",022, ,0,0,0,194,387,"Stornoway Crescent Public School",20071010
089,THORNHILL,23,0,0,0,10,90,111,"Markham",023, ,1,3,0,238,465,"Willowbrook Public School",20071010
089,THORNHILL,14,0,0,0,10,111,105,"Markham",024, ,0,2,0,242,560,"St. Robert Catholic High School",20071010
089,THORNHILL,5,1,0,1,14,99,47,"Vaughan",025, ,1,0,0,168,392,"Forest Run Public School",20071010
089,THORNHILL,12,1,0,5,8,91,53,"Vaughan",026, ,2,1,0,173,453,"Forest Run Public School",20071010
089,THORNHILL,6,2,0,0,3,74,63,"Vaughan",027, ,1,0,0,149,395,"Forest Run Public School",20071010
089,THORNHILL,3,0,1,1,16,82,75,"Vaughan",028, ,0,1,0,179,421,"Stephen Lewis Secondary School",20071010
089,THORNHILL,7,1,0,2,8,75,95,"Vaughan",029, ,0,0,0,188,371,"Stephen Lewis Secondary School",20071010
089,THORNHILL,5,0,1,0,0,48,73,"Vaughan",030, ,0,1,0,128,277,"Stephen Lewis Secondary School",20071010
089,THORNHILL,8,0,0,0,1,64,92,"Vaughan",031, ,0,1,0,166,349,"Stephen Lewis Secondary School",20071010
089,THORNHILL,2,0,0,0,7,81,73,"Vaughan",032, ,0,0,0,163,343,"Thornhill Woods Public School",20071010
089,THORNHILL,16,0,0,0,13,97,106,"Markham",033, ,1,2,0,235,402,"St. Anthony Catholic School",20071010
089,THORNHILL,23,1,1,0,13,123,106,"Markham",034, ,1,0,0,268,454,"Stornoway Crescent Public School",20071010
089,THORNHILL,22,1,0,0,24,88,71,"Markham",035, ,0,0,0,206,395,"Stornoway Crescent Public School",20071010
089,THORNHILL,17,0,0,1,8,88,80,"Markham",036, ,1,1,0,196,516,"Willowbrook Public School",20071010
089,THORNHILL,10,0,0,2,18,125,108,"Markham",037, ,2,0,1,266,472,"Willowbrook Public School",20071010
089,THORNHILL,9,0,0,1,6,119,110,"Markham",038, ,0,0,0,245,480,"Willowbrook Public School",20071010
089,THORNHILL,5,0,1,3,6,39,55,"Markham",039A, ,0,0,0,109,274,"St. Robert Catholic High School",20071010
089,THORNHILL,7,0,2,0,8,46,90,"Markham",039B, ,1,0,0,154,291,"St. Robert Catholic High School",20071010
089,THORNHILL,9,0,1,0,8,92,86,"Markham",040, ,0,1,0,197,484,"St. Robert Catholic High School",20071010
089,THORNHILL,7,0,0,0,4,73,142,"Markham",041, ,0,1,0,227,542,"St. Robert Catholic High School",20071010
089,THORNHILL,11,1,0,0,8,88,82,"Markham",042, ,0,0,0,190,519,"St. Robert Catholic High School",20071010
089,THORNHILL,1,0,1,0,8,65,42,"Markham",043A, ,1,1,0,119,303,"St. Robert Catholic High School",20071010
089,THORNHILL,4,1,0,0,8,77,56,"Markham",043B, ,0,0,0,146,323,"St. Robert Catholic High School",20071010
089,THORNHILL,4,0,1,1,20,118,43,"Vaughan",044, ,0,0,1,188,475,"Forest Run Public School",20071010
089,THORNHILL,14,0,2,1,12,82,59,"Vaughan",045, ,1,0,0,171,414,"Forest Run Public School",20071010
089,THORNHILL,24,1,0,0,6,43,95,"Vaughan",046, ,0,0,0,169,395,"Bakersfield Public School",20071010
089,THORNHILL,12,0,0,0,5,71,85,"Vaughan",047, ,1,0,0,174,410,"Bakersfield Public School",20071010
089,THORNHILL,7,2,0,0,5,82,122,"Vaughan",048, ,0,1,0,219,407,"Bakersfield Public School",20071010
089,THORNHILL,14,1,0,0,10,53,76,"Vaughan",049, ,0,0,0,154,327,"Bakersfield Public School",20071010
089,THORNHILL,3,0,2,0,9,58,98,"Vaughan",050, ,0,0,0,170,371,"Thornhill Woods Public School",20071010
089,THORNHILL,5,0,0,1,1,22,109,"Vaughan",051, ,0,0,0,138,346,"Rosedale Heights Public School",20071010
089,THORNHILL,13,0,0,0,12,75,96,"Markham",052, ,0,1,0,197,375,"Baythorn Public School",20071010
089,THORNHILL,21,3,0,0,7,95,62,"Markham",053, ,0,0,0,188,373,"Baythorn Public School",20071010
089,THORNHILL,12,0,0,1,16,84,55,"Markham",054, ,1,0,0,169,382,"Baythorn Public School",20071010
089,THORNHILL,28,0,0,0,13,102,73,"Markham",055, ,0,0,1,217,467,"Baythorn Public School",20071010
089,THORNHILL,15,0,0,0,15,107,84,"Markham",056, ,1,0,0,222,413,"St. Anthony Catholic School",20071010
089,THORNHILL,23,0,0,0,8,126,61,"Markham",057, ,0,1,0,219,440,"St. Anthony Catholic School",20071010
089,THORNHILL,20,0,1,1,28,69,54,"Markham",058, ,1,0,0,174,373,"Stornoway Crescent Public School",20071010
089,THORNHILL,13,0,0,1,11,125,93,"Markham",059, ,1,4,0,248,499,"Willowbrook Public School",20071010
089,THORNHILL,9,0,0,1,14,123,79,"Markham",060, ,1,1,0,228,453,"Willowbrook Public School",20071010
089,THORNHILL,25,1,0,0,10,112,120,"Markham",061, ,1,0,0,269,541,"Willowbrook Public School",20071010
089,THORNHILL,15,0,0,0,9,84,86,"Markham",062, ,1,0,0,195,430,"Johnsview Village Public School",20071010
089,THORNHILL,12,1,1,2,5,105,79,"Markham",063, ,0,3,0,208,505,"Johnsview Village Public School",20071010
089,THORNHILL,9,0,0,1,5,85,94,"Markham",064, ,0,0,1,195,513,"Flowervale Public School",20071010
