ED_CODE,ED_NAME,AEGARD,JOHNSON,MAURO,RAFFERTY,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
090,THUNDER BAY--ATIKOKAN,5,70,46,43,"Upsala",001, ,0,0,0,164,180,"Upsala Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,..........................NO POLL HELD........................,,,,"Upsala",002, ,0,0,0,0,0,"",20071010
090,THUNDER BAY--ATIKOKAN,1,8,50,85,"Atikokan",003, ,2,0,0,146,286,"Atikokan Native Friendship Centre",20071010
090,THUNDER BAY--ATIKOKAN,3,23,65,59,"Atikokan",004, ,0,0,0,150,339,"Canadian Legion #145",20071010
090,THUNDER BAY--ATIKOKAN,1,9,26,54,"Atikokan",005, ,0,0,0,90,234,"Canadian Legion #145",20071010
090,THUNDER BAY--ATIKOKAN,3,17,29,50,"Atikokan",006, ,0,0,0,99,275,"Canadian Legion #145",20071010
090,THUNDER BAY--ATIKOKAN,3,12,24,20,"Atikokan",007, ,0,0,0,59,184,"Canadian Legion #145",20071010
090,THUNDER BAY--ATIKOKAN,3,25,49,82,"Atikokan",008, ,0,0,0,159,340,"Atikokan Native Friendship Centre",20071010
090,THUNDER BAY--ATIKOKAN,5,24,77,82,"Atikokan",009, ,0,0,0,188,449,"Atikokan Native Friendship Centre",20071010
090,THUNDER BAY--ATIKOKAN,0,3,5,1,"Atikokan",010s, ,0,0,1,10,27,"Atikokan General Hospital",20071010
090,THUNDER BAY--ATIKOKAN,7,9,33,67,"Atikokan",011, ,0,0,0,116,310,"Atikokan Native Friendship Centre",20071010
090,THUNDER BAY--ATIKOKAN,0,1,5,6,"Atikokan",012, ,0,0,0,12,23,"Atikokan Native Friendship Centre",20071010
090,THUNDER BAY--ATIKOKAN,..........................NO POLL HELD........................,,,,"Atikokan",013, ,0,0,0,0,0,"",20071010
090,THUNDER BAY--ATIKOKAN,0,5,4,2,"Raith",014, ,0,0,0,11,50,"Julie Vacca Residence",20071010
090,THUNDER BAY--ATIKOKAN,......................COMBINED WITH POLL 001 ....................,,,,"Shebandowan",015, ,,,,,,"Shebandowan Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,6,27,24,35,"Atikokan",016, ,0,0,0,92,190,"Niobe Lake Fire Hall",20071010
090,THUNDER BAY--ATIKOKAN,2,4,11,22,"Kakabeka Falls",017, ,0,0,0,39,108,"Conmee Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,8,25,27,23,"Kakabeka Falls",018, ,0,0,0,83,140,"Conmee Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,7,35,23,38,"Kakabeka Falls",019, ,0,1,0,104,210,"Conmee Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,12,41,69,59,"Murillo",020, ,0,0,0,181,369,"Murillo Community Hall",20071010
090,THUNDER BAY--ATIKOKAN,8,63,46,65,"Murillo",021, ,1,0,0,183,357,"Townline Barn",20071010
090,THUNDER BAY--ATIKOKAN,11,28,35,50,"Thunder Bay",022, ,0,0,0,124,296,"North McIntyre Recreation Centre",20071010
090,THUNDER BAY--ATIKOKAN,11,44,48,56,"Thunder Bay",023, ,0,1,0,160,399,"Five Mile Public School",20071010
090,THUNDER BAY--ATIKOKAN,11,29,42,51,"Thunder Bay",024, ,0,1,0,134,351,"North McIntyre Recreation Centre",20071010
090,THUNDER BAY--ATIKOKAN,9,41,64,47,"Thunder Bay",025, ,0,0,0,161,369,"North McIntyre Recreation Centre",20071010
090,THUNDER BAY--ATIKOKAN,3,33,62,48,"Thunder Bay",026, ,0,2,0,148,321,"Five Mile Public School",20071010
090,THUNDER BAY--ATIKOKAN,5,37,52,58,"Thunder Bay",027, ,0,1,0,153,321,"Five Mile Public School",20071010
090,THUNDER BAY--ATIKOKAN,2,42,79,43,"Thunder Bay",028, ,0,0,0,166,392,"Five Mile Public School",20071010
090,THUNDER BAY--ATIKOKAN,4,26,26,29,"Thunder Bay",029, ,0,0,0,85,204,"Five Mile Public School",20071010
090,THUNDER BAY--ATIKOKAN,1,11,25,22,"Thunder Bay",030, ,0,1,0,60,159,"Five Mile Public School",20071010
090,THUNDER BAY--ATIKOKAN,4,31,36,44,"Thunder Bay",031, ,1,0,0,116,261,"Five Mile Public School",20071010
090,THUNDER BAY--ATIKOKAN,9,25,16,37,"Kakabeka Falls",032, ,0,0,0,87,190,"O'Connor Municipal Building",20071010
090,THUNDER BAY--ATIKOKAN,6,60,35,40,"Kakabeka Falls",033, ,0,0,0,141,291,"Redeemer Lutheran Church",20071010
090,THUNDER BAY--ATIKOKAN,10,68,44,62,"Murillo",034, ,0,1,0,185,387,"Murillo Community Hall",20071010
090,THUNDER BAY--ATIKOKAN,9,52,52,78,"Murillo",035, ,1,0,0,192,491,"Townline Barn",20071010
090,THUNDER BAY--ATIKOKAN,10,43,44,34,"Thunder Bay",036, ,0,0,0,131,319,"Jackpine Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,4,31,49,26,"Thunder Bay",037, ,0,0,0,110,281,"Jackpine Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,7,24,29,32,"Thunder Bay",038, ,1,0,0,93,222,"Woodcrest School",20071010
090,THUNDER BAY--ATIKOKAN,9,45,82,37,"Thunder Bay",039, ,1,0,0,174,352,"Lakehead Baptist Church",20071010
090,THUNDER BAY--ATIKOKAN,13,48,105,56,"Thunder Bay",040, ,0,0,0,222,410,"Woodcrest School",20071010
090,THUNDER BAY--ATIKOKAN,11,44,95,68,"Thunder Bay",041, ,0,1,0,219,505,"Woodcrest School",20071010
090,THUNDER BAY--ATIKOKAN,11,51,109,63,"Thunder Bay",042, ,1,0,6,241,454,"Woodcrest School",20071010
090,THUNDER BAY--ATIKOKAN,5,20,62,42,"Thunder Bay",043, ,0,0,0,129,314,"Woodcrest School",20071010
090,THUNDER BAY--ATIKOKAN,6,37,92,54,"Thunder Bay",044, ,1,0,0,190,413,"Woodcrest School",20071010
090,THUNDER BAY--ATIKOKAN,0,7,20,6,"Nolalu",045, ,0,0,0,33,67,"Nolalu Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,6,46,29,56,"Kakabeka Falls",046, ,0,1,0,138,270,"O'Connor Municipal Building",20071010
090,THUNDER BAY--ATIKOKAN,15,61,46,71,"Kakabeka Falls",047, ,0,0,0,193,404,"Nor-West Arena Recreation Centre",20071010
090,THUNDER BAY--ATIKOKAN,7,68,52,49,"Thunder Bay",048, ,0,0,0,176,370,"Rosslyn Village Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,7,77,80,47,"Thunder Bay",049, ,1,2,0,214,424,"Rosslyn Village Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,12,54,104,77,"Thunder Bay",050, ,0,1,0,248,484,"North Neebing Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,7,53,95,53,"Thunder Bay",051, ,1,0,0,209,426,"West Arthur Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,10,47,88,78,"Thunder Bay",052, ,0,2,0,225,430,"North Neebing Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,6,63,74,47,"Thunder Bay",053, ,0,0,0,190,374,"West Arthur Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,3,20,59,93,"Thunder Bay",054, ,0,0,0,175,364,"North Neebing Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,4,10,22,14,"Thunder Bay",055, ,0,0,0,50,98,"West Arthur Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,7,21,46,43,"Thunder Bay",056, ,0,0,0,117,257,"West Arthur Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,8,40,64,61,"Thunder Bay",057, ,1,0,0,174,381,"Jackpine Community Centre",20071010
090,THUNDER BAY--ATIKOKAN,..........................NO POLL HELD........................,,,,"Thunder Bay",058, ,0,0,0,0,0,"",20071010
090,THUNDER BAY--ATIKOKAN,3,3,13,22,"Thunder Bay",059, ,0,0,0,41,137,"St. Ann's School",20071010
090,THUNDER BAY--ATIKOKAN,8,54,103,88,"Thunder Bay",060, ,0,0,0,253,516,"Valhalla Inn",20071010
090,THUNDER BAY--ATIKOKAN,4,20,58,73,"Thunder Bay",061, ,0,0,0,155,361,"St. Ann's School",20071010
090,THUNDER BAY--ATIKOKAN,1,35,64,41,"Thunder Bay",062, ,0,0,0,141,281,"Valhalla Inn",20071010
090,THUNDER BAY--ATIKOKAN,4,4,29,41,"Thunder Bay",063, ,0,0,0,78,269,"St. Ann's School",20071010
090,THUNDER BAY--ATIKOKAN,1,22,38,77,"Thunder Bay",064, ,2,1,0,141,290,"St. Ann's School",20071010
090,THUNDER BAY--ATIKOKAN,3,28,61,90,"Thunder Bay",065, ,1,2,0,185,377,"St. Ann's School",20071010
090,THUNDER BAY--ATIKOKAN,4,38,36,32,"Thunder Bay",066, ,0,0,0,110,194,"Travelodge (Airlane) Hotel",20071010
090,THUNDER BAY--ATIKOKAN,9,37,103,61,"Thunder Bay",067, ,1,0,0,211,383,"St. Francis Elementary School",20071010
090,THUNDER BAY--ATIKOKAN,5,22,56,63,"Thunder Bay",068, ,1,1,0,148,290,"Broadway United Church",20071010
