ED_CODE,ED_NAME,FOULDS,GRAVELLE,HOBBS,KANNEGIESSER,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
091,THUNDER BAY--SUPERIOR NORTH,4,9,1,1,"Collins",001, ,0,0,0,15,29,"Bernier Stokes Elementary School",20071010
091,THUNDER BAY--SUPERIOR NORTH,35,17,1,1,"Aroland 83",002, ,2,0,0,56,111,"Aroland Health Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,16,35,3,3,"Armstrong",003, ,0,0,0,57,105,"Armstrong Resource Development Corporation",20071010
091,THUNDER BAY--SUPERIOR NORTH,16,48,13,3,"Armstrong",004, ,0,0,0,80,170,"Armstrong Resource Development Corporation",20071010
091,THUNDER BAY--SUPERIOR NORTH,5,13,6,2,"Jellicoe",005, ,1,0,0,27,59,"Neil Arthur Memorial Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,35,42,4,0,"Nakina",006, ,0,0,0,81,178,"Sunrise Club",20071010
091,THUNDER BAY--SUPERIOR NORTH,40,36,5,2,"Nakina",007, ,1,1,0,85,178,"Sunrise Club",20071010
091,THUNDER BAY--SUPERIOR NORTH,47,33,4,2,"Geraldton",008, ,1,0,0,87,213,"Geraldton Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,66,24,5,2,"Longlac",009, ,0,0,0,97,289,"Royal Canadian Legion # 213",20071010
091,THUNDER BAY--SUPERIOR NORTH,16,22,1,1,"Long Lake 58",010, ,1,0,0,41,229,"Long Lake 58 Band Office",20071010
091,THUNDER BAY--SUPERIOR NORTH,98,40,4,2,"Longlac",011, ,0,0,0,144,325,"Royal Canadian Legion # 213",20071010
091,THUNDER BAY--SUPERIOR NORTH,83,37,10,10,"Longlac",012, ,0,0,0,140,308,"Royal Canadian Legion # 213",20071010
091,THUNDER BAY--SUPERIOR NORTH,44,46,12,4,"Beardmore",013, ,0,0,0,106,225,"Beardmore Elementary School",20071010
091,THUNDER BAY--SUPERIOR NORTH,46,50,7,6,"Geraldton",014, ,1,0,0,110,245,"Geraldton Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,105,76,11,8,"Geraldton",015, ,0,0,0,200,389,"Geraldton Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,6,14,1,0,"Geraldton",016s, ,0,0,0,21,31,"Geraldton District Hospital",20071010
091,THUNDER BAY--SUPERIOR NORTH,91,80,10,0,"Geraldton",017, ,0,0,0,181,410,"Geraldton Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,48,34,11,3,"Geraldton",018, ,0,0,0,96,146,"Geraldton Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,72,38,6,3,"Geraldton",019, ,1,0,0,120,288,"Geraldton Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,11,20,2,0,"Longlac",020, ,0,0,0,33,98,"Ginoogaming First Nation Band Office",20071010
091,THUNDER BAY--SUPERIOR NORTH,11,8,0,2,"Caramat",021, ,0,0,0,21,52,"Caramat Community Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,59,28,8,2,"Nipigon",022, ,0,1,0,98,225,"Royal Canadian Legion Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,13,18,1,9,"Gull River 55",023, ,0,0,0,41,116,"Katterri School",20071010
091,THUNDER BAY--SUPERIOR NORTH,13,12,1,2,"MacDiarmid",024, ,0,1,0,29,108,"Rocky Bay First Nation - Medical Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,80,72,11,3,"Longlac",025, ,1,0,0,167,373,"Royal Canadian Legion # 213",20071010
091,THUNDER BAY--SUPERIOR NORTH,3,3,1,0,"Nipigon",026s, ,0,1,0,8,20,"Nipigon District Memorial Hospital",20071010
091,THUNDER BAY--SUPERIOR NORTH,87,31,8,1,"Nipigon",027, ,2,1,0,130,260,"Royal Canadian Legion Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,77,28,4,0,"Nipigon",028, ,0,0,2,111,257,"Royal Canadian Legion Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,90,57,8,2,"Nipigon",029, ,1,0,0,158,323,"Royal Canadian Legion Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,94,41,3,0,"Nipigon",030, ,0,0,0,138,303,"Royal Canadian Legion Hall",20071010
091,THUNDER BAY--SUPERIOR NORTH,52,14,0,2,"Lake Helen",031, ,0,0,0,68,170,"Lake Helen First Nation Resource Centre",20071010
091,THUNDER BAY--SUPERIOR NORTH,116,54,14,3,"Red Rock",032, ,1,1,0,189,372,"St. Hilary Catholic School",20071010
