ED_CODE,ED_NAME,EAST,RAMSAY,SHEARER,VANTHOF,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
092,TIMISKAMING--COCHRANE,5,56,5,38,"Cochrane",001A, ,0,0,0,104,337,"Aileen Wright English Catholic School",20071010
092,TIMISKAMING--COCHRANE,5,48,18,43,"Cochrane",001B, ,0,0,0,114,330,"Aileen Wright English Catholic School",20071010
092,TIMISKAMING--COCHRANE,4,35,17,40,"Cochrane",002, ,3,0,0,99,260,"Aileen Wright English Catholic School",20071010
092,TIMISKAMING--COCHRANE,3,72,9,46,"Cochrane",003, ,1,0,0,131,307,"Aileen Wright English Catholic School",20071010
092,TIMISKAMING--COCHRANE,5,51,14,25,"Cochrane",004, ,0,0,0,95,251,"Aileen Wright English Catholic School",20071010
092,TIMISKAMING--COCHRANE,2,36,6,26,"Cochrane",005, ,0,0,0,70,214,"Aileen Wright English Catholic School",20071010
092,TIMISKAMING--COCHRANE,6,29,6,12,"Cochrane",006, ,0,0,0,53,148,"Aileen Wright English Catholic School",20071010
092,TIMISKAMING--COCHRANE,0,20,4,12,"Cochrane",007, ,0,0,0,36,128,"Aileen Wright English Catholic School",20071010
092,TIMISKAMING--COCHRANE,4,57,5,39,"Cochrane",008, ,1,0,1,107,280,"Tim Horton Event Centre",20071010
092,TIMISKAMING--COCHRANE,3,50,7,51,"Cochrane",009, ,1,1,0,113,343,"Tim Horton Event Centre",20071010
092,TIMISKAMING--COCHRANE,4,60,14,44,"Cochrane",010, ,1,0,0,123,326,"Tim Horton Event Centre",20071010
092,TIMISKAMING--COCHRANE,4,57,9,44,"Cochrane",011, ,0,0,0,114,322,"Tim Horton Event Centre",20071010
092,TIMISKAMING--COCHRANE,2,69,12,57,"Cochrane",012, ,2,0,0,142,368,"Tim Horton Event Centre",20071010
092,TIMISKAMING--COCHRANE,2,74,8,59,"Cochrane",013, ,0,0,0,143,333,"Tim Horton Event Centre",20071010
092,TIMISKAMING--COCHRANE,2,19,9,22,"Cochrane",014, ,0,0,0,52,114,"Tim Horton Event Centre",20071010
092,TIMISKAMING--COCHRANE,3,52,18,57,"Cochrane",015, ,0,0,0,130,297,"Tim Horton Event Centre",20071010
092,TIMISKAMING--COCHRANE,......................COMBINED WITH POLL 015 ....................,,,,"Cochrane",016, ,,,,,,"Tim Horton Event Centre",20071010
092,TIMISKAMING--COCHRANE,..........................NO POLL HELD........................,,,,"Iroquois Falls",017, ,0,0,0,0,0,"",20071010
092,TIMISKAMING--COCHRANE,7,37,17,136,"Porquis Junction",018, ,0,0,0,197,468,"Porquis Agricultural Hall",20071010
092,TIMISKAMING--COCHRANE,4,31,17,102,"Iroquois Falls",019, ,0,0,0,154,448,"Iroquois Falls Secondary School",20071010
092,TIMISKAMING--COCHRANE,1,16,7,89,"Iroquois Falls",020, ,0,0,0,113,280,"Aquatic Fitness Complex",20071010
092,TIMISKAMING--COCHRANE,11,40,10,126,"Iroquois Falls",021, ,0,1,0,188,453,"Aquatic Fitness Complex",20071010
092,TIMISKAMING--COCHRANE,1,26,7,65,"Iroquois Falls",022, ,1,0,0,100,243,"Aquatic Fitness Complex",20071010
092,TIMISKAMING--COCHRANE,1,33,10,84,"Iroquois Falls",023, ,2,0,2,132,350,"Iroquois Falls Secondary School",20071010
092,TIMISKAMING--COCHRANE,0,27,4,51,"Iroquois Falls",024, ,0,0,0,82,196,"Aquatic Fitness Complex",20071010
092,TIMISKAMING--COCHRANE,4,30,6,50,"Iroquois Falls",025, ,3,0,0,93,251,"Iroquois Falls Secondary School",20071010
092,TIMISKAMING--COCHRANE,3,21,15,73,"Iroquois Falls",026, ,1,0,0,113,293,"Aquatic Fitness Complex",20071010
092,TIMISKAMING--COCHRANE,2,24,1,12,"Iroquois Falls",027s, ,0,1,0,40,99,"South Centennial Manor",20071010
092,TIMISKAMING--COCHRANE,3,17,13,55,"Iroquois Falls",028, ,1,0,0,89,221,"Aquatic Fitness Complex",20071010
092,TIMISKAMING--COCHRANE,6,28,10,76,"Iroquois Falls",029, ,1,0,0,121,319,"Iroquois Falls Secondary School",20071010
092,TIMISKAMING--COCHRANE,4,10,13,63,"Monteith",030, ,0,0,0,90,225,"Purdy Residence",20071010
092,TIMISKAMING--COCHRANE,3,10,0,16,"Matheson",031, ,0,0,0,29,56,"Wahgoshig First Nation",20071010
092,TIMISKAMING--COCHRANE,6,52,13,90,"Val Gagné",032, ,0,1,0,162,321,"Val Gagne Community Centre",20071010
092,TIMISKAMING--COCHRANE,2,19,9,27,"Matheson",033, ,1,0,0,58,183,"Family Lodge Incorporated",20071010
092,TIMISKAMING--COCHRANE,1,2,4,2,"Matheson",034s, ,0,0,0,9,12,"Rosedale Centre Long-Term Care",20071010
092,TIMISKAMING--COCHRANE,2,25,20,52,"Matheson",035, ,1,0,0,100,220,"Family Lodge Incorporated",20071010
092,TIMISKAMING--COCHRANE,3,29,30,75,"Matheson",036A, ,0,0,0,137,313,"Family Lodge Incorporated",20071010
092,TIMISKAMING--COCHRANE,5,23,28,53,"Matheson",036B, ,1,2,0,112,274,"Family Lodge Incorporated",20071010
092,TIMISKAMING--COCHRANE,5,12,9,53,"Matheson",037, ,0,0,0,79,171,"Shillington Community Hall",20071010
