ED_CODE,ED_NAME,BISSON,BOUCHER,KIDD,VERNER,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
093,TIMMINS--JAMES BAY,5,1,0,0,"Peawanuck",001, ,1,0,0,7,100,"Matahhamao School",20071010
093,TIMMINS--JAMES BAY,..........................NO POLL HELD........................,,,,"Peawanuck",002, ,0,0,0,0,0,"",20071010
093,TIMMINS--JAMES BAY,59,6,0,4,"Attawapiskat",003, ,0,0,0,69,475,"St. Francis Xavier Recreation Centre",20071010
093,TIMMINS--JAMES BAY,..........................NO POLL HELD........................,,,,"Attawapiskat",004, ,0,0,0,0,0,"",20071010
093,TIMMINS--JAMES BAY,33,4,0,1,"Fort Albany",005, ,0,0,0,38,47,"Mundo Peetabeck Education Authority",20071010
093,TIMMINS--JAMES BAY,..........................NO POLL HELD........................,,,,"Fort Albany",006, ,0,0,0,0,0,"",20071010
093,TIMMINS--JAMES BAY,12,7,0,0,"Ogoki",007, ,1,1,0,21,21,"Band Office Marten Falls",20071010
093,TIMMINS--JAMES BAY,52,23,15,7,"Moosonee",008, ,1,2,0,100,405,"Northern College of Applied Arts & Technology",20071010
093,TIMMINS--JAMES BAY,48,20,5,5,"Moosonee",009, ,0,0,0,78,455,"Northern College of Applied Arts & Technology",20071010
093,TIMMINS--JAMES BAY,..........................NO POLL HELD........................,,,,"Ogoki",010, ,0,0,0,0,0,"",20071010
093,TIMMINS--JAMES BAY,..........................NO POLL HELD........................,,,,"Moosonee",011, ,0,0,0,0,0,"",20071010
093,TIMMINS--JAMES BAY,..........................NO POLL HELD........................,,,,"Moosonee",012, ,0,0,0,0,0,"",20071010
093,TIMMINS--JAMES BAY,64,15,6,9,"Moose Factory",013, ,0,0,0,94,102,"Moose Cree Complex",20071010
093,TIMMINS--JAMES BAY,52,7,3,1,"Kashechewan",014, ,0,0,0,63,332,"Kashechewan Band Office",20071010
093,TIMMINS--JAMES BAY,..........................NO POLL HELD........................,,,,"Kashechewan",015, ,0,0,0,0,0,"",20071010
093,TIMMINS--JAMES BAY,119,79,8,2,"Val Rita",016, ,0,0,0,208,378,"École catholique Ste-Rita",20071010
093,TIMMINS--JAMES BAY,59,57,4,2,"Smooth Rock Falls",017, ,0,0,0,122,307,"Salle des Chevaliers de Colomb",20071010
093,TIMMINS--JAMES BAY,71,81,1,5,"Hearst",018, ,3,0,0,161,351,"École catholique St-Louis",20071010
093,TIMMINS--JAMES BAY,..........................NO POLL HELD........................,,,,"Constance Lake",019, ,0,0,0,0,0,"",20071010
093,TIMMINS--JAMES BAY,55,31,1,1,"Constance Lake",020, ,0,0,0,88,158,"Constance Lake Fire Hall",20071010
093,TIMMINS--JAMES BAY,218,74,4,2,"Mattice",021, ,1,0,0,299,529,"École St-François-Xavier",20071010
093,TIMMINS--JAMES BAY,..........................NO POLL HELD........................,,,,"Val Rita",022, ,0,0,0,0,0,"",20071010
093,TIMMINS--JAMES BAY,..........................NO POLL HELD........................,,,,"Hearst",023, ,0,0,0,0,0,"",20071010
093,TIMMINS--JAMES BAY,136,109,10,3,"Hearst",024, ,1,0,0,259,513,"École catholique St-Louis",20071010
093,TIMMINS--JAMES BAY,15,18,4,5,"Hearst",025s, ,1,1,0,44,84,"Hôpital Notre-Dame Hospital",20071010
093,TIMMINS--JAMES BAY,55,62,4,3,"Hearst",026, ,0,0,0,124,251,"École catholique St-Louis",20071010
