ED_CODE,ED_NAME,AHMED,BOYDEN,FERNANDEZ,GONZÁLEZ,GREEN,LEROUX,MCLEAN,SMITHERMAN,TAYLOR,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
094,TORONTO CENTRE,0,0,0,11,0,1,23,93,87,"Toronto",001, ,1,0,0,216,378,"Our Lady of Perpetual Help Church",20071010
094,TORONTO CENTRE,0,0,0,13,1,0,17,94,90,"Toronto",002, ,1,0,1,217,379,"Our Lady of Perpetual Help Church",20071010
094,TORONTO CENTRE,1,1,0,6,1,0,25,66,111,"Toronto",003, ,0,0,0,211,364,"Our Lady of Perpetual Help School",20071010
094,TORONTO CENTRE,0,0,0,4,2,1,26,64,85,"Toronto",004, ,1,0,0,183,322,"Rosedale United Church",20071010
094,TORONTO CENTRE,0,0,0,19,1,0,30,94,111,"Toronto",005, ,0,0,1,256,427,"Our Lady of Perpetual Help Church",20071010
094,TORONTO CENTRE,0,2,0,7,3,0,29,89,86,"Toronto",006, ,1,0,0,217,361,"Our Lady of Perpetual Help School",20071010
094,TORONTO CENTRE,0,0,0,11,1,0,10,64,99,"Toronto",007, ,0,0,0,185,371,"Our Lady of Perpetual Help Church",20071010
094,TORONTO CENTRE,0,0,0,9,1,0,18,91,105,"Toronto",008, ,2,0,0,226,367,"Our Lady of Perpetual Help School",20071010
094,TORONTO CENTRE,0,0,0,10,1,0,25,83,58,"Toronto",009, ,0,0,0,177,328,"Rosedale United Church",20071010
094,TORONTO CENTRE,0,0,0,1,1,0,19,90,135,"Toronto",010, ,1,0,0,247,404,"Our Lady of Perpetual Help School",20071010
094,TORONTO CENTRE,0,0,0,19,0,0,24,52,46,"Toronto",011, ,1,1,0,143,280,"Rosedale United Church",20071010
094,TORONTO CENTRE,0,6,0,18,1,1,22,121,54,"Toronto",012, ,0,0,1,224,461,"Our Lady of Perpetual Help School",20071010
094,TORONTO CENTRE,0,1,0,11,0,1,26,88,135,"Toronto",013, ,0,1,0,263,445,"Rosedale United Church",20071010
094,TORONTO CENTRE,0,1,0,2,1,0,14,72,115,"Toronto",014, ,0,1,0,206,403,"Rosedale United Church",20071010
094,TORONTO CENTRE,2,0,0,14,1,0,24,91,63,"Toronto",015, ,0,0,0,195,407,"Our Lady of Perpetual Help School",20071010
094,TORONTO CENTRE,0,1,0,8,0,1,17,74,120,"Toronto",016, ,0,0,0,221,362,"Rosedale Junior Public School",20071010
094,TORONTO CENTRE,0,0,0,1,0,0,15,79,109,"Toronto",017, ,0,2,0,206,409,"Rosedale United Church",20071010
094,TORONTO CENTRE,0,0,0,6,1,0,8,62,61,"Toronto",018, ,1,1,0,140,268,"Rosedale Junior Public School",20071010
094,TORONTO CENTRE,0,0,0,19,2,1,12,57,49,"Toronto",019, ,1,3,0,144,331,"Jesse Ketchum Junior and Senior Public School",20071010
094,TORONTO CENTRE,0,0,1,11,1,0,13,60,49,"Toronto",020, ,0,0,0,135,290,"877 Yonge Street - Fellowship Towers",20071010
094,TORONTO CENTRE,1,0,0,5,1,0,11,67,98,"Toronto",021, ,0,0,0,183,349,"Rosedale Junior Public School",20071010
094,TORONTO CENTRE,0,0,0,8,0,0,15,56,63,"Toronto",022, ,0,0,0,142,251,"Rosedale Presbyterian",20071010
094,TORONTO CENTRE,0,0,0,5,1,1,15,37,57,"Toronto",023, ,3,1,0,120,241,"Rosedale Presbyterian",20071010
094,TORONTO CENTRE,0,0,0,15,0,0,25,51,43,"Toronto",024, ,0,0,7,141,326,"877 Yonge Street - Fellowship Towers",20071010
094,TORONTO CENTRE,0,2,0,8,1,0,16,71,63,"Toronto",025, ,0,0,0,161,300,"Rosedale Junior Public School",20071010
094,TORONTO CENTRE,0,0,0,9,1,0,20,81,59,"Toronto",026, ,1,10,0,181,300,"Rosedale Presbyterian",20071010
094,TORONTO CENTRE,0,0,0,13,0,0,23,42,28,"Toronto",027A, ,0,0,1,107,344,"Branksome Hall",20071010
094,TORONTO CENTRE,1,0,0,7,1,0,16,47,38,"Toronto",027B, ,2,0,0,112,325,"Branksome Hall",20071010
094,TORONTO CENTRE,0,0,0,17,0,0,25,84,63,"Toronto",028, ,1,0,1,191,441,"877 Yonge Street - Fellowship Towers",20071010
094,TORONTO CENTRE,0,0,0,11,3,0,7,57,27,"Toronto",029s, ,2,1,0,108,228,"Belmont House",20071010
094,TORONTO CENTRE,0,1,0,22,2,2,7,84,43,"Toronto",030, ,2,1,1,165,291,"877 Yonge Street - Fellowship Towers",20071010
094,TORONTO CENTRE,0,0,0,17,1,0,26,67,44,"Toronto",031, ,0,0,0,155,296,"Branksome Hall",20071010
094,TORONTO CENTRE,0,0,0,5,1,1,18,84,56,"Toronto",032, ,0,0,0,165,340,"Branksome Hall",20071010
094,TORONTO CENTRE,0,0,0,2,0,0,0,8,16,"Toronto",033-1, ,0,0,0,26,96,"Jesse Ketchum Junior and Senior Public School",20071010
094,TORONTO CENTRE,0,0,0,9,1,0,10,37,35,"Toronto",034, ,0,0,0,92,248,"Jesse Ketchum Junior and Senior Public School",20071010
094,TORONTO CENTRE,1,0,1,8,1,0,6,54,36,"Toronto",035, ,0,0,0,107,278,"Jesse Ketchum Junior and Senior Public School",20071010
094,TORONTO CENTRE,0,0,0,18,4,0,11,85,45,"Toronto",036, ,1,0,0,164,343,"877 Yonge Street - Fellowship Towers",20071010
094,TORONTO CENTRE,1,1,0,13,2,0,16,56,37,"Toronto",037, ,1,0,0,127,386,"École élémentaire catholique Sacré-Coeur",20071010
094,TORONTO CENTRE,0,1,2,12,1,0,3,13,5,"Toronto",038, ,0,0,0,37,125,"École élémentaire catholique Sacré-Coeur",20071010
