ED_CODE,ED_NAME,BISBICIS,BRACKEN,KIDD,KRAEMER,ROWLANDS,SCOTT,TABUNS,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
095,TORONTO--DANFORTH,65,1,3,25,78,0,49,"Toronto",001, ,0,1,0,222,384,"Cosburn Middle School",20071010
095,TORONTO--DANFORTH,51,1,0,18,65,0,81,"Toronto",002, ,2,0,0,218,392,"East York Community Centre",20071010
095,TORONTO--DANFORTH,48,0,0,25,74,2,58,"Toronto",003, ,0,0,0,207,362,"East York Community Centre",20071010
095,TORONTO--DANFORTH,32,0,1,10,73,1,49,"Toronto",004, ,2,1,0,169,365,"East York Community Centre",20071010
095,TORONTO--DANFORTH,43,0,0,9,62,2,57,"Toronto",005, ,1,0,0,174,333,"Holy Cross Catholic School",20071010
095,TORONTO--DANFORTH,48,0,0,24,68,0,71,"Toronto",006, ,0,0,0,211,383,"Cosburn Middle School",20071010
095,TORONTO--DANFORTH,30,3,2,27,45,1,50,"Toronto",007, ,0,0,0,158,288,"Cosburn Middle School",20071010
095,TORONTO--DANFORTH,37,0,0,8,36,0,47,"Toronto",008, ,1,0,0,129,271,"East York Community Centre",20071010
095,TORONTO--DANFORTH,7,1,2,0,14,1,2,"Toronto",009s, ,1,0,0,28,55,"Ina Grafton Gage Home",20071010
095,TORONTO--DANFORTH,37,2,1,19,78,1,54,"Toronto",010, ,0,3,0,195,412,"East York Community Centre",20071010
095,TORONTO--DANFORTH,32,2,0,19,88,2,49,"Toronto",011, ,2,0,0,194,365,"East York Community Centre",20071010
095,TORONTO--DANFORTH,29,1,6,18,63,2,50,"Toronto",012, ,1,2,0,172,369,"East York Community Centre",20071010
095,TORONTO--DANFORTH,27,1,2,34,50,2,91,"Toronto",013, ,0,1,0,208,373,"East York Community Centre",20071010
095,TORONTO--DANFORTH,9,0,2,6,27,0,38,"Toronto",014, ,0,0,0,82,216,"Blair Court",20071010
095,TORONTO--DANFORTH,33,2,1,25,71,1,67,"Toronto",015, ,0,0,0,200,376,"Holy Cross Catholic School",20071010
095,TORONTO--DANFORTH,45,1,0,22,68,1,83,"Toronto",016, ,1,2,0,223,434,"Holy Cross Catholic School",20071010
095,TORONTO--DANFORTH,22,1,1,21,65,5,58,"Toronto",017, ,1,2,0,176,333,"Cosburn Middle School",20071010
095,TORONTO--DANFORTH,47,0,2,19,78,2,68,"Toronto",018, ,1,0,0,217,406,"Cosburn Middle School",20071010
095,TORONTO--DANFORTH,26,1,1,13,54,2,61,"Toronto",019, ,2,0,0,160,327,"East York Civic Centre",20071010
095,TORONTO--DANFORTH,44,1,0,14,77,1,71,"Toronto",020, ,3,0,0,211,385,"East York Civic Centre",20071010
095,TORONTO--DANFORTH,34,1,1,21,38,1,44,"Toronto",021, ,0,3,0,143,305,"The Church of Jesus Christ of Latter Day Saints",20071010
095,TORONTO--DANFORTH,13,2,4,4,36,0,34,"Toronto",022, ,1,0,0,94,250,"Westwood Middle School",20071010
095,TORONTO--DANFORTH,28,2,0,9,49,3,43,"Toronto",023, ,3,0,0,137,307,"East York Community Centre",20071010
095,TORONTO--DANFORTH,10,0,0,3,19,0,28,"Toronto",024, ,0,0,0,60,210,"The Church of Jesus Christ of Latter Day Saints",20071010
095,TORONTO--DANFORTH,4,0,1,2,10,1,19,"Toronto",025, ,1,2,0,40,161,"The Church of Jesus Christ of Latter Day Saints",20071010
095,TORONTO--DANFORTH,5,0,0,11,12,0,22,"Toronto",026, ,0,0,0,50,242,"The Church of Jesus Christ of Latter Day Saints",20071010
095,TORONTO--DANFORTH,9,1,1,7,21,2,37,"Toronto",027, ,1,0,0,79,209,"Bethany Baptist Church",20071010
095,TORONTO--DANFORTH,11,0,0,13,25,0,38,"Toronto",028, ,0,0,0,87,256,"Bethany Baptist Church",20071010
095,TORONTO--DANFORTH,16,1,2,16,55,1,63,"Toronto",029, ,0,3,0,157,401,"Bethany Baptist Church",20071010
095,TORONTO--DANFORTH,9,0,1,4,43,1,35,"Toronto",030, ,1,0,0,94,231,"Bethany Baptist Church",20071010
095,TORONTO--DANFORTH,11,0,1,3,24,2,20,"Toronto",031, ,0,0,0,61,213,"Blair Court",20071010
095,TORONTO--DANFORTH,16,0,4,12,59,2,79,"Toronto",032, ,0,0,1,173,333,"Blair Court",20071010
095,TORONTO--DANFORTH,22,2,4,4,82,4,82,"Toronto",033, ,2,4,0,206,308,"Blair Court",20071010
095,TORONTO--DANFORTH,35,0,1,13,74,3,76,"Toronto",034, ,0,0,0,202,402,"Holy Cross Catholic School",20071010
095,TORONTO--DANFORTH,27,5,3,22,72,0,71,"Toronto",035, ,0,1,0,201,426,"Holy Cross Catholic School",20071010
095,TORONTO--DANFORTH,32,0,1,27,59,2,117,"Toronto",036, ,0,0,0,238,427,"East York Civic Centre",20071010
095,TORONTO--DANFORTH,31,0,0,19,70,1,78,"Toronto",037, ,0,1,0,200,385,"East York Civic Centre",20071010
095,TORONTO--DANFORTH,32,2,3,19,56,3,54,"Toronto",038, ,5,0,0,174,368,"The Church of Jesus Christ of Latter Day Saints",20071010
095,TORONTO--DANFORTH,......................COMBINED WITH POLL 038 ....................,,,,,,,"Toronto",039s, ,,,,,,"The Church of Jesus Christ of Latter Day Saints",20071010
095,TORONTO--DANFORTH,18,3,0,15,43,0,54,"Toronto",040, ,0,1,0,134,311,"The Church of Jesus Christ of Latter Day Saints",20071010
095,TORONTO--DANFORTH,18,0,1,6,37,4,44,"Toronto",041, ,0,1,0,111,262,"Westwood Middle School",20071010
095,TORONTO--DANFORTH,19,0,0,16,49,0,53,"Toronto",042, ,1,2,0,140,307,"Westwood Middle School",20071010
095,TORONTO--DANFORTH,15,1,2,18,47,1,78,"Toronto",043, ,1,2,0,165,381,"Bethany Baptist Church",20071010
095,TORONTO--DANFORTH,27,5,2,27,62,2,70,"Toronto",044, ,0,1,0,196,418,"Centennial College",20071010
095,TORONTO--DANFORTH,23,1,0,23,57,1,62,"Toronto",045, ,2,0,0,169,358,"Centennial College",20071010
095,TORONTO--DANFORTH,29,1,2,14,69,3,79,"Toronto",046, ,5,1,0,203,395,"Blair Court",20071010
095,TORONTO--DANFORTH,22,0,0,21,55,0,79,"Toronto",047, ,0,0,0,177,319,"Holy Cross Catholic School",20071010
095,TORONTO--DANFORTH,31,1,2,30,51,1,61,"Toronto",048, ,0,1,0,178,362,"Wilkinson Junior Public School",20071010
095,TORONTO--DANFORTH,17,3,0,22,87,1,69,"Toronto",049, ,0,0,0,199,401,"Wilkinson Junior Public School",20071010
095,TORONTO--DANFORTH,18,1,2,14,50,0,58,"Toronto",050, ,6,0,0,149,332,"Greenwood Towers",20071010
095,TORONTO--DANFORTH,15,5,3,20,39,1,104,"Toronto",051, ,2,0,0,189,397,"Holy Trinity Macedo-Bulgarian Orthodox Church",20071010
095,TORONTO--DANFORTH,25,3,2,18,47,0,89,"Toronto",052, ,4,0,0,188,353,"Holy Trinity Macedo-Bulgarian Orthodox Church",20071010
095,TORONTO--DANFORTH,15,2,1,31,51,1,104,"Toronto",053, ,4,0,0,209,409,"Holy Trinity Macedo-Bulgarian Orthodox Church",20071010
095,TORONTO--DANFORTH,21,6,1,20,55,1,79,"Toronto",054, ,0,1,2,186,353,"East York Civic Centre",20071010
095,TORONTO--DANFORTH,21,1,1,17,53,1,88,"Toronto",055, ,2,0,0,184,377,"Holy Trinity Macedo-Bulgarian Orthodox Church",20071010
095,TORONTO--DANFORTH,19,4,0,23,56,3,56,"Toronto",056, ,2,2,0,165,315,"The Church of Jesus Christ of Latter Day Saints",20071010
