ED_CODE,ED_NAME,COTTLE,CURRIE,HOLLOWAY,KING,MARCHESE,RUBINO,SAWISION,URSOMARZO,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
096,TRINITY--SPADINA,0,27,61,13,37,1,2,1,"Toronto",001, ,0,0,0,142,293,"Church of the Messiah",20071010
096,TRINITY--SPADINA,0,52,79,21,39,1,1,0,"Toronto",002, ,1,0,0,194,425,"Church of the Messiah",20071010
096,TRINITY--SPADINA,0,12,73,19,102,1,4,1,"Toronto",003, ,1,0,1,214,447,"St. Alban's Boys & Girls Club",20071010
096,TRINITY--SPADINA,0,29,55,32,97,1,0,0,"Toronto",004, ,1,0,0,215,420,"Huron Street Junior Public School",20071010
096,TRINITY--SPADINA,0,17,56,24,58,1,0,0,"Toronto",005, ,0,0,0,156,390,"Huron Street Junior Public School",20071010
096,TRINITY--SPADINA,0,25,45,20,69,1,0,0,"Toronto",006, ,0,0,1,161,344,"Huron Street Junior Public School",20071010
096,TRINITY--SPADINA,0,15,56,22,76,1,0,0,"Toronto",007, ,0,0,0,170,365,"Huron Street Junior Public School",20071010
096,TRINITY--SPADINA,0,29,55,18,49,0,1,0,"Toronto",008, ,0,1,0,153,340,"Church of the Messiah",20071010
096,TRINITY--SPADINA,..........................NO POLL HELD........................,,,,,,,,"Toronto",009, ,0,0,0,0,0,"",20071010
096,TRINITY--SPADINA,2,19,38,33,119,2,0,0,"Toronto",010, ,0,0,0,213,356,"St. Alban's Boys & Girls Club",20071010
096,TRINITY--SPADINA,2,10,41,30,100,1,1,0,"Toronto",011, ,0,0,0,185,332,"St. Alban's Boys & Girls Club",20071010
096,TRINITY--SPADINA,0,27,43,21,91,0,1,1,"Toronto",012, ,0,1,0,185,449,"St. Alban's Boys & Girls Club",20071010
096,TRINITY--SPADINA,0,17,31,28,92,0,0,1,"Toronto",013, ,2,0,0,171,354,"St. Alban's Boys & Girls Club",20071010
096,TRINITY--SPADINA,0,10,55,27,93,0,0,0,"Toronto",014, ,0,1,0,186,401,"St. Alban's Boys & Girls Club",20071010
096,TRINITY--SPADINA,0,9,10,2,8,0,1,0,"Toronto",015s, ,0,0,0,30,44,"The Annex Retirement Residence",20071010
096,TRINITY--SPADINA,0,26,65,28,97,0,2,0,"Toronto",016, ,0,0,0,218,412,"Huron Street Junior Public School",20071010
096,TRINITY--SPADINA,3,10,26,4,20,4,0,0,"Toronto",018s, ,0,1,0,68,148,"Leisureworld Caregiving Centre",20071010
096,TRINITY--SPADINA,..........................NO POLL HELD........................,,,,,,,,"Toronto",019, ,0,0,0,0,0,"",20071010
096,TRINITY--SPADINA,0,31,54,16,49,0,0,0,"Toronto",020, ,0,2,0,152,292,"Huron Street Junior Public School",20071010
096,TRINITY--SPADINA,0,44,68,9,33,0,1,0,"Toronto",021, ,0,0,0,155,336,"Church of the Messiah",20071010
096,TRINITY--SPADINA,0,8,44,22,97,2,1,0,"Toronto",022, ,2,0,0,176,417,"Ukrainian Cultural Centre",20071010
096,TRINITY--SPADINA,3,7,42,15,65,1,0,0,"Toronto",023, ,1,1,0,135,307,"Ukrainian Cultural Centre",20071010
096,TRINITY--SPADINA,1,15,38,26,93,0,1,1,"Toronto",024, ,4,1,0,180,352,"Ukrainian Cultural Centre",20071010
096,TRINITY--SPADINA,0,12,27,15,90,0,5,0,"Toronto",025, ,0,1,0,150,363,"St. Alban's Boys & Girls Club",20071010
096,TRINITY--SPADINA,3,11,66,19,114,2,0,0,"Toronto",026, ,3,0,0,218,392,"St. Alban's Boys & Girls Club",20071010
096,TRINITY--SPADINA,0,17,35,20,144,1,0,1,"Toronto",027, ,0,1,0,219,404,"St. Alban's Boys & Girls Club",20071010
096,TRINITY--SPADINA,0,18,38,29,92,0,0,0,"Toronto",028, ,1,0,0,178,307,"Palmerston Avenue Junior Public School",20071010
096,TRINITY--SPADINA,0,12,39,29,96,2,0,0,"Toronto",029, ,1,0,0,179,378,"Walmer Road Baptist Church",20071010
096,TRINITY--SPADINA,0,22,60,29,97,1,0,0,"Toronto",030, ,1,0,0,210,396,"Walmer Road Baptist Church",20071010
096,TRINITY--SPADINA,0,17,51,41,95,1,2,0,"Toronto",031, ,0,0,0,207,353,"Walmer Road Baptist Church",20071010
096,TRINITY--SPADINA,0,11,49,15,78,0,1,0,"Toronto",032, ,0,0,0,154,223,"Walmer Road Baptist Church",20071010
096,TRINITY--SPADINA,0,24,41,14,79,1,1,0,"Toronto",033, ,10,0,1,171,354,"Native Canadian Centre",20071010
096,TRINITY--SPADINA,0,29,71,39,92,1,0,4,"Toronto",034, ,0,0,0,236,509,"Native Canadian Centre",20071010
096,TRINITY--SPADINA,..........................NO POLL HELD........................,,,,,,,,"Toronto",035, ,0,0,0,0,0,"",20071010
096,TRINITY--SPADINA,1,56,57,10,61,0,0,1,"Toronto",036, ,0,0,0,186,322,"Ontario Institute for Studies in Education",20071010
096,TRINITY--SPADINA,0,42,48,9,24,1,0,0,"Toronto",037, ,0,0,0,124,248,"Ontario Institute for Studies in Education",20071010
096,TRINITY--SPADINA,2,15,47,16,59,0,1,0,"Toronto",038, ,3,2,0,145,326,"Ukrainian Cultural Centre",20071010
096,TRINITY--SPADINA,2,18,66,12,115,1,1,1,"Toronto",039, ,0,1,0,217,422,"Ukrainian Cultural Centre",20071010
096,TRINITY--SPADINA,1,7,46,23,87,0,1,1,"Toronto",040, ,8,0,0,174,365,"Ukrainian Cultural Centre",20071010
096,TRINITY--SPADINA,1,17,62,22,93,2,1,0,"Toronto",041, ,2,2,0,202,406,"Ukrainian Cultural Centre",20071010
096,TRINITY--SPADINA,0,13,56,28,103,1,0,0,"Toronto",042, ,2,0,0,203,398,"Palmerston Avenue Junior Public School",20071010
096,TRINITY--SPADINA,0,8,37,30,98,1,1,0,"Toronto",043, ,0,0,1,176,365,"Palmerston Avenue Junior Public School",20071010
096,TRINITY--SPADINA,3,4,9,4,9,1,3,3,"Toronto",044s, ,2,0,0,38,74,"Vermount Square",20071010
096,TRINITY--SPADINA,2,14,63,28,130,1,0,1,"Toronto",045, ,1,2,0,242,396,"Walmer Road Baptist Church",20071010
096,TRINITY--SPADINA,0,18,40,34,77,0,4,1,"Toronto",046, ,0,0,0,174,291,"Walmer Road Baptist Church",20071010
096,TRINITY--SPADINA,1,9,43,23,75,1,0,0,"Toronto",047, ,1,4,0,157,284,"Walmer Road Baptist Church",20071010
096,TRINITY--SPADINA,0,28,51,15,99,2,0,0,"Toronto",048, ,0,0,1,196,362,"Native Canadian Centre",20071010
096,TRINITY--SPADINA,1,28,59,27,99,3,1,0,"Toronto",049, ,2,0,1,221,411,"Native Canadian Centre",20071010
096,TRINITY--SPADINA,1,34,39,6,22,0,0,0,"Toronto",050, ,2,0,0,104,291,"Ontario Institute for Studies in Education",20071010
096,TRINITY--SPADINA,0,27,64,24,60,1,0,0,"Toronto",051, ,0,2,0,178,408,"Hart House",20071010
096,TRINITY--SPADINA,..........................NO POLL HELD........................,,,,,,,,"Toronto",052, ,0,0,0,0,0,"",20071010
096,TRINITY--SPADINA,1,12,49,18,79,2,2,2,"Toronto",053, ,1,1,0,167,378,"Ukrainian Cultural Centre",20071010
096,TRINITY--SPADINA,0,10,54,18,85,0,2,0,"Toronto",054, ,0,1,0,170,383,"Ukrainian Cultural Centre",20071010
096,TRINITY--SPADINA,5,4,24,6,15,1,2,1,"Toronto",055s, ,4,1,0,63,102,"The O'Neil Centre",20071010
096,TRINITY--SPADINA,0,8,47,22,95,0,4,0,"Toronto",056, ,2,0,0,178,382,"Palmerston Avenue Junior Public School",20071010
096,TRINITY--SPADINA,0,12,49,7,81,1,0,0,"Toronto",057, ,1,1,0,152,323,"Palmerston Avenue Junior Public School",20071010
096,TRINITY--SPADINA,0,11,31,14,73,0,5,1,"Toronto",058, ,0,0,0,135,283,"Palmerston Avenue Junior Public School",20071010
096,TRINITY--SPADINA,0,12,44,37,84,1,4,0,"Toronto",059, ,2,0,0,184,451,"Tranzac Social Club",20071010
096,TRINITY--SPADINA,0,23,52,26,89,1,2,0,"Toronto",060, ,1,1,0,195,434,"Tranzac Social Club",20071010
096,TRINITY--SPADINA,1,14,45,20,108,4,0,0,"Toronto",061, ,1,1,0,194,400,"Tranzac Social Club",20071010
096,TRINITY--SPADINA,1,11,30,27,91,0,2,0,"Toronto",062, ,0,1,0,163,350,"Hart House",20071010
096,TRINITY--SPADINA,0,4,27,11,39,0,0,0,"Toronto",063, ,2,2,0,85,227,"William Doo Auditorium",20071010
