ED_CODE,ED_NAME,KORUS,MORELLI,QUATELA,SORBARA,WEERASINGHE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
097,VAUGHAN,10,16,1,65,45,"Vaughan",001, ,0,0,0,137,361,"St. Joan of Arc Catholic High School",20071010
097,VAUGHAN,10,10,1,56,69,"Vaughan",002, ,0,1,0,147,369,"Maple Community Centre",20071010
097,VAUGHAN,18,9,2,105,41,"Vaughan",003, ,2,0,0,177,456,"Vaughan City Hall",20071010
097,VAUGHAN,1,1,1,6,3,"Vaughan",004s, ,2,0,0,14,54,"Sherwood Court Long Term Care Centre",20071010
097,VAUGHAN,3,8,2,41,14,"Vaughan",005, ,0,1,0,69,230,"Vaughan City Hall",20071010
097,VAUGHAN,4,7,3,71,21,"Vaughan",006, ,0,1,0,107,292,"Vaughan City Hall",20071010
097,VAUGHAN,6,5,0,85,58,"Vaughan",007, ,0,0,0,154,445,"Vaughan City Hall",20071010
097,VAUGHAN,2,6,2,45,34,"Vaughan",008, ,1,1,0,91,245,"Vellore Village Community Centre",20071010
097,VAUGHAN,15,8,2,70,19,"Vaughan",009, ,0,2,0,116,300,"St. Joan of Arc Catholic High School",20071010
097,VAUGHAN,2,8,0,29,12,"Vaughan",010, ,0,1,0,52,70,"Vaughan City Hall",20071010
097,VAUGHAN,0,3,0,17,22,"Vaughan",011, ,0,0,0,42,158,"Maple Community Centre",20071010
097,VAUGHAN,4,1,0,21,25,"Vaughan",012, ,0,0,0,51,121,"Maple Community Centre",20071010
097,VAUGHAN,0,2,0,12,7,"Vaughan",013s, ,0,0,0,21,62,"Kristus Darzs Latvian Home",20071010
097,VAUGHAN,11,10,0,87,47,"Vaughan",014, ,1,0,0,156,401,"Kleinburg Public School",20071010
097,VAUGHAN,17,18,0,104,39,"Vaughan",015, ,0,0,0,178,400,"Holy Jubilee Catholic Elementary School",20071010
097,VAUGHAN,11,15,3,101,30,"Vaughan",016, ,1,0,0,161,338,"Holy Jubilee Catholic Elementary School",20071010
