ED_CODE,ED_NAME,BODNER,GRENIER,KORMOS,MASTROIANNI,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
098,WELLAND,15,8,60,15,"St. Catharines",001, ,0,1,0,99,317,"Edith Cavell Public School",20071010
098,WELLAND,15,5,58,8,"St. Catharines",002, ,1,0,0,87,233,"Edith Cavell Public School",20071010
098,WELLAND,23,7,59,17,"St. Catharines",003, ,0,2,0,108,289,"Edith Cavell Public School",20071010
098,WELLAND,33,12,72,25,"St. Catharines",004, ,0,1,0,143,288,"Edith Cavell Public School",20071010
098,WELLAND,37,12,45,45,"St. Catharines",005, ,0,1,0,140,347,"West Park High School",20071010
098,WELLAND,61,8,64,60,"St. Catharines",006, ,1,3,0,197,364,"Club Roma",20071010
098,WELLAND,64,13,97,67,"St. Catharines",007, ,1,0,0,242,468,"West Park High School",20071010
098,WELLAND,47,7,66,62,"St. Catharines",008, ,3,0,0,185,381,"West Park High School",20071010
098,WELLAND,27,4,42,51,"St. Catharines",009, ,0,2,0,126,257,"Power Glen Elementary School",20071010
098,WELLAND,25,6,86,29,"St. Catharines",010, ,2,0,0,148,274,"West Park High School",20071010
098,WELLAND,44,14,56,32,"St. Catharines",011, ,0,0,0,146,316,"Power Glen Elementary School",20071010
098,WELLAND,15,6,52,35,"St. Catharines",012, ,1,1,0,110,292,"West Park High School",20071010
098,WELLAND,28,8,58,13,"St. Catharines",013, ,0,0,0,107,280,"Power Glen Elementary School",20071010
098,WELLAND,25,7,86,21,"St. Catharines",014, ,2,0,0,141,407,"St. Anthony Catholic School",20071010
098,WELLAND,7,3,35,5,"St. Catharines",015, ,0,0,0,50,167,"St. Anthony Catholic School",20071010
098,WELLAND,23,6,53,10,"St. Catharines",016, ,0,0,0,92,265,"St. Anthony Catholic School",20071010
098,WELLAND,6,1,13,4,"St. Catharines",017s, ,0,1,0,25,47,"West Park Health Centre",20071010
098,WELLAND,19,6,59,19,"St. Catharines",018, ,0,0,0,103,297,"St. Anthony Catholic School",20071010
098,WELLAND,11,4,60,14,"St. Catharines",019, ,0,0,0,89,283,"St. Anthony Catholic School",20071010
098,WELLAND,18,17,71,31,"St. Catharines",020, ,1,0,0,138,274,"Burleigh Elementary School",20071010
098,WELLAND,22,7,69,37,"St. Catharines",021, ,0,0,0,135,282,"Burleigh Elementary School",20071010
098,WELLAND,17,17,75,22,"St. Catharines",022, ,0,1,0,132,325,"Burleigh Elementary School",20071010
098,WELLAND,21,11,86,18,"St. Catharines",023, ,0,2,0,138,341,"Burleigh Elementary School",20071010
098,WELLAND,33,8,78,20,"Thorold",024, ,0,0,1,140,318,"Thorold Senior Centre",20071010
098,WELLAND,76,12,73,71,"St. Catharines",025, ,1,0,0,233,444,"Club Roma",20071010
098,WELLAND,30,13,59,29,"St. Catharines",026, ,0,2,0,133,335,"Club Roma",20071010
098,WELLAND,56,5,48,62,"St. Catharines",027, ,0,2,0,173,344,"Power Glen Elementary School",20071010
098,WELLAND,66,16,52,74,"St. Catharines",028, ,0,0,2,210,382,"Club Roma",20071010
098,WELLAND,43,8,33,53,"St. Catharines",029, ,1,0,0,138,312,"Power Glen Elementary School",20071010
098,WELLAND,13,1,26,10,"St. Catharines",030s, ,1,1,0,52,150,"Extendicare - St. Catharines",20071010
098,WELLAND,40,13,60,41,"St. Catharines",031, ,1,1,0,156,310,"Power Glen Elementary School",20071010
098,WELLAND,58,17,77,83,"St. Catharines",032, ,1,0,0,236,421,"St. Peter School",20071010
098,WELLAND,50,9,66,77,"St. Catharines",033, ,1,1,0,204,347,"St. Peter School",20071010
098,WELLAND,5,0,8,11,"St. Catharines",034s, ,0,0,2,26,103,"NHS - Hotel Dieu Shaver Rehabilitation",20071010
098,WELLAND,41,15,50,59,"St. Catharines",035, ,0,1,1,167,309,"Church of the Transfiguration",20071010
098,WELLAND,86,27,68,61,"St. Catharines",036, ,1,1,0,244,461,"Church of the Transfiguration",20071010
098,WELLAND,58,20,64,62,"St. Catharines",037, ,0,0,0,204,371,"Mountainview United Church",20071010
098,WELLAND,65,22,72,66,"St. Catharines",038, ,0,2,0,227,433,"Mountainview United Church",20071010
