ED_CODE,ED_NAME,ARNOTT,BENTLEY,DUIGNAN,GORI,LAVICTOIRE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
099,WELLINGTON--HALTON HILLS,86,43,9,2,35,"Hillsburgh",001, ,0,1,0,176,302,"Ross R. Mackay Public School",20071010
099,WELLINGTON--HALTON HILLS,134,30,16,5,20,"Belwood",002, ,0,0,0,205,311,"Pine Meadows Community Centre",20071010
099,WELLINGTON--HALTON HILLS,65,37,13,1,24,"Hillsburgh",003, ,0,0,0,140,252,"Ross R. Mackay Public School",20071010
099,WELLINGTON--HALTON HILLS,128,46,33,1,37,"Hillsburgh",004, ,1,0,0,246,480,"Ross R. Mackay Public School",20071010
099,WELLINGTON--HALTON HILLS,141,39,14,4,17,"Erin",005, ,2,0,0,217,387,"Erin Public School",20071010
099,WELLINGTON--HALTON HILLS,89,30,16,1,23,"Hillsburgh",006, ,0,0,0,159,270,"Ross R. Mackay Public School",20071010
099,WELLINGTON--HALTON HILLS,72,45,21,3,40,"Hillsburgh",007, ,1,0,0,182,316,"Ross R. Mackay Public School",20071010
099,WELLINGTON--HALTON HILLS,52,28,28,1,24,"Erin",008, ,0,0,0,133,312,"Erin Public School",20071010
099,WELLINGTON--HALTON HILLS,118,55,25,3,26,"Erin",009, ,0,0,0,227,420,"Erin Public School",20071010
099,WELLINGTON--HALTON HILLS,82,57,18,1,25,"Erin",010, ,0,0,0,183,428,"Erin Public School",20071010
099,WELLINGTON--HALTON HILLS,86,63,17,2,33,"Erin",011, ,0,0,0,201,439,"Erin Public School",20071010
099,WELLINGTON--HALTON HILLS,111,65,13,0,22,"Erin",012, ,1,0,1,213,382,"Erin Public School",20071010
099,WELLINGTON--HALTON HILLS,148,34,14,10,17,"Belwood",013, ,0,0,0,223,347,"Pine Meadows Community Centre",20071010
099,WELLINGTON--HALTON HILLS,151,65,12,0,11,"Belwood",014, ,0,3,1,243,325,"Pine Meadows Community Centre",20071010
099,WELLINGTON--HALTON HILLS,123,47,40,3,26,"Belwood",015, ,0,0,0,239,535,"Pine Meadows Community Centre",20071010
099,WELLINGTON--HALTON HILLS,200,72,14,10,34,"Belwood",016, ,0,0,0,330,506,"Pine Meadows Community Centre",20071010
099,WELLINGTON--HALTON HILLS,107,33,8,4,39,"Hillsburgh",017, ,0,0,0,191,297,"Ross R. Mackay Public School",20071010
099,WELLINGTON--HALTON HILLS,72,32,9,0,7,"Erin",019, ,0,0,0,120,292,"Erin Public School",20071010
099,WELLINGTON--HALTON HILLS,77,37,20,2,38,"Erin",020, ,0,1,0,175,363,"Erin Public School",20071010
099,WELLINGTON--HALTON HILLS,125,38,9,2,22,"Erin",021, ,0,4,0,200,366,"Brisbane Public School",20071010
099,WELLINGTON--HALTON HILLS,109,61,18,1,22,"Erin",022, ,0,1,0,212,373,"Brisbane Public School",20071010
099,WELLINGTON--HALTON HILLS,104,65,12,1,34,"Ballinafad",023, ,2,0,0,218,314,"Ballinafad Community Centre",20071010
099,WELLINGTON--HALTON HILLS,130,40,19,12,21,"Fergus",024, ,0,0,1,223,401,"St. Joseph Catholic School",20071010
099,WELLINGTON--HALTON HILLS,73,32,7,0,13,"Fergus",025, ,0,1,0,126,208,"St. Joseph Catholic School",20071010
099,WELLINGTON--HALTON HILLS,71,36,15,6,15,"Fergus",026, ,1,0,0,144,321,"St. Joseph Catholic School",20071010
099,WELLINGTON--HALTON HILLS,142,48,29,9,19,"Fergus",027, ,0,0,0,247,476,"St. Joseph Catholic School",20071010
099,WELLINGTON--HALTON HILLS,114,45,15,2,29,"Fergus",028, ,1,0,0,206,386,"St. Joseph Catholic School",20071010
099,WELLINGTON--HALTON HILLS,104,28,24,2,15,"Fergus",029, ,0,0,0,173,286,"St. Joseph Catholic School",20071010
099,WELLINGTON--HALTON HILLS,101,23,19,1,15,"Fergus",030, ,0,0,0,159,346,"St. Joseph Catholic School",20071010
099,WELLINGTON--HALTON HILLS,70,36,22,2,12,"Fergus",031, ,0,0,0,142,295,"St. Joseph Catholic School",20071010
099,WELLINGTON--HALTON HILLS,61,24,18,1,14,"Fergus",032, ,0,0,0,118,236,"Royal Canadian Legion, Branch 275",20071010
099,WELLINGTON--HALTON HILLS,94,26,26,3,10,"Fergus",033, ,0,0,0,159,305,"St. Joseph Catholic School",20071010
099,WELLINGTON--HALTON HILLS,76,36,8,10,13,"Fergus",034, ,0,0,0,143,283,"St. Joseph Catholic School",20071010
099,WELLINGTON--HALTON HILLS,66,33,9,0,25,"Fergus",035, ,0,0,0,133,245,"Royal Canadian Legion, Branch 275",20071010
099,WELLINGTON--HALTON HILLS,......................COMBINED WITH POLL 038 ....................,,,,,"Fergus",036s, ,,,,,,"Groves Memorial Community Hospital",20071010
099,WELLINGTON--HALTON HILLS,85,52,19,0,19,"Fergus",037, ,0,0,0,175,298,"Royal Canadian Legion, Branch 275",20071010
099,WELLINGTON--HALTON HILLS,51,32,10,1,20,"Fergus",038, ,1,0,0,115,226,"Royal Canadian Legion, Branch 275",20071010
099,WELLINGTON--HALTON HILLS,20,14,6,5,0,"Centre Wellington",039s, ,3,2,0,50,134,"Caressant Care Nursing and Retirement Home",20071010
099,WELLINGTON--HALTON HILLS,62,22,11,1,8,"Fergus",040, ,1,0,0,105,221,"Royal Canadian Legion, Branch 275",20071010
099,WELLINGTON--HALTON HILLS,120,41,17,1,7,"Fergus",041, ,1,0,0,187,320,"Centre Wellington Community Sportsplex",20071010
099,WELLINGTON--HALTON HILLS,147,31,15,2,19,"Fergus",042, ,1,0,0,215,371,"St. Joseph Catholic School",20071010
099,WELLINGTON--HALTON HILLS,114,50,12,11,8,"Fergus",043, ,0,0,0,195,342,"Centre Wellington Community Sportsplex",20071010
099,WELLINGTON--HALTON HILLS,102,34,12,1,12,"Fergus",044, ,5,0,0,166,402,"Centre Wellington Community Sportsplex",20071010
099,WELLINGTON--HALTON HILLS,70,16,9,5,12,"Fergus",045, ,0,0,0,112,184,"Centre Wellington Community Sportsplex",20071010
099,WELLINGTON--HALTON HILLS,104,61,18,1,41,"Rockwood",046, ,0,0,0,225,359,"Eramosa Public School",20071010
099,WELLINGTON--HALTON HILLS,69,39,13,0,24,"Erin",047, ,0,0,1,146,164,"Brisbane Public School",20071010
099,WELLINGTON--HALTON HILLS,131,68,20,1,38,"Ballinafad",048, ,1,1,0,260,323,"Ballinafad Community Centre",20071010
099,WELLINGTON--HALTON HILLS,111,81,11,6,27,"Ballinafad",049, ,3,0,0,239,435,"Ballinafad Community Centre",20071010
099,WELLINGTON--HALTON HILLS,148,88,23,1,41,"Elora",050, ,0,0,0,301,529,"Elora & District Community Centre",20071010
099,WELLINGTON--HALTON HILLS,92,63,21,1,39,"Elora",051, ,0,0,0,216,410,"Elora & District Community Centre",20071010
099,WELLINGTON--HALTON HILLS,129,67,13,0,24,"Elora",052, ,0,0,0,233,398,"Elora & District Community Centre",20071010
099,WELLINGTON--HALTON HILLS,115,41,20,4,20,"Elora",053, ,3,0,0,203,312,"Elora & District Community Centre",20071010
099,WELLINGTON--HALTON HILLS,54,25,8,0,9,"Elora",054, ,0,0,0,96,206,"Elora Public School",20071010
099,WELLINGTON--HALTON HILLS,102,26,34,4,22,"Elora",055, ,0,0,0,188,364,"Elora Public School",20071010
099,WELLINGTON--HALTON HILLS,112,63,13,3,18,"Elora",056, ,0,1,1,211,372,"Elora Public School",20071010
099,WELLINGTON--HALTON HILLS,105,41,18,0,26,"Elora",057, ,1,0,0,191,331,"Elora Public School",20071010
099,WELLINGTON--HALTON HILLS,46,15,4,0,2,"Fergus",058s, ,2,0,0,69,173,"Wellington Terrace Long Term Care Home",20071010
099,WELLINGTON--HALTON HILLS,125,41,9,4,29,"Elora",059, ,0,0,1,209,337,"Elora Public School",20071010
099,WELLINGTON--HALTON HILLS,63,25,23,1,15,"Fergus",060, ,1,0,0,128,298,"Royal Canadian Legion, Branch 275",20071010
099,WELLINGTON--HALTON HILLS,63,31,15,0,26,"Fergus",061, ,0,1,0,136,297,"Royal Canadian Legion, Branch 275",20071010
099,WELLINGTON--HALTON HILLS,97,33,13,3,22,"Fergus",062, ,0,1,0,169,335,"Royal Canadian Legion, Branch 275",20071010
099,WELLINGTON--HALTON HILLS,118,44,25,3,25,"Fergus",063, ,1,0,0,216,359,"Centre Wellington Community Sportsplex",20071010
099,WELLINGTON--HALTON HILLS,97,32,21,2,16,"Fergus",064, ,0,0,0,168,317,"Centre Wellington Community Sportsplex",20071010
099,WELLINGTON--HALTON HILLS,126,20,15,1,6,"Fergus",065, ,1,1,0,170,306,"Centre Wellington Community Sportsplex",20071010
099,WELLINGTON--HALTON HILLS,34,5,2,0,0,"Fergus",066s, ,1,0,0,42,49,"Highland Manor Retirement Lodge",20071010
099,WELLINGTON--HALTON HILLS,34,26,9,0,3,"Fergus",067, ,0,0,0,72,209,"Centre Wellington Community Sportsplex",20071010
099,WELLINGTON--HALTON HILLS,93,56,17,0,10,"Fergus",068, ,0,0,0,176,338,"Centre Wellington Community Sportsplex",20071010
099,WELLINGTON--HALTON HILLS,104,39,25,0,20,"Fergus",069, ,0,0,1,189,328,"Centre Wellington Community Sportsplex",20071010
099,WELLINGTON--HALTON HILLS,79,46,6,5,30,"Erin",070, ,0,2,0,168,353,"Brisbane Public School",20071010
099,WELLINGTON--HALTON HILLS,110,62,17,4,18,"Ballinafad",071, ,0,2,0,213,361,"Ballinafad Community Centre",20071010
099,WELLINGTON--HALTON HILLS,126,66,9,1,16,"Glen Williams",072, ,2,0,0,220,380,"St. Alban the Martyr Anglican Church",20071010
099,WELLINGTON--HALTON HILLS,79,65,20,1,22,"Glen Williams",073, ,1,0,0,188,318,"St. Alban the Martyr Anglican Church",20071010
099,WELLINGTON--HALTON HILLS,73,50,15,1,19,"Glen Williams",074, ,2,0,0,160,332,"St. Alban the Martyr Anglican Church",20071010
099,WELLINGTON--HALTON HILLS,128,50,7,1,14,"Elora",075, ,1,0,0,201,434,"Elora & District Community Centre",20071010
099,WELLINGTON--HALTON HILLS,59,49,13,1,61,"Elora",076, ,1,0,0,184,347,"Elora & District Community Centre",20071010
099,WELLINGTON--HALTON HILLS,91,31,20,2,24,"Elora",077, ,1,0,0,169,352,"Elora & District Community Centre",20071010
099,WELLINGTON--HALTON HILLS,123,84,17,0,21,"Elora",078, ,0,0,0,245,405,"Elora & District Community Centre",20071010
099,WELLINGTON--HALTON HILLS,123,40,20,2,21,"Fergus",079, ,0,0,0,206,340,"Centre Wellington Community Sportsplex",20071010
099,WELLINGTON--HALTON HILLS,97,35,6,2,14,"Elora",080, ,0,0,0,154,289,"Ennotville Historical Library",20071010
099,WELLINGTON--HALTON HILLS,114,45,25,0,28,"Rockwood",081, ,1,0,0,213,379,"Eramosa Public School",20071010
099,WELLINGTON--HALTON HILLS,94,42,14,5,30,"Rockwood",082, ,1,0,0,186,338,"Rockmosa Community Centre",20071010
099,WELLINGTON--HALTON HILLS,68,47,23,1,16,"Acton",083, ,0,1,0,156,302,"Royal Canadian Legion, Branch 197",20071010
099,WELLINGTON--HALTON HILLS,106,62,20,3,23,"Limehouse",084, ,0,0,0,214,384,"Limehouse Memorial Hall",20071010
099,WELLINGTON--HALTON HILLS,3,0,2,0,1,"Georgetown",085s, ,0,0,0,6,128,"Extendicare Halton Hills",20071010
099,WELLINGTON--HALTON HILLS,134,86,13,3,29,"Glen Williams",086, ,0,0,0,265,437,"St. Alban the Martyr Anglican Church",20071010
099,WELLINGTON--HALTON HILLS,91,68,11,0,8,"Georgetown",087, ,1,0,0,179,334,"Joseph Gibbons Public School",20071010
099,WELLINGTON--HALTON HILLS,99,87,35,8,18,"Georgetown",088, ,1,1,0,249,414,"Joseph Gibbons Public School",20071010
