ED_CODE,ED_NAME,ANDERSON,CHILVERS,ELLIOTT,FRAMPTON,GOBIN,HAMMER,MOSES,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
100,WHITBY--OSHAWA,13,2,120,1,1,44,23,"Oshawa",001, ,1,0,0,205,409,"Columbus United Church",20071010
100,WHITBY--OSHAWA,15,5,92,1,0,56,16,"Oshawa",002, ,0,0,0,185,329,"Columbus United Church",20071010
100,WHITBY--OSHAWA,17,1,96,0,0,56,7,"Whitby",003, ,0,1,0,178,356,"St. Bridget Catholic School",20071010
100,WHITBY--OSHAWA,11,1,69,0,0,42,14,"Whitby",004, ,0,1,0,138,304,"Winchester Public School",20071010
100,WHITBY--OSHAWA,23,1,103,0,0,30,10,"Whitby",005, ,0,0,0,167,350,"St. Leo Catholic School",20071010
100,WHITBY--OSHAWA,7,4,85,0,2,48,12,"Oshawa",006, ,0,0,0,158,307,"Columbus United Church",20071010
100,WHITBY--OSHAWA,12,0,130,1,1,71,9,"Whitby",007, ,0,0,0,224,378,"St. Leo Catholic School",20071010
100,WHITBY--OSHAWA,22,1,149,1,2,106,15,"Whitby",008, ,1,0,0,297,618,"Winchester Public School",20071010
100,WHITBY--OSHAWA,17,1,96,0,0,34,6,"Whitby",009, ,0,1,0,155,332,"St. Bridget Catholic School",20071010
100,WHITBY--OSHAWA,12,1,95,0,0,74,14,"Whitby",010A, ,3,0,0,199,385,"St. Bridget Catholic School",20071010
100,WHITBY--OSHAWA,11,0,79,0,1,61,6,"Whitby",010B, ,0,0,0,158,311,"St. Bridget Catholic School",20071010
100,WHITBY--OSHAWA,14,1,87,0,1,59,11,"Whitby",010C, ,0,0,0,173,330,"St. Bridget Catholic School",20071010
100,WHITBY--OSHAWA,11,1,98,1,3,61,23,"Whitby",011, ,2,0,0,200,386,"Winchester Public School",20071010
100,WHITBY--OSHAWA,14,0,117,0,1,66,15,"Whitby",012, ,1,1,0,215,420,"St. Leo Catholic School",20071010
100,WHITBY--OSHAWA,9,0,100,0,0,76,9,"Whitby",013, ,1,0,0,195,356,"Winchester Public School",20071010
100,WHITBY--OSHAWA,16,0,112,0,1,74,9,"Whitby",014, ,0,0,0,212,380,"St. Leo Catholic School",20071010
100,WHITBY--OSHAWA,11,0,105,1,1,86,18,"Whitby",015, ,0,0,0,222,395,"St. Leo Catholic School",20071010
100,WHITBY--OSHAWA,8,0,79,0,2,71,22,"Whitby",016A, ,1,0,0,183,356,"St. Leo Catholic School",20071010
100,WHITBY--OSHAWA,8,0,72,1,0,52,14,"Whitby",016B, ,0,1,0,148,296,"St. Leo Catholic School",20071010
100,WHITBY--OSHAWA,9,1,52,0,2,67,16,"Whitby",016C, ,1,1,0,149,292,"St. Leo Catholic School",20071010
100,WHITBY--OSHAWA,13,3,101,1,0,62,12,"Whitby",017, ,0,0,0,192,383,"Winchester Public School",20071010
100,WHITBY--OSHAWA,21,0,115,0,0,79,17,"Whitby",018, ,0,0,0,232,413,"St. Bridget Catholic School",20071010
100,WHITBY--OSHAWA,16,0,116,0,1,70,20,"Whitby",019, ,0,1,0,224,412,"St. Bridget Catholic School",20071010
100,WHITBY--OSHAWA,4,0,108,2,2,66,10,"Whitby",020, ,1,0,0,193,364,"St. Bridget Catholic School",20071010
100,WHITBY--OSHAWA,11,2,77,1,2,33,18,"Whitby",021, ,1,0,0,145,283,"Brooklin Community Centre",20071010
100,WHITBY--OSHAWA,20,2,79,0,1,51,18,"Brooklin",022, ,0,0,0,171,313,"St. Thomas Anglican Church",20071010
100,WHITBY--OSHAWA,17,3,112,0,0,77,15,"Brooklin",023, ,0,1,0,225,386,"St. Thomas Anglican Church",20071010
100,WHITBY--OSHAWA,18,0,126,0,2,63,8,"Brooklin",024, ,0,0,0,217,403,"St. Thomas Anglican Church",20071010
100,WHITBY--OSHAWA,20,0,86,0,0,87,12,"Whitby",025, ,0,0,0,205,373,"Winchester Public School",20071010
100,WHITBY--OSHAWA,11,0,80,1,2,65,16,"Whitby",027, ,0,0,0,175,337,"Winchester Public School",20071010
100,WHITBY--OSHAWA,12,0,99,0,0,46,22,"Whitby",028, ,1,0,0,180,373,"Brooklin Community Centre",20071010
100,WHITBY--OSHAWA,16,1,70,0,0,71,13,"Whitby",029, ,0,0,0,171,374,"Brooklin Community Centre",20071010
100,WHITBY--OSHAWA,9,1,55,0,3,36,14,"Oshawa",030, ,2,0,0,120,258,"Oshawa Shrine Club",20071010
100,WHITBY--OSHAWA,22,0,35,1,3,76,57,"Oshawa",031, ,1,0,1,196,393,"UOIT/Durham College",20071010
100,WHITBY--OSHAWA,11,1,50,0,0,32,9,"Brooklin",032, ,0,0,0,103,208,"St. Thomas Anglican Church",20071010
100,WHITBY--OSHAWA,6,1,76,2,1,43,17,"Oshawa",033, ,0,0,0,146,316,"Oshawa Shrine Club",20071010
100,WHITBY--OSHAWA,13,1,72,0,2,60,25,"Oshawa",034, ,0,0,0,173,337,"Oshawa Shrine Club",20071010
100,WHITBY--OSHAWA,12,0,91,1,2,63,51,"Oshawa",035, ,0,0,0,220,429,"Oshawa Shrine Club",20071010
100,WHITBY--OSHAWA,10,0,75,0,2,47,25,"Oshawa",036, ,0,0,0,159,360,"Oshawa Shrine Club",20071010
100,WHITBY--OSHAWA,17,0,88,0,2,82,24,"Whitby",037, ,0,0,0,213,519,"Sinclair Secondary School",20071010
100,WHITBY--OSHAWA,11,1,62,0,0,48,14,"Whitby",038, ,0,0,0,136,336,"Sinclair Secondary School",20071010
100,WHITBY--OSHAWA,9,0,59,0,1,55,8,"Whitby",039, ,0,0,0,132,369,"Sinclair Secondary School",20071010
100,WHITBY--OSHAWA,13,2,41,1,2,33,30,"Oshawa",040, ,1,0,0,123,276,"Oshawa Shrine Club",20071010
100,WHITBY--OSHAWA,11,1,98,0,3,63,23,"Oshawa",041, ,0,1,0,200,434,"Sunset Heights Public School",20071010
100,WHITBY--OSHAWA,5,0,34,1,0,27,25,"Oshawa",042, ,0,0,0,92,235,"Sunset Heights Public School",20071010
100,WHITBY--OSHAWA,13,2,96,0,0,54,29,"Oshawa",043, ,2,0,2,198,407,"Sunset Heights Public School",20071010
100,WHITBY--OSHAWA,5,1,50,1,1,33,17,"Oshawa",044, ,0,0,0,108,271,"Sunset Heights Public School",20071010
100,WHITBY--OSHAWA,10,2,38,0,0,53,16,"Whitby",045, ,0,0,0,119,307,"Sinclair Secondary School",20071010
100,WHITBY--OSHAWA,12,0,98,0,3,98,21,"Whitby",046, ,5,0,0,237,496,"Sinclair Secondary School",20071010
100,WHITBY--OSHAWA,16,1,68,0,1,62,23,"Whitby",047, ,2,0,0,173,381,"Sinclair Secondary School",20071010
100,WHITBY--OSHAWA,13,0,68,0,2,51,15,"Whitby",048, ,2,0,0,151,363,"Sinclair Secondary School",20071010
100,WHITBY--OSHAWA,19,0,95,1,2,82,19,"Whitby",049, ,0,2,0,220,458,"Sir Samuel Steele Public School",20071010
100,WHITBY--OSHAWA,13,0,77,1,2,69,24,"Whitby",050, ,0,0,0,186,391,"Sir Samuel Steele Public School",20071010
100,WHITBY--OSHAWA,17,0,107,1,4,92,20,"Whitby",051, ,1,0,0,242,472,"Sir Samuel Steele Public School",20071010
100,WHITBY--OSHAWA,8,0,80,2,0,66,11,"Whitby",052, ,0,0,0,167,416,"Sir Samuel Steele Public School",20071010
100,WHITBY--OSHAWA,12,1,65,1,5,82,20,"Whitby",053, ,2,1,0,189,383,"Sir Samuel Steele Public School",20071010
100,WHITBY--OSHAWA,10,0,102,0,2,61,41,"Oshawa",054, ,0,0,0,216,426,"Sunset Heights Public School",20071010
100,WHITBY--OSHAWA,12,0,75,1,2,58,39,"Oshawa",055, ,1,3,1,192,411,"Monsignor Paul Dwyer Catholic High School",20071010
100,WHITBY--OSHAWA,17,0,56,2,1,38,25,"Oshawa",056, ,0,0,0,139,332,"Sunset Heights Public School",20071010
100,WHITBY--OSHAWA,14,0,84,1,4,47,10,"Whitby",057, ,0,0,0,160,333,"Williamsburg Public School",20071010
100,WHITBY--OSHAWA,12,0,99,0,2,100,9,"Whitby",058, ,1,1,0,224,445,"Sinclair Secondary School",20071010
100,WHITBY--OSHAWA,8,1,54,0,1,46,9,"Whitby",059, ,1,0,0,120,272,"Jack Miner Public School",20071010
100,WHITBY--OSHAWA,2,0,15,0,0,8,2,"Whitby",060s, ,0,0,0,27,112,"The Village of Taunton Mills",20071010
100,WHITBY--OSHAWA,16,0,119,0,0,109,25,"Whitby",061, ,0,1,0,270,519,"Ormiston Public School",20071010
100,WHITBY--OSHAWA,9,1,84,0,2,92,10,"Whitby",062, ,0,0,0,198,409,"Ormiston Public School",20071010
100,WHITBY--OSHAWA,16,1,102,0,0,139,30,"Whitby",063, ,1,0,0,289,540,"Fallingbrook Public School",20071010
100,WHITBY--OSHAWA,15,0,141,0,1,115,8,"Whitby",064, ,1,0,0,281,458,"Fallingbrook Public School",20071010
100,WHITBY--OSHAWA,14,0,70,0,3,99,11,"Whitby",065, ,0,0,1,198,400,"Father Leo J. Austin Catholic High School",20071010
100,WHITBY--OSHAWA,4,1,37,2,1,33,9,"Whitby",066s, ,1,1,0,89,129,"The Court at Pringle Creek",20071010
100,WHITBY--OSHAWA,13,0,89,1,1,111,16,"Whitby",067, ,0,0,0,231,516,"Fallingbrook Public School",20071010
100,WHITBY--OSHAWA,3,1,83,0,2,68,15,"Whitby",068, ,0,0,0,172,367,"Sir Samuel Steele Public School",20071010
100,WHITBY--OSHAWA,10,0,79,0,1,65,15,"Whitby",069, ,1,0,0,171,365,"Sir Samuel Steele Public School",20071010
100,WHITBY--OSHAWA,14,0,90,0,0,63,14,"Whitby",070, ,1,0,0,182,399,"St. Mark the Evangelist Catholic School",20071010
100,WHITBY--OSHAWA,14,0,120,0,1,121,21,"Whitby",071, ,1,0,0,278,494,"John Dryden Public School",20071010
100,WHITBY--OSHAWA,10,0,54,2,2,49,21,"Whitby",072, ,2,0,0,140,360,"St. Mark the Evangelist Catholic School",20071010
100,WHITBY--OSHAWA,8,0,56,0,4,54,18,"Whitby",073, ,0,0,0,140,262,"St. Mark the Evangelist Catholic School",20071010
100,WHITBY--OSHAWA,11,2,80,0,1,76,22,"Whitby",074, ,1,0,1,194,404,"John Dryden Public School",20071010
100,WHITBY--OSHAWA,17,2,66,1,0,46,24,"Whitby",075, ,2,0,0,158,341,"John Dryden Public School",20071010
100,WHITBY--OSHAWA,10,1,83,1,2,66,34,"Whitby",076, ,2,1,0,200,416,"John Dryden Public School",20071010
100,WHITBY--OSHAWA,10,3,83,0,5,98,27,"Oshawa",077, ,2,0,0,228,481,"Monsignor Paul Dwyer Catholic High School",20071010
100,WHITBY--OSHAWA,7,2,88,0,2,75,24,"Oshawa",078, ,1,1,0,200,384,"Monsignor Paul Dwyer Catholic High School",20071010
100,WHITBY--OSHAWA,13,4,86,1,3,83,29,"Oshawa",079, ,2,0,0,221,422,"Monsignor Paul Dwyer Catholic High School",20071010
100,WHITBY--OSHAWA,9,2,62,0,2,39,26,"Oshawa",080, ,1,0,0,141,283,"R.S. McLaughlin Central Collegiate Institute",20071010
100,WHITBY--OSHAWA,16,5,86,0,2,81,19,"Oshawa",081, ,0,0,0,209,360,"Monsignor Paul Dwyer Catholic High School",20071010
100,WHITBY--OSHAWA,11,2,85,0,4,71,25,"Oshawa",082, ,0,0,0,198,380,"Monsignor Paul Dwyer Catholic High School",20071010
100,WHITBY--OSHAWA,19,4,80,0,0,55,18,"Oshawa",083, ,0,0,0,176,330,"Monsignor Paul Dwyer Catholic High School",20071010
100,WHITBY--OSHAWA,13,1,40,0,1,62,22,"Whitby",084, ,1,0,0,140,365,"Williamsburg Public School",20071010
100,WHITBY--OSHAWA,7,1,60,0,1,47,16,"Whitby",085, ,0,0,1,133,321,"Williamsburg Public School",20071010
100,WHITBY--OSHAWA,7,1,71,0,2,68,10,"Whitby",086, ,0,0,0,159,377,"Captain Michael Vandenbos Public School",20071010
100,WHITBY--OSHAWA,6,0,51,0,0,57,11,"Whitby",087, ,0,0,0,125,348,"Captain Michael Vandenbos Public School",20071010
100,WHITBY--OSHAWA,10,2,97,1,2,90,8,"Whitby",088, ,1,0,0,211,439,"Captain Michael Vandenbos Public School",20071010
100,WHITBY--OSHAWA,8,1,87,0,2,104,9,"Whitby",089, ,7,1,0,219,418,"Captain Michael Vandenbos Public School",20071010
100,WHITBY--OSHAWA,0,1,18,0,1,5,0,"Whitby",090s, ,0,1,0,26,34,"Lynde Creek Manor",20071010
100,WHITBY--OSHAWA,10,0,85,1,2,55,11,"Whitby",091, ,0,1,0,165,298,"Jack Miner Public School",20071010
100,WHITBY--OSHAWA,12,0,68,0,1,62,15,"Whitby",092, ,0,1,0,159,371,"Jack Miner Public School",20071010
100,WHITBY--OSHAWA,11,2,64,0,0,43,13,"Whitby",093, ,0,0,0,133,300,"Jack Miner Public School",20071010
100,WHITBY--OSHAWA,8,0,39,1,1,51,17,"Whitby",094, ,1,0,0,118,288,"Ormiston Public School",20071010
100,WHITBY--OSHAWA,16,0,78,1,0,59,27,"Whitby",095, ,0,0,0,181,409,"Ormiston Public School",20071010
100,WHITBY--OSHAWA,23,4,110,0,3,61,15,"Whitby",096, ,0,0,0,216,438,"Ormiston Public School",20071010
100,WHITBY--OSHAWA,23,0,121,0,0,97,30,"Whitby",097, ,0,0,0,271,589,"St. Matthew Catholic School",20071010
100,WHITBY--OSHAWA,13,0,83,0,1,75,25,"Whitby",098, ,0,0,0,197,392,"St. Matthew Catholic School",20071010
100,WHITBY--OSHAWA,18,3,99,0,1,116,18,"Whitby",099, ,3,2,0,260,481,"Ormiston Public School",20071010
100,WHITBY--OSHAWA,13,0,100,2,0,128,24,"Whitby",100, ,0,0,0,267,503,"Father Leo J. Austin Catholic High School",20071010
100,WHITBY--OSHAWA,14,0,135,1,0,107,22,"Whitby",101, ,1,1,0,281,486,"Glen Dhu Public School",20071010
100,WHITBY--OSHAWA,13,0,125,1,0,109,17,"Whitby",102, ,0,0,0,265,487,"Father Leo J. Austin Catholic High School",20071010
100,WHITBY--OSHAWA,14,3,135,1,1,105,24,"Whitby",103, ,0,0,0,283,538,"Glen Dhu Public School",20071010
100,WHITBY--OSHAWA,16,0,129,1,0,92,19,"Whitby",104, ,1,0,2,260,515,"Father Leo J. Austin Catholic High School",20071010
100,WHITBY--OSHAWA,16,1,114,0,3,95,19,"Whitby",105, ,0,0,0,248,475,"Glen Dhu Public School",20071010
100,WHITBY--OSHAWA,10,0,115,1,3,108,10,"Whitby",106, ,0,2,0,249,493,"Father Leo J. Austin Catholic High School",20071010
100,WHITBY--OSHAWA,14,1,75,0,0,84,23,"Whitby",107, ,1,0,0,198,405,"Westminster United Church",20071010
100,WHITBY--OSHAWA,16,4,72,0,2,102,25,"Whitby",108, ,1,0,0,222,497,"John Dryden Public School",20071010
100,WHITBY--OSHAWA,11,1,98,0,0,72,14,"Whitby",109, ,0,1,0,197,414,"Westminster United Church",20071010
100,WHITBY--OSHAWA,6,0,106,1,1,72,43,"Whitby",110, ,0,0,0,229,453,"St. Paul Catholic School",20071010
100,WHITBY--OSHAWA,10,1,98,0,4,65,28,"Whitby",111, ,0,0,0,206,435,"Westminster United Church",20071010
100,WHITBY--OSHAWA,26,2,111,0,2,73,35,"Whitby",112, ,1,0,0,250,420,"St. Paul Catholic School",20071010
100,WHITBY--OSHAWA,8,0,70,1,0,54,37,"Oshawa",113, ,0,0,0,170,368,"Stephen G. Saywell Public School",20071010
100,WHITBY--OSHAWA,15,0,108,1,2,88,31,"Oshawa",114, ,3,0,0,248,462,"Stephen G. Saywell Public School",20071010
100,WHITBY--OSHAWA,23,3,74,3,3,87,43,"Oshawa",115, ,0,0,1,237,419,"Stephen G. Saywell Public School",20071010
100,WHITBY--OSHAWA,10,0,103,0,1,73,21,"Oshawa",116, ,0,0,0,208,399,"R.S. McLaughlin Central Collegiate Institute",20071010
100,WHITBY--OSHAWA,13,1,62,0,2,46,36,"Oshawa",117, ,1,0,0,161,421,"R.S. McLaughlin Central Collegiate Institute",20071010
100,WHITBY--OSHAWA,12,2,70,1,2,58,33,"Oshawa",118, ,1,0,0,179,312,"R.S. McLaughlin Central Collegiate Institute",20071010
100,WHITBY--OSHAWA,13,1,80,1,0,58,38,"Oshawa",119, ,0,2,1,194,335,"Woodcrest Public School",20071010
100,WHITBY--OSHAWA,5,0,82,0,3,59,49,"Oshawa",120, ,1,1,0,200,377,"Woodcrest Public School",20071010
100,WHITBY--OSHAWA,12,3,68,0,3,63,36,"Oshawa",121, ,1,0,0,186,373,"R.S. McLaughlin Central Collegiate Institute",20071010
100,WHITBY--OSHAWA,9,1,83,1,1,45,41,"Oshawa",122, ,0,1,0,182,351,"St. Christopher Catholic School",20071010
100,WHITBY--OSHAWA,14,1,59,2,0,72,49,"Oshawa",123, ,1,0,0,198,408,"St. Christopher Catholic School",20071010
100,WHITBY--OSHAWA,11,5,69,0,2,54,39,"Oshawa",124, ,2,0,0,182,366,"St. Christopher Catholic School",20071010
100,WHITBY--OSHAWA,9,1,66,3,2,73,17,"Whitby",125, ,1,0,0,172,417,"Williamsburg Public School",20071010
100,WHITBY--OSHAWA,22,0,63,0,1,65,23,"Whitby",126, ,0,0,0,174,362,"Williamsburg Public School",20071010
100,WHITBY--OSHAWA,16,1,94,0,2,85,20,"Whitby",127, ,3,1,0,222,477,"Williamsburg Public School",20071010
