ED_CODE,ED_NAME,GHOSH,MONSTER,SHINER,SUTHERLAND,THOMAS,ZETTERLUND,ZIMMER,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
101,WILLOWDALE,7,0,42,1,2,2,47,"Toronto",001A, ,0,1,0,102,262,"Highland Junior High School",20071010
101,WILLOWDALE,10,0,33,0,2,2,41,"Toronto",001B, ,0,1,0,89,216,"Highland Junior High School",20071010
101,WILLOWDALE,6,1,16,1,2,4,54,"Toronto",002s, ,0,0,2,86,180,"Gibson Long Term Care Centre",20071010
101,WILLOWDALE,25,2,63,0,1,3,79,"Toronto",003, ,0,0,0,173,415,"Cliffwood Public School",20071010
101,WILLOWDALE,4,4,36,0,2,8,54,"Toronto",004A, ,1,0,0,109,272,"Cliffwood Public School",20071010
101,WILLOWDALE,9,0,29,1,2,9,35,"Toronto",004B, ,0,1,0,86,217,"Cliffwood Public School",20071010
101,WILLOWDALE,14,0,35,1,2,5,73,"Toronto",005A, ,2,1,0,133,283,"Cliffwood Public School",20071010
101,WILLOWDALE,7,0,32,1,0,5,53,"Toronto",005B, ,0,1,0,99,209,"Cliffwood Public School",20071010
101,WILLOWDALE,11,2,28,0,4,6,60,"Toronto",006A, ,0,1,0,112,282,"Highland Junior High School",20071010
101,WILLOWDALE,14,1,23,0,2,3,35,"Toronto",006B, ,0,1,1,80,203,"Highland Junior High School",20071010
101,WILLOWDALE,23,4,60,0,3,13,76,"Toronto",007, ,0,1,0,180,459,"Highland Junior High School",20071010
101,WILLOWDALE,26,0,94,1,4,11,73,"Toronto",008, ,1,2,0,212,461,"Highland Junior High School",20071010
101,WILLOWDALE,10,0,43,2,1,5,72,"Toronto",009A, ,1,0,0,134,287,"Steelesview Public School",20071010
101,WILLOWDALE,16,0,36,0,1,5,51,"Toronto",009B, ,0,1,0,110,237,"Steelesview Public School",20071010
101,WILLOWDALE,5,0,20,0,1,1,16,"Toronto",010-1s, ,0,1,0,44,67,"Gibson Retirement Residence",20071010
101,WILLOWDALE,5,0,63,0,2,7,42,"Toronto",010A, ,0,3,0,122,314,"A.Y. Jackson Secondary School",20071010
101,WILLOWDALE,1,1,49,0,2,7,36,"Toronto",010B, ,0,0,0,96,249,"A.Y. Jackson Secondary School",20071010
101,WILLOWDALE,4,1,29,0,0,12,39,"Toronto",011A, ,0,0,0,85,221,"A.Y. Jackson Secondary School",20071010
101,WILLOWDALE,7,0,63,0,0,6,65,"Toronto",011B, ,1,0,0,142,346,"A.Y. Jackson Secondary School",20071010
101,WILLOWDALE,9,0,50,0,1,5,62,"Toronto",012A, ,0,0,0,127,228,"Cliffwood Public School",20071010
101,WILLOWDALE,7,0,88,0,0,3,83,"Toronto",012B, ,1,0,0,182,321,"Cliffwood Public School",20071010
101,WILLOWDALE,17,3,46,0,2,14,70,"Toronto",013A, ,0,1,0,153,299,"Highland Junior High School",20071010
101,WILLOWDALE,11,1,30,0,2,14,50,"Toronto",013B, ,0,0,0,108,243,"Highland Junior High School",20071010
101,WILLOWDALE,6,1,110,0,2,8,104,"Toronto",014, ,0,1,0,232,450,"Steelesview Public School",20071010
101,WILLOWDALE,11,2,69,1,1,12,102,"Toronto",015, ,1,0,0,199,444,"Steelesview Public School",20071010
101,WILLOWDALE,12,2,46,0,0,5,56,"Toronto",016, ,1,1,0,123,324,"A.Y. Jackson Secondary School",20071010
101,WILLOWDALE,7,0,65,0,1,7,72,"Toronto",017, ,0,2,0,154,343,"Cresthaven Public School",20071010
101,WILLOWDALE,17,4,81,0,0,14,88,"Toronto",018, ,0,1,0,205,460,"A.Y. Jackson Secondary School",20071010
101,WILLOWDALE,10,0,64,0,1,12,88,"Toronto",019, ,1,0,0,176,422,"Cresthaven Public School",20071010
101,WILLOWDALE,13,2,31,0,2,1,40,"Toronto",020, ,0,0,0,89,288,"Hillmount Public School",20071010
101,WILLOWDALE,12,1,42,0,0,12,47,"Toronto",021A, ,0,1,0,115,245,"Hillmount Public School",20071010
101,WILLOWDALE,6,2,55,1,2,5,50,"Toronto",021B, ,0,0,0,121,306,"Hillmount Public School",20071010
101,WILLOWDALE,6,2,47,0,0,7,35,"Toronto",022A, ,0,0,0,97,219,"Brebeuf College School",20071010
101,WILLOWDALE,4,1,51,0,0,10,59,"Toronto",022B, ,0,0,0,125,270,"Brebeuf College School",20071010
101,WILLOWDALE,3,1,45,0,1,6,39,"Toronto",023A, ,0,0,0,95,227,"Brebeuf College School",20071010
101,WILLOWDALE,8,4,52,0,0,6,40,"Toronto",023B, ,0,0,0,110,263,"Brebeuf College School",20071010
101,WILLOWDALE,9,3,113,0,2,5,77,"Toronto",024, ,2,1,0,212,512,"Steelesview Public School",20071010
101,WILLOWDALE,..........................NO POLL HELD........................,,,,,,,"Toronto",025, ,0,0,0,0,0,"",20071010
101,WILLOWDALE,10,3,80,1,2,8,64,"Toronto",026, ,2,1,0,171,422,"Pineway Public School",20071010
101,WILLOWDALE,15,2,48,0,0,7,77,"Toronto",027, ,1,1,0,151,394,"Cresthaven Public School",20071010
101,WILLOWDALE,25,1,46,0,2,8,92,"Toronto",028, ,1,2,0,177,352,"Cresthaven Public School",20071010
101,WILLOWDALE,11,1,70,0,2,7,92,"Toronto",029, ,2,1,0,186,441,"Cresthaven Public School",20071010
101,WILLOWDALE,16,2,36,0,0,4,47,"Toronto",030A, ,1,0,0,106,278,"Cresthaven Public School",20071010
101,WILLOWDALE,8,1,25,0,2,5,43,"Toronto",030B, ,0,1,0,85,231,"Cresthaven Public School",20071010
101,WILLOWDALE,17,0,31,0,0,14,80,"Toronto",031A, ,1,1,0,144,282,"Hillmount Public School",20071010
101,WILLOWDALE,17,1,25,0,2,6,58,"Toronto",031B, ,0,0,1,110,238,"Hillmount Public School",20071010
101,WILLOWDALE,11,2,35,0,5,13,79,"Toronto",032, ,3,1,0,149,360,"Lillian Public School",20071010
101,WILLOWDALE,12,1,69,0,2,8,86,"Toronto",033, ,4,1,0,183,380,"Lillian Public School",20071010
101,WILLOWDALE,7,0,31,0,0,3,48,"Toronto",034A, ,1,0,0,90,247,"Brebeuf College School",20071010
101,WILLOWDALE,11,1,39,0,0,9,60,"Toronto",034B, ,0,0,0,120,259,"Brebeuf College School",20071010
101,WILLOWDALE,8,0,31,0,1,3,52,"Toronto",035A, ,0,0,0,95,271,"Willowdale Pentecostal Church",20071010
101,WILLOWDALE,11,0,38,0,2,7,51,"Toronto",035B, ,1,1,0,111,331,"Willowdale Pentecostal Church",20071010
101,WILLOWDALE,3,2,61,0,0,5,48,"Toronto",036A, ,0,0,0,119,290,"St. Joseph's Convent",20071010
