ED_CODE,ED_NAME,CHARIF,CURTIN,DUNCAN,MCAVOY,ROBINSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
102,WINDSOR--TECUMSEH,26,8,95,8,34,"Windsor",001, ,0,0,0,171,354,"St. John Vianney Elementary School",20071010
102,WINDSOR--TECUMSEH,17,1,53,4,8,"Windsor",002, ,0,0,0,83,154,"Hetherington Public School",20071010
102,WINDSOR--TECUMSEH,35,1,56,7,13,"Windsor",003, ,0,0,1,113,343,"St. John Vianney Elementary School",20071010
102,WINDSOR--TECUMSEH,14,1,42,6,20,"Windsor",004, ,2,1,0,86,251,"St. John Vianney Elementary School",20071010
102,WINDSOR--TECUMSEH,24,4,46,10,19,"Windsor",005, ,0,0,0,103,287,"St. John Vianney Elementary School",20071010
102,WINDSOR--TECUMSEH,34,5,102,9,30,"Windsor",006, ,1,1,0,182,355,"St. John Vianney Elementary School",20071010
102,WINDSOR--TECUMSEH,39,4,72,14,30,"Windsor",007, ,0,1,0,160,331,"Hetherington Public School",20071010
102,WINDSOR--TECUMSEH,20,2,59,8,21,"Windsor",008, ,1,1,0,112,282,"Hetherington Public School",20071010
102,WINDSOR--TECUMSEH,24,6,93,15,40,"Windsor",009, ,0,0,0,178,405,"Hetherington Public School",20071010
102,WINDSOR--TECUMSEH,17,2,56,4,14,"Windsor",010, ,0,0,0,93,277,"Hetherington Public School",20071010
102,WINDSOR--TECUMSEH,30,8,34,9,31,"Windsor",011, ,1,0,0,113,284,"Riverside Sportsmen Club",20071010
102,WINDSOR--TECUMSEH,13,0,76,6,33,"Windsor",012, ,0,0,0,128,294,"Riverside Sportsmen Club",20071010
102,WINDSOR--TECUMSEH,25,3,66,8,19,"Windsor",013, ,0,1,0,122,303,"F. J. Brennan Catholic High School",20071010
102,WINDSOR--TECUMSEH,12,0,74,7,33,"Windsor",014, ,0,0,0,126,305,"F. J. Brennan Catholic High School",20071010
102,WINDSOR--TECUMSEH,9,1,106,12,44,"Windsor",015, ,0,0,1,173,411,"Princess Elizabeth School",20071010
102,WINDSOR--TECUMSEH,14,1,87,18,38,"Windsor",016, ,1,0,0,159,350,"Princess Elizabeth School",20071010
102,WINDSOR--TECUMSEH,20,3,66,26,20,"Windsor",017, ,0,0,0,135,324,"École élémentaire catholique Georges P Vanier",20071010
102,WINDSOR--TECUMSEH,13,0,31,1,7,"Windsor",018, ,0,0,0,52,207,"Concord Public School",20071010
102,WINDSOR--TECUMSEH,14,0,43,6,6,"Windsor",019, ,0,2,0,71,203,"Concord Public School",20071010
102,WINDSOR--TECUMSEH,20,2,57,9,26,"Windsor",020, ,1,2,0,117,289,"Concord Public School",20071010
102,WINDSOR--TECUMSEH,23,1,76,20,26,"Windsor",021, ,0,1,0,147,331,"St. Maria Goretti Elementary School",20071010
102,WINDSOR--TECUMSEH,24,3,61,17,26,"Windsor",022, ,2,0,0,133,332,"St. John Vianney Elementary School",20071010
102,WINDSOR--TECUMSEH,46,3,91,17,25,"Windsor",023, ,0,0,0,182,366,"Riverside Secondary School",20071010
102,WINDSOR--TECUMSEH,37,5,73,6,22,"Windsor",024, ,3,2,0,148,315,"Riverside Secondary School",20071010
102,WINDSOR--TECUMSEH,29,2,67,12,17,"Windsor",025, ,2,2,0,131,282,"Riverside Secondary School",20071010
102,WINDSOR--TECUMSEH,21,3,34,5,22,"Windsor",026, ,0,0,0,85,241,"Hetherington Public School",20071010
