ED_CODE,ED_NAME,DIONNE,HANEY,KLIMOWICZ,LUMLEY,PUPATELLO,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
103,WINDSOR WEST,1,4,24,6,31,"Windsor",001, ,0,0,0,66,262,"All Saints Church",20071010
103,WINDSOR WEST,1,4,12,3,20,"Windsor",002, ,0,0,0,40,159,"Immaculate Conception Elementary School",20071010
103,WINDSOR WEST,0,2,8,2,31,"Windsor",003, ,0,1,0,44,167,"Immaculate Conception Elementary School",20071010
103,WINDSOR WEST,3,5,4,21,63,"Windsor",004s, ,2,0,0,98,203,"Devonshire Seniors' Residence",20071010
103,WINDSOR WEST,1,6,22,5,40,"Windsor",005, ,2,0,0,76,191,"Church of Ascension",20071010
103,WINDSOR WEST,0,4,14,9,33,"Windsor",006, ,0,0,0,60,268,"St. Michael's School",20071010
103,WINDSOR WEST,2,0,11,7,29,"Windsor",007, ,0,0,0,49,220,"St. Michael's School",20071010
103,WINDSOR WEST,1,1,13,3,17,"Windsor",008s, ,1,0,0,36,218,"Versa Care-Windsor Place",20071010
103,WINDSOR WEST,1,2,11,10,27,"Windsor",009, ,0,0,0,51,245,"All Saints Church",20071010
103,WINDSOR WEST,2,1,15,6,23,"Windsor",010, ,0,0,0,47,187,"Immaculate Conception Elementary School",20071010
103,WINDSOR WEST,1,2,8,3,14,"Windsor",011, ,0,0,0,28,165,"Immaculate Conception Elementary School",20071010
103,WINDSOR WEST,6,1,6,1,9,"Windsor",012, ,0,0,0,23,136,"Immaculate Conception Elementary School",20071010
103,WINDSOR WEST,0,2,12,6,17,"Windsor",013, ,0,0,0,37,159,"Immaculate Conception Elementary School",20071010
103,WINDSOR WEST,0,4,17,6,26,"Windsor",014, ,4,0,0,57,186,"Immaculate Conception Elementary School",20071010
103,WINDSOR WEST,1,6,15,12,17,"Windsor",015, ,0,1,0,52,169,"Assumption High School",20071010
103,WINDSOR WEST,1,7,11,13,35,"Windsor",016, ,1,0,0,68,219,"Taylor Elementary School",20071010
103,WINDSOR WEST,2,10,19,9,24,"Windsor",017, ,0,0,0,64,197,"Church of Ascension",20071010
103,WINDSOR WEST,0,4,18,4,41,"Windsor",018, ,2,0,0,69,198,"Church of Ascension",20071010
103,WINDSOR WEST,1,3,21,9,23,"Windsor",019, ,0,0,0,57,177,"Church of Ascension",20071010
103,WINDSOR WEST,1,7,29,12,22,"Windsor",020, ,4,0,0,75,208,"Church of Ascension",20071010
103,WINDSOR WEST,1,9,24,13,42,"Windsor",021, ,0,0,1,90,234,"Church of Ascension",20071010
103,WINDSOR WEST,4,2,30,6,17,"Windsor",022, ,1,0,0,60,190,"Church of Ascension",20071010
103,WINDSOR WEST,0,3,11,5,22,"Windsor",023, ,1,0,0,42,184,"Church of Ascension",20071010
103,WINDSOR WEST,..........................NO POLL HELD........................,,,,,"Windsor",024, ,0,0,0,0,0,"",20071010
103,WINDSOR WEST,1,3,20,1,26,"Windsor",025, ,2,0,0,53,292,"St. Michael's School",20071010
103,WINDSOR WEST,4,2,9,1,17,"Windsor",026s, ,2,0,0,35,76,"Bruce Villa Nursing Home",20071010
103,WINDSOR WEST,..........................NO POLL HELD........................,,,,,"Windsor",027, ,0,0,0,0,0,"",20071010
103,WINDSOR WEST,1,7,19,2,25,"Windsor",028, ,0,0,0,54,215,"Dougall Avenue Public School",20071010
103,WINDSOR WEST,2,0,9,3,7,"Windsor",029s, ,1,1,0,23,70,"Regency Park Nursing / Retirement Centre",20071010
103,WINDSOR WEST,1,5,16,12,40,"Windsor",030, ,1,0,0,75,278,"St. Michael's School",20071010
103,WINDSOR WEST,0,3,11,3,29,"Windsor",031, ,2,0,0,48,163,"Dougall Avenue Public School",20071010
103,WINDSOR WEST,3,1,9,1,15,"Windsor",032s, ,0,0,0,29,52,"Victoria Manor Retirement Home",20071010
