ED_CODE,ED_NAME,CARVALHO,GILBANK,MCKIBBIN,MORRISON,MUNRO,REEVES,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
105,YORK--SIMCOE,2,49,2,9,65,17,"Cookstown",001, ,0,0,0,144,287,"Cookstown Central Public School",20071010
105,YORK--SIMCOE,0,36,0,1,42,8,"Churchill",002, ,0,0,1,88,233,"Churchill Community Centre",20071010
105,YORK--SIMCOE,4,32,2,18,75,20,"Cookstown",003, ,1,0,0,152,294,"Cookstown Central Public School",20071010
105,YORK--SIMCOE,1,53,3,28,82,31,"Cookstown",004, ,0,0,0,198,358,"Cookstown Central Public School",20071010
105,YORK--SIMCOE,0,79,3,24,85,12,"Bradford",005, ,0,1,0,204,394,"Sir William Osler Public School",20071010
105,YORK--SIMCOE,3,43,1,7,60,16,"Churchill",006, ,0,0,0,130,340,"Churchill Community Centre",20071010
105,YORK--SIMCOE,2,70,3,19,73,40,"Cookstown",007, ,1,0,0,208,387,"Cookstown Central Public School",20071010
105,YORK--SIMCOE,2,55,2,14,107,11,"Bradford",008, ,0,0,0,191,325,"Sir William Osler Public School",20071010
105,YORK--SIMCOE,6,76,1,19,98,16,"Bradford",009, ,1,0,0,217,392,"Sir William Osler Public School",20071010
105,YORK--SIMCOE,4,53,2,25,109,25,"Churchill",010, ,2,0,0,220,437,"Churchill Community Centre",20071010
105,YORK--SIMCOE,1,63,0,21,95,33,"Innisfil",011, ,0,0,0,213,418,"Sunnybrae Public School",20071010
105,YORK--SIMCOE,9,35,0,3,114,16,"Bradford",012, ,0,1,0,178,381,"Sir William Osler Public School",20071010
105,YORK--SIMCOE,1,60,4,18,82,25,"Innisfil",013, ,0,0,0,190,444,"Sunnybrae Public School",20071010
105,YORK--SIMCOE,1,69,2,16,96,25,"Innisfil",014, ,0,0,0,209,433,"Sunnybrae Public School",20071010
