ED_CODE,ED_NAME,ALBANESE,DIAS,FERREIRA,GRATL,McMILLAN,SANABRIA,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
106,YORK SOUTH--WESTON,150,0,35,3,21,1,"Toronto",001, ,3,0,0,213,365,"École publique Maison Montessori",20071010
106,YORK SOUTH--WESTON,133,2,62,5,33,1,"Toronto",002, ,1,0,0,237,496,"Nelson A. Boylen Collegiate Institute",20071010
106,YORK SOUTH--WESTON,18,0,8,0,8,0,"Toronto",003, ,1,0,0,35,142,"École publique Maison Montessori",20071010
106,YORK SOUTH--WESTON,111,2,20,6,15,0,"Toronto",004, ,1,0,0,155,285,"École publique Maison Montessori",20071010
106,YORK SOUTH--WESTON,107,0,40,11,15,0,"Toronto",005, ,4,0,0,177,340,"Falstaff Community Centre",20071010
106,YORK SOUTH--WESTON,124,1,45,11,20,3,"Toronto",006, ,5,0,0,209,404,"Nelson A. Boylen Collegiate Institute",20071010
106,YORK SOUTH--WESTON,122,0,32,4,25,0,"Toronto",007, ,5,0,0,188,331,"St. Fidelis Catholic School",20071010
106,YORK SOUTH--WESTON,99,2,49,6,22,1,"Toronto",008, ,3,1,0,183,370,"St. Fidelis Catholic School",20071010
106,YORK SOUTH--WESTON,86,2,22,5,9,0,"Toronto",009, ,4,0,0,128,309,"École publique Maison Montessori",20071010
106,YORK SOUTH--WESTON,153,2,58,4,15,3,"Toronto",010, ,1,0,1,237,368,"École publique Maison Montessori",20071010
106,YORK SOUTH--WESTON,92,0,96,2,22,0,"Toronto",011, ,2,0,0,214,366,"Pelmo Community Centre",20071010
106,YORK SOUTH--WESTON,174,0,70,3,18,0,"Toronto",012, ,0,0,0,265,458,"Falstaff Community Centre",20071010
106,YORK SOUTH--WESTON,162,1,80,12,20,2,"Toronto",013, ,0,0,1,278,483,"Maple Leaf Public School",20071010
106,YORK SOUTH--WESTON,187,3,51,6,21,1,"Toronto",014, ,3,0,0,272,433,"Maple Leaf Public School",20071010
106,YORK SOUTH--WESTON,118,2,56,5,20,4,"Toronto",015, ,0,0,2,207,371,"St. Francis Xavier Catholic School",20071010
106,YORK SOUTH--WESTON,103,1,20,9,23,1,"Toronto",016, ,0,0,0,157,342,"St. Francis Xavier Catholic School",20071010
106,YORK SOUTH--WESTON,107,2,94,10,21,1,"Toronto",017, ,0,0,0,235,415,"Pelmo Community Centre",20071010
106,YORK SOUTH--WESTON,115,1,81,7,32,1,"Toronto",018, ,0,0,0,237,401,"Pelmo Community Centre",20071010
106,YORK SOUTH--WESTON,89,1,111,8,22,0,"Toronto",019, ,0,0,0,231,384,"Pelmo Park Public School",20071010
106,YORK SOUTH--WESTON,62,1,55,3,15,1,"Toronto",020, ,0,1,0,138,292,"Pelmo Park Public School",20071010
106,YORK SOUTH--WESTON,187,3,64,5,21,2,"Toronto",021, ,1,0,0,283,436,"La Senda Del Amor",20071010
106,YORK SOUTH--WESTON,224,1,37,7,15,0,"Toronto",022, ,3,0,0,287,465,"Amesbury Middle School",20071010
106,YORK SOUTH--WESTON,180,4,61,7,19,2,"Toronto",023, ,2,2,0,277,476,"Amesbury Middle School",20071010
106,YORK SOUTH--WESTON,97,1,55,4,14,1,"Toronto",024, ,0,1,0,173,352,"St. Francis Xavier Catholic School",20071010
106,YORK SOUTH--WESTON,73,1,57,5,13,2,"Toronto",025, ,0,0,0,151,303,"St. Francis Xavier Catholic School",20071010
106,YORK SOUTH--WESTON,45,0,33,1,6,0,"Toronto",026, ,0,0,0,85,175,"St. Francis Xavier Catholic School",20071010
106,YORK SOUTH--WESTON,91,0,34,3,11,1,"Toronto",027, ,3,0,0,143,313,"St. Francis Xavier Catholic School",20071010
106,YORK SOUTH--WESTON,53,1,64,8,20,0,"Toronto",028, ,0,0,0,146,389,"Pelmo Park Public School",20071010
106,YORK SOUTH--WESTON,108,3,84,8,16,0,"Toronto",029, ,1,0,0,220,365,"Pelmo Community Centre",20071010
106,YORK SOUTH--WESTON,77,0,100,10,33,0,"Toronto",030, ,2,0,0,222,367,"Pelmo Park Public School",20071010
106,YORK SOUTH--WESTON,75,0,103,15,31,0,"Toronto",031, ,0,0,0,224,362,"Weston Memorial Junior Public School",20071010
106,YORK SOUTH--WESTON,......................COMBINED WITH POLL 033 ....................,,,,,,"Toronto",032s, ,,,,,,"Humber River Regional Hospital - Church",20071010
106,YORK SOUTH--WESTON,56,0,80,7,5,1,"Toronto",033, ,0,0,0,149,286,"Weston Memorial Junior Public School",20071010
106,YORK SOUTH--WESTON,53,2,78,5,25,2,"Toronto",034, ,0,0,0,165,319,"Weston Memorial Junior Public School",20071010
106,YORK SOUTH--WESTON,6,0,5,0,4,0,"Toronto",035s, ,0,1,0,16,66,"Central Park Lodges",20071010
106,YORK SOUTH--WESTON,22,1,6,2,11,1,"Toronto",036s, ,2,0,0,45,133,"Central Park Lodges",20071010
106,YORK SOUTH--WESTON,55,2,29,2,7,0,"Toronto",037, ,0,0,0,95,196,"St. Bernard Catholic School",20071010
106,YORK SOUTH--WESTON,104,1,36,6,16,0,"Toronto",038, ,2,0,0,165,377,"Amesbury Middle School",20071010
106,YORK SOUTH--WESTON,69,1,24,3,10,0,"Toronto",039, ,0,0,0,107,308,"Amesbury Community Centre",20071010
106,YORK SOUTH--WESTON,86,0,61,4,8,2,"Toronto",040, ,0,0,1,162,330,"Amesbury Community Centre",20071010
106,YORK SOUTH--WESTON,14,0,12,2,3,1,"Toronto",041, ,0,1,0,33,125,"H. J. Alexander Community School",20071010
106,YORK SOUTH--WESTON,16,1,14,1,5,1,"Toronto",042, ,0,0,2,40,184,"H. J. Alexander Community School",20071010
106,YORK SOUTH--WESTON,38,2,60,3,23,1,"Toronto",043, ,1,0,0,128,381,"H. J. Alexander Community School",20071010
106,YORK SOUTH--WESTON,79,0,118,6,18,0,"Toronto",044, ,0,0,0,221,508,"Weston Presbyterian Church",20071010
106,YORK SOUTH--WESTON,52,1,82,4,11,1,"Toronto",045, ,2,1,0,154,316,"H. J. Alexander Community School",20071010
106,YORK SOUTH--WESTON,43,0,110,9,13,0,"Toronto",046, ,1,0,1,177,343,"Pelmo Park Public School",20071010
106,YORK SOUTH--WESTON,8,0,1,0,6,0,"Toronto",047s, ,1,0,0,16,18,"In Touch Retirement Home",20071010
106,YORK SOUTH--WESTON,48,0,97,11,23,0,"Toronto",048, ,0,0,0,179,393,"Weston Memorial Junior Public School",20071010
106,YORK SOUTH--WESTON,47,2,81,21,33,3,"Toronto",049, ,1,1,0,189,325,"Weston Memorial Junior Public School",20071010
106,YORK SOUTH--WESTON,73,1,85,13,22,1,"Toronto",050, ,0,3,0,198,380,"Weston Collegiate Institute",20071010
106,YORK SOUTH--WESTON,106,2,32,5,16,2,"Toronto",051, ,0,0,2,165,343,"St. Bernard Catholic School",20071010
106,YORK SOUTH--WESTON,57,0,31,2,6,0,"Toronto",052, ,4,0,0,100,284,"St. Bernard Catholic School",20071010
106,YORK SOUTH--WESTON,83,1,61,4,20,0,"Toronto",053, ,0,0,0,169,322,"Brookhaven Public School",20071010
106,YORK SOUTH--WESTON,132,2,77,10,24,0,"Toronto",054, ,0,1,0,246,394,"George Anderson Public School",20071010
106,YORK SOUTH--WESTON,89,0,52,4,13,0,"Toronto",055, ,0,0,0,158,295,"George Anderson Public School",20071010
106,YORK SOUTH--WESTON,24,2,9,0,5,0,"Toronto",056, ,1,0,0,41,176,"George Anderson Public School",20071010
106,YORK SOUTH--WESTON,7,1,11,0,0,0,"Toronto",057, ,0,0,0,19,77,"Weston Presbyterian Church",20071010
106,YORK SOUTH--WESTON,41,6,49,3,7,3,"Toronto",058, ,1,0,0,110,241,"H. J. Alexander Community School",20071010
106,YORK SOUTH--WESTON,41,1,69,6,17,1,"Toronto",059, ,0,0,1,136,341,"H. J. Alexander Community School",20071010
106,YORK SOUTH--WESTON,46,2,132,11,25,0,"Toronto",060, ,0,0,0,216,384,"Weston Collegiate Institute",20071010
106,YORK SOUTH--WESTON,14,0,12,1,7,2,"Toronto",061s, ,1,2,1,40,112,"Leisureworld Caregiving Centre",20071010
106,YORK SOUTH--WESTON,82,1,45,8,20,1,"Toronto",062, ,0,0,0,157,309,"Weston Collegiate Institute",20071010
106,YORK SOUTH--WESTON,83,1,37,3,9,1,"Toronto",063, ,1,0,0,135,337,"St. Bernard Catholic School",20071010
106,YORK SOUTH--WESTON,93,0,34,4,13,1,"Toronto",064, ,1,0,0,146,322,"Brookhaven Public School",20071010
106,YORK SOUTH--WESTON,61,1,65,10,25,5,"Toronto",065, ,0,0,0,167,317,"Brookhaven Public School",20071010
106,YORK SOUTH--WESTON,125,2,70,3,11,7,"Toronto",066, ,3,0,0,221,377,"George Anderson Public School",20071010
106,YORK SOUTH--WESTON,34,0,22,5,6,0,"Toronto",067, ,0,0,0,67,207,"Immaculate Conception Catholic School",20071010
106,YORK SOUTH--WESTON,22,0,28,5,6,1,"Toronto",068, ,0,0,0,62,201,"Immaculate Conception Catholic School",20071010
106,YORK SOUTH--WESTON,16,1,31,7,7,0,"Toronto",069, ,0,2,0,64,195,"Immaculate Conception Catholic School",20071010
106,YORK SOUTH--WESTON,27,3,15,1,3,1,"Toronto",070, ,0,0,0,50,191,"Immaculate Conception Catholic School",20071010
106,YORK SOUTH--WESTON,25,3,13,1,7,1,"Toronto",071s, ,0,1,0,51,287,"Harold & Grace Baker Centre",20071010
106,YORK SOUTH--WESTON,27,1,46,4,21,0,"Toronto",072, ,0,1,0,100,254,"Trinity Temple Church of God",20071010
106,YORK SOUTH--WESTON,70,2,101,4,16,2,"Toronto",073, ,2,0,0,197,495,"Trinity Temple Church of God",20071010
106,YORK SOUTH--WESTON,34,0,50,2,5,0,"Toronto",074, ,1,3,0,95,240,"Trinity Temple Church of God",20071010
106,YORK SOUTH--WESTON,69,2,51,2,24,2,"Toronto",075, ,1,3,0,154,385,"Trinity Temple Church of God",20071010
106,YORK SOUTH--WESTON,46,1,49,4,14,1,"Toronto",076, ,1,0,0,116,307,"Trinity Temple Church of God",20071010
106,YORK SOUTH--WESTON,39,1,82,5,13,3,"Toronto",077, ,0,0,0,143,244,"Brookhaven Public School",20071010
106,YORK SOUTH--WESTON,156,0,46,7,29,6,"Toronto",078, ,2,2,0,248,418,"Immaculate Conception Catholic School",20071010
106,YORK SOUTH--WESTON,56,1,32,3,27,0,"Toronto",079, ,1,0,0,120,298,"Charles E. Webster Junior Public School",20071010
