ED_CODE,ED_NAME,CARVALHO,NARULA,O'TOOLE,PAGNOTTA,SERGIO,SHELTON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
107,YORK WEST,0,2,19,31,56,75,"Toronto",001A, ,0,1,0,184,368,"York University - Tel Building",20071010
107,YORK WEST,3,1,14,36,59,84,"Toronto",001B, ,0,0,0,197,330,"York University - Tel Building",20071010
107,YORK WEST,1,5,13,12,150,38,"Toronto",002, ,1,0,0,220,422,"Blacksmith Public School",20071010
107,YORK WEST,2,0,6,8,48,33,"Toronto",003, ,1,0,0,98,257,"Blacksmith Public School",20071010
107,YORK WEST,1,0,1,3,53,36,"Toronto",004, ,0,0,0,94,260,"Shoreham Public School",20071010
107,YORK WEST,0,0,15,11,104,48,"Toronto",005, ,4,0,0,182,378,"St. Augustine Catholic School",20071010
107,YORK WEST,3,0,12,9,135,54,"Toronto",006, ,1,2,0,216,402,"St. Augustine Catholic School",20071010
107,YORK WEST,1,1,20,6,70,34,"Toronto",007, ,0,0,0,132,340,"Gosford Public School",20071010
107,YORK WEST,1,0,8,7,59,48,"Toronto",008, ,0,1,0,124,397,"Driftwood Public School",20071010
107,YORK WEST,0,0,7,2,40,28,"Toronto",009, ,0,1,0,78,201,"Shoreham Public School",20071010
107,YORK WEST,3,0,22,10,72,69,"Toronto",010, ,1,1,0,178,442,"Driftwood Public School",20071010
107,YORK WEST,3,0,17,15,39,54,"Toronto",011A, ,12,2,0,142,311,"York University - Tel Building",20071010
107,YORK WEST,3,0,17,12,37,49,"Toronto",011B, ,1,0,0,119,345,"York University - Tel Building",20071010
107,YORK WEST,0,0,17,16,54,51,"Toronto",011C, ,0,0,7,145,364,"York University - Tel Building",20071010
107,YORK WEST,2,6,21,11,129,73,"Toronto",012, ,0,0,0,242,480,"Gosford Public School",20071010
107,YORK WEST,0,0,11,12,80,48,"Toronto",013A, ,4,1,0,156,356,"Gosford Public School",20071010
107,YORK WEST,0,0,15,7,77,45,"Toronto",013B, ,0,0,0,144,322,"Gosford Public School",20071010
107,YORK WEST,2,2,12,2,89,42,"Toronto",014, ,1,0,0,150,364,"Driftwood Public School",20071010
107,YORK WEST,0,0,17,14,121,50,"Toronto",015, ,0,0,0,202,387,"Driftwood Public School",20071010
107,YORK WEST,0,5,18,13,93,75,"Toronto",016, ,1,0,0,205,439,"James Cardinal McGuigan Catholic School",20071010
107,YORK WEST,1,0,18,8,118,56,"Toronto",017, ,1,0,0,202,417,"Derrydown Public School",20071010
107,YORK WEST,2,1,22,13,101,53,"Toronto",018, ,0,0,0,192,410,"Venerable John Merlini Catholic School",20071010
107,YORK WEST,0,1,7,10,67,24,"Toronto",019, ,1,1,0,111,258,"Venerable John Merlini Catholic School",20071010
