"2350 Finch Avenue West ,  TORONTO ,  Ontario, Canada"
"455 Sentinel Road ,  TORONTO ,  Ontario, Canada"
"500 Murray Ross Parkway ,  TORONTO ,  Ontario, Canada"
"7-11 Arleta Avenue ,  TORONTO ,  Ontario, Canada"
"Ahmadiyya Abode of Peace ,  TORONTO ,  Ontario, Canada"
"Beverly Hills Church Hall ,  TORONTO ,  Ontario, Canada"
"Blacksmith Public School ,  TORONTO ,  Ontario, Canada"
"Blessed Margherita Catholic School ,  TORONTO ,  Ontario, Canada"
"Chalkfarm Public School ,  TORONTO ,  Ontario, Canada"
"Daystrom Public School ,  TORONTO ,  Ontario, Canada"
"Derrydown Public School ,  TORONTO ,  Ontario, Canada"
"Domenico Diluca Community Centre ,  TORONTO ,  Ontario, Canada"
"Driftwood Community Centre ,  TORONTO ,  Ontario, Canada"
"Driftwood Public School ,  TORONTO ,  Ontario, Canada"
"Elia Middle School ,  TORONTO ,  Ontario, Canada"
"Emery Collegiate Institute ,  TORONTO ,  Ontario, Canada"
"Firgrove Public School ,  TORONTO ,  Ontario, Canada"
"Gosford Public School ,  TORONTO ,  Ontario, Canada"
"Gracedale Public School ,  TORONTO ,  Ontario, Canada"
"Gulfstream Public School ,  TORONTO ,  Ontario, Canada"
"Humber Summit Middle School ,  TORONTO ,  Ontario, Canada"
"James Cardinal McGuigan Catholic School ,  TORONTO ,  Ontario, Canada"
"Lamberton Public School ,  TORONTO ,  Ontario, Canada"
"Leisure World Centre ,  NORTH YORK ,  Ontario, Canada"
"Oakdale Community Centre ,  TORONTO ,  Ontario, Canada"
"Shoreham Public School ,  TORONTO ,  Ontario, Canada"
"St. Augustine Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Basil-the-Great College School ,  TORONTO ,  Ontario, Canada"
"St. Charles Garnier Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Francis de Sales Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Gerard Majella Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Jane Frances Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Jude's Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Roch Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Wilfrid Catholic School ,  TORONTO ,  Ontario, Canada"
"Stanley Public School ,  TORONTO ,  Ontario, Canada"
"The Carlton ,  TORONTO ,  Ontario, Canada"
"The McMaster ,  TORONTO ,  Ontario, Canada"
"Topcliff Public School ,  TORONTO ,  Ontario, Canada"
"Venerable John Merlini Catholic School ,  TORONTO ,  Ontario, Canada"
"York University - T.E.L. Building ,  TORONTO ,  Ontario, Canada"
"Yorkview Life Care Centre ,  TORONTO ,  Ontario, Canada"
"Yorkwoods Public School ,  TORONTO ,  Ontario, Canada"
"ƒcole publique Maison Montessori ,  TORONTO ,  Ontario, Canada"
"15 Harding Avenue ,  TORONTO ,  Ontario, Canada"
"1630 Lawrence Avenue West Residence ,  TORONTO ,  Ontario, Canada"
"55 Emmett Avenue ,  TORONTO ,  Ontario, Canada"
"65 Emmett Avenue ,  TORONTO ,  Ontario, Canada"
"720 Trethewey Drive ,  TORONTO ,  Ontario, Canada"
"Amesbury Community Centre ,  TORONTO ,  Ontario, Canada"
"Amesbury Middle School ,  TORONTO ,  Ontario, Canada"
"Archbishop Romero Catholic School ,  TORONTO ,  Ontario, Canada"
"Bala Avenue Community School ,  TORONTO ,  Ontario, Canada"
"Bellevue Apartment(s) ,  TORONTO ,  Ontario, Canada"
"Blackthorn Manor ,  TORONTO ,  Ontario, Canada"
"Brookhaven Public School ,  TORONTO ,  Ontario, Canada"
"C. R. Marchant Middle School ,  TORONTO ,  Ontario, Canada"
"Casa Abruzzo ,  TORONTO ,  Ontario, Canada"
"Centennial Recreation Centre ,  TORONTO ,  Ontario, Canada"
"Central King Senior Residence ,  TORONTO ,  Ontario, Canada"
"Cordella Junior Public School ,  TORONTO ,  Ontario, Canada"
"Country Club Towers A ,  TORONTO ,  Ontario, Canada"
"Country Club Towers B ,  TORONTO ,  Ontario, Canada"
"Eagle Manor ,  TORONTO ,  Ontario, Canada"
"Eaton Valley Apartments ,  TORONTO ,  Ontario, Canada"
"Falstaff Community Centre ,  TORONTO ,  Ontario, Canada"
"Frank Oke Secondary School ,  TORONTO ,  Ontario, Canada"
"George Anderson Public School ,  TORONTO ,  Ontario, Canada"
"George Bell Arena ,  TORONTO ,  Ontario, Canada"
"George Harvey Collegiate Institute ,  TORONTO ,  Ontario, Canada"
"George Syme Community School ,  TORONTO ,  Ontario, Canada"
"Greenborough Community Church Hall ,  TORONTO ,  Ontario, Canada"
"H. J. Alexander Community School ,  TORONTO ,  Ontario, Canada"
"Harding Square ,  TORONTO ,  Ontario, Canada"
"Harold and Grace Baker Centre ,  TORONTO ,  Ontario, Canada"
"Hickory Tree Co-Op ,  TORONTO ,  Ontario, Canada"
"Humber-Keele Lawrence Care Centre ,  TORONTO ,  Ontario, Canada"
"Humberview Housing Coop ,  TORONTO ,  Ontario, Canada"
"Immaculate Conception Catholic School ,  TORONTO ,  Ontario, Canada"
"In Touch Retirement Home ,  TORONTO ,  Ontario, Canada"
"Kane Middle School ,  TORONTO ,  Ontario, Canada"
"Lambton Park Catholic School ,  TORONTO ,  Ontario, Canada"
"Lambton Square - A ,  TORONTO ,  Ontario, Canada"
"Lambton Square - B ,  TORONTO ,  Ontario, Canada"
"Lambton Square - C ,  TORONTO ,  Ontario, Canada"
"Lambton Square - D ,  TORONTO ,  Ontario, Canada"
"Leisureworld Caregiving Centre ,  TORONTO ,  Ontario, Canada"
"Maple Creek Apartment(s) YCC 446 ,  TORONTO ,  Ontario, Canada"
"Maple Leaf Drive Seniors ,  TORONTO ,  Ontario, Canada"
"Maple Leaf Public School ,  TORONTO ,  Ontario, Canada"
"Mt. Dennis Apartments ,  TORONTO ,  Ontario, Canada"
"Mt. Dennis Community Hall ,  TORONTO ,  Ontario, Canada"
"Nelson A. Boylen Collegiate Institute ,  TORONTO ,  Ontario, Canada"
"North Park Nursing Home ,  TORONTO ,  Ontario, Canada"
"Our Lady of Victory Catholic School ,  TORONTO ,  Ontario, Canada"
"Our Lady of Victory Place ,  TORONTO ,  Ontario, Canada"
"Outlook Manor ,  TORONTO ,  Ontario, Canada"
"Pelmo Community Centre ,  TORONTO ,  Ontario, Canada"
"Pelmo Park Public School ,  TORONTO ,  Ontario, Canada"
"Plaut Manor ,  TORONTO ,  Ontario, Canada"
"Portage Trail Community School ,  TORONTO ,  Ontario, Canada"
"River Ridge Apartments ,  TORONTO ,  Ontario, Canada"
"Rockcliffe Middle School ,  TORONTO ,  Ontario, Canada"
"Roselands Junior Public School ,  TORONTO ,  Ontario, Canada"
"Silverthorn Place ,  TORONTO ,  Ontario, Canada"
"St. Bernard Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Fidelis Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Francis Xavier Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Matthew Catholic School ,  TORONTO ,  Ontario, Canada"
"Trimbee Court ,  TORONTO ,  Ontario, Canada"
"Trinity Temple Church of God ,  TORONTO ,  Ontario, Canada"
"Upwood Park Housing Co-Op ,  TORONTO ,  Ontario, Canada"
"Villa Gaspar ,  TORONTO ,  Ontario, Canada"
"Weston Gardens ,  TORONTO ,  Ontario, Canada"
"Weston Memorial Junior Public School ,  TORONTO ,  Ontario, Canada"
"Weston Public Library ,  TORONTO ,  Ontario, Canada"
"Westpark Long Term Care ,  TORONTO ,  Ontario, Canada"
"Willow Glen Apartments ,  TORONTO ,  Ontario, Canada"
"York Humber High School ,  TORONTO ,  Ontario, Canada"
"Bradford Library and Cultural Centre ,  BRADFORD ,  Ontario, Canada"
"Bradford Manor ,  BRADFORD ,  Ontario, Canada"
"Cedar Lane Residential Home ,  HOLLAND LANDING ,  Ontario, Canada"
"Cedarvale Lodge ,  KESWICK ,  Ontario, Canada"
"Cookstown Library and Community Centre ,  COOKSTOWN ,  Ontario, Canada"
"East Gwillimbury Sports Complex ,  SHARON ,  Ontario, Canada"
"Egypt Hall ,  SUTTON WEST ,  Ontario, Canada"
"Georgina Island Community Centre ,  GEORGINA ISLAND ,  Ontario, Canada"
"Goodfellow Public School ,  INNISFIL ,  Ontario, Canada"
"Gordon's Residential Home ,  HOLLAND LANDING ,  Ontario, Canada"
"Halsey Lodge ,  JACKSONS POINT ,  Ontario, Canada"
"Holland Landing Commmunity Centre ,  HOLLAND LANDING ,  Ontario, Canada"
"Holland Marsh Christian Reformed Church ,  ANSNORVELDT ,  Ontario, Canada"
"Holy Martyrs of Japan Parish ,  BRADFORD ,  Ontario, Canada"
"Holy Trinity High School ,  BRADFORD ,  Ontario, Canada"
"Innisfil Town Hall ,  INNISFIL ,  Ontario, Canada"
"Keswick Christian Church ,  KESWICK ,  Ontario, Canada"
"Keswick Gardens ,  KESWICK ,  Ontario, Canada"
"Killarney Beach Public School ,  LEFROY ,  Ontario, Canada"
"Kin Community Hall ,  SUTTON WEST ,  Ontario, Canada"
"Lake Simcoe Public School ,  KESWICK ,  Ontario, Canada"
"Lakeside Public School ,  KESWICK ,  Ontario, Canada"
"Lakeside Retirement Residence ,  INNISFIL ,  Ontario, Canada"
"Nantyr Shores Secondary School ,  INNISFIL ,  Ontario, Canada"
"Pefferlaw Lions Hall ,  PEFFERLAW ,  Ontario, Canada"
"Pipe and Slipper ,  KESWICK ,  Ontario, Canada"
"R. L. Graham Public School ,  KESWICK ,  Ontario, Canada"
"River Glen Haven Nursing Home ,  SUTTON WEST ,  Ontario, Canada"
"Ross Family Complex ,  MOUNT ALBERT ,  Ontario, Canada"
"Specialty Care Bradford Valley ,  BRADFORD ,  Ontario, Canada"
"St. Francis of Assisi Elementary School ,  INNISFIL ,  Ontario, Canada"
"St. John's Presbyterian Church ,  BRADFORD ,  Ontario, Canada"
"Sunnybrae Public School ,  INNISFIL ,  Ontario, Canada"
"Sutton Public School ,  SUTTON WEST ,  Ontario, Canada"
"The Newmarket Residence ,  EAST GWILLIMBURY ,  Ontario, Canada"
"W. J. Watson Public School ,  KESWICK ,  Ontario, Canada"
"Wheel Sandy Cove Acres ,  INNISFIL ,  Ontario, Canada"
"Antibes Community Centre ,  TORONTO ,  Ontario, Canada"
"B'Nai Brith Canada ,  TORONTO ,  Ontario, Canada"
"B'Nai Brith Centre ,  TORONTO ,  Ontario, Canada"
"B'Nai Brith Upper Canada Lodge ,  TORONTO ,  Ontario, Canada"
"Barene Towers ,  TORONTO ,  Ontario, Canada"
"Baroness Apartments ,  TORONTO ,  Ontario, Canada"
"Bathurst Towers ,  TORONTO ,  Ontario, Canada"
"Bathville Towers ,  TORONTO ,  Ontario, Canada"
"Beth Emeth Bais Yehuda Synagogue ,  TORONTO ,  Ontario, Canada"
"Beverley Heights Middle School ,  TORONTO ,  Ontario, Canada"
"Blaydon Public School ,  TORONTO ,  Ontario, Canada"
"Calico Public School ,  TORONTO ,  Ontario, Canada"
"Canyon Towers ,  TORONTO ,  Ontario, Canada"
"Caravelle Court ,  TORONTO ,  Ontario, Canada"
"Carrington Towers ,  TORONTO ,  Ontario, Canada"
"Casa Verde Health Centre ,  TORONTO ,  Ontario, Canada"
"Champlain Apartments ,  TORONTO ,  Ontario, Canada"
"Charles H Best Elementary School ,  TORONTO ,  Ontario, Canada"
"Clanton Park Synagogue ,  TORONTO ,  Ontario, Canada"
"Dehaviland Court ,  TORONTO ,  Ontario, Canada"
"Dell Park Towers II ,  TORONTO ,  Ontario, Canada"
"Downsview Acres ,  TORONTO ,  Ontario, Canada"
"Downsview Public School ,  TORONTO ,  Ontario, Canada"
"Dublin Heights Elementary School ,  TORONTO ,  Ontario, Canada"
"El Presidente ,  TORONTO ,  Ontario, Canada"
"Fairway Downs YCC385 ,  TORONTO ,  Ontario, Canada"
"Faywood Arts-Based Curriculum School ,  TORONTO ,  Ontario, Canada"
"Fisherville Middle School ,  TORONTO ,  Ontario, Canada"
"Forest Lane ,  TORONTO ,  Ontario, Canada"
"Garden View Terrace ,  TORONTO ,  Ontario, Canada"
"Glimjem Holdings ,  TORONTO ,  Ontario, Canada"
"Havenbrook Realty ,  TORONTO ,  Ontario, Canada"
"Herbert H. Carnegie Centre ,  TORONTO ,  Ontario, Canada"
"Highview Public School ,  TORONTO ,  Ontario, Canada"
"Irving Chapley Community Centre ,  TORONTO ,  Ontario, Canada"
"Kensington Place Retirement Res ,  TORONTO ,  Ontario, Canada"
"La Place Victoria ,  TORONTO ,  Ontario, Canada"
"La Scala ,  TORONTO ,  Ontario, Canada"
"Le Plateau II ,  TORONTO ,  Ontario, Canada"
"Leisure World (Cheltenham Nursing Home) ,  TORONTO ,  Ontario, Canada"
"Metro Place ,  TORONTO ,  Ontario, Canada"
"Monaco Towers ,  TORONTO ,  Ontario, Canada"
"Muki Baum Treatment Centre ,  TORONTO ,  Ontario, Canada"
"National Council of Jewish Women ,  TORONTO ,  Ontario, Canada"
"Newtonbrook Secondary School ,  TORONTO ,  Ontario, Canada"
"Park Plaza T.S.Community Centre 1617 ,  TORONTO ,  Ontario, Canada"
"Pleasant Public School ,  TORONTO ,  Ontario, Canada"
"Project Marc ,  TORONTO ,  Ontario, Canada"
"R. J. Lang Elementary and Middle School ,  TORONTO ,  Ontario, Canada"
"Ramses Shrine Banquet Centre ,  TORONTO ,  Ontario, Canada"
"Raphaelo Places ,  TORONTO ,  Ontario, Canada"
