"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DELIS","DICKSON","MCCARTHY","TOMAN","WISEMAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"001","AJAX--PICKERING","001","U","PICKERING","1","61","91","5","27","2","0","1","188","410","Claremont Community Centre"
"001","AJAX--PICKERING","002","U","PICKERING","1","111","145","11","31","0","0","0","299","593","Claremont Community Centre"
"001","AJAX--PICKERING","003","U","PICKERING","1","57","76","8","18","1","1","0","162","342","Claremont Community Centre"
"001","AJAX--PICKERING","004","U","PICKERING","0","102","116","26","35","0","0","0","279","623","Greenwood Library"
"001","AJAX--PICKERING","005","U","PICKERING","0","43","53","5","13","0","1","0","115","265","Greenwood Library"
"001","AJAX--PICKERING","006","U","WHITEVALE","0","67","23","7","29","0","0","0","126","364","Whitevale Golf Club"
"001","AJAX--PICKERING","007","U","PICKERING","0","69","102","3","16","0","0","0","190","579","Greenwood Library"
"001","AJAX--PICKERING","008","U","WHITEVALE","0","46","25","1","21","0","0","0","93","445","Whitevale Golf Club"
"001","AJAX--PICKERING","009","U","WHITEVALE","1","67","65","2","25","0","0","0","160","518","Whitevale Golf Club"
"001","AJAX--PICKERING","010","U","PICKERING","2","63","42","7","27","2","0","0","143","502","Pine Ridge Secondary School"
"001","AJAX--PICKERING","011","U","PICKERING","0","55","65","3","18","0","0","0","141","379","Maple Ridge Public School"
"001","AJAX--PICKERING","012","U","PICKERING","2","59","37","1","21","0","0","0","120","379","Maple Ridge Public School"
"001","AJAX--PICKERING","013","U","PICKERING","3","77","111","4","7","0","0","0","202","477","Maple Ridge Public School"
"001","AJAX--PICKERING","014","U","PICKERING","0","73","75","9","7","1","0","0","165","384","Pine Ridge Secondary School"
"001","AJAX--PICKERING","015","U","PICKERING","1","79","74","2","15","0","0","0","171","414","Pine Ridge Secondary School"
"001","AJAX--PICKERING","016","U","PICKERING","1","51","72","4","6","1","0","0","135","352","Pine Ridge Secondary School"
"001","AJAX--PICKERING","017","U","PICKERING","1","78","95","9","24","0","0","0","207","504","Pine Ridge Secondary School"
"001","AJAX--PICKERING","018","U","PICKERING","2","70","67","4","18","1","0","1","163","369","Maple Ridge Public School"
"001","AJAX--PICKERING","019","U","PICKERING","0","76","44","6","36","0","0","0","162","362","Maple Ridge Public School"
"001","AJAX--PICKERING","020","U","PICKERING","3","92","84","9","28","2","1","0","219","454","Maple Ridge Public School"
"001","AJAX--PICKERING","021","U","PICKERING","2","100","122","3","21","0","0","0","248","499","Pine Ridge Secondary School"
"001","AJAX--PICKERING","022","U","PICKERING","1","80","45","5","23","1","0","0","155","398","Pine Ridge Secondary School"
"001","AJAX--PICKERING","023","U","PICKERING","0","60","53","1","21","0","1","0","136","401","Pine Ridge Secondary School"
"001","AJAX--PICKERING","024","U","PICKERING","2","100","69","5","37","0","1","0","214","545","St. Anthony Daniel Catholic School"
"001","AJAX--PICKERING","025","U","PICKERING","0","63","34","3","19","0","0","0","119","365","St. Anthony Daniel Catholic School"
"001","AJAX--PICKERING","026","U","PICKERING","4","75","58","1","17","0","0","0","155","455","St. Anthony Daniel Catholic School"
"001","AJAX--PICKERING","027","U","PICKERING","3","96","31","3","27","0","0","0","160","438","Valley Farm Public School"
"001","AJAX--PICKERING","028","U","PICKERING","3","105","47","7","43","1","0","0","206","533","Valley Farm Public School"
"001","AJAX--PICKERING","029","U","PICKERING","2","119","53","5","27","0","0","0","206","540","Valley Farm Public School"
"001","AJAX--PICKERING","030","U","PICKERING","1","83","54","1","46","0","0","1","186","455","Valley Farm Public School"
"001","AJAX--PICKERING","031","U","PICKERING","3","67","41","6","15","0","0","0","132","427","Valley Farm Public School"
"001","AJAX--PICKERING","032","U","PICKERING","1","62","26","1","10","1","0","0","101","316","St. Anthony Daniel Catholic School"
"001","AJAX--PICKERING","033","U","PICKERING","2","108","51","6","41","1","0","0","209","474","St. Anthony Daniel Catholic School"
"001","AJAX--PICKERING","034A","U","PICKERING","1","65","67","1","14","1","0","0","149","322","St. Wilfrid Catholic School"
"001","AJAX--PICKERING","034B","U","PICKERING","1","64","73","5","21","0","0","0","164","341","St. Wilfrid Catholic School"
"001","AJAX--PICKERING","035","U","PICKERING","1","61","46","2","10","0","0","0","120","421","St. Wilfrid Catholic School"
"001","AJAX--PICKERING","036","U","PICKERING","2","63","43","1","12","0","0","0","121","310","St. Wilfrid Catholic School"
"001","AJAX--PICKERING","037","U","AJAX","2","112","72","1","18","0","1","0","206","456","Pickering High School"
"001","AJAX--PICKERING","038","U","AJAX","1","53","50","5","29","1","0","0","139","445","Pickering High School"
"001","AJAX--PICKERING","039","U","AJAX","0","79","52","0","21","0","0","0","152","420","Pickering High School"
