"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BROWN","CHAPMAN","HOFFMAN","MANTHA","TILSON","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"002","ALGOMA--MANITOULIN","001","U","MANITOUWADGE","28","16","1","71","0","1","0","0","117","362","Manitouwadge High School"
"002","ALGOMA--MANITOULIN","002","U","MANITOUWADGE","44","24","1","85","1","0","0","0","155","422","Manitouwadge High School"
"002","ALGOMA--MANITOULIN","003","U","MANITOUWADGE","28","16","0","56","5","0","0","0","105","367","Manitouwadge High School"
"002","ALGOMA--MANITOULIN","004","U","MANITOUWADGE","44","40","0","79","4","1","0","0","168","489","Manitouwadge High School"
"002","ALGOMA--MANITOULIN","005","U","OBA",".......................COMBINED WITH POLL 006.......................","","","","","","","","","","Oba-Blanchet Residence"
"002","ALGOMA--MANITOULIN","006","U","PIC MOBERT","11","2","1","18","0","0","0","0","32","36","Pic Mobert Recreation Complex"
"002","ALGOMA--MANITOULIN","007","U","HORNEPAYNE","27","16","7","69","1","0","0","0","120","380","Hornepayne Royal Canadian Legion"
"002","ALGOMA--MANITOULIN","008","U","HORNEPAYNE","22","11","5","92","3","0","0","0","133","437","Hornepayne Royal Canadian Legion"
"002","ALGOMA--MANITOULIN","009","U","WHITE RIVER","24","14","0","57","3","0","0","0","98","319","Ammenity Space White River"
"002","ALGOMA--MANITOULIN","010","U","WHITE RIVER","9","9","0","43","2","0","0","0","63","198","Ammenity Space White River"
"002","ALGOMA--MANITOULIN","011","U","DUBREUILVILLE","8","32","2","42","0","0","0","0","84","221","Dubreuilville Social and Cultural Centre"
"002","ALGOMA--MANITOULIN","012","U","DUBREUILVILLE","3","43","2","58","3","0","0","0","109","265","Dubreuilville Social and Cultural Centre"
"002","ALGOMA--MANITOULIN","013","U","WAWA","1","2","0","7","0","0","0","0","10","17","Michipicoten Memm Community Centre"
