"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","COVERDALE","GUNDERMAN SMITH","LANGTON","MATON","MCMEEKIN","MELANSON","SKELLY","WESTERHOFF","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","001","U","FREELTON","1","0","0","0","89","0","60","18","0","0","0","168","327","Balaclava Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","002","U","FREELTON","6","0","0","0","161","1","27","14","0","0","1","210","387","Balaclava Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","003","U","FREELTON","9","0","1","3","122","0","116","34","0","0","0","285","615","Balaclava Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","004","U","FLAMBOROUGH","9","0","2","5","85","0","84","28","0","0","0","213","499","Valens Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","005","U","FLAMBOROUGH","11","0","1","4","84","0","103","30","1","0","0","234","563","Valens Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","006","U","FLAMBOROUGH","22","1","1","3","93","0","119","64","1","0","1","305","668","Valens Community Centre"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","007","U","SHEFFIELD","10","1","3","5","85","0","160","38","0","0","0","302","619","Dr. John Seaton Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","008","U","SHEFFIELD","5","0","2","1","39","0","72","45","0","1","0","165","360","Dr. John Seaton Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","009","U","SHEFFIELD","9","0","1","5","60","0","116","19","1","0","0","211","455","Dr. John Seaton Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","010","U","TROY","6","0","0","4","61","2","108","23","0","0","0","204","410","Beverly Central Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","011","U","FREELTON","8","0","0","0","122","0","191","49","1","0","0","371","514","Antrim Glen Recreation Hall"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","012","U","MILLGROVE","13","0","0","4","79","1","150","37","0","0","0","284","575","Millgrove Public School"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","013","U","CARLISLE","6","0","3","1","122","0","82","33","1","0","0","248","566","Carlisle United Church"
"003","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","014","U","FREELTON","1","0","0","0","118","0","48","14","1","1","0","183","418","Balaclava Public School"
