"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CLARK","JACKSON","MACKENZIE","MILLER","ROSKAM","WALSH","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"004","BARRIE","001","U","BARRIE","20","35","1","6","0","25","0","0","0","87","343","St. Monica's Catholic School"
"004","BARRIE","002","U","BARRIE","26","36","0","7","3","35","0","0","1","108","388","First Baptist Church"
"004","BARRIE","003","U","BARRIE","41","27","0","9","1","33","0","0","0","111","456","First Baptist Church"
"004","BARRIE","004","U","BARRIE","23","33","0","11","1","27","1","0","0","96","368","First Baptist Church"
"004","BARRIE","005","U","BARRIE","31","43","0","4","1","36","0","0","0","115","360","St. Monica's Catholic School"
"004","BARRIE","006","U","BARRIE","22","48","1","8","0","39","0","0","0","118","376","First Baptist Church"
"004","BARRIE","007","U","BARRIE","30","32","0","8","1","52","0","0","0","123","380","First Baptist Church"
"004","BARRIE","008","U","BARRIE","20","42","2","2","3","46","0","0","0","115","382","Schmidt and  Shaw Ltd"
"004","BARRIE","009","U","BARRIE","38","39","1","8","3","57","2","0","0","148","447","Schmidt and  Shaw Ltd"
"004","BARRIE","010","U","BARRIE","40","39","2","2","1","35","0","0","0","119","387","Schmidt and  Shaw Ltd"
"004","BARRIE","011","U","BARRIE","17","42","1","7","1","75","0","0","0","143","443","Schmidt and  Shaw Ltd"
"004","BARRIE","012","U","BARRIE","27","33","2","11","1","31","0","0","0","105","363","St. Monica's Catholic School"
"004","BARRIE","013","U","BARRIE","27","38","0","1","0","32","0","0","0","98","338","St. Monica's Catholic School"
"004","BARRIE","014","U","BARRIE","42","71","1","5","1","57","0","0","0","177","426","St. Monica's Catholic School"
"004","BARRIE","015","U","BARRIE","32","53","0","6","0","64","0","0","0","155","409","Schmidt and  Shaw Ltd"
"004","BARRIE","016","U","BARRIE","35","59","3","9","1","73","2","0","0","182","427","Schmidt and  Shaw Ltd"
"004","BARRIE","017","U","BARRIE","27","25","0","1","2","32","1","0","0","88","356","Parkview Centre for Seniors"
"004","BARRIE","018","U","BARRIE",".......................COMBINED WITH POLL 019.......................","","","","","","","","","","","Summitview Apartments"
"004","BARRIE","019","U","BARRIE","84","85","3","23","1","89","3","0","0","288","890","Grace United Church"
"004","BARRIE","020","U","BARRIE","39","54","1","12","1","56","0","0","0","163","423","Grace United Church"
"004","BARRIE","021","U","BARRIE","36","58","0","9","1","69","0","1","0","174","442","Grace United Church"
"004","BARRIE","022","U","BARRIE","30","56","1","6","0","87","0","0","0","180","440","Parkview Centre for Seniors"
"004","BARRIE","023","U","BARRIE","20","41","1","8","0","86","1","0","0","157","421","Parkview Centre for Seniors"
"004","BARRIE","024","U","BARRIE","24","40","0","6","2","61","0","0","0","133","449","Parkview Centre for Seniors"
"004","BARRIE","025","U","BARRIE","29","55","1","8","1","91","1","0","0","186","365","St. Mary's Catholic Church"
"004","BARRIE","026","U","BARRIE","27","26","1","6","0","45","0","0","0","105","398","Parkview Centre for Seniors"
"004","BARRIE","027","U","BARRIE","34","43","1","9","2","37","1","1","0","128","430","Simcoe Muskoka Catholic District School Board"
"004","BARRIE","028","U","BARRIE","..........................NO POLL HELD..........................","","","","","","","","","","",""
"004","BARRIE","029","U","BARRIE","32","34","0","8","0","63","0","1","1","139","405","Simcoe Muskoka Catholic District School Board"
"004","BARRIE","030","U","BARRIE","32","57","2","12","3","63","1","0","0","170","473","Simcoe Muskoka Catholic District School Board"
"004","BARRIE","031","U","BARRIE","31","46","0","7","0","53","0","0","0","137","413","Simcoe Muskoka Catholic District School Board"
"004","BARRIE","032","U","BARRIE","30","47","3","9","2","38","0","1","0","130","401","Simcoe Muskoka Catholic District School Board"
"004","BARRIE","033","U","BARRIE","26","52","2","13","2","44","0","0","0","139","410","St. Mary's Catholic Church"
"004","BARRIE","034","U","BARRIE","30","55","0","16","1","72","0","0","1","175","456","Collier Street United Church"
"004","BARRIE","035","U","BARRIE","31","35","0","6","0","39","0","0","0","111","384","Collier Street United Church"
"004","BARRIE","036","U","BARRIE","19","44","0","14","0","58","0","0","0","135","377","Collier Street United Church"
"004","BARRIE","037","U","BARRIE","33","36","0","11","2","50","1","0","0","133","430","Collier Street United Church"
"004","BARRIE","038","U","BARRIE","22","19","0","5","0","45","0","0","0","91","326","St. Mary's Catholic Church"
"004","BARRIE","039","U","BARRIE","24","53","0","9","1","40","0","0","0","127","419","St. Mary's Catholic Church"
"004","BARRIE","040","U","BARRIE","29","35","0","4","2","40","0","0","0","110","321","St. Mary's Catholic Church"
"004","BARRIE","041","U","BARRIE","35","28","0","6","1","54","0","0","0","124","392","St. Mary's Catholic Church"
"004","BARRIE","042","U","BARRIE","34","44","3","7","2","54","2","0","0","146","376","Collier Street United Church"
"004","BARRIE","043","U","BARRIE","32","31","0","15","1","72","1","0","0","152","414","Victoria Village Activity Centre"
"004","BARRIE","044","U","BARRIE","25","48","0","17","0","55","0","0","0","145","387","Victoria Village Activity Centre"
"004","BARRIE","045","U","BARRIE","29","32","1","9","1","35","0","0","0","107","425","Victoria Village Activity Centre"
"004","BARRIE","046","U","BARRIE","40","40","0","15","1","24","0","0","0","120","340","Victoria Village Activity Centre"
"004","BARRIE","047","U","BARRIE","33","43","0","4","0","38","0","0","0","118","442","Victoria Village Activity Centre"
"004","BARRIE","048","U","BARRIE","35","29","0","14","1","35","0","0","0","114","389","Victoria Village Activity Centre"
"004","BARRIE","049","U","BARRIE","26","31","0","13","2","38","0","0","0","110","422","Victoria Village Activity Centre"
"004","BARRIE","050","U","BARRIE","26","25","0","8","0","22","0","0","0","81","436","Victoria Village Activity Centre"
"004","BARRIE","051","U","BARRIE","30","30","0","5","0","24","0","0","0","89","423","Unity Christian High School"
"004","BARRIE","052","U","BARRIE","44","67","0","15","2","28","0","0","0","156","497","Unity Christian High School"
"004","BARRIE","053","U","BARRIE","45","156","1","17","1","117","0","1","0","338","429","Barrie Free Methodist Church"
"004","BARRIE","054","U","BARRIE","39","56","0","6","1","44","1","0","0","147","422","Barrie Free Methodist Church"
