"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","ALI","BURSTYN","MENARY","POLEY-FISHER","PRUE","ROSS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"005","BEACHES--EAST YORK","001","U","TORONTO","3","56","62","0","149","0","2","0","0","272","507","Presteign Woodbine United Church"
"005","BEACHES--EAST YORK","002","U","TORONTO","4","78","51","0","120","1","1","1","0","256","467","Presteign Woodbine United Church"
"005","BEACHES--EAST YORK","003","U","TORONTO","2","48","36","0","47","0","0","0","0","133","363","Presteign Woodbine United Church"
"005","BEACHES--EAST YORK","004","U","TORONTO","2","69","54","0","118","0","0","0","0","243","475","Presteign Woodbine United Church"
"005","BEACHES--EAST YORK","005","U","TORONTO","3","66","38","0","87","0","1","0","0","195","396","Presteign Woodbine United Church"
"005","BEACHES--EAST YORK","006","U","TORONTO","1","39","17","1","70","1","1","0","0","130","517","O'Connor Public School"
"005","BEACHES--EAST YORK","007","U","TORONTO","2","71","42","0","82","0","0","0","1","198","466","O'Connor Public School"
"005","BEACHES--EAST YORK","008","U","TORONTO","5","85","7","3","42","0","0","0","0","142","422","O'Connor Public School"
"005","BEACHES--EAST YORK","009","U","TORONTO","3","66","70","2","104","0","2","0","0","247","493","Royal Canadian Legion Branch 345"
"005","BEACHES--EAST YORK","010","U","TORONTO","4","73","49","1","105","0","0","1","0","233","489","Royal Canadian Legion Branch 345"
"005","BEACHES--EAST YORK","011","U","TORONTO","8","92","46","0","128","1","0","1","2","278","444","Selwyn Elementary School"
"005","BEACHES--EAST YORK","012","U","TORONTO","1","41","19","1","57","0","0","0","0","119","280","Selwyn Elementary School"
"005","BEACHES--EAST YORK","013","U","TORONTO","2","39","28","0","73","0","1","0","0","143","363","Selwyn Elementary School"
"005","BEACHES--EAST YORK","014","U","TORONTO","6","67","39","0","91","0","0","0","0","203","455","Selwyn Elementary School"
"005","BEACHES--EAST YORK","015","U","TORONTO","2","45","33","0","97","0","0","0","0","177","470","Selwyn Elementary School"
"005","BEACHES--EAST YORK","016","U","TORONTO","7","54","32","0","96","0","0","1","2","192","473","Royal Canadian Legion Branch 345"
"005","BEACHES--EAST YORK","017","U","TORONTO","0","34","6","0","76","0","0","0","0","116","411","Royal Canadian Legion Branch 345"
"005","BEACHES--EAST YORK","018","U","TORONTO","8","67","35","0","103","0","1","0","0","214","505","Royal Canadian Legion Branch 345"
"005","BEACHES--EAST YORK","019","U","TORONTO","7","59","56","1","93","0","0","0","0","216","482","Selwyn Elementary School"
"005","BEACHES--EAST YORK","020","U","TORONTO","2","64","28","1","88","0","0","0","0","183","413","Canadian Martyrs Catholic School"
"005","BEACHES--EAST YORK","021","U","TORONTO","6","37","30","2","118","1","0","0","0","194","435","Canadian Martyrs Catholic School"
"005","BEACHES--EAST YORK","022","U","TORONTO","3","56","32","1","71","0","0","0","0","163","420","Canadian Martyrs Catholic School"
"005","BEACHES--EAST YORK","023","U","TORONTO","5","43","29","0","114","0","1","0","0","192","403","Canadian Martyrs Catholic School"
"005","BEACHES--EAST YORK","024","U","TORONTO","5","50","31","0","88","0","1","0","0","175","414","Canadian Martyrs Catholic School"
"005","BEACHES--EAST YORK","025","U","TORONTO","10","56","30","0","103","0","2","0","0","201","459","Canadian Martyrs Catholic School"
"005","BEACHES--EAST YORK","026","U","TORONTO","2","87","34","2","102","1","1","0","0","229","434","Kimbourne Park United Church"
"005","BEACHES--EAST YORK","027","U","TORONTO","7","93","16","1","122","0","1","0","0","240","462","Kimbourne Park United Church"
"005","BEACHES--EAST YORK","028","U","TORONTO","3","53","23","2","83","0","0","0","0","164","404","Canadian Martyrs Catholic School"
"005","BEACHES--EAST YORK","029","U","TORONTO","1","49","17","0","93","0","1","0","1","162","382","Canadian Martyrs Catholic School"
"005","BEACHES--EAST YORK","030","U","TORONTO","5","76","20","0","129","0","0","0","0","230","444","Kimbourne Park United Church"
"005","BEACHES--EAST YORK","031","U","TORONTO","5","95","25","0","93","0","0","0","0","218","442","Kimbourne Park United Church"
"005","BEACHES--EAST YORK","032","U","TORONTO","5","79","22","0","115","0","1","0","0","222","444","Kimbourne Park United Church"
"005","BEACHES--EAST YORK","033","U","TORONTO","6","116","14","2","123","0","1","0","0","262","488","Kimbourne Park United Church"
"005","BEACHES--EAST YORK","034","U","TORONTO","5","98","16","0","106","0","0","0","0","225","486","Kimbourne Park United Church"
"005","BEACHES--EAST YORK","035","U","TORONTO","11","97","18","2","105","0","0","0","0","233","551","Kimbourne Park United Church"
"005","BEACHES--EAST YORK","036","U","TORONTO","3","50","19","0","67","0","0","0","0","139","422","D. A. Morrison Middle School"
