"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","KULAR","LEE","MAINGI","MCLACHLAN","O'MARRA","SINGH","THORNHAM","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"006","BRAMALEA--GORE--MALTON","001","U","BRAMPTON","67","9","76","4","0","21","3","3","0","0","183","375","St. Patrick Catholic School"
"006","BRAMALEA--GORE--MALTON","002","U","BRAMPTON","50","7","56","1","1","28","5","0","0","4","152","455","St. Patrick Catholic School"
"006","BRAMALEA--GORE--MALTON","003A","U","BRAMPTON","48","1","39","0","2","89","5","1","1","0","186","397","Castlemore Public School"
"006","BRAMALEA--GORE--MALTON","003B","U","BRAMPTON","52","2","39","0","0","70","0","3","0","0","166","449","Castlemore Public School"
"006","BRAMALEA--GORE--MALTON","003C","U","BRAMPTON","51","0","11","2","0","71","1","2","2","0","140","373","Castlemore Public School"
"006","BRAMALEA--GORE--MALTON","004A","U","BRAMPTON","23","0","17","0","1","60","4","2","0","0","107","355","Castlemore Public School"
"006","BRAMALEA--GORE--MALTON","004B","U","BRAMPTON","19","1","10","0","0","105","2","0","0","0","137","389","Castlemore Public School"
"006","BRAMALEA--GORE--MALTON","004C","U","BRAMPTON","31","3","18","0","0","73","0","0","0","0","125","332","Castlemore Public School"
"006","BRAMALEA--GORE--MALTON","005A","U","BRAMPTON","58","2","21","0","1","84","1","0","0","0","167","550","Castlemore Public School"
"006","BRAMALEA--GORE--MALTON","005B","U","BRAMPTON","40","1","20","1","1","84","0","2","0","0","149","527","Castlemore Public School"
"006","BRAMALEA--GORE--MALTON","006A","U","BRAMPTON","39","0","19","1","1","81","1","0","0","0","142","445","Castlemore Public School"
"006","BRAMALEA--GORE--MALTON","006B","U","BRAMPTON","31","0","31","0","1","49","2","0","0","0","114","413","Castlemore Public School"
"006","BRAMALEA--GORE--MALTON","006C","U","BRAMPTON","34","2","38","1","0","83","2","0","0","0","160","409","Castlemore Public School"
"006","BRAMALEA--GORE--MALTON","007","U","BRAMPTON","27","3","41","1","1","50","3","0","0","0","126","314","Thorndale Public School"
"006","BRAMALEA--GORE--MALTON","008","U","BRAMPTON","57","0","30","0","0","73","5","1","0","1","167","483","Thorndale Public School"
"006","BRAMALEA--GORE--MALTON","009","U","BRAMPTON","32","2","15","0","1","65","0","0","1","0","116","276","Thorndale Public School"
"006","BRAMALEA--GORE--MALTON","010","U","BRAMPTON","59","1","12","1","3","87","2","0","1","0","166","531","Thorndale Public School"
"006","BRAMALEA--GORE--MALTON","011A","U","BRAMPTON","17","1","10","2","0","59","1","0","0","0","90","327","Thorndale Public School"
"006","BRAMALEA--GORE--MALTON","011B","U","BRAMPTON","28","1","11","0","1","60","2","0","0","0","103","324","Thorndale Public School"
