"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DUNCAN","HUNDAL","JEFFREY","ROWLEY","SADIQ","SINGH","SINGH","WYSOKINSKI","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"007","BRAMPTON--SPRINGDALE","001","U","BRAMPTON","4","64","57","1","4","0","36","0","0","1","0","167","532","Hewson Public School"
"007","BRAMPTON--SPRINGDALE","002","U","BRAMPTON","5","72","79","0","3","0","34","3","2","0","0","198","570","Hewson Public School"
"007","BRAMPTON--SPRINGDALE","003A","U","BRAMPTON","2","50","59","0","0","1","25","0","0","0","0","137","370","Lougheed Middle School"
"007","BRAMPTON--SPRINGDALE","003B","U","BRAMPTON","0","42","47","0","0","1","34","1","2","0","0","127","363","Lougheed Middle School"
"007","BRAMPTON--SPRINGDALE","004","U","BRAMPTON","2","78","73","1","1","2","21","0","0","0","0","178","504","Hewson Public School"
"007","BRAMPTON--SPRINGDALE","005","U","BRAMPTON","1","67","82","0","0","0","52","0","0","0","0","202","558","Hewson Public School"
"007","BRAMPTON--SPRINGDALE","006","U","BRAMPTON","3","57","90","1","2","3","47","1","1","0","0","205","594","Hewson Public School"
"007","BRAMPTON--SPRINGDALE","007","U","BRAMPTON","3","12","24","0","0","0","7","0","1","0","0","47","108","Stanley Mills Public School"
"007","BRAMPTON--SPRINGDALE","008","U","BRAMPTON","1","60","71","1","0","0","44","0","0","0","0","177","472","Sunny View Middle School"
"007","BRAMPTON--SPRINGDALE","009","U","BRAMPTON","2","77","66","6","0","2","28","1","0","0","0","182","448","Sunny View Middle School"
"007","BRAMPTON--SPRINGDALE","010","U","BRAMPTON","0","72","89","1","0","0","30","1","0","0","0","193","473","Sunny View Middle School"
"007","BRAMPTON--SPRINGDALE","011","U","BRAMPTON","3","45","57","0","0","0","15","1","0","0","0","121","381","Sunny View Middle School"
"007","BRAMPTON--SPRINGDALE","012","U","BRAMPTON","1","56","73","0","0","1","26","0","0","0","0","157","437","Good Shepherd Catholic Elementary School"
"007","BRAMPTON--SPRINGDALE","013","U","BRAMPTON","1","29","54","1","0","0","14","1","0","0","0","100","363","Stanley Mills Public School"
"007","BRAMPTON--SPRINGDALE","014","U","BRAMPTON","4","45","57","0","0","2","28","0","1","0","0","137","465","Stanley Mills Public School"
"007","BRAMPTON--SPRINGDALE","015","U","BRAMPTON","2","53","104","0","0","1","29","0","1","0","0","190","531","Good Shepherd Catholic Elementary School"
"007","BRAMPTON--SPRINGDALE","016","U","BRAMPTON","2","58","62","0","0","5","26","1","1","0","0","155","466","Good Shepherd Catholic Elementary School"
"007","BRAMPTON--SPRINGDALE","017","U","BRAMPTON","1","55","87","1","0","0","32","1","0","0","0","177","475","Good Shepherd Catholic Elementary School"
"007","BRAMPTON--SPRINGDALE","018","U","BRAMPTON","2","74","83","2","0","0","36","0","1","2","0","200","555","Larkspur Public School"
"007","BRAMPTON--SPRINGDALE","019","U","BRAMPTON","1","65","86","1","0","2","36","0","1","0","0","192","438","Larkspur Public School"
"007","BRAMPTON--SPRINGDALE","020","U","BRAMPTON","4","51","60","1","0","1","26","0","0","0","0","143","434","Good Shepherd Catholic Elementary School"
"007","BRAMPTON--SPRINGDALE","021","U","BRAMPTON","1","64","61","0","0","0","25","1","0","1","0","153","461","Chinguacousy Wellness Centre"
"007","BRAMPTON--SPRINGDALE","022","U","BRAMPTON","1","51","64","2","0","0","24","3","2","1","0","148","429","Chinguacousy Wellness Centre"
"007","BRAMPTON--SPRINGDALE","023","U","BRAMPTON","1","74","69","0","0","0","29","0","1","0","0","174","480","Larkspur Public School"
"007","BRAMPTON--SPRINGDALE","024","U","BRAMPTON","2","70","63","4","0","1","37","0","0","0","0","177","442","Larkspur Public School"
"007","BRAMPTON--SPRINGDALE","025","U","BRAMPTON","3","44","57","1","0","0","15","1","1","0","0","122","335","Chinguacousy Wellness Centre"
"007","BRAMPTON--SPRINGDALE","026","U","BRAMPTON","6","57","47","0","1","2","35","2","2","0","0","152","451","Chinguacousy Wellness Centre"
"007","BRAMPTON--SPRINGDALE","027","U","BRAMPTON","5","29","49","0","0","0","41","0","0","1","0","125","369","Chinguacousy Wellness Centre"
"007","BRAMPTON--SPRINGDALE","028","U","BRAMPTON","1","35","62","1","0","0","15","0","3","0","0","117","369","Chinguacousy Wellness Centre"
"007","BRAMPTON--SPRINGDALE","029","U","BRAMPTON","1","88","95","1","1","2","39","0","2","1","0","230","609","Lougheed Middle School"
"007","BRAMPTON--SPRINGDALE","030A","U","BRAMPTON","3","56","69","0","0","1","35","0","1","0","0","165","529","St. Marguerite D'Youville Secondary School"
"007","BRAMPTON--SPRINGDALE","030B","U","BRAMPTON","1","83","64","2","0","1","33","0","0","0","0","184","575","St. Marguerite D'Youville Secondary School"
"007","BRAMPTON--SPRINGDALE","031","U","BRAMPTON","0","74","57","1","1","1","51","0","1","1","0","187","436","Lougheed Middle School"
"007","BRAMPTON--SPRINGDALE","032","U","BRAMPTON","1","87","80","3","1","3","29","0","2","4","0","210","574","Father Michael J. McGivney Catholic School"
"007","BRAMPTON--SPRINGDALE","033","U","BRAMPTON","0","31","54","0","1","0","19","0","0","0","0","105","372","St. Marguerite D'Youville Secondary School"
"007","BRAMPTON--SPRINGDALE","034","U","BRAMPTON","1","40","46","0","1","0","16","0","1","0","0","105","349","St. Marguerite D'Youville Secondary School"
