"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CHMELYK","DHILLON","HARLSON","KATHURIA","SHENOUDA","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"008","BRAMPTON WEST","001","U","BRAMPTON","11","78","0","16","74","0","0","0","179","453","Snelgrove Community Centre"
"008","BRAMPTON WEST","002","U","BRAMPTON","4","68","0","30","70","2","0","2","176","432","Snelgrove Community Centre"
"008","BRAMPTON WEST","003","U","BRAMPTON","4","57","0","32","74","1","0","0","168","439","Snelgrove Community Centre"
"008","BRAMPTON WEST","004","U","BRAMPTON","7","79","2","21","101","2","0","0","212","515","Snelgrove Community Centre"
"008","BRAMPTON WEST","005","U","BRAMPTON","4","55","2","23","83","0","0","0","167","394","Snelgrove Community Centre"
"008","BRAMPTON WEST","006","U","BRAMPTON","3","76","2","21","63","0","0","0","165","431","Snelgrove Community Centre"
"008","BRAMPTON WEST","007A","U","BRAMPTON","7","46","2","33","45","0","0","0","133","549","Burnt Elm Public School"
"008","BRAMPTON WEST","007B","U","BRAMPTON","4","71","1","35","39","0","0","0","150","547","Burnt Elm Public School"
"008","BRAMPTON WEST","008A","U","BRAMPTON","3","54","3","14","20","0","0","1","95","385","Snelgrove Community Centre"
"008","BRAMPTON WEST","008B","U","BRAMPTON","1","33","0","20","14","0","0","0","68","399","Snelgrove Community Centre"
"008","BRAMPTON WEST","009","U","BRAMPTON","6","68","3","18","60","0","0","0","155","417","Snelgrove Community Centre"
"008","BRAMPTON WEST","010","U","BRAMPTON","4","30","1","20","48","0","0","0","103","294","Snelgrove Community Centre"
"008","BRAMPTON WEST","011","U","BRAMPTON","2","40","0","19","28","1","0","0","90","364","Snelgrove Community Centre"
"008","BRAMPTON WEST","012","U","BRAMPTON","2","61","0","18","30","0","0","2","113","429","Burnt Elm Public School"
"008","BRAMPTON WEST","013","U","BRAMPTON","1","56","1","23","41","0","0","0","122","395","Burnt Elm Public School"
"008","BRAMPTON WEST","014","U","BRAMPTON","1","44","2","33","38","0","0","0","118","300","Burnt Elm Public School"
"008","BRAMPTON WEST","015","U","BRAMPTON","3","44","0","16","35","0","0","0","98","378","Burnt Elm Public School"
"008","BRAMPTON WEST","016","U","BRAMPTON","5","86","3","26","36","0","1","0","157","459","Snelgrove Community Centre"
"008","BRAMPTON WEST","017","U","BRAMPTON","1","35","1","15","26","0","0","0","78","329","Cheyne Middle School"
"008","BRAMPTON WEST","018","U","BRAMPTON","3","46","1","18","31","0","0","0","99","365","Burnt Elm Public School"
"008","BRAMPTON WEST","019","U","BRAMPTON","5","72","3","43","38","0","0","0","161","464","Burnt Elm Public School"
"008","BRAMPTON WEST","020","U","BRAMPTON","0","34","2","27","24","0","0","0","87","349","Cheyne Middle School"
"008","BRAMPTON WEST","021","U","BRAMPTON","1","43","2","25","40","1","1","0","113","376","Burnt Elm Public School"
"008","BRAMPTON WEST","022","U","BRAMPTON","3","45","0","25","15","0","0","0","88","374","Cheyne Middle School"
"008","BRAMPTON WEST","023","U","BRAMPTON","4","81","2","30","37","1","1","0","156","472","Rowntree Public School"
"008","BRAMPTON WEST","024","U","BRAMPTON","1","67","1","35","37","0","1","0","142","367","Cheyne Middle School"
"008","BRAMPTON WEST","025","U","BRAMPTON","2","61","3","47","35","0","0","0","148","449","Cheyne Middle School"
"008","BRAMPTON WEST","026","U","BRAMPTON","0","36","0","21","28","0","0","0","85","336","Cheyne Middle School"
"008","BRAMPTON WEST","027","U","BRAMPTON","1","58","2","42","29","0","0","0","132","460","Rowntree Public School"
"008","BRAMPTON WEST","028","U","BRAMPTON","2","54","0","27","34","0","0","0","117","393","Rowntree Public School"
"008","BRAMPTON WEST","029","U","BRAMPTON","3","59","3","23","21","0","0","0","109","385","Cheyne Middle School"
"008","BRAMPTON WEST","030","U","BRAMPTON","5","54","2","25","43","0","1","0","130","481","Rowntree Public School"
"008","BRAMPTON WEST","031","U","BRAMPTON","4","41","1","22","39","0","0","0","107","390","Rowntree Public School"
"008","BRAMPTON WEST","032","U","BRAMPTON","2","40","1","24","17","2","0","0","86","384","Rowntree Public School"
"008","BRAMPTON WEST","033","U","BRAMPTON","4","56","0","30","20","0","0","0","110","368","Rowntree Public School"
"008","BRAMPTON WEST","034","U","BRAMPTON","2","67","1","22","34","0","0","0","126","429","Cheyne Middle School"
"008","BRAMPTON WEST","035","U","BRAMPTON","7","43","1","32","27","0","0","0","110","379","Cassie Campbell Community Centre"
"008","BRAMPTON WEST","036","U","BRAMPTON","4","62","1","25","14","0","0","0","106","376","Cassie Campbell Community Centre"
"008","BRAMPTON WEST","037","U","BRAMPTON","2","38","0","47","26","0","0","0","113","407","Cassie Campbell Community Centre"
"008","BRAMPTON WEST","038","U","BRAMPTON","1","44","0","20","41","0","0","0","106","385","Rowntree Public School"
"008","BRAMPTON WEST","039","U","BRAMPTON","2","52","2","18","23","0","0","0","97","365","Rowntree Public School"
"008","BRAMPTON WEST","040","U","BRAMPTON","1","71","0","23","46","0","0","0","141","434","Brisdale Public School"
"008","BRAMPTON WEST","041","U","BRAMPTON","2","56","2","20","41","0","1","0","122","365","Brisdale Public School"
"008","BRAMPTON WEST","042","U","BRAMPTON","0","57","3","26","18","0","0","0","104","388","Brisdale Public School"
"008","BRAMPTON WEST","043","U","BRAMPTON","3","47","0","16","25","1","0","0","92","383","Cassie Campbell Community Centre"
"008","BRAMPTON WEST","044","U","BRAMPTON","5","124","1","50","70","0","2","0","252","751","Brisdale Public School"
"008","BRAMPTON WEST","045","U","BRAMPTON","0","59","0","17","25","1","0","0","102","435","Brisdale Public School"
"008","BRAMPTON WEST","046","U","BRAMPTON","6","73","1","19","11","1","0","0","111","444","Brisdale Public School"
"008","BRAMPTON WEST","047","U","BRAMPTON","2","65","1","17","26","0","1","0","112","428","Cassie Campbell Community Centre"
"008","BRAMPTON WEST","048","U","BRAMPTON","0","38","0","20","16","1","0","0","75","325","Brisdale Public School"
"008","BRAMPTON WEST","049","U","BRAMPTON","3","31","2","28","21","0","0","0","85","310","Brisdale Public School"
"008","BRAMPTON WEST","050","U","BRAMPTON","1","59","2","21","21","0","0","0","104","336","McCrimmon Middle School"
"008","BRAMPTON WEST","051","U","BRAMPTON","0","46","1","35","29","0","0","0","111","328","McCrimmon Middle School"
"008","BRAMPTON WEST","052","U","BRAMPTON","3","55","1","30","34","1","0","0","124","347","McCrimmon Middle School"
"008","BRAMPTON WEST","053","U","BRAMPTON","3","75","0","28","40","1","0","0","147","401","McCrimmon Middle School"
"008","BRAMPTON WEST","054","U","BRAMPTON","1","46","1","29","45","0","0","0","122","366","McCrimmon Middle School"
"008","BRAMPTON WEST","055","U","BRAMPTON","2","44","2","23","25","0","0","0","96","324","McCrimmon Middle School"
"008","BRAMPTON WEST","056","U","BRAMPTON","2","51","1","20","21","0","0","0","95","347","Cassie Campbell Community Centre"
"008","BRAMPTON WEST","057","U","BRAMPTON","2","44","1","18","24","1","0","0","90","338","Cassie Campbell Community Centre"
"008","BRAMPTON WEST","058","U","BRAMPTON","1","54","2","30","20","0","0","0","107","371","Cassie Campbell Community Centre"
"008","BRAMPTON WEST","059","U","BRAMPTON","0","60","0","25","45","0","0","0","130","480","St. Angela Merici Elementary School"
"008","BRAMPTON WEST","060","U","BRAMPTON","2","60","0","31","62","1","0","0","156","485","St. Angela Merici Elementary School"
"008","BRAMPTON WEST","061","U","BRAMPTON","2","35","0","16","28","0","0","1","82","360","St. Angela Merici Elementary School"
"008","BRAMPTON WEST","062","U","BRAMPTON","7","53","0","30","51","2","3","0","146","426","Edenbrook Hill Public School"
"008","BRAMPTON WEST","063","U","BRAMPTON","6","44","1","12","16","0","0","0","79","349","Edenbrook Hill Public School"
"008","BRAMPTON WEST","064","U","BRAMPTON","0","43","4","18","38","0","0","0","103","324","Edenbrook Hill Public School"
"008","BRAMPTON WEST","065","U","BRAMPTON","3","83","1","23","42","0","0","0","152","442","St. Angela Merici Elementary School"
"008","BRAMPTON WEST","066","U","BRAMPTON","0","46","1","12","38","0","0","0","97","247","Edenbrook Hill Public School"
"008","BRAMPTON WEST","067","U","BRAMPTON","4","95","4","24","64","1","1","0","193","531","Edenbrook Hill Public School"
"008","BRAMPTON WEST","068","U","BRAMPTON","1","47","1","23","45","1","0","0","118","376","St. Angela Merici Elementary School"
"008","BRAMPTON WEST","069","U","BRAMPTON","1","46","1","16","38","0","0","0","102","301","St. Angela Merici Elementary School"
"008","BRAMPTON WEST","070","U","BRAMPTON","3","39","0","19","22","0","0","0","83","352","Guardian Angels Separate School"
"008","BRAMPTON WEST","071","U","BRAMPTON","1","78","4","16","29","0","3","0","131","472","Guardian Angels Separate School"
"008","BRAMPTON WEST","072","U","BRAMPTON","2","39","0","19","31","0","1","0","92","379","Guardian Angels Separate School"
"008","BRAMPTON WEST","073","U","BRAMPTON","5","45","2","25","36","0","0","0","113","413","Guardian Angels Separate School"
"008","BRAMPTON WEST","074","U","BRAMPTON","4","74","3","48","34","0","0","0","163","477","Guardian Angels Separate School"
"008","BRAMPTON WEST","075","U","BRAMPTON","1","82","0","23","28","0","0","0","134","456","Worthington Public School"
"008","BRAMPTON WEST","076","U","BRAMPTON","2","69","0","24","28","0","0","0","123","419","Guardian Angels Separate School"
"008","BRAMPTON WEST","077","U","BRAMPTON","4","88","1","39","31","1","0","0","164","493","McCrimmon Middle School"
"008","BRAMPTON WEST","078","U","BRAMPTON","6","64","1","28","24","0","0","0","123","582","McCrimmon Middle School"
"008","BRAMPTON WEST","079","U","BRAMPTON","0","39","0","17","22","0","0","0","78","315","Worthington Public School"
"008","BRAMPTON WEST","080","U","BRAMPTON","1","62","0","25","35","0","0","0","123","364","Worthington Public School"
"008","BRAMPTON WEST","081","U","BRAMPTON","0","80","2","20","41","0","0","0","143","374","Worthington Public School"
"008","BRAMPTON WEST","082","U","BRAMPTON","0","54","1","23","44","0","0","0","122","386","Worthington Public School"
"008","BRAMPTON WEST","083","U","BRAMPTON","0","78","2","31","50","0","0","0","161","429","Worthington Public School"
"008","BRAMPTON WEST","084","U","BRAMPTON","8","50","1","19","67","0","0","0","145","373","Brisdale Public School"
"008","BRAMPTON WEST","085","U","BRAMPTON","2","36","4","17","27","0","0","0","86","289","James Potter Public School"
"008","BRAMPTON WEST","086","U","BRAMPTON","1","33","2","17","22","0","0","0","75","292","James Potter Public School"
"008","BRAMPTON WEST","087","U","BRAMPTON","3","41","3","24","33","0","0","0","104","391","James Potter Public School"
"008","BRAMPTON WEST","088","U","BRAMPTON","1","45","1","25","26","1","0","0","99","343","James Potter Public School"
"008","BRAMPTON WEST","089","U","BRAMPTON","3","40","1","23","34","0","0","0","101","440","Guardian Angels Separate School"
"008","BRAMPTON WEST","090","U","BRAMPTON","2","32","2","18","43","0","0","0","97","402","Guardian Angels Separate School"
"008","BRAMPTON WEST","091","U","BRAMPTON","0","47","2","24","25","2","0","0","100","271","St. Ursula Separate School"
"008","BRAMPTON WEST","092","U","BRAMPTON","3","43","1","23","23","0","0","0","93","373","Homestead Public School"
"008","BRAMPTON WEST","093","U","BRAMPTON","1","44","0","36","16","0","0","0","97","343","Homestead Public School"
"008","BRAMPTON WEST","094","U","BRAMPTON","1","54","0","29","30","0","0","0","114","432","Homestead Public School"
"008","BRAMPTON WEST","095","U","BRAMPTON","1","54","3","33","34","0","0","0","125","426","Homestead Public School"
"008","BRAMPTON WEST","096","U","BRAMPTON","6","61","1","24","45","0","0","0","137","397","Homestead Public School"
"008","BRAMPTON WEST","097","U","BRAMPTON","7","64","0","39","18","0","0","0","128","392","Homestead Public School"
"008","BRAMPTON WEST","098","U","BRAMPTON","4","49","1","56","43","3","0","0","156","442","St. Ursula Separate School"
"008","BRAMPTON WEST","099","U","BRAMPTON","0","40","1","21","33","0","0","0","95","270","St. Ursula Separate School"
"008","BRAMPTON WEST","100","U","BRAMPTON","3","76","1","44","21","2","0","0","147","425","St. Ursula Separate School"
"008","BRAMPTON WEST","101","U","BRAMPTON","3","97","2","43","50","0","0","0","195","499","St. Ursula Separate School"
"008","BRAMPTON WEST","102","U","BRAMPTON","6","72","6","46","68","0","0","0","198","499","Homestead Public School"
"008","BRAMPTON WEST","103","U","BRAMPTON","3","40","1","18","43","0","0","0","105","393","St. Ursula Separate School"
"008","BRAMPTON WEST","104","U","BRAMPTON","2","32","1","24","30","1","0","0","90","320","St. Ursula Separate School"
"008","BRAMPTON WEST","105","U","BRAMPTON","1","24","1","8","14","0","0","0","48","206","St. Ursula Separate School"
"008","BRAMPTON WEST","106","U","BRAMPTON","3","49","4","25","38","1","0","0","120","407","St. Ursula Separate School"
"008","BRAMPTON WEST","107","U","BRAMPTON","2","58","0","27","47","2","2","0","138","478","St. Ursula Separate School"
"008","BRAMPTON WEST","108","U","BRAMPTON","3","59","2","27","42","1","0","0","134","431","Our Lady of Fatima School"
"008","BRAMPTON WEST","109","U","BRAMPTON","1","47","0","26","19","2","0","0","95","412","Our Lady of Fatima School"
"008","BRAMPTON WEST","110","U","BRAMPTON","3","52","0","26","31","0","0","0","112","306","St. Maria Goretti Elementary School"
"008","BRAMPTON WEST","111","U","BRAMPTON","4","35","1","20","33","0","0","0","93","302","St. Maria Goretti Elementary School"
"008","BRAMPTON WEST","112","U","BRAMPTON","1","46","1","21","25","0","0","0","94","345","St. Maria Goretti Elementary School"
"008","BRAMPTON WEST","113","U","BRAMPTON","2","80","0","39","38","1","0","1","161","463","St. Maria Goretti Elementary School"
"008","BRAMPTON WEST","114","U","BRAMPTON","6","33","1","26","48","0","0","0","114","349","St. Maria Goretti Elementary School"
"008","BRAMPTON WEST","115","U","BRAMPTON","18","37","1","18","45","0","0","0","119","370","Our Lady of Fatima School"
"008","BRAMPTON WEST","116","U","BRAMPTON","6","32","0","16","14","0","0","0","68","251","Our Lady of Fatima School"
"008","BRAMPTON WEST","117","U","BRAMPTON","2","38","2","32","29","0","0","0","103","366","St. Maria Goretti Elementary School"
"008","BRAMPTON WEST","118","U","BRAMPTON","10","61","4","48","61","0","1","0","185","416","Glendale Public School"
"008","BRAMPTON WEST","119","U","BRAMPTON","8","62","2","22","43","0","0","0","137","394","Our Lady of Fatima School"
"008","BRAMPTON WEST","120","U","BRAMPTON","8","52","0","15","23","0","1","0","99","369","Glendale Public School"
"008","BRAMPTON WEST","121","U","BRAMPTON","9","52","0","23","38","0","0","0","122","323","Glendale Public School"
"008","BRAMPTON WEST","122","U","BRAMPTON","8","46","0","28","57","2","0","0","141","432","Our Lady of Fatima School"
"008","BRAMPTON WEST","123","U","BRAMPTON","12","65","4","28","53","0","0","0","162","474","Our Lady of Fatima School"
"008","BRAMPTON WEST","124","U","BRAMPTON","5","72","3","29","53","0","0","0","162","458","Our Lady of Fatima School"
"008","BRAMPTON WEST","125","U","BRAMPTON","8","47","4","35","54","0","0","0","148","417","Glendale Public School"
"008","BRAMPTON WEST","126","U","BRAMPTON","6","54","1","38","66","0","3","0","168","520","Glendale Public School"
"008","BRAMPTON WEST","127","U","BRAMPTON","10","58","0","25","38","0","0","0","131","351","Glendale Public School"
"008","BRAMPTON WEST","128","U","BRAMPTON","11","67","4","21","38","1","0","0","142","505","Glendale Public School"
"008","BRAMPTON WEST","129A","U","BRAMPTON","3","35","2","3","34","1","1","0","79","260","Greenway Retirement Village"
"008","BRAMPTON WEST","129B","U","BRAMPTON","7","48","1","18","37","0","0","0","111","218","Glendale Public School"
"008","BRAMPTON WEST","130","U","BRAMPTON","5","34","1","17","44","0","0","1","102","247","Agnes Taylor Public School"
"008","BRAMPTON WEST","131","U","BRAMPTON","2","23","0","13","19","0","1","0","58","209","Agnes Taylor Public School"
"008","BRAMPTON WEST","132","U","BRAMPTON","2","25","3","21","39","1","0","0","91","256","Agnes Taylor Public School"
"008","BRAMPTON WEST","133","U","BRAMPTON","1","37","1","16","33","0","0","0","88","323","Agnes Taylor Public School"
"008","BRAMPTON WEST","134","U","BRAMPTON","5","31","2","22","39","0","1","0","100","279","Agnes Taylor Public School"
"008","BRAMPTON WEST","135","U","BRAMPTON","9","63","2","36","59","1","0","0","170","416","Agnes Taylor Public School"
"008","BRAMPTON WEST","136","U","BRAMPTON","4","45","4","19","50","1","0","0","123","318","Agnes Taylor Public School"
"008","BRAMPTON WEST","137","U","BRAMPTON","1","30","1","18","23","1","1","1","76","417","Sir Winston Churchill Public School"
"008","BRAMPTON WEST","138","U","BRAMPTON","5","40","3","26","68","0","0","0","142","324","Agnes Taylor Public School"
"008","BRAMPTON WEST","139","U","BRAMPTON","2","38","0","20","19","1","0","0","80","265","Sir Winston Churchill Public School"
"008","BRAMPTON WEST","140","U","BRAMPTON","7","38","2","20","31","0","1","0","99","484","Sir Winston Churchill Public School"
"008","BRAMPTON WEST","141","U","BRAMPTON","4","49","1","35","34","0","0","0","123","568","Sir Winston Churchill Public School"
"008","BRAMPTON WEST","142","U","BRAMPTON","2","60","0","16","57","0","1","0","136","359","Cardinal Leger Secondary School"
"008","BRAMPTON WEST","143","U","BRAMPTON","10","64","2","19","32","0","0","0","127","268","Cardinal Leger Secondary School"
"008","BRAMPTON WEST","144","U","BRAMPTON","12","68","6","20","77","0","0","0","183","405","Cardinal Leger Secondary School"
"008","BRAMPTON WEST","145","U","BRAMPTON","10","73","0","26","41","2","0","0","152","352","Cardinal Leger Secondary School"
"008","BRAMPTON WEST","146","U","BRAMPTON","9","50","5","28","68","2","0","0","162","506","Cardinal Leger Secondary School"
"008","BRAMPTON WEST","147","U","BRAMPTON","7","65","6","16","85","1","0","0","180","456","Helen Wilson Public School"
"008","BRAMPTON WEST","148","U","BRAMPTON","18","55","1","23","84","0","0","0","181","372","Helen Wilson Public School"
"008","BRAMPTON WEST","149","U","BRAMPTON","5","74","3","14","67","0","0","0","163","344","Helen Wilson Public School"
"008","BRAMPTON WEST","150","U","BRAMPTON","9","78","2","21","104","0","0","0","214","374","Helen Wilson Public School"
"008","BRAMPTON WEST","151","U","BRAMPTON","2","18","2","17","24","0","0","0","63","362","Sir Wilfred Laurier Public School"
"008","BRAMPTON WEST","152","U","BRAMPTON","6","50","4","24","43","0","0","1","128","497","Sir Wilfred Laurier Public School"
"008","BRAMPTON WEST","153","U","BRAMPTON","17","101","2","14","86","0","0","0","220","437","Helen Wilson Public School"
"008","BRAMPTON WEST","154","U","BRAMPTON","7","60","3","19","99","1","0","0","189","362","Sir Wilfred Laurier Public School"
"008","BRAMPTON WEST","155","U","BRAMPTON","11","67","0","28","98","0","0","0","204","383","St. Francis Xavier Separate School"
"008","BRAMPTON WEST","156","U","BRAMPTON","11","101","1","18","114","1","0","0","246","415","St. Francis Xavier Separate School"
