"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","ECCLES","JOHNSTONE","JOLLEY","KIDD","MARSHALL","MILLER","WALKER","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"010","BRUCE--GREY--OWEN SOUND","001","U","TOBERMORY","77","33","12","0","11","5","116","1","1","0","256","497","St. Edmunds Community Centre"
"010","BRUCE--GREY--OWEN SOUND","002","U","TOBERMORY","55","25","1","0","15","1","75","0","0","0","172","331","St. Edmunds Community Centre"
"010","BRUCE--GREY--OWEN SOUND","003","U","LIONS HEAD","53","50","10","0","11","2","124","1","1","0","252","498","Lindsay Hall"
"010","BRUCE--GREY--OWEN SOUND","004","U","LIONS HEAD","37","28","1","1","19","1","105","0","2","0","194","518","Lions Head Bethel Church"
"010","BRUCE--GREY--OWEN SOUND","005","U","LIONS HEAD","46","19","9","1","6","1","91","0","0","0","173","342","Lions Head Bethel Church"
"010","BRUCE--GREY--OWEN SOUND","006","U","LIONS HEAD","20","19","4","1","5","1","58","1","0","0","109","284","Lions Head Bethel Church"
"010","BRUCE--GREY--OWEN SOUND","007","U","LIONS HEAD","27","30","9","0","13","1","70","1","0","0","151","391","Lions Head Bethel Church"
"010","BRUCE--GREY--OWEN SOUND","008","U","LIONS HEAD","27","9","6","0","6","0","67","0","0","0","115","276","Lions Head Bethel Church"
"010","BRUCE--GREY--OWEN SOUND","009","U","MAR","58","32","3","0","8","4","109","0","0","0","214","405","Mar Community Centre"
"010","BRUCE--GREY--OWEN SOUND","010","U","MAR","21","19","8","0","2","0","66","0","1","0","117","341","Mar Community Centre"
"010","BRUCE--GREY--OWEN SOUND","011","U","WIARTON","37","25","2","0","3","0","69","1","0","0","137","355","Purple Valley Community Centre"
"010","BRUCE--GREY--OWEN SOUND","012","U","CAPE CROKER","24","49","5","0","9","1","11","2","1","0","102","268","Chippewa-Nawash Community Centre"
"010","BRUCE--GREY--OWEN SOUND","013","U","WIARTON","60","27","8","1","8","4","139","0","0","0","247","667","Wiarton Arena"
"010","BRUCE--GREY--OWEN SOUND","014","U","WIARTON","20","12","2","1","6","0","33","0","0","0","74","277","Wiarton Arena"
"010","BRUCE--GREY--OWEN SOUND","015","U","WIARTON","28","22","4","1","5","3","86","0","0","0","149","409","Wiarton Arena"
"010","BRUCE--GREY--OWEN SOUND","016","U","WIARTON","18","21","4","0","4","0","58","2","0","0","107","348","Wiarton Arena"
"010","BRUCE--GREY--OWEN SOUND","017","U","WIARTON","16","13","2","0","4","1","89","0","0","0","125","301","Wiarton Arena"
"010","BRUCE--GREY--OWEN SOUND","018","U","WIARTON","22","14","3","2","4","0","57","0","0","0","102","269","Wiarton Arena"
"010","BRUCE--GREY--OWEN SOUND","019","U","SOUTHAMPTON","20","52","5","1","6","1","17","0","0","0","102","287","James Mason Centre"
"010","BRUCE--GREY--OWEN SOUND","020","U","SAUBLE BEACH","33","29","3","2","4","0","77","1","0","0","149","269","Sauble Beach Community Centre"
"010","BRUCE--GREY--OWEN SOUND","021","U","SAUBLE BEACH","26","26","6","2","8","0","68","1","0","0","137","263","Sauble Beach Community Centre"
"010","BRUCE--GREY--OWEN SOUND","022","U","SAUBLE BEACH","46","29","2","0","3","1","134","1","0","1","217","383","Sauble Beach Community Centre"
"010","BRUCE--GREY--OWEN SOUND","023","U","SAUBLE BEACH","35","19","4","0","6","0","93","0","0","0","157","256","Sauble Beach Community Centre"
"010","BRUCE--GREY--OWEN SOUND","024","U","SAUBLE BEACH","53","29","10","2","6","0","100","1","0","0","201","334","Sauble Beach Community Centre"
"010","BRUCE--GREY--OWEN SOUND","025","U","HEPWORTH","33","38","2","8","9","0","136","0","0","0","226","393","Royal Canadian Legion 586"
"010","BRUCE--GREY--OWEN SOUND","026","U","HEPWORTH","26","23","5","0","7","0","125","0","0","0","186","355","Royal Canadian Legion 586"
"010","BRUCE--GREY--OWEN SOUND","027","U","TARA","20","20","2","1","2","0","82","0","0","0","127","255","Royal Canadian Legion"
"010","BRUCE--GREY--OWEN SOUND","028","U","TARA","13","23","3","0","1","0","73","1","0","0","114","264","Royal Canadian Legion"
"010","BRUCE--GREY--OWEN SOUND","029","U","WIARTON","44","37","3","2","8","0","137","2","0","0","233","542","The Meeting Place"
"010","BRUCE--GREY--OWEN SOUND","030","U","HEPWORTH","36","21","7","2","7","1","117","0","0","0","191","399","Royal Canadian Legion 586"
"010","BRUCE--GREY--OWEN SOUND","031","U","WIARTON","21","23","6","0","6","1","92","0","1","0","150","343","The Meeting Place"
"010","BRUCE--GREY--OWEN SOUND","032","U","WIARTON","30","23","8","0","13","0","71","0","0","0","145","344","The Meeting Place"
"010","BRUCE--GREY--OWEN SOUND","033","U","WIARTON","30","12","7","4","0","0","52","0","0","0","105","235","The Meeting Place"
"010","BRUCE--GREY--OWEN SOUND","034","U","KEMBLE","46","17","7","1","9","2","96","0","0","0","178","391","Sarawak United Church"
"010","BRUCE--GREY--OWEN SOUND","035","U","KEMBLE","24","8","1","0","1","0","27","0","0","0","61","71","Sarawak United Church"
"010","BRUCE--GREY--OWEN SOUND","036","U","SHALLOW LAKE","33","17","7","0","3","0","48","0","0","0","108","373","Shallow Lake Community Church"
"010","BRUCE--GREY--OWEN SOUND","037","U","SHALLOW LAKE","36","12","4","0","3","0","50","0","0","0","105","375","Shallow Lake Community Church"
"010","BRUCE--GREY--OWEN SOUND","038","U","SHALLOW LAKE","26","4","10","0","6","1","34","0","0","0","81","257","Shallow Lake Community Church"
"010","BRUCE--GREY--OWEN SOUND","039","U","SHALLOW LAKE","32","9","5","3","5","1","67","1","0","0","123","303","Shallow Lake Community Church"
"010","BRUCE--GREY--OWEN SOUND","040","U","SHALLOW LAKE","24","28","2","0","5","2","76","0","0","0","137","337","Shallow Lake Community Church"
"010","BRUCE--GREY--OWEN SOUND","041","U","SHALLOW LAKE","35","26","8","5","6","0","140","2","2","0","224","431","Shallow Lake Community Church"
"010","BRUCE--GREY--OWEN SOUND","042","U","OWEN SOUND","51","35","4","2","2","1","106","0","1","0","202","432","Crossroads Victory Church"
"010","BRUCE--GREY--OWEN SOUND","043","U","OWEN SOUND","38","23","7","2","5","3","85","0","0","0","163","354","Crossroads Victory Church"
"010","BRUCE--GREY--OWEN SOUND","044","U","OWEN SOUND","44","31","10","1","10","0","78","1","0","0","175","321","Crossroads Victory Church"
"010","BRUCE--GREY--OWEN SOUND","045","U","DESBORO","36","11","10","2","1","1","92","0","0","0","153","431","Desboro Recreation Complex"
"010","BRUCE--GREY--OWEN SOUND","046","U","OWEN SOUND","61","33","7","1","9","1","86","0","0","0","198","427","West Hill Secondary School"
"010","BRUCE--GREY--OWEN SOUND","047","U","DESBORO","31","23","7","2","7","2","63","0","1","0","136","409","Desboro Recreation Complex"
"010","BRUCE--GREY--OWEN SOUND","048","U","OWEN SOUND","36","26","1","1","8","2","78","0","0","0","152","307","Crossroads Victory Church"
"010","BRUCE--GREY--OWEN SOUND","049","U","OWEN SOUND","42","37","12","5","4","0","56","0","0","0","156","306","Crossroads Victory Church"
"010","BRUCE--GREY--OWEN SOUND","050","U","OWEN SOUND","33","21","6","2","6","1","50","0","0","0","119","310","Crossroads Victory Church"
"010","BRUCE--GREY--OWEN SOUND","051","U","OWEN SOUND","73","29","6","4","7","4","77","0","0","0","200","343","South End Fellowship Church"
"010","BRUCE--GREY--OWEN SOUND","052","U","OWEN SOUND","66","37","8","6","5","2","73","2","0","0","199","391","South End Fellowship Church"
"010","BRUCE--GREY--OWEN SOUND","053","U","OWEN SOUND","25","31","10","0","2","0","39","0","0","0","107","351","First United Church"
"010","BRUCE--GREY--OWEN SOUND","054","U","OWEN SOUND","14","18","4","2","5","1","44","1","0","0","89","295","First United Church"
"010","BRUCE--GREY--OWEN SOUND","055","U","OWEN SOUND","39","18","8","1","9","0","73","0","1","0","149","348","First United Church"
"010","BRUCE--GREY--OWEN SOUND","056","U","OWEN SOUND","50","24","6","0","7","0","46","0","0","0","133","323","First United Church"
"010","BRUCE--GREY--OWEN SOUND","057","U","OWEN SOUND","40","18","7","5","4","0","54","0","0","0","128","272","First United Church"
"010","BRUCE--GREY--OWEN SOUND","058","U","OWEN SOUND","31","30","5","0","3","1","58","0","0","0","128","314","First United Church"
"010","BRUCE--GREY--OWEN SOUND","059","U","OWEN SOUND","36","37","4","0","8","2","36","0","0","1","124","322","Royal Canadian Legion Branch # 6"
"010","BRUCE--GREY--OWEN SOUND","060","U","OWEN SOUND","32","27","2","0","6","1","32","1","0","0","101","319","Royal Canadian Legion Branch # 6"
"010","BRUCE--GREY--OWEN SOUND","061","U","OWEN SOUND","34","24","10","2","4","2","57","0","0","0","133","369","Royal Canadian Legion Branch # 6"
"010","BRUCE--GREY--OWEN SOUND","062","U","OWEN SOUND","45","24","11","0","14","0","38","1","0","0","133","354","Lutheran Church of Our Saviour"
"010","BRUCE--GREY--OWEN SOUND","063","U","OWEN SOUND","56","30","3","1","3","1","19","0","0","0","113","250","Lutheran Church of Our Saviour"
"010","BRUCE--GREY--OWEN SOUND","064","U","OWEN SOUND","23","19","6","3","2","0","38","0","0","0","91","246","West Hill Secondary School"
"010","BRUCE--GREY--OWEN SOUND","065","U","OWEN SOUND","36","23","2","1","8","1","58","0","0","0","129","327","West Hill Secondary School"
"010","BRUCE--GREY--OWEN SOUND","066","U","OWEN SOUND","46","36","9","0","8","1","46","0","0","0","146","355","Lutheran Church of Our Saviour"
"010","BRUCE--GREY--OWEN SOUND","067","U","OWEN SOUND","40","26","6","1","9","0","49","0","0","0","131","286","St. Andrews Presbyterian Church"
"010","BRUCE--GREY--OWEN SOUND","068","U","OWEN SOUND","58","31","18","0","6","1","80","0","0","0","194","403","West Hill Secondary School"
"010","BRUCE--GREY--OWEN SOUND","069","U","OWEN SOUND","55","10","5","0","3","3","28","1","0","0","105","250","West Hill Secondary School"
"010","BRUCE--GREY--OWEN SOUND","070","U","OWEN SOUND","86","27","7","2","4","3","76","1","0","0","206","432","West Hill Secondary School"
"010","BRUCE--GREY--OWEN SOUND","071","U","OWEN SOUND","57","20","6","1","7","3","60","0","0","0","154","330","West Hill Secondary School"
"010","BRUCE--GREY--OWEN SOUND","072","U","OWEN SOUND","43","15","12","0","7","0","28","1","0","0","106","246","South End Fellowship Church"
"010","BRUCE--GREY--OWEN SOUND","073","U","OWEN SOUND","54","35","4","0","8","2","56","0","0","0","159","445","Grey Bruce Health Unit"
"010","BRUCE--GREY--OWEN SOUND","074","U","OWEN SOUND","25","21","7","0","1","0","29","1","0","0","84","284","Grey Bruce Health Unit"
"010","BRUCE--GREY--OWEN SOUND","075","U","OWEN SOUND","25","27","3","0","5","0","34","0","0","0","94","284","Grey Bruce Health Unit"
"010","BRUCE--GREY--OWEN SOUND","076","U","OWEN SOUND","30","29","10","0","1","1","40","1","0","0","112","402","Grey Bruce Health Unit"
"010","BRUCE--GREY--OWEN SOUND","077","U","OWEN SOUND","35","33","7","0","6","0","96","1","0","0","178","406","Grey Bruce Health Unit"
"010","BRUCE--GREY--OWEN SOUND","078","U","OWEN SOUND","26","27","6","0","9","1","68","0","0","0","137","363","Grey Bruce Health Unit"
"010","BRUCE--GREY--OWEN SOUND","079","U","OWEN SOUND","15","11","5","0","1","0","24","0","0","0","56","243","Grey Bruce Health Unit"
"010","BRUCE--GREY--OWEN SOUND","080","U","OWEN SOUND","28","27","5","0","6","1","32","0","0","0","99","361","St. Georges Anglican Church"
"010","BRUCE--GREY--OWEN SOUND","081","U","OWEN SOUND","44","23","3","0","2","0","51","0","0","0","123","361","St. Georges Anglican Church"
"010","BRUCE--GREY--OWEN SOUND","082","U","OWEN SOUND","27","29","5","0","3","3","43","0","0","0","110","347","St. Georges Anglican Church"
"010","BRUCE--GREY--OWEN SOUND","083","U","OWEN SOUND","30","22","2","0","1","0","38","0","0","0","93","295","Days Inn"
"010","BRUCE--GREY--OWEN SOUND","084","U","OWEN SOUND","33","20","8","0","9","0","36","1","0","0","107","444","St. Georges Anglican Church"
"010","BRUCE--GREY--OWEN SOUND","085","U","OWEN SOUND","77","44","21","2","13","1","40","0","0","0","198","496","St. Georges Anglican Church"
"010","BRUCE--GREY--OWEN SOUND","086","U","OWEN SOUND","34","29","8","0","7","3","41","0","0","1","123","322","Days Inn"
"010","BRUCE--GREY--OWEN SOUND","087","U","OWEN SOUND","40","28","4","0","1","0","60","0","0","0","133","341","Days Inn"
"010","BRUCE--GREY--OWEN SOUND","088","U","OWEN SOUND","42","24","5","0","3","0","60","0","0","0","134","310","Days Inn"
"010","BRUCE--GREY--OWEN SOUND","089","U","OWEN SOUND","38","40","7","1","9","0","30","0","0","0","125","321","Owen Sound Family Y"
"010","BRUCE--GREY--OWEN SOUND","090","U","OWEN SOUND","66","26","11","0","10","0","38","2","0","1","154","398","Owen Sound Family Y"
"010","BRUCE--GREY--OWEN SOUND","091","U","OWEN SOUND","25","25","4","0","5","2","33","0","0","0","94","248","St. Georges Anglican Church"
"010","BRUCE--GREY--OWEN SOUND","092","U","OWEN SOUND","43","17","9","1","5","0","38","0","1","0","114","253","Days Inn"
"010","BRUCE--GREY--OWEN SOUND","093","U","OWEN SOUND","72","22","9","0","4","0","68","0","0","0","175","390","Days Inn"
"010","BRUCE--GREY--OWEN SOUND","094","U","OWEN SOUND","73","31","10","3","4","3","81","1","0","0","206","399","Days Inn"
"010","BRUCE--GREY--OWEN SOUND","095","U","OWEN SOUND","31","15","1","0","0","0","30","0","0","0","77","209","Grey Bruce Health Unit"
"010","BRUCE--GREY--OWEN SOUND","096","U","OWEN SOUND","75","34","11","2","7","4","90","1","0","1","225","542","Days Inn"
"010","BRUCE--GREY--OWEN SOUND","097","U","OWEN SOUND","48","33","11","0","11","0","101","0","0","0","204","449","Grey Bruce Health Unit"
"010","BRUCE--GREY--OWEN SOUND","098","U","OWEN SOUND","56","7","15","0","5","0","68","0","0","1","152","361","Grey Bruce Health Unit"
"010","BRUCE--GREY--OWEN SOUND","099","U","OWEN SOUND","34","13","11","0","8","1","107","0","0","0","174","338","Sydenham Depot"
"010","BRUCE--GREY--OWEN SOUND","100","U","MEAFORD","99","47","21","4","5","3","145","2","1","0","327","722","Meaford St Vincent Community Centre"
