"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BRANNAN","BROWN","GILES","MCKENNA","O'BRIEN","RUSSELL","SAKRAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"011","BURLINGTON","001","U","BURLINGTON","0","3","2","27","0","19","67","1","0","0","119","341","New Appleby Public Library"
"011","BURLINGTON","002","U","BURLINGTON","0","1","1","22","1","6","32","1","0","0","64","205","New Appleby Public Library"
"011","BURLINGTON","003","U","BURLINGTON","1","3","1","35","0","33","52","0","0","0","125","369","Ascension Catholic Elementary School"
"011","BURLINGTON","004","U","BURLINGTON","1","2","1","74","1","32","51","0","1","0","163","425","Ascension Catholic Elementary School"
"011","BURLINGTON","005","U","BURLINGTON","2","3","0","43","1","46","42","0","2","1","140","359","Ascension Catholic Elementary School"
"011","BURLINGTON","006","U","BURLINGTON","1","6","3","52","0","30","64","1","0","0","157","394","Ascension Catholic Elementary School"
"011","BURLINGTON","007","U","BURLINGTON","0","3","7","82","0","29","62","0","0","0","183","381","Robert Bateman High School"
"011","BURLINGTON","008","U","BURLINGTON","0","2","1","75","1","38","53","0","0","0","170","375","Robert Bateman High School"
"011","BURLINGTON","009","U","BURLINGTON","0","12","5","82","1","55","70","0","0","0","225","433","Frontenac Public School"
"011","BURLINGTON","010","U","BURLINGTON","1","8","2","70","3","39","58","0","1","0","182","361","Frontenac Public School"
"011","BURLINGTON","011","U","BURLINGTON","1","2","2","88","1","38","69","0","1","0","202","423","Robert Bateman High School"
"011","BURLINGTON","012","U","BURLINGTON","1","4","0","68","1","39","72","0","0","0","185","355","Frontenac Public School"
"011","BURLINGTON","013","U","BURLINGTON","0","3","5","61","2","33","59","0","0","0","163","354","Robert Bateman High School"
"011","BURLINGTON","014","U","BURLINGTON","1","3","2","61","1","43","83","0","0","0","194","388","Frontenac Public School"
"011","BURLINGTON","015","U","BURLINGTON","2","4","1","42","0","41","27","0","1","0","118","350","Frontenac Public School"
"011","BURLINGTON","016","U","BURLINGTON","1","8","1","66","2","38","82","0","0","1","199","458","Pineland Public School"
"011","BURLINGTON","017","U","BURLINGTON","1","3","5","70","1","40","51","0","0","0","171","414","Mohawk Gardens Public School"
"011","BURLINGTON","018","U","BURLINGTON","0","4","1","55","0","44","54","1","0","0","159","395","St. Patricks Catholic Church"
"011","BURLINGTON","019","U","BURLINGTON","1","7","2","69","4","37","59","0","0","0","179","395","Mohawk Gardens Public School"
"011","BURLINGTON","020","U","BURLINGTON","1","10","1","72","1","46","82","3","0","1","217","424","Mohawk Gardens Public School"
"011","BURLINGTON","021","U","BURLINGTON","0","4","2","78","1","52","57","0","0","0","194","406","St. Patricks Catholic Church"
"011","BURLINGTON","022","U","BURLINGTON","0","3","3","61","1","29","51","1","0","0","149","361","St. Patricks Catholic Church"
"011","BURLINGTON","023","U","BURLINGTON","0","6","0","76","0","40","68","0","0","0","190","405","Mohawk Gardens Public School"
"011","BURLINGTON","024","U","BURLINGTON","1","7","4","88","4","46","58","0","0","0","208","400","St. Patricks Catholic Church"
"011","BURLINGTON","025A","U","BURLINGTON","0","3","1","41","0","23","41","0","0","0","109","320","St. Patricks Catholic Church"
"011","BURLINGTON","025B","U","BURLINGTON","0","1","4","56","0","24","43","0","0","0","128","324","St. Patricks Catholic Church"
"011","BURLINGTON","026","U","BURLINGTON","0","5","2","73","0","30","88","0","0","0","198","440","Pineland Public School"
"011","BURLINGTON","027","U","BURLINGTON","0","6","3","94","2","38","102","2","0","0","247","447","St. Patricks Catholic Church"
"011","BURLINGTON","028","U","BURLINGTON","0","6","0","51","3","54","52","0","0","0","166","391","St. Patricks Catholic Church"
"011","BURLINGTON","029","U","BURLINGTON","1","1","0","33","1","20","61","1","0","0","118","267","Pineland Public School"
"011","BURLINGTON","030","U","BURLINGTON","0","2","3","104","1","20","73","0","0","0","203","437","Pineland Public School"
"011","BURLINGTON","031","U","BURLINGTON","0","0","1","86","2","12","64","0","0","0","165","400","Appleby United Church"
"011","BURLINGTON","032","U","BURLINGTON","2","2","3","99","0","33","87","1","0","0","227","389","Appleby United Church"
"011","BURLINGTON","033","U","BURLINGTON","1","3","3","96","1","20","75","1","0","0","200","395","Appleby United Church"
"011","BURLINGTON","034","U","BURLINGTON","1","5","0","74","2","41","72","0","0","0","195","389","Appleby United Church"
