"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BANKOLE","DETTWEILER","LEONE","MALETTE","MCGARRY","ROSS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"012","CAMBRIDGE","001","U","CAMBRIDGE","22","2","82","7","41","1","0","0","0","155","438","Pere-Rene Galinee Secondary School"
"012","CAMBRIDGE","002","U","CAMBRIDGE","21","6","121","7","66","1","0","0","0","222","456","Wanner Mennonite Church"
"012","CAMBRIDGE","003A","U","CAMBRIDGE","44","2","69","2","92","0","0","0","0","209","497","Silverheights Public School"
"012","CAMBRIDGE","003B","U","CAMBRIDGE","46","2","73","2","97","1","0","0","0","221","519","Silverheights Public School"
"012","CAMBRIDGE","004","U","CAMBRIDGE","50","4","57","7","44","2","0","1","0","165","478","Silverheights Public School"
"012","CAMBRIDGE","005","U","CAMBRIDGE","64","1","58","7","44","0","1","0","0","175","441","Silverheights Public School"
"012","CAMBRIDGE","006","U","CAMBRIDGE","54","0","69","4","58","2","0","0","0","187","467","Silverheights Public School"
"012","CAMBRIDGE","007","U","CAMBRIDGE","35","1","48","4","63","1","0","0","0","152","328","Silverheights Public School"
"012","CAMBRIDGE","008","U","CAMBRIDGE","43","3","65","3","66","0","0","0","0","180","436","St. Mary's Roman Catholic Church"
"012","CAMBRIDGE","009","U","CAMBRIDGE","27","1","64","3","59","3","0","0","0","157","439","St. Mary's Roman Catholic Church"
"012","CAMBRIDGE","010","U","CAMBRIDGE","30","0","57","4","38","1","0","0","0","130","416","Silverheights Public School"
"012","CAMBRIDGE","011","U","CAMBRIDGE","46","4","59","7","62","2","0","0","0","180","486","Silverheights Public School"
"012","CAMBRIDGE","012","U","CAMBRIDGE","33","2","80","3","46","1","0","0","0","165","408","St. Mary's Roman Catholic Church"
"012","CAMBRIDGE","013","U","CAMBRIDGE","24","3","52","5","53","1","0","0","0","138","372","St. Mary's Roman Catholic Church"
"012","CAMBRIDGE","014","U","CAMBRIDGE","53","6","86","2","55","2","0","1","0","205","535","Silverheights Public School"
"012","CAMBRIDGE","015","U","CAMBRIDGE","55","3","74","7","90","1","0","0","0","230","502","St. Mary's Roman Catholic Church"
"012","CAMBRIDGE","016","U","CAMBRIDGE","24","1","57","1","43","0","0","0","0","126","342","Hespeler Memorial Arena"
"012","CAMBRIDGE","017","U","CAMBRIDGE","20","2","55","5","48","1","0","0","0","131","417","Hespeler Memorial Arena"
"012","CAMBRIDGE","018","U","CAMBRIDGE","26","0","43","4","29","2","1","0","0","105","381","Hespeler Memorial Arena"
"012","CAMBRIDGE","019","U","CAMBRIDGE","28","3","58","2","56","2","0","1","0","150","449","Hespeler Memorial Arena"
"012","CAMBRIDGE","020","U","CAMBRIDGE","27","3","35","5","48","1","1","0","0","120","360","Hespeler Memorial Arena"
"012","CAMBRIDGE","021","U","CAMBRIDGE","31","0","57","6","70","3","1","0","0","168","410","St. James Anglican Church"
"012","CAMBRIDGE","022","U","CAMBRIDGE","39","2","42","8","48","0","1","0","1","141","366","W. G. Johnson Centre"
"012","CAMBRIDGE","023","U","CAMBRIDGE","54","2","49","5","20","1","0","0","0","131","458","Heritage College Community Centre"
"012","CAMBRIDGE","024","U","CAMBRIDGE","49","1","53","11","29","0","2","0","0","145","376","Heritage College Community Centre"
"012","CAMBRIDGE","025","U","CAMBRIDGE","43","1","58","6","44","2","1","0","1","156","394","St. Luke's United Church"
"012","CAMBRIDGE","026","U","CAMBRIDGE","40","3","58","5","30","1","0","0","1","138","336","W. G. Johnson Centre"
"012","CAMBRIDGE","027","U","CAMBRIDGE","42","4","82","4","68","0","1","0","0","201","372","Jacob Hespeler Lodge"
"012","CAMBRIDGE","028","U","CAMBRIDGE","40","1","53","4","64","0","1","0","0","163","428","St. James Anglican Church"
"012","CAMBRIDGE","029","U","CAMBRIDGE","23","0","71","3","62","3","0","0","1","163","409","St. James Anglican Church"
"012","CAMBRIDGE","030","U","CAMBRIDGE","24","3","52","3","56","2","0","0","0","140","421","St. James Anglican Church"
"012","CAMBRIDGE","031","U","CAMBRIDGE","24","3","48","9","43","0","0","0","0","127","374","St. James Anglican Church"
"012","CAMBRIDGE","032","U","CAMBRIDGE","21","2","90","3","110","2","1","0","0","229","482","St. James Anglican Church"
"012","CAMBRIDGE","033","U","CAMBRIDGE","36","2","114","2","98","0","1","1","0","254","493","Hespeler Public School"
"012","CAMBRIDGE","034","U","CAMBRIDGE","43","3","85","8","70","2","0","0","0","211","462","Hespeler Public School"
"012","CAMBRIDGE","035","U","CAMBRIDGE","39","2","65","4","44","1","0","0","0","155","380","St. Luke's United Church"
"012","CAMBRIDGE","036","U","CAMBRIDGE","35","0","63","7","44","2","0","0","0","151","409","Heritage College Community Centre"
"012","CAMBRIDGE","037","U","CAMBRIDGE","53","2","79","4","52","0","1","0","0","191","473","Hespeler Public School"
"012","CAMBRIDGE","038","U","CAMBRIDGE","54","3","93","1","65","2","0","0","0","218","485","Hespeler Public School"
"012","CAMBRIDGE","039","U","CAMBRIDGE","34","4","81","3","57","1","0","0","0","180","480","Hespeler Public School"
"012","CAMBRIDGE","040","U","CAMBRIDGE","60","1","55","5","48","2","0","0","0","171","487","Coronation Public School"
"012","CAMBRIDGE","041","U","CAMBRIDGE","26","1","50","2","45","0","0","0","0","124","361","Royal Canadian Legion Branch 126 Preston"
"012","CAMBRIDGE","042","U","CAMBRIDGE","50","1","54","6","49","0","1","0","2","163","463","Grace Bible Church"
"012","CAMBRIDGE","043","U","CAMBRIDGE","52","1","61","3","29","1","0","0","0","147","386","Grace Bible Church"
"012","CAMBRIDGE","044","U","CAMBRIDGE","53","1","39","4","42","1","1","0","1","142","402","Parkway Public School"
"012","CAMBRIDGE","045","U","CAMBRIDGE","47","1","48","3","16","0","0","0","0","115","320","Parkway Public School"
"012","CAMBRIDGE","046","U","CAMBRIDGE","42","3","54","7","36","0","0","0","0","142","321","Parkway Public School"
"012","CAMBRIDGE","047","U","CAMBRIDGE","80","0","91","6","69","2","0","0","1","249","463","Preston High School"
"012","CAMBRIDGE","048","U","CAMBRIDGE","60","0","50","8","48","5","0","0","0","171","391","Preston High School"
"012","CAMBRIDGE","049","U","CAMBRIDGE","46","1","44","7","46","0","0","0","1","145","367","Royal Canadian Legion Branch 126 Preston"
"012","CAMBRIDGE","050","U","CAMBRIDGE","53","3","53","3","85","1","0","0","0","198","406","Royal Canadian Legion Branch 126 Preston"
"012","CAMBRIDGE","051","U","CAMBRIDGE","78","3","40","4","53","2","0","1","0","181","453","Royal Canadian Legion Branch 126 Preston"
"012","CAMBRIDGE","052","U","CAMBRIDGE","49","2","48","4","37","0","2","0","0","142","475","Royal Canadian Legion Branch 126 Preston"
"012","CAMBRIDGE","053","U","CAMBRIDGE","56","4","47","5","24","1","1","0","0","138","350","Coronation Public School"
"012","CAMBRIDGE","054","U","CAMBRIDGE","46","1","48","10","32","1","0","0","0","138","382","Coronation Public School"
"012","CAMBRIDGE","055","U","CAMBRIDGE","46","3","63","3","40","0","1","1","0","157","347","St. Noel Chabanel Elementary School"
"012","CAMBRIDGE","056","U","CAMBRIDGE","32","2","45","2","29","0","0","0","0","110","354","St. Noel Chabanel Elementary School"
"012","CAMBRIDGE","057","U","CAMBRIDGE","45","4","76","3","35","0","0","0","0","163","426","St. Noel Chabanel Elementary School"
"012","CAMBRIDGE","058","U","CAMBRIDGE","57","3","38","5","32","0","0","0","0","135","435","Prestonia Manor"
"012","CAMBRIDGE","059","U","CAMBRIDGE","53","3","37","4","42","1","1","0","0","141","356","William G. Davis Public School"
"012","CAMBRIDGE","060","U","CAMBRIDGE","34","2","35","7","20","2","0","0","0","100","338","William G. Davis Public School"
"012","CAMBRIDGE","061","U","CAMBRIDGE","46","4","43","4","25","1","0","0","0","123","420","Royal Canadian Legion Branch 126 Preston"
"012","CAMBRIDGE","062","U","CAMBRIDGE","37","4","33","2","50","0","0","0","0","126","426","Preston High School"
"012","CAMBRIDGE","063","U","CAMBRIDGE","68","2","52","12","63","0","0","0","0","197","459","Preston High School"
"012","CAMBRIDGE","064","U","CAMBRIDGE","56","4","71","11","88","0","1","0","0","231","473","Preston High School"
"012","CAMBRIDGE","065","U","CAMBRIDGE","48","2","51","3","49","1","0","0","0","154","395","Preston Arena"
"012","CAMBRIDGE","066","U","CAMBRIDGE","57","1","33","3","29","2","0","0","0","125","427","Preston Arena"
"012","CAMBRIDGE","067","U","CAMBRIDGE","54","0","33","4","24","1","0","0","0","116","410","Preston Arena"
"012","CAMBRIDGE","068","U","CAMBRIDGE","44","4","58","0","46","1","0","1","0","154","348","William G. Davis Public School"
"012","CAMBRIDGE","069","U","CAMBRIDGE","47","4","66","4","40","0","0","0","0","161","417","William G. Davis Public School"
"012","CAMBRIDGE","070","U","CAMBRIDGE","56","3","76","3","45","4","1","0","0","188","436","Ryerson Public School"
"012","CAMBRIDGE","071","U","CAMBRIDGE","31","2","49","4","34","0","0","0","0","120","306","Ryerson Public School"
"012","CAMBRIDGE","072","U","CAMBRIDGE","63","3","64","2","62","2","0","0","0","196","401","Ryerson Public School"
"012","CAMBRIDGE","073","U","CAMBRIDGE","39","1","41","2","33","4","0","0","0","120","330","Scout House (Scouts Canada)"
"012","CAMBRIDGE","074","U","CAMBRIDGE","51","4","62","4","71","1","0","0","0","193","459","Scout House (Scouts Canada)"
"012","CAMBRIDGE","075","U","CAMBRIDGE","19","2","51","2","45","0","2","0","1","122","353","Calvary Pentecostal Church"
"012","CAMBRIDGE","076","U","CAMBRIDGE","41","2","46","1","45","1","0","0","0","136","422","Islamic School of Cambridge"
"012","CAMBRIDGE","077","U","CAMBRIDGE","19","5","34","0","60","1","1","0","0","120","400","Islamic School of Cambridge"
"012","CAMBRIDGE","078","U","CAMBRIDGE","36","3","38","3","53","0","0","1","0","134","495","Saginaw Public School"
"012","CAMBRIDGE","079","U","CAMBRIDGE","29","3","29","2","50","0","0","0","0","113","422","Saginaw Public School"
"012","CAMBRIDGE","080","U","CAMBRIDGE","12","1","55","2","60","0","0","0","0","130","426","Saginaw Public School"
"012","CAMBRIDGE","081","U","CAMBRIDGE","19","1","40","1","52","0","1","0","0","114","364","Saginaw Public School"
"012","CAMBRIDGE","082","U","CAMBRIDGE","36","2","74","1","68","1","1","0","0","183","448","Saginaw Public School"
"012","CAMBRIDGE","083","U","CAMBRIDGE","40","3","66","1","86","1","0","0","0","197","487","Mother Teresa Catholic Elementary School"
"012","CAMBRIDGE","084","U","CAMBRIDGE","43","2","50","2","65","2","0","0","0","164","508","Mother Teresa Catholic Elementary School"
"012","CAMBRIDGE","085","U","CAMBRIDGE","34","4","48","3","38","2","2","0","0","131","355","St. Benedict C.Secondary School"
"012","CAMBRIDGE","086","U","CAMBRIDGE","26","3","32","0","20","0","1","0","0","82","384","St. Benedict C.Secondary School"
"012","CAMBRIDGE","087","U","CAMBRIDGE","46","0","54","3","32","0","0","0","0","135","386","Elgin Street Public School"
"012","CAMBRIDGE","088","U","CAMBRIDGE","32","1","47","4","34","1","0","0","0","119","339","Elgin Street Public School"
"012","CAMBRIDGE","089","U","CAMBRIDGE","27","0","87","3","71","0","0","0","0","188","484","Calvary Pentecostal Church"
"012","CAMBRIDGE","090","U","CAMBRIDGE","22","2","31","1","22","0","0","0","0","78","291","Calvary Pentecostal Church"
"012","CAMBRIDGE","091","U","CAMBRIDGE","57","1","39","5","48","0","0","0","0","150","449","Calvary Pentecostal Church"
"012","CAMBRIDGE","092","U","CAMBRIDGE","48","6","45","2","35","0","1","0","0","137","485","St. Peter Elementary School"
"012","CAMBRIDGE","093","U","CAMBRIDGE","43","1","52","0","25","3","0","1","0","125","338","Elgin Street Public School"
"012","CAMBRIDGE","094","U","CAMBRIDGE","41","2","31","5","41","0","1","0","0","121","382","Elgin Street Public School"
"012","CAMBRIDGE","095","U","CAMBRIDGE","35","0","39","2","34","0","0","0","0","110","390","St. Benedict C.Secondary School"
"012","CAMBRIDGE","096","U","CAMBRIDGE","21","2","34","3","26","4","0","1","0","91","329","St. Benedict C.Secondary School"
"012","CAMBRIDGE","097","U","CAMBRIDGE","23","2","47","6","48","1","2","0","0","129","408","St. Margaret of Scotland Elementary School"
"012","CAMBRIDGE","098","U","CAMBRIDGE","28","3","50","3","62","0","0","0","0","146","419","St. Benedict C.Secondary School"
"012","CAMBRIDGE","099","U","CAMBRIDGE","48","5","68","0","46","0","0","0","0","167","493","Clemens Mill Public School"
"012","CAMBRIDGE","100","U","CAMBRIDGE","43","2","41","2","43","1","5","0","0","137","413","Clemens Mill Public School"
"012","CAMBRIDGE","101","U","CAMBRIDGE","45","5","40","3","46","0","0","0","0","139","388","Clemens Mill Public School"
"012","CAMBRIDGE","102","U","CAMBRIDGE","31","4","53","2","94","0","1","0","0","185","434","Clemens Mill Public School"
"012","CAMBRIDGE","103","U","CAMBRIDGE","46","4","80","6","85","0","1","1","0","223","499","St. Margaret of Scotland Elementary School"
"012","CAMBRIDGE","104","U","CAMBRIDGE","36","1","46","5","40","1","1","0","0","130","358","St. Margaret of Scotland Elementary School"
"012","CAMBRIDGE","105","U","CAMBRIDGE","29","1","30","2","33","0","0","0","0","95","364","St. Benedict C.Secondary School"
"012","CAMBRIDGE","106","U","CAMBRIDGE","39","1","40","6","25","0","0","0","0","111","368","St. Benedict C.Secondary School"
"012","CAMBRIDGE","107","U","CAMBRIDGE","34","0","36","0","27","1","0","0","0","98","344","Elgin Street Public School"
"012","CAMBRIDGE","108","U","CAMBRIDGE","47","1","47","6","29","2","0","0","0","132","324","St. Peter Elementary School"
"012","CAMBRIDGE","109","U","CAMBRIDGE","26","5","84","2","52","1","0","0","0","170","443","Avenue Road Baptist Church"
"012","CAMBRIDGE","110","U","CAMBRIDGE","36","3","79","2","52","0","0","0","0","172","404","Avenue Road Baptist Church"
"012","CAMBRIDGE","111","U","CAMBRIDGE","21","5","68","6","54","0","1","0","0","155","392","Mother Teresa Catholic Elementary School"
"012","CAMBRIDGE","112","U","CAMBRIDGE","13","0","84","1","73","1","0","0","0","172","455","Mother Teresa Catholic Elementary School"
"012","CAMBRIDGE","113","U","CAMBRIDGE","14","3","68","0","76","1","1","0","0","163","357","Saginaw Public School"
"012","CAMBRIDGE","114","U","CAMBRIDGE","14","0","70","2","68","1","0","0","0","155","388","Avenue Road Baptist Church"
"012","CAMBRIDGE","115","U","CAMBRIDGE","15","0","65","4","60","2","0","0","0","146","314","Avenue Road Baptist Church"
"012","CAMBRIDGE","116","U","CAMBRIDGE","43","2","44","2","36","0","0","0","0","127","373","Centre Communautaire Francophone Cambridge"
"012","CAMBRIDGE","117","U","CAMBRIDGE","35","1","34","0","43","1","0","0","0","114","353","St. Peter Elementary School"
"012","CAMBRIDGE","118","U","CAMBRIDGE","33","8","35","4","25","1","0","0","0","106","342","St. Peter Elementary School"
"012","CAMBRIDGE","119","U","CAMBRIDGE","56","1","51","9","45","1","1","0","1","165","551","Galt Collegiate Institute"
