"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BREDFELDT","CORNELL","DUFF","MACLAREN","SIMSER","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"013","CARLETON--MISSISSIPPI MILLS","001","U","PAKENHAM","3","25","13","114","4","0","0","0","159","339","Pakenham/Stewart Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","002","U","PAKENHAM","1","37","13","84","4","0","0","0","139","340","Pakenham/Stewart Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","003","U","PAKENHAM","2","28","14","91","4","1","0","1","141","328","Pakenham/Stewart Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","004","U","PAKENHAM","0","33","12","84","9","0","0","0","138","257","Pakenham/Stewart Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","005","U","PAKENHAM","2","43","19","95","6","0","0","0","165","362","Pakenham/Stewart Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","006","U","CLAYTON","3","55","27","122","8","0","1","0","216","486","Clayton Community Hall"
"013","CARLETON--MISSISSIPPI MILLS","007","U","CLAYTON","0","18","14","68","2","0","0","0","102","184","Clayton Community Hall"
"013","CARLETON--MISSISSIPPI MILLS","008","U","CLAYTON","3","43","9","53","8","0","2","0","118","214","Clayton Community Hall"
"013","CARLETON--MISSISSIPPI MILLS","009","U","CLAYTON","0","42","25","106","15","0","0","0","188","366","Clayton Community Hall"
"013","CARLETON--MISSISSIPPI MILLS","010","U","ALMONTE","1","37","27","56","6","0","0","0","127","274","Almonte and District High School"
"013","CARLETON--MISSISSIPPI MILLS","011","U","ALMONTE","1","16","20","60","4","0","0","0","101","286","Almonte and District High School"
"013","CARLETON--MISSISSIPPI MILLS","012","U","ALMONTE","3","30","27","61","7","0","0","0","128","282","Almonte and District High School"
"013","CARLETON--MISSISSIPPI MILLS","013","U","ALMONTE","4","43","24","70","9","2","0","0","152","330","Almonte and District High School"
"013","CARLETON--MISSISSIPPI MILLS","014","U","ALMONTE","7","77","37","131","7","4","0","0","263","454","R. Tait McKenzie Public School"
"013","CARLETON--MISSISSIPPI MILLS","015","U","ALMONTE","2","46","20","124","5","0","0","0","197","425","R. Tait McKenzie Public School"
"013","CARLETON--MISSISSIPPI MILLS","016","U","MUNSTER","3","41","28","88","7","0","1","0","168","366","Munster Elementary School"
"013","CARLETON--MISSISSIPPI MILLS","017","U","ALMONTE","0","85","23","87","9","0","0","0","204","436","R. Tait McKenzie Public School"
"013","CARLETON--MISSISSIPPI MILLS","018","U","ALMONTE","1","49","17","58","4","0","0","0","129","314","Naismith Memorial Public School"
"013","CARLETON--MISSISSIPPI MILLS","019","U","ALMONTE","2","54","19","61","7","0","1","1","145","332","Naismith Memorial Public School"
"013","CARLETON--MISSISSIPPI MILLS","020","U","ALMONTE","1","80","24","73","5","0","0","0","183","385","Naismith Memorial Public School"
"013","CARLETON--MISSISSIPPI MILLS","021","U","ALMONTE","3","56","22","138","6","1","0","0","226","449","Naismith Memorial Public School"
"013","CARLETON--MISSISSIPPI MILLS","022","U","ALMONTE","1","52","10","31","6","1","0","0","101","258","Naismith Memorial Public School"
"013","CARLETON--MISSISSIPPI MILLS","023","U","ALMONTE","3","23","21","44","7","1","0","0","99","294","Naismith Memorial Public School"
"013","CARLETON--MISSISSIPPI MILLS","024","U","ALMONTE","2","42","18","91","4","2","0","0","159","333","Naismith Memorial Public School"
"013","CARLETON--MISSISSIPPI MILLS","025","U","ALMONTE","3","30","8","66","1","0","0","0","108","225","Naismith Memorial Public School"
"013","CARLETON--MISSISSIPPI MILLS","026","U","ALMONTE","0","31","22","33","5","0","1","0","92","220","Naismith Memorial Public School"
"013","CARLETON--MISSISSIPPI MILLS","027","U","ALMONTE","1","27","17","61","2","0","0","0","108","246","Mississippi Mills Municipal Office"
"013","CARLETON--MISSISSIPPI MILLS","028","U","ALMONTE","0","40","17","87","8","0","0","0","152","318","Mississippi Mills Municipal Office"
"013","CARLETON--MISSISSIPPI MILLS","029","U","GALETTA","0","37","15","95","0","0","0","0","147","377","Galetta Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","030","U","GALETTA","0","56","23","86","7","0","0","0","172","309","Galetta Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","031","U","FITZROY HARBOUR","0","48","21","102","8","0","0","0","179","373","Fitzroy Harbour Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","032","U","FITZROY HARBOUR","1","38","16","82","2","0","0","0","139","270","Fitzroy Harbour Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","033","U","FITZROY HARBOUR","1","21","15","75","4","0","1","0","117","227","Fitzroy Harbour Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","034","U","KINBURN","0","60","8","125","6","0","0","1","200","455","West Carleton Community Complex"
"013","CARLETON--MISSISSIPPI MILLS","035","U","KINBURN","1","40","16","98","4","0","0","0","159","367","West Carleton Community Complex"
"013","CARLETON--MISSISSIPPI MILLS","036","U","KINBURN","0","25","18","86","10","0","0","1","140","341","West Carleton Community Complex"
"013","CARLETON--MISSISSIPPI MILLS","037","U","WOODLAWN","0","39","22","73","8","0","0","0","142","351","Constance/Buckham's Bay Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","038","U","WOODLAWN","3","41","23","83","5","0","0","0","155","351","Constance/Buckham's Bay Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","039","U","WOODLAWN","0","42","21","61","3","0","0","0","127","322","Constance/Buckham's Bay Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","040","U","WOODLAWN","1","46","30","97","7","0","1","0","182","427","Constance/Buckham's Bay Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","041","U","WOODLAWN","3","39","37","98","8","0","0","0","185","413","Constance/Buckham's Bay Community Centre"
"013","CARLETON--MISSISSIPPI MILLS","042","U","DUNROBIN","1","54","26","74","7","0","0","0","162","347","West Carleton Secondary School"
"013","CARLETON--MISSISSIPPI MILLS","043","U","DUNROBIN","0","60","26","137","9","0","0","0","232","470","West Carleton Secondary School"
"013","CARLETON--MISSISSIPPI MILLS","044","U","DUNROBIN","2","85","17","123","5","0","0","0","232","499","West Carleton Secondary School"
"013","CARLETON--MISSISSIPPI MILLS","045","U","DUNROBIN","1","64","11","80","5","1","0","0","162","328","West Carleton Secondary School"
