"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","NAVARRO","NICHOLLS","SULLIVAN","WATSON","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"014","CHATHAM--KENT--ESSEX","001","U","LEAMINGTON","37","91","6","32","0","0","0","166","408","Mount Carmel-Blytheswood Public School"
"014","CHATHAM--KENT--ESSEX","002","U","WHEATLEY","24","53","3","21","1","0","0","102","252","Wheatley Area Public School"
"014","CHATHAM--KENT--ESSEX","003","U","WHEATLEY","17","52","7","29","0","0","0","105","336","Wheatley Area Public School"
"014","CHATHAM--KENT--ESSEX","004","U","LEAMINGTON","28","66","4","48","0","0","0","146","355","Mount Carmel-Blytheswood Public School"
"014","CHATHAM--KENT--ESSEX","005","U","LEAMINGTON","27","95","2","45","3","0","0","172","427","Mount Carmel-Blytheswood Public School"
"014","CHATHAM--KENT--ESSEX","006","U","LEAMINGTON","15","56","2","39","2","0","0","114","317","Rhine Danube Club"
"014","CHATHAM--KENT--ESSEX","007","U","LEAMINGTON","15","61","2","16","0","0","0","94","215","Mount Carmel-Blytheswood Public School"
"014","CHATHAM--KENT--ESSEX","008","U","WHEATLEY","14","55","0","37","1","0","0","107","298","Wheatley United Church"
"014","CHATHAM--KENT--ESSEX","009","U","WHEATLEY","35","65","5","14","0","0","0","119","309","Wheatley United Church"
"014","CHATHAM--KENT--ESSEX","010","U","LEAMINGTON","21","52","3","21","0","0","0","97","284","Gore Hill Public School"
"014","CHATHAM--KENT--ESSEX","011","U","LEAMINGTON","12","74","2","36","1","0","0","125","333","Leamington Kinsmen Recreation Complex"
"014","CHATHAM--KENT--ESSEX","012","U","LEAMINGTON","35","76","3","98","0","1","0","213","463","Leamington Kinsmen Recreation Complex"
"014","CHATHAM--KENT--ESSEX","013","U","LEAMINGTON","18","26","4","72","4","0","0","124","353","Leamington Kinsmen Recreation Complex"
"014","CHATHAM--KENT--ESSEX","014","U","LEAMINGTON","17","76","3","49","1","0","0","146","310","Leamington Kinsmen Recreation Complex"
"014","CHATHAM--KENT--ESSEX","015","U","LEAMINGTON","25","38","4","33","0","3","0","103","321","Rhine Danube Club"
"014","CHATHAM--KENT--ESSEX","016","U","LEAMINGTON","44","66","3","54","1","0","0","168","459","Leamington Kinsmen Recreation Complex"
"014","CHATHAM--KENT--ESSEX","017","U","LEAMINGTON","24","34","6","27","0","2","0","93","310","Rhine Danube Club"
"014","CHATHAM--KENT--ESSEX","018","U","LEAMINGTON","23","25","3","25","0","1","0","77","277","Rhine Danube Club"
"014","CHATHAM--KENT--ESSEX","019","U","LEAMINGTON","36","22","6","24","0","0","0","88","318","Rhine Danube Club"
"014","CHATHAM--KENT--ESSEX","020","U","LEAMINGTON","27","29","5","33","1","0","0","95","265","Leamington Kinsmen Recreation Complex"
"014","CHATHAM--KENT--ESSEX","021","U","LEAMINGTON","35","35","1","27","1","0","0","99","366","Leamington Kinsmen Recreation Complex"
"014","CHATHAM--KENT--ESSEX","022","U","LEAMINGTON","34","12","3","16","0","0","0","65","261","Leamington District Half Century Centre"
"014","CHATHAM--KENT--ESSEX","023","U","LEAMINGTON","38","30","7","23","0","0","0","98","352","Leamington District Half Century Centre"
"014","CHATHAM--KENT--ESSEX","024","U","LEAMINGTON","32","54","5","71","1","0","0","163","390","Leamington District Half Century Centre"
"014","CHATHAM--KENT--ESSEX","025","U","LEAMINGTON","26","70","1","67","3","1","0","168","367","Leamington District Half Century Centre"
