"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CAUCHI","DE JONG","FIGUEROA","GHIWOT","JAGG","MARTINS","RUSSELL","SCHEIN","THOMPSON","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"015","DAVENPORT","001","U","TORONTO","1","1","3","0","0","46","15","29","0","1","0","0","96","351","F. H. Miller Junior Public School"
"015","DAVENPORT","002","U","TORONTO","1","3","1","0","2","115","28","39","1","0","3","0","193","496","F. H. Miller Junior Public School"
"015","DAVENPORT","003","U","TORONTO","0","7","0","0","3","84","23","89","3","2","0","0","211","522","Fairbanks Memorial Community Centre"
"015","DAVENPORT","004","U","TORONTO","0","2","1","0","0","72","16","36","2","0","1","0","130","315","Fairbanks Memorial Community Centre"
"015","DAVENPORT","005","U","TORONTO","0","2","1","0","1","63","16","49","0","0","0","0","132","391","Fairbanks Memorial Community Centre"
"015","DAVENPORT","006","U","TORONTO","0","1","1","0","0","81","19","59","0","2","1","0","164","426","Fairbanks Memorial Community Centre"
"015","DAVENPORT","007","U","TORONTO","0","1","2","0","3","97","17","69","1","0","0","0","190","521","St. John Bosco Catholic School"
"015","DAVENPORT","008","U","TORONTO","0","2","1","0","2","64","10","44","0","0","0","0","123","311","St. John Bosco Catholic School"
"015","DAVENPORT","009","U","TORONTO","0","4","0","1","1","65","20","37","0","1","0","0","129","369","St. John Bosco Catholic School"
"015","DAVENPORT","010","U","TORONTO","1","3","0","0","1","145","39","93","0","0","0","0","282","713","St. John Bosco Catholic School"
"015","DAVENPORT","011","U","TORONTO","3","8","1","0","4","137","29","84","0","0","0","0","266","641","F. H. Miller Junior Public School"
"015","DAVENPORT","012","U","TORONTO","1","5","1","0","4","99","27","83","0","2","0","0","222","654","St. Nicholas of Bari Catholic School"
"015","DAVENPORT","013","U","TORONTO","2","1","0","0","1","117","18","36","0","0","1","0","176","481","St. Nicholas of Bari Catholic School"
"015","DAVENPORT","014","U","TORONTO","1","3","0","0","0","86","13","57","0","1","1","0","162","395","J. J. Piccininni Community Centre"
