ED_CODE,ED_NAME,POLL_NUMBER,RURAL_INDICATOR,PLACE_NAME,BEDROSYAN,COTEAU,HILLIARD,KIDD,LENDE,SIMMONS,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION
16,DON VALLEY EAST,1,U,TORONTO,.......................COMBINED WITH POLL 700.......................,,,,,,,,,,,Crestview Public School
16,DON VALLEY EAST,2,U,TORONTO,.......................COMBINED WITH POLL 701.......................,,,,,,,,,,,Crestview Public School
16,DON VALLEY EAST,3,U,TORONTO,1,108,24,0,66,1,0,1,0,201,463,Seneca Hill Public School
16,DON VALLEY EAST,4,U,TORONTO,4,113,11,0,46,0,0,0,0,174,423,Crestview Public School
16,DON VALLEY EAST,5,U,TORONTO,5,100,37,0,53,1,0,0,0,196,435,Crestview Public School
16,DON VALLEY EAST,6,U,TORONTO,1,65,46,0,70,0,0,1,0,183,427,Crestview Public School
16,DON VALLEY EAST,7,U,TORONTO,5,65,27,0,37,0,0,0,0,134,341,Crestview Public School
16,DON VALLEY EAST,8,U,TORONTO,2,102,28,1,47,0,0,0,0,180,419,Seneca Hill Public School
16,DON VALLEY EAST,9,U,TORONTO,3,105,44,0,59,2,2,1,0,216,501,Seneca Hill Public School
16,DON VALLEY EAST,10,U,TORONTO,3,117,35,0,69,0,0,0,0,224,468,St. Matthias Separate School
16,DON VALLEY EAST,11,U,TORONTO,4,68,27,0,39,0,0,0,0,138,347,St. Matthias Separate School
16,DON VALLEY EAST,12,U,TORONTO,0,54,15,1,17,0,0,0,0,87,317,St. Matthias Separate School
16,DON VALLEY EAST,13,U,TORONTO,8,81,21,1,23,1,0,0,0,135,502,Kingslake Public School
16,DON VALLEY EAST,14,U,TORONTO,2,71,30,5,51,0,0,0,1,160,387,Kingslake Public School
16,DON VALLEY EAST,15,U,TORONTO,8,73,18,1,42,1,1,0,1,145,312,St. Matthias Separate School
16,DON VALLEY EAST,16,U,TORONTO,4,65,33,0,47,0,0,0,0,149,377,Lescon Public School
16,DON VALLEY EAST,17,U,TORONTO,7,119,26,4,68,0,0,0,0,224,475,Kingslake Public School
16,DON VALLEY EAST,18,U,TORONTO,9,108,23,0,42,2,0,1,0,185,448,Lescon Public School
16,DON VALLEY EAST,19,U,TORONTO,4,115,41,2,56,0,1,0,0,219,433,Lescon Public School
16,DON VALLEY EAST,20,U,TORONTO,7,152,44,1,62,1,3,1,1,272,701,St. Timothy's Catholic School
16,DON VALLEY EAST,21,U,TORONTO,.......................COMBINED WITH POLL 020.......................,,,,,,,,,,,Lescon Public School
16,DON VALLEY EAST,22,U,TORONTO,3,37,23,0,19,0,0,0,0,82,277,St. Timothy's Catholic School
16,DON VALLEY EAST,23,U,TORONTO,1,36,1,23,40,0,1,0,0,102,406,Kingslake Public School
16,DON VALLEY EAST,24,U,TORONTO,1,61,31,4,22,1,0,0,0,120,450,Kingslake Public School
16,DON VALLEY EAST,25,U,TORONTO,2,77,12,0,62,1,0,0,1,155,288,Lescon Public School
16,DON VALLEY EAST,26,U,TORONTO,6,85,33,0,48,1,1,0,0,174,388,St. Timothy's Catholic School
16,DON VALLEY EAST,27,U,TORONTO,3,117,39,2,83,1,1,0,0,246,550,St. Timothy's Catholic School
16,DON VALLEY EAST,28,U,TORONTO,4,39,31,0,21,0,1,0,0,96,418,St. Timothy's Catholic School
16,DON VALLEY EAST,29,U,TORONTO,3,96,34,0,24,0,2,1,0,160,519,Kingslake Public School
16,DON VALLEY EAST,30,U,TORONTO,0,76,21,0,87,1,0,0,0,185,331,Shaughnessy Public School
16,DON VALLEY EAST,31,U,TORONTO,0,98,29,2,68,0,0,0,0,197,363,Shaughnessy Public School
16,DON VALLEY EAST,32,U,TORONTO,.......................COMBINED WITH POLL 033.......................,,,,,,,,,,,Forest Manor Public School
16,DON VALLEY EAST,33,U,TORONTO,3,52,28,1,21,0,0,0,0,105,433,Forest Manor Public School
16,DON VALLEY EAST,34,U,TORONTO,0,37,19,0,14,0,3,0,0,73,320,Forest Manor Public School
16,DON VALLEY EAST,35,U,TORONTO,2,119,21,1,64,0,0,0,0,207,411,Shaughnessy Public School
16,DON VALLEY EAST,36,U,TORONTO,3,100,21,0,67,0,0,1,0,192,357,Shaughnessy Public School
16,DON VALLEY EAST,37,U,TORONTO,5,97,44,0,50,1,1,0,0,198,459,Forest Manor Public School
16,DON VALLEY EAST,38,U,TORONTO,4,81,22,1,38,1,1,1,0,149,330,Forest Manor Public School
16,DON VALLEY EAST,39,U,TORONTO,0,74,46,0,25,4,0,0,0,149,423,Shaughnessy Public School
