"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AHMED","DEB","FLISS","KABITSIS","MANDEL-CAMPBELL","WAIGH","WYNNE","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"017","DON VALLEY WEST","001","U","TORONTO","12","0","2","1","83","1","107","0","0","0","206","537","Fairmeadow Centre"
"017","DON VALLEY WEST","002","U","TORONTO","9","0","6","0","37","0","58","0","0","0","110","305","Fairmeadow Centre"
"017","DON VALLEY WEST","003","U","TORONTO","12","0","5","0","59","2","121","0","0","0","199","453","Hillside Ravine"
"017","DON VALLEY WEST","004","U","TORONTO","10","0","1","0","75","0","105","0","0","0","191","352","Hillside Ravine"
"017","DON VALLEY WEST","005","U","TORONTO","9","0","0","2","95","0","107","0","0","0","213","514","Agricola Lutheran Church"
"017","DON VALLEY WEST","006","U","TORONTO","2","0","7","0","80","0","87","0","0","0","176","474","Agricola Lutheran Church"
"017","DON VALLEY WEST","007","U","TORONTO","8","0","2","1","91","0","98","0","0","0","200","450","Owen Public School"
"017","DON VALLEY WEST","008","U","TORONTO","14","0","5","1","51","1","76","0","0","0","148","412","Fairmeadow Centre"
"017","DON VALLEY WEST","009","U","TORONTO","2","0","2","0","112","0","92","0","0","0","208","435","Fairmeadow Centre"
"017","DON VALLEY WEST","010","U","TORONTO","4","0","1","0","107","0","104","0","0","0","216","449","Fairmeadow Centre"
"017","DON VALLEY WEST","011","U","TORONTO","4","0","3","0","124","0","85","1","0","0","217","484","Owen Public School"
"017","DON VALLEY WEST","012","U","TORONTO","6","0","3","0","76","0","116","1","0","0","202","437","Owen Public School"
"017","DON VALLEY WEST","013","U","TORONTO","3","0","1","0","88","0","53","0","1","0","146","388","Trinity Presbyterian Church"
"017","DON VALLEY WEST","014","U","TORONTO","13","1","2","1","82","0","94","1","1","0","195","483","Fairmeadow Centre"
"017","DON VALLEY WEST","015","U","TORONTO","28","0","5","1","22","1","81","0","0","0","138","442","Trinity Presbyterian Church"
"017","DON VALLEY WEST","016","U","TORONTO","38","0","2","2","36","0","88","1","1","0","168","480","Trinity Presbyterian Church"
"017","DON VALLEY WEST","017","U","TORONTO","2","0","2","0","89","1","63","0","1","0","158","420","Trinity Presbyterian Church"
"017","DON VALLEY WEST","018","U","TORONTO","5","0","3","0","88","0","43","0","1","0","140","412","Dunlace Public School"
"017","DON VALLEY WEST","019","U","TORONTO","3","0","1","0","83","0","66","0","0","0","153","418","Trinity Presbyterian Church"
"017","DON VALLEY WEST","020","U","TORONTO","6","0","1","0","91","1","84","0","0","0","183","429","York Mills Collegiate Institute"
"017","DON VALLEY WEST","021","U","TORONTO","4","0","3","3","49","0","75","0","0","0","134","338","York Mills Collegiate Institute"
"017","DON VALLEY WEST","022","U","TORONTO","9","0","4","0","65","0","103","0","0","0","181","400","York Mills Collegiate Institute"
"017","DON VALLEY WEST","023","U","TORONTO","2","0","0","0","56","0","53","0","0","0","111","349","York Mills Collegiate Institute"
"017","DON VALLEY WEST","024","U","TORONTO","18","1","1","3","67","0","122","1","0","0","213","432","Dunlace Public School"
"017","DON VALLEY WEST","025","U","TORONTO","11","0","4","0","91","1","100","0","0","0","207","410","Dunlace Public School"
"017","DON VALLEY WEST","026","U","TORONTO","17","0","3","0","58","0","110","0","0","0","188","401","Dunlace Public School"
"017","DON VALLEY WEST","027","U","TORONTO","4","1","5","0","129","0","123","0","0","0","262","517","York Mills Collegiate Institute"
"017","DON VALLEY WEST","028","U","TORONTO","9","1","3","0","61","1","97","0","0","0","172","422","York Mills Collegiate Institute"
"017","DON VALLEY WEST","029","U","TORONTO","9","0","6","0","90","0","101","0","0","0","206","502","York Mills Collegiate Institute"
"017","DON VALLEY WEST","030","U","TORONTO","16","0","5","1","31","0","55","0","0","0","108","469","York Mills Collegiate Institute"
"017","DON VALLEY WEST","031","U","TORONTO","7","0","0","0","123","0","86","0","0","0","216","509","Agricola Lutheran Church"
"017","DON VALLEY WEST","032","U","TORONTO","4","0","1","0","76","0","65","0","0","0","146","434","Bob Rumball Centre for the Deaf"
"017","DON VALLEY WEST","033","U","TORONTO","5","0","2","0","104","0","113","0","0","0","224","471","Agricola Lutheran Church"
"017","DON VALLEY WEST","034","U","TORONTO","6","0","1","0","69","0","138","1","0","0","215","455","Toronto French School"
"017","DON VALLEY WEST","035","U","TORONTO","5","0","0","1","97","1","53","0","0","0","157","460","Bob Rumball Centre for the Deaf"
"017","DON VALLEY WEST","036","U","TORONTO","6","0","2","0","81","0","115","0","0","0","204","442","Bob Rumball Centre for the Deaf"
"017","DON VALLEY WEST","037","U","TORONTO","7","0","2","0","55","1","179","0","0","0","244","451","St. Leonard's Anglican Church"
"017","DON VALLEY WEST","038","U","TORONTO","9","0","7","1","52","2","134","0","0","0","205","414","St. Leonard's Anglican Church"
"017","DON VALLEY WEST","039","U","TORONTO","11","2","8","1","90","1","189","0","0","0","302","509","St. Leonard's Anglican Church"
"017","DON VALLEY WEST","040","U","TORONTO","8","0","1","0","15","2","51","0","0","0","77","112","Joseph Brown Manor"
"017","DON VALLEY WEST","041","U","TORONTO","21","0","8","1","61","1","172","0","0","0","264","485","St. Leonard's Anglican Church"
"017","DON VALLEY WEST","042","U","TORONTO","6","0","1","0","47","1","131","0","0","0","186","319","St. Leonard's Anglican Church"
"017","DON VALLEY WEST","043","U","TORONTO","7","0","4","0","49","2","140","0","0","0","202","409","Toronto French School"
"017","DON VALLEY WEST","044","U","TORONTO","0","0","2","0","83","1","105","2","1","0","194","409","Toronto French School"
"017","DON VALLEY WEST","045","U","TORONTO","4","2","1","0","76","0","124","0","0","0","207","443","Toronto French School"
"017","DON VALLEY WEST","046","U","TORONTO","1","0","0","0","77","0","37","0","0","0","115","374","Bob Rumball Centre for the Deaf"
"017","DON VALLEY WEST","047","U","TORONTO","2","0","2","0","94","0","69","0","0","0","167","399","York Mills Collegiate Institute"
"017","DON VALLEY WEST","048","U","TORONTO","3","1","3","0","91","0","76","1","0","0","175","441","York Mills Collegiate Institute"
"017","DON VALLEY WEST","049","U","TORONTO","7","0","0","1","115","0","87","0","0","0","210","491","Denlow Public School"
"017","DON VALLEY WEST","050","U","TORONTO","8","0","5","0","102","0","99","0","0","0","214","386","Denlow Public School"
"017","DON VALLEY WEST","051","U","TORONTO","10","0","3","0","85","0","92","0","0","0","190","454","755 York Mills Road"
"017","DON VALLEY WEST","052","U","TORONTO","29","0","3","1","68","0","83","0","1","0","185","357","755 York Mills Road"
"017","DON VALLEY WEST","053","U","TORONTO","3","2","3","0","143","2","123","0","0","0","276","513","Denlow Public School"
"017","DON VALLEY WEST","054","U","TORONTO","11","1","1","2","107","0","127","0","2","0","251","480","Denlow Public School"
"017","DON VALLEY WEST","055","U","TORONTO","10","0","2","0","63","2","91","0","0","0","168","464","Denlow Public School"
"017","DON VALLEY WEST","056","U","TORONTO","2","0","5","0","91","1","91","1","0","0","191","464","St. Bonaventure Church"
"017","DON VALLEY WEST","057","U","TORONTO","0","0","1","0","76","0","33","0","0","0","110","269","Bob Rumball Centre for the Deaf"
"017","DON VALLEY WEST","058","U","TORONTO","32","0","5","0","8","0","45","0","0","0","90","172","Glendon College - York University"
"017","DON VALLEY WEST","059","U","TORONTO","3","0","2","0","82","0","131","0","0","0","218","473","St. Bonaventure Church"
"017","DON VALLEY WEST","060","U","TORONTO","9","0","5","0","70","0","106","0","0","0","190","427","St. Bonaventure Church"
"017","DON VALLEY WEST","061","U","TORONTO","15","1","4","1","79","4","119","0","0","0","223","361","Norman Ingram Public School"
"017","DON VALLEY WEST","062","U","TORONTO","12","0","1","0","62","0","92","0","0","0","167","325","Norman Ingram Public School"
"017","DON VALLEY WEST","063","U","TORONTO","23","1","5","2","57","0","90","0","1","0","179","412","Norman Ingram Public School"
"017","DON VALLEY WEST","064","U","TORONTO","6","0","1","0","63","0","73","3","0","0","146","332","Norman Ingram Public School"
"017","DON VALLEY WEST","065","U","TORONTO","15","0","3","0","70","0","108","0","0","0","196","465","Norman Ingram Public School"
"017","DON VALLEY WEST","066","U","TORONTO","25","2","2","0","52","0","112","0","0","0","193","520","Norman Ingram Public School"
"017","DON VALLEY WEST","067","U","TORONTO","2","0","1","0","102","0","109","0","0","0","214","435","Blythwood Public School"
"017","DON VALLEY WEST","068","U","TORONTO","4","0","0","0","80","0","130","0","0","0","214","447","St. Leonard's Anglican Church"
"017","DON VALLEY WEST","069","U","TORONTO","3","0","0","0","122","0","105","0","0","0","230","483","Blythwood Public School"
"017","DON VALLEY WEST","070","U","TORONTO","1","0","1","0","98","0","94","1","0","0","195","421","Toronto French School"
"017","DON VALLEY WEST","071","U","TORONTO","3","0","4","2","111","0","94","0","0","0","214","453","Toronto French School"
"017","DON VALLEY WEST","072","U","TORONTO","1","1","4","0","113","0","138","0","0","0","257","452","Blythwood Public School"
"017","DON VALLEY WEST","073","U","TORONTO","5","0","1","0","39","0","87","0","0","0","132","261","Blythwood Road Baptist Church"
"017","DON VALLEY WEST","074","U","TORONTO","14","0","0","0","44","0","87","0","0","0","145","367","Blythwood Road Baptist Church"
"017","DON VALLEY WEST","075","U","TORONTO","10","0","7","0","67","1","112","0","0","0","197","419","Blythwood Road Baptist Church"
"017","DON VALLEY WEST","076","U","TORONTO","12","1","3","0","36","1","103","0","0","1","157","368","The Sherwood"
"017","DON VALLEY WEST","077","U","TORONTO","3","0","0","0","3","0","21","0","2","0","29","114","The Sherwood"
"017","DON VALLEY WEST","078","U","TORONTO","31","2","4","0","32","1","96","1","0","0","167","436","St. Monica's Catholic School"
"017","DON VALLEY WEST","079","U","TORONTO","17","0","5","1","31","1","95","0","0","0","150","401","The Sherwood"
"017","DON VALLEY WEST","080","U","TORONTO","30","0","2","1","42","0","125","4","0","0","204","503","John Fisher Public School"
"017","DON VALLEY WEST","081A","U","TORONTO","23","0","3","0","27","0","80","0","0","0","133","347","St. Monica's Catholic School"
"017","DON VALLEY WEST","081B","U","TORONTO","11","0","7","0","31","0","83","0","0","0","132","331","St. Monica's Catholic School"
"017","DON VALLEY WEST","082","U","TORONTO","28","1","7","1","27","0","100","0","0","0","164","448","St. Monica's Catholic School"
"017","DON VALLEY WEST","083","U","TORONTO","24","0","5","0","19","0","71","0","0","0","119","289","John Fisher Public School"
"017","DON VALLEY WEST","084","U","TORONTO","31","1","5","1","38","1","122","0","0","0","199","538","John Fisher Public School"
