"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","GVENTER","HOLLOWAY","JONES","KOWALEWSKI","STRANG","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"018","DUFFERIN--CALEDON","001","U","SHELBURNE","21","46","63","0","16","1","2","0","149","309","Melancthon Township Municipal Office"
"018","DUFFERIN--CALEDON","002","U","HONEYWOOD","8","36","39","1","45","0","0","0","129","236","North Dufferin (Honeywood) Community Centre"
"018","DUFFERIN--CALEDON","003","U","SHELBURNE","33","48","112","1","44","1","0","0","239","467","Melancthon Township Municipal Office"
"018","DUFFERIN--CALEDON","004","U","SHELBURNE","18","68","100","1","63","3","0","0","253","573","Melancthon Township Municipal Office"
"018","DUFFERIN--CALEDON","005","U","HONEYWOOD","26","75","74","3","63","0","0","0","241","475","North Dufferin (Honeywood) Community Centre"
"018","DUFFERIN--CALEDON","006","U","MANSFIELD","26","77","124","0","60","1","0","0","288","529","Mansfield Ski Club"
"018","DUFFERIN--CALEDON","007","U","HONEYWOOD","13","29","45","0","25","1","0","0","113","284","North Dufferin (Honeywood) Community Centre"
"018","DUFFERIN--CALEDON","008","U","MANSFIELD","21","44","71","1","25","0","0","0","162","403","Mansfield Ski Club"
"018","DUFFERIN--CALEDON","009","U","SHELBURNE","20","62","74","0","39","0","1","0","196","405","Primrose Elementary School"
"018","DUFFERIN--CALEDON","010","U","SHELBURNE","23","59","108","0","45","0","1","1","237","571","Hyland Heights Elementary School"
"018","DUFFERIN--CALEDON","011","U","SHELBURNE","26","31","78","1","31","0","0","0","167","427","Centre Dufferin Recreation Complex"
"018","DUFFERIN--CALEDON","012","U","SHELBURNE","21","35","58","1","35","0","0","0","150","421","Centre Dufferin Recreation Complex"
"018","DUFFERIN--CALEDON","013","U","SHELBURNE","14","63","81","0","27","0","0","0","185","494","Centre Dufferin Recreation Complex"
"018","DUFFERIN--CALEDON","014","U","SHELBURNE","13","44","60","0","26","0","1","0","144","468","Hyland Heights Elementary School"
"018","DUFFERIN--CALEDON","015","U","SHELBURNE","9","7","33","0","8","0","0","0","57","387","Hyland Heights Elementary School"
"018","DUFFERIN--CALEDON","016","U","SHELBURNE","24","30","71","3","29","0","0","0","157","426","Mel Lloyd Centre"
"018","DUFFERIN--CALEDON","017","U","SHELBURNE","34","18","53","0","30","0","0","0","135","364","Mel Lloyd Centre"
"018","DUFFERIN--CALEDON","018","U","SHELBURNE","17","12","61","1","31","0","0","0","122","315","Mel Lloyd Centre"
"018","DUFFERIN--CALEDON","019","U","GRAND VALLEY","21","13","97","1","15","0","0","4","151","301","Monticello United Church"
"018","DUFFERIN--CALEDON","020","U","GRAND VALLEY","25","22","91","0","19","2","0","0","159","340","Grand Valley and District Public School"
"018","DUFFERIN--CALEDON","021","U","GRAND VALLEY","20","23","46","0","34","0","0","0","123","334","Grand Valley and District Public School"
"018","DUFFERIN--CALEDON","022","U","GRAND VALLEY","26","31","85","1","34","0","0","0","177","393","Grand Valley and District Public School"
"018","DUFFERIN--CALEDON","023","U","GRAND VALLEY","19","30","110","3","33","0","0","0","195","413","Grand Valley and District Public School"
"018","DUFFERIN--CALEDON","024","U","ORANGEVILLE","14","18","58","0","24","0","0","0","114","287","Laurelwoods Elementary School"
"018","DUFFERIN--CALEDON","025","U","SHELBURNE","10","56","105","0","22","0","0","0","193","427","Mel Lloyd Centre"
"018","DUFFERIN--CALEDON","026","U","ORANGEVILLE","23","26","121","1","31","1","0","0","203","441","Laurelwoods Elementary School"
"018","DUFFERIN--CALEDON","027","U","GRAND VALLEY","17","25","82","1","33","1","0","0","159","450","Grand Valley and District Public School"
"018","DUFFERIN--CALEDON","028","U","ORANGEVILLE","19","41","120","1","35","2","0","0","218","427","Laurelwoods Elementary School"
"018","DUFFERIN--CALEDON","029","U","ORANGEVILLE","12","31","106","1","39","0","0","0","189","449","Broadway Pentecostal Church"
"018","DUFFERIN--CALEDON","030","U","SHELBURNE","11","44","67","0","34","0","0","0","156","300","Primrose Elementary School"
"018","DUFFERIN--CALEDON","031","U","MONO","14","42","71","2","51","0","0","0","180","339","Mono Community Centre"
"018","DUFFERIN--CALEDON","032","U","MONO","13","42","74","1","30","1","0","0","161","334","Mono Community Centre"
"018","DUFFERIN--CALEDON","033","U","MONO","18","29","95","1","68","1","0","1","213","434","Mono Community Centre"
"018","DUFFERIN--CALEDON","034","U","ORANGEVILLE","20","39","128","0","28","1","0","1","217","455","Orangeville Baptist Church"
"018","DUFFERIN--CALEDON","035","U","MONO","9","31","70","1","50","0","1","0","162","432","Mono Community Centre"
"018","DUFFERIN--CALEDON","036","U","ORANGEVILLE","16","42","117","1","28","3","0","0","207","462","Orangeville Baptist Church"
"018","DUFFERIN--CALEDON","037","U","ORANGEVILLE","8","51","81","0","52","0","0","0","192","350","Orangeville Baptist Church"
"018","DUFFERIN--CALEDON","038","U","ORANGEVILLE","28","44","85","0","25","0","0","0","182","435","Orangeville Baptist Church"
"018","DUFFERIN--CALEDON","039","U","CALEDON","13","33","111","2","55","2","0","0","216","455","St. John's Anglican Church"
"018","DUFFERIN--CALEDON","040","U","CALEDON","10","38","100","1","41","0","0","2","192","392","Victoria Parks Community Centre"
"018","DUFFERIN--CALEDON","041","U","ORANGEVILLE","22","48","61","1","36","1","0","0","169","412","Island Lake Public School"
"018","DUFFERIN--CALEDON","042","U","ORANGEVILLE","8","55","54","2","29","0","0","0","148","463","Island Lake Public School"
"018","DUFFERIN--CALEDON","043","U","ORTON","24","38","148","0","16","0","0","2","228","414","East Garafraxa Public School"
"018","DUFFERIN--CALEDON","044","U","ORTON","18","37","110","2","24","1","1","0","193","361","East Garafraxa Public School"
"018","DUFFERIN--CALEDON","045","U","ORTON","13","29","96","0","14","0","0","0","152","324","East Garafraxa Public School"
"018","DUFFERIN--CALEDON","046","U","ORANGEVILLE","19","59","122","1","38","0","0","0","239","583","New Hope Community Church"
"018","DUFFERIN--CALEDON","047","U","ORANGEVILLE","23","65","121","2","52","2","0","0","265","525","Credit Meadows Elementary School"
"018","DUFFERIN--CALEDON","048","U","ORANGEVILLE","16","50","88","3","21","0","0","0","178","416","Orangeville Baptist Church"
"018","DUFFERIN--CALEDON","049","U","ORANGEVILLE","16","38","79","1","23","0","0","0","157","378","Princess Elizabeth Public School"
