"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BARNICOAT","O'TOOLE","SOMERVILLE","STRUTT","TERRY","YAGHLEDJIAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"019","DURHAM","001","U","ZEPHYR","5","94","72","2","45","11","0","0","0","229","493","Zephyr Hall"
"019","DURHAM","002","U","LEASKDALE","1","74","44","1","13","11","0","0","0","144","373","St. Paul's Leaskdale Presbyterian Church"
"019","DURHAM","003","U","ZEPHYR","5","116","47","1","43","4","1","0","2","219","428","Zephyr Hall"
"019","DURHAM","004","U","LEASKDALE","3","108","54","0","33","10","0","0","0","208","497","St. Paul's Leaskdale Presbyterian Church"
"019","DURHAM","005","U","SANDFORD","2","99","66","0","21","11","0","0","0","199","462","Sandford Community Centre"
"019","DURHAM","006","U","SANDFORD","0","105","62","1","29","5","0","0","0","202","475","Sandford Community Centre"
"019","DURHAM","007","U","LEASKDALE","0","89","49","2","19","9","0","0","0","168","411","St. Paul's Leaskdale Presbyterian Church"
"019","DURHAM","008","U","SANDFORD","0","82","48","1","16","14","2","0","0","163","434","Sandford Community Centre"
"019","DURHAM","009","U","UXBRIDGE","1","95","67","1","31","15","0","0","0","210","475","Uxbridge Community Centre"
"019","DURHAM","010","U","UXBRIDGE","2","85","77","0","22","8","0","0","0","194","430","Uxbridge Community Centre"
"019","DURHAM","011","U","UXBRIDGE","0","95","64","2","35","7","1","0","0","204","454","Uxbridge Community Centre"
"019","DURHAM","012","U","UXBRIDGE","3","86","79","0","20","8","0","1","0","197","429","Uxbridge Community Centre"
"019","DURHAM","013","U","UXBRIDGE","2","110","60","1","22","6","0","0","0","201","500","Uxbridge Baptist Church"
"019","DURHAM","014","U","UXBRIDGE","1","88","70","3","35","4","0","0","0","201","448","Uxbridge Senior Citizens Centre"
"019","DURHAM","015","U","UXBRIDGE","3","101","75","1","26","7","1","1","0","215","471","Joseph Gould Public School"
"019","DURHAM","016","U","UXBRIDGE","4","71","60","0","28","8","1","0","0","172","384","Uxbridge Baptist Church"
"019","DURHAM","017","U","UXBRIDGE","2","54","72","0","30","10","2","0","0","170","513","Uxbridge Baptist Church"
"019","DURHAM","018","U","UXBRIDGE","2","148","91","0","33","8","1","0","0","283","590","Butternut Manor"
"019","DURHAM","019","U","UXBRIDGE","0","60","45","0","20","5","0","0","0","130","314","Uxbridge Community Centre"
"019","DURHAM","020","U","UXBRIDGE","2","59","57","1","35","4","0","0","0","158","459","Uxbridge Library - Lower Level"
"019","DURHAM","021","U","UXBRIDGE","0","65","72","2","28","5","1","0","1","174","436","Uxbridge Senior Citizens Centre"
"019","DURHAM","022","U","UXBRIDGE","2","116","80","2","23","4","1","0","0","228","491","Joseph Gould Public School"
"019","DURHAM","023","U","UXBRIDGE","0","27","47","0","16","9","1","0","0","100","333","Joseph Gould Public School"
"019","DURHAM","024","U","UXBRIDGE","3","111","61","0","23","8","1","0","0","207","517","Uxbridge Senior Citizens Centre"
"019","DURHAM","025","U","UXBRIDGE","1","70","60","0","29","7","0","0","0","167","399","Uxbridge Senior Citizens Centre"
"019","DURHAM","026","U","UXBRIDGE","2","69","43","0","31","11","0","1","0","157","357","Uxbridge Senior Citizens Centre"
"019","DURHAM","027","U","UXBRIDGE","0","104","64","2","29","9","1","0","0","209","541","Uxbridge Library - Lower Level"
"019","DURHAM","028","U","UXBRIDGE","0","100","77","0","25","3","0","0","0","205","490","Uxbridge Community Centre"
"019","DURHAM","029","U","GOODWOOD","3","115","47","0","26","8","0","1","0","200","475","Goodwood Community Centre"
"019","DURHAM","030","U","GOODWOOD","2","168","72","4","25","6","0","0","0","277","702","Goodwood Public School"
