"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BONE","COLLE","DERVISHI","GREEN","RACHLIS","REDDY","ROSSI","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"020","EGLINTON--LAWRENCE","001","U","TORONTO","1","143","23","2","1","0","41","0","0","0","211","400","Holy Mountain Presbyterian Church"
"020","EGLINTON--LAWRENCE","002","U","TORONTO","1","75","20","2","5","2","40","1","0","0","146","341","Dean Myers Chev, Buick, GMC"
"020","EGLINTON--LAWRENCE","003","U","TORONTO","1","97","25","0","5","0","58","0","0","0","186","368","Wagman Centre - Fireside Room"
"020","EGLINTON--LAWRENCE","004","U","TORONTO","1","85","21","0","3","1","39","1","0","0","151","364","Reuben Cipin Healthy Living Centre"
"020","EGLINTON--LAWRENCE","005","U","TORONTO","0","48","22","0","3","0","33","0","0","0","106","348","Empress House"
"020","EGLINTON--LAWRENCE","006","U","TORONTO","1","55","18","1","0","1","32","3","0","0","111","283","Empress House"
"020","EGLINTON--LAWRENCE","007","U","TORONTO","0","64","24","1","0","0","48","0","0","0","137","364","Reuben Cipin Healthy Living Centre"
"020","EGLINTON--LAWRENCE","008","U","TORONTO","2","102","29","0","8","1","28","0","0","0","170","385","Northern District Library-2nd Floor"
"020","EGLINTON--LAWRENCE","009","U","TORONTO","1","65","10","0","1","0","63","0","0","0","140","359","Wagman Centre - Fireside Room"
"020","EGLINTON--LAWRENCE","010","U","TORONTO","2","55","9","0","1","1","68","1","0","0","137","335","Wagman Centre - Fireside Room"
"020","EGLINTON--LAWRENCE","011","U","TORONTO","4","71","9","1","4","0","49","0","0","0","138","344","National Council of Jewish Women"
"020","EGLINTON--LAWRENCE","012","U","TORONTO","1","72","11","0","0","1","72","0","0","0","157","298","Dean Myers Chev, Buick, GMC"
"020","EGLINTON--LAWRENCE","013","U","TORONTO","1","83","16","1","1","1","9","0","0","0","112","325","Lawrence Hgts Tchc Room"
"020","EGLINTON--LAWRENCE","014","U","TORONTO","0","77","21","0","4","2","18","1","0","0","123","364","Flemington Public School"
"020","EGLINTON--LAWRENCE","015","U","TORONTO","0","73","17","0","0","1","6","0","0","1","98","358","Flemington Public School"
"020","EGLINTON--LAWRENCE","016","U","TORONTO","1","92","6","0","0","0","17","2","0","0","118","357","Flemington Public School"
"020","EGLINTON--LAWRENCE","017","U","TORONTO","0","103","30","0","0","0","18","2","2","1","156","506","Lawrence Hgts Tchc Room"
"020","EGLINTON--LAWRENCE","018","U","TORONTO","0","63","11","0","0","0","40","0","0","0","114","299","Bais Yaakov Elementary School"
"020","EGLINTON--LAWRENCE","019","U","TORONTO","0","46","4","1","0","0","68","0","0","0","119","313","Bais Yaakov Elementary School"
"020","EGLINTON--LAWRENCE","020","U","TORONTO","1","55","8","2","3","0","71","0","0","0","140","313","Bais Yaakov Elementary School"
"020","EGLINTON--LAWRENCE","021","U","TORONTO","0","78","30","0","3","0","51","0","0","0","162","367","Bais Yaakov Elementary School"
"020","EGLINTON--LAWRENCE","022","U","TORONTO","1","86","16","0","0","0","42","2","0","0","147","295","Dean Myers Chev, Buick, GMC"
"020","EGLINTON--LAWRENCE","023","U","TORONTO","2","65","32","0","3","1","24","2","1","0","130","334","Bais Yaakov Elementary School"
"020","EGLINTON--LAWRENCE","024","U","TORONTO","0","86","21","0","0","0","48","0","0","0","155","360","Columbus Centre-Columbus Room"
"020","EGLINTON--LAWRENCE","025","U","TORONTO","1","121","20","0","0","0","50","0","0","0","192","379","Columbus Centre-Columbus Room"
"020","EGLINTON--LAWRENCE","026","U","TORONTO","1","118","15","0","4","0","39","1","0","0","178","355","Fieldstone Day School"
"020","EGLINTON--LAWRENCE","027","U","TORONTO","1","103","24","0","1","0","45","4","1","0","179","394","Fieldstone Day School"
"020","EGLINTON--LAWRENCE","028","U","TORONTO","0","79","25","1","7","0","34","0","0","0","146","362","Fieldstone Day School"
"020","EGLINTON--LAWRENCE","029","U","TORONTO","0","60","23","0","4","0","61","0","0","0","148","404","Glen Park Public School"
"020","EGLINTON--LAWRENCE","030","U","TORONTO","0","66","7","0","3","1","59","0","0","1","137","341","Our Lady of Assumption Catholic School"
"020","EGLINTON--LAWRENCE","031","U","TORONTO","0","91","27","4","2","1","49","2","0","0","176","339","Moshav Noam - Party Room"
"020","EGLINTON--LAWRENCE","032","U","TORONTO","0","46","10","0","1","0","106","0","0","1","164","534","Our Lady of Assumption Catholic School"
"020","EGLINTON--LAWRENCE","033","U","TORONTO","0","20","1","0","3","1","99","1","1","0","126","376","Our Lady of Assumption Catholic School"
"020","EGLINTON--LAWRENCE","034","U","TORONTO","1","55","17","0","3","0","88","0","0","0","164","405","Glen Park Public School"
"020","EGLINTON--LAWRENCE","035","U","TORONTO","1","88","29","3","1","0","35","1","3","0","161","423","Lotherton Pathway Action Neighbourhood"
"020","EGLINTON--LAWRENCE","036","U","TORONTO","2","128","35","1","2","2","35","4","1","0","210","536","Lotherton Pathway YCC46"
"020","EGLINTON--LAWRENCE","037","U","TORONTO","4","73","17","1","1","1","27","0","2","0","126","376","Lotherton Pathway Action Neighbourhood"
"020","EGLINTON--LAWRENCE","038","U","TORONTO","1","102","8","0","0","0","41","2","1","0","155","360","Columbus Centre-Columbus Room"
"020","EGLINTON--LAWRENCE","039","U","TORONTO","1","110","14","0","3","1","24","1","0","0","154","336","Glen Long Community Centre"
"020","EGLINTON--LAWRENCE","040","U","TORONTO","2","98","14","0","1","1","49","0","0","0","165","356","Glen Long Community Centre"
"020","EGLINTON--LAWRENCE","041","U","TORONTO","1","64","12","0","4","0","15","0","2","0","98","302","Glen Long Community Centre"
"020","EGLINTON--LAWRENCE","042","U","TORONTO","2","141","28","1","2","0","40","1","1","0","216","416","Beth Torah"
