"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BALDWIN-SANDS","CORNISH","LOEWEN","MCKEEVER","YUREK","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"021","ELGIN--MIDDLESEX--LONDON","001","R","THORNDALE","49","39","10","1","91","0","0","0","190","391","Thorndale Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","002","R","THORNDALE","38","41","5","0","104","0","0","0","188","393","Thorndale Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","003","R","THORNDALE","52","47","6","1","83","0","0","0","189","388","Thorndale Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","004","R","THORNDALE","72","54","9","0","108","2","0","0","245","495","Thorndale Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","005","R","THORNDALE","44","43","8","0","80","0","0","0","175","418","Thorndale Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","006","R","THORNDALE","51","49","14","0","83","1","4","0","202","414","Thorndale Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","007","U","DORCHESTER","39","32","5","0","73","0","0","0","149","338","North Dorchester Optimist Hall"
"021","ELGIN--MIDDLESEX--LONDON","008","U","DORCHESTER","58","59","12","6","153","1","2","0","291","527","North Dorchester Optimist Hall"
"021","ELGIN--MIDDLESEX--LONDON","009","U","DORCHESTER","43","71","7","2","110","0","0","0","233","486","North Dorchester Optimist Hall"
"021","ELGIN--MIDDLESEX--LONDON","010","U","DORCHESTER","63","84","8","0","130","0","0","0","285","538","North Dorchester Optimist Hall"
"021","ELGIN--MIDDLESEX--LONDON","011","U","DORCHESTER","71","43","0","0","99","1","0","1","215","419","Dorchester Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","012","U","DORCHESTER","128","58","2","1","157","0","0","0","346","604","Dorchester Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","013","U","DORCHESTER","78","64","1","0","110","0","1","0","254","469","Dorchester Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","014","U","DORCHESTER","73","57","6","1","118","1","0","0","256","500","Dorchester Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","015","U","DORCHESTER","99","55","6","3","91","0","0","0","254","476","Dorchester Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","016","U","DORCHESTER","98","39","2","2","107","1","0","0","249","501","Dorchester Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","017","U","DORCHESTER","25","55","3","1","97","0","0","0","181","369","Dorchester Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","018","U","DORCHESTER","48","43","6","1","89","0","0","0","187","403","Dorchester Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","019","U","DORCHESTER","45","13","2","1","48","0","0","0","109","247","Dorchester Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","020","U","DORCHESTER","50","53","3","1","105","1","0","0","213","465","Dorchester Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","021","U","LONDON","57","13","3","0","107","0","0","0","180","352","New Hope Church"
"021","ELGIN--MIDDLESEX--LONDON","022A","U","LONDON","68","40","3","1","61","0","0","0","173","379","New Hope Church"
"021","ELGIN--MIDDLESEX--LONDON","022B","U","LONDON","108","38","3","0","87","1","0","0","237","450","New Hope Church"
"021","ELGIN--MIDDLESEX--LONDON","023","U","LONDON","102","47","8","2","78","0","0","0","237","524","New Hope Church"
"021","ELGIN--MIDDLESEX--LONDON","024","U","LONDON","84","48","4","0","108","0","0","0","244","444","New Hope Church"
"021","ELGIN--MIDDLESEX--LONDON","025","U","LONDON","85","21","3","1","98","0","0","0","208","424","New Hope Church"
"021","ELGIN--MIDDLESEX--LONDON","026","U","LONDON","60","41","4","2","98","0","3","0","208","392","Lambeth United Church"
"021","ELGIN--MIDDLESEX--LONDON","027","U","LONDON","90","33","5","3","87","0","0","2","220","406","Ashwood Manor"
"021","ELGIN--MIDDLESEX--LONDON","028","U","LONDON","61","60","3","4","138","0","0","0","266","430","Lambeth United Church"
"021","ELGIN--MIDDLESEX--LONDON","029","U","LONDON","57","24","4","1","88","0","0","0","174","360","Lambeth United Church"
"021","ELGIN--MIDDLESEX--LONDON","030","U","LONDON","63","11","4","0","170","0","0","0","248","485","Lambeth United Church"
"021","ELGIN--MIDDLESEX--LONDON","031A","U","LONDON","84","30","3","2","54","0","0","0","173","466","Glendale Crossing"
"021","ELGIN--MIDDLESEX--LONDON","031B","U","LONDON","57","22","3","0","64","0","1","0","147","461","Glendale Crossing"
"021","ELGIN--MIDDLESEX--LONDON","032","U","LONDON","42","54","3","3","21","0","0","0","123","319","South London Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","033","U","LONDON","55","51","8","5","44","0","0","0","163","381","South London Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","034","U","LONDON","53","45","4","3","27","0","0","0","132","462","South London Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","035","U","LONDON","30","36","3","1","23","0","0","0","93","236","South London Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","036","U","LONDON","63","80","3","0","52","0","0","0","198","433","South London Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","037","U","LONDON","62","42","6","0","54","0","0","0","164","357","South London Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","038","U","LONDON","41","68","5","0","43","2","0","0","159","410","South London Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","039","U","LONDON","56","44","7","0","46","0","0","0","153","361","South London Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","040","U","LONDON","36","36","1","2","71","2","1","0","149","351","Christ Church Glanworth"
"021","ELGIN--MIDDLESEX--LONDON","041","R","LONDON","38","50","5","1","107","0","0","0","201","381","Christ Church Glanworth"
"021","ELGIN--MIDDLESEX--LONDON","042","R","BELMONT","58","30","5","0","106","0","0","0","199","411","Belmont Arena"
"021","ELGIN--MIDDLESEX--LONDON","043","U","BELMONT","49","19","5","6","64","0","0","0","143","318","Belmont Arena"
"021","ELGIN--MIDDLESEX--LONDON","044","U","BELMONT","52","48","1","0","77","0","0","0","178","352","Belmont Arena"
"021","ELGIN--MIDDLESEX--LONDON","045","U","BELMONT","53","41","8","1","64","0","0","1","168","329","Belmont Arena"
"021","ELGIN--MIDDLESEX--LONDON","046","U","BELMONT","56","41","4","0","57","0","0","0","158","306","Belmont Arena"
"021","ELGIN--MIDDLESEX--LONDON","047","R","HARRIETSVILLE","31","28","3","0","67","0","0","0","129","263","Ioof Hall Harrietsville"
"021","ELGIN--MIDDLESEX--LONDON","048","R","HARRIETSVILLE","66","36","6","0","119","0","0","0","227","509","Ioof Hall Harrietsville"
"021","ELGIN--MIDDLESEX--LONDON","049","R","SPRINGFIELD","61","32","9","0","118","0","0","0","220","405","Malahide Community Place"
"021","ELGIN--MIDDLESEX--LONDON","050","R","TALBOTVILLE","30","26","0","2","87","1","0","0","146","308","Talbotville United Church"
"021","ELGIN--MIDDLESEX--LONDON","051","R","ST. THOMAS","37","21","3","0","103","0","0","0","164","268","Kettle Creek Conservation Authority"
"021","ELGIN--MIDDLESEX--LONDON","052","R","BELMONT","39","44","5","2","110","0","0","0","200","420","Belmont Arena"
"021","ELGIN--MIDDLESEX--LONDON","053","R","SPRINGFIELD","39","36","12","2","111","0","0","0","200","441","South Dorchester Community Hall"
"021","ELGIN--MIDDLESEX--LONDON","054","R","SPRINGFIELD","23","45","4","0","83","0","0","0","155","320","Malahide Community Place"
"021","ELGIN--MIDDLESEX--LONDON","055","U","WARDSVILLE","56","28","7","2","99","1","0","0","193","373","Beattie Haven"
"021","ELGIN--MIDDLESEX--LONDON","056","R","RODNEY","36","36","7","2","71","1","0","0","153","306","West Elgin Recreation Centre"
"021","ELGIN--MIDDLESEX--LONDON","057","U","RODNEY","36","43","2","2","85","0","0","0","168","398","West Elgin Recreation Centre"
"021","ELGIN--MIDDLESEX--LONDON","058","R","RODNEY","39","62","5","0","86","0","0","0","192","415","West Elgin Recreation Centre"
"021","ELGIN--MIDDLESEX--LONDON","059","R","RODNEY","44","46","3","0","93","1","0","0","187","346","West Elgin Recreation Centre"
"021","ELGIN--MIDDLESEX--LONDON","060","R","WEST LORNE","31","30","5","0","56","1","0","0","123","240","West Elgin Royal Canadian Legion"
"021","ELGIN--MIDDLESEX--LONDON","061","R","WEST LORNE","49","34","8","3","78","0","1","0","173","375","West Elgin Royal Canadian Legion"
"021","ELGIN--MIDDLESEX--LONDON","062","U","WEST LORNE","67","97","10","0","71","0","2","0","247","499","West Elgin Royal Canadian Legion"
"021","ELGIN--MIDDLESEX--LONDON","063","U","WEST LORNE","43","65","12","2","84","0","0","0","206","494","West Elgin Royal Canadian Legion"
"021","ELGIN--MIDDLESEX--LONDON","064","R","WEST LORNE","77","54","3","0","93","0","0","0","227","437","West Elgin Royal Canadian Legion"
"021","ELGIN--MIDDLESEX--LONDON","065","R","DUTTON","52","47","7","2","106","0","1","1","216","398","Dutton Dunwich Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","066","R","DUTTON","45","48","4","1","101","2","0","0","201","439","Bobier Villa"
"021","ELGIN--MIDDLESEX--LONDON","067","U","DUTTON","34","56","2","1","75","0","0","0","168","385","Dutton Dunwich Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","068","R","DUTTON","39","43","3","0","53","0","0","0","138","324","Dutton Dunwich Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","069","R","DUTTON","56","59","8","0","88","0","0","0","211","417","Dutton Dunwich Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","070","R","DUTTON","29","34","2","1","88","0","0","0","154","370","Dutton Dunwich Community Centre"
"021","ELGIN--MIDDLESEX--LONDON","071","R","FINGAL LINE","25","57","6","1","96","0","0","0","185","391","Southwold Township Municipal Office"
"021","ELGIN--MIDDLESEX--LONDON","072","R","SHEDDEN","26","30","2","1","68","0","0","1","128","267","Southwold Keystone Complex"
"021","ELGIN--MIDDLESEX--LONDON","073","R","SHEDDEN","42","27","0","0","105","1","0","0","175","298","Southwold Keystone Complex"
