"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BRISTER","MATYI","NATYSHAK","SCHMIDT","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"022","ESSEX","001","R","LAKESHORE","39","3","31","52","0","0","0","125","275","Lakeshore St. Andrews Presbyterian Church Hall"
"022","ESSEX","002","R","LAKESHORE","14","3","74","20","0","1","0","112","273","Lakeshore St. Andrews Presbyterian Church Hall"
"022","ESSEX","003","R","LAKESHORE","36","5","37","35","1","0","0","114","309","Lakeshore St. Andrews Presbyterian Church Hall"
"022","ESSEX","004","R","LAKESHORE","60","3","53","65","1","1","2","185","414","Lakeshore St. Andrews Presbyterian Church Hall"
"022","ESSEX","005","R","LAKESHORE","71","5","24","71","0","0","0","171","440","Lakeshore St. Andrews Presbyterian Church Hall"
"022","ESSEX","006","R","LAKESHORE","81","4","35","78","1","0","0","199","416","Lakeshore St. Andrews Presbyterian Church Hall"
"022","ESSEX","007","R","LAKESHORE","66","3","26","81","1","0","0","177","398","Lakeshore St. Andrews Presbyterian Church Hall"
"022","ESSEX","008","R","LAKESHORE","61","1","23","65","2","1","0","153","387","Lakeshore St. Andrews Presbyterian Church Hall"
"022","ESSEX","009","R","LAKESHORE","52","0","33","30","0","0","0","115","369","St. Anne Catholic High School"
"022","ESSEX","010","R","LAKESHORE","64","0","38","63","0","0","0","165","406","St. Anne Catholic High School"
"022","ESSEX","011","R","LAKESHORE","63","1","57","47","0","0","0","168","434","St. Anne Catholic High School"
"022","ESSEX","012","R","LAKESHORE","94","0","37","40","0","0","0","171","362","St. Anne Catholic High School"
"022","ESSEX","013","R","LAKESHORE","47","0","70","44","0","0","0","161","403","St. Anne Catholic High School"
"022","ESSEX","014","R","LAKESHORE","50","1","105","37","0","0","0","193","417","St. Anne Catholic High School"
"022","ESSEX","015","R","LAKESHORE","55","1","65","41","1","2","0","165","381","St. Anne Catholic High School"
"022","ESSEX","016","R","LAKESHORE","47","5","76","41","0","0","0","169","366","St. Anne Catholic High School"
"022","ESSEX","017","R","LAKESHORE","69","5","70","46","0","0","0","190","480","St. Anne Catholic High School"
"022","ESSEX","018","R","LAKESHORE","30","0","50","35","0","0","0","115","251","St. Anne Catholic High School"
"022","ESSEX","019","R","LAKESHORE","57","2","70","47","0","0","0","176","444","Lakeshore St. Andrews Presbyterian Church Hall"
"022","ESSEX","020","R","LAKESHORE","61","1","63","44","1","1","0","171","383","Bethel Maidstone United Church Hall"
"022","ESSEX","021","R","LAKESHORE","70","3","81","46","0","0","0","200","444","Bethel Maidstone United Church Hall"
"022","ESSEX","022","R","LAKESHORE","86","4","82","39","0","0","0","211","449","Bethel Maidstone United Church Hall"
"022","ESSEX","023","R","LAKESHORE","65","2","72","37","0","1","0","177","378","Woodslee United Church Hall"
"022","ESSEX","024","R","LAKESHORE","89","3","81","49","0","0","2","224","408","St. John's Parish Hall"
"022","ESSEX","025","R","LAKESHORE","38","2","53","38","2","0","0","133","345","Knights of Columbus Belle River 2775"
"022","ESSEX","026","R","LAKESHORE","47","2","41","33","0","0","0","123","286","Knights of Columbus Belle River 2775"
"022","ESSEX","027","R","LAKESHORE","46","4","67","29","0","1","0","147","323","Knights of Columbus Belle River 2775"
"022","ESSEX","028","R","LAKESHORE","57","2","118","42","0","0","1","220","450","Knights of Columbus Belle River 2775"
"022","ESSEX","029","R","LAKESHORE","37","0","66","29","0","0","0","132","366","Knights of Columbus Belle River 2775"
"022","ESSEX","030","R","LAKESHORE","30","1","45","24","1","0","0","101","253","Knights of Columbus Belle River 2775"
"022","ESSEX","031","R","LAKESHORE","47","3","50","32","0","0","0","132","344","Knights of Columbus Belle River 2775"
