"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BUSSMANN","CANSFIELD","DEMONTE-WHELAN","MILLICAN","RENDA","RIVERO","SAN JUAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"023","ETOBICOKE CENTRE","001","U","TORONTO","4","64","28","1","0","32","1","2","1","0","133","323","Parkfield Public School"
"023","ETOBICOKE CENTRE","002","U","TORONTO","3","93","56","0","0","18","4","0","3","0","177","354","Transfiguration of Our Lord Church"
"023","ETOBICOKE CENTRE","003","U","TORONTO","1","110","54","1","0","22","3","1","0","0","192","345","Transfiguration of Our Lord Church"
"023","ETOBICOKE CENTRE","004","U","TORONTO","0","92","42","0","1","24","1","1","0","0","161","311","Transfiguration of Our Lord Church"
"023","ETOBICOKE CENTRE","005","U","TORONTO","2","68","20","0","0","30","2","4","0","0","126","543","Westway Public School"
"023","ETOBICOKE CENTRE","006","U","TORONTO","1","112","76","1","4","31","5","1","0","0","231","563","Westway Public School"
"023","ETOBICOKE CENTRE","007","U","TORONTO","0","30","17","0","0","16","4","0","0","0","67","384","Valleyfield Public School"
"023","ETOBICOKE CENTRE","008","U","TORONTO","2","76","47","0","0","11","6","3","0","0","145","330","Valleyfield Public School"
"023","ETOBICOKE CENTRE","009","U","TORONTO","0","131","56","0","0","20","3","0","3","0","213","409","Parkfield Public School"
"023","ETOBICOKE CENTRE","010","U","TORONTO","1","94","61","0","1","22","3","2","0","1","185","306","Transfiguration of Our Lord Church"
"023","ETOBICOKE CENTRE","011","U","TORONTO","0","102","57","1","0","24","1","0","0","0","185","346","Transfiguration of Our Lord Church"
"023","ETOBICOKE CENTRE","012","U","TORONTO","1","102","46","1","1","20","6","0","0","0","177","378","Westway Public School"
"023","ETOBICOKE CENTRE","013","U","TORONTO","1","81","41","0","0","19","6","2","0","0","150","294","Westway Public School"
"023","ETOBICOKE CENTRE","014","U","TORONTO","3","89","43","0","0","36","3","0","0","0","174","329","Valleyfield Public School"
"023","ETOBICOKE CENTRE","015","U","TORONTO","2","60","31","2","1","24","3","1","0","0","124","406","Parkfield Public School"
"023","ETOBICOKE CENTRE","016","U","TORONTO","1","58","39","0","0","23","1","1","0","0","123","347","Transfiguration of Our Lord Church"
"023","ETOBICOKE CENTRE","017","U","TORONTO","0","84","50","1","1","29","0","0","0","0","165","376","Parkfield Public School"
"023","ETOBICOKE CENTRE","018","U","TORONTO","0","115","52","0","0","37","4","0","0","1","209","405","Parkfield Public School"
"023","ETOBICOKE CENTRE","019","U","TORONTO","0","48","25","1","0","16","1","0","0","0","91","211","Parkfield Public School"
"023","ETOBICOKE CENTRE","020","U","TORONTO","2","79","15","1","0","25","2","0","0","0","124","371","Dixon Grove School - Gym"
"023","ETOBICOKE CENTRE","021","U","TORONTO","2","97","54","0","0","27","0","0","0","0","180","400","Dixon Grove School - Gym"
"023","ETOBICOKE CENTRE","022","U","TORONTO","3","78","54","0","0","11","1","0","0","0","147","336","Westway Public School"
"023","ETOBICOKE CENTRE","023","U","TORONTO","2","95","57","0","1","17","4","0","0","0","176","375","Westway Public School"
"023","ETOBICOKE CENTRE","024","U","TORONTO","1","105","60","0","0","12","1","0","0","0","179","382","Westway Public School"
"023","ETOBICOKE CENTRE","025","U","TORONTO","0","101","45","0","0","13","1","0","0","0","160","343","Richview Library"
"023","ETOBICOKE CENTRE","026","U","TORONTO","1","88","48","3","0","30","2","0","0","0","172","332","Parkfield Public School"
"023","ETOBICOKE CENTRE","027","U","TORONTO","3","84","49","4","0","31","2","2","0","0","175","480","Dixon Grove School - Gym"
"023","ETOBICOKE CENTRE","028","U","TORONTO","1","52","52","1","0","14","2","0","0","0","122","230","Dixon Grove School - Gym"
"023","ETOBICOKE CENTRE","029","U","TORONTO","0","100","55","0","1","38","2","3","0","0","199","531","Dixon Grove School - Gym"
"023","ETOBICOKE CENTRE","030","U","TORONTO","0","108","62","0","0","11","1","0","0","0","182","381","Richview Library"
"023","ETOBICOKE CENTRE","031","U","TORONTO","2","89","58","2","0","21","2","0","0","0","174","419","Richview Library"
"023","ETOBICOKE CENTRE","032","U","TORONTO","0","46","28","1","0","18","1","1","0","0","95","455","Valleyfield Public School"
"023","ETOBICOKE CENTRE","033","U","TORONTO","3","57","30","0","0","21","7","1","0","0","119","299","St. Andrew's Presbyterian Church"
"023","ETOBICOKE CENTRE","034","U","TORONTO","0","74","49","2","0","25","4","0","0","0","154","363","St. Andrew's Presbyterian Church"
