ED_CODE,ED_NAME,POLL_NUMBER,RURAL_INDICATOR,PLACE_NAME,BROMBACHER,BROTEN,COLEY,KUNOV,LETONJA,LOCHWIN,MACKAY,NYILASSY,SALEWSKY,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION
24,ETOBICOKE--LAKESHORE,1,U,TORONTO,1,91,23,0,0,0,0,54,3,0,0,0,172,443,Loblaw Great Food Store #1066
24,ETOBICOKE--LAKESHORE,2,U,TORONTO,0,76,19,0,0,0,0,71,5,0,0,0,171,351,St. Matthew's Anglican Church
24,ETOBICOKE--LAKESHORE,3,U,TORONTO,2,86,16,1,1,0,0,61,6,0,0,0,173,412,St. Matthew's Anglican Church
24,ETOBICOKE--LAKESHORE,4,U,TORONTO,0,88,35,0,0,0,0,55,1,0,1,0,180,367,St. Matthew's Anglican Church
24,ETOBICOKE--LAKESHORE,5,U,TORONTO,0,127,23,1,0,1,0,51,3,1,0,0,207,401,St. Matthew's Anglican Church
24,ETOBICOKE--LAKESHORE,6,U,TORONTO,0,125,24,1,0,0,0,97,3,1,0,0,251,441,Islington United Church
24,ETOBICOKE--LAKESHORE,7,U,TORONTO,1,152,27,0,0,0,0,83,4,1,0,0,268,544,Islington United Church
24,ETOBICOKE--LAKESHORE,8,U,TORONTO,.......................COMBINED WITH POLL 009.......................,,,,,,,,,,,,,,"Cloverdale Mall - East Entrances, Near Pharmaplus"
24,ETOBICOKE--LAKESHORE,9,U,TORONTO,1,24,9,1,0,1,0,16,1,0,0,0,53,238,"Cloverdale Mall - East Entrances, Near Pharmaplus"
24,ETOBICOKE--LAKESHORE,10,U,TORONTO,0,68,30,2,1,0,0,43,2,2,0,0,148,394,"Cloverdale Mall - East Entrances, Near Pharmaplus"
24,ETOBICOKE--LAKESHORE,11,U,TORONTO,0,72,27,0,0,0,0,67,3,1,0,0,170,344,St. Matthew's Anglican Church
24,ETOBICOKE--LAKESHORE,12,U,TORONTO,0,98,16,0,0,1,0,87,6,0,2,0,210,396,St. Matthew's Anglican Church
24,ETOBICOKE--LAKESHORE,13,U,TORONTO,0,95,16,1,0,0,0,61,3,1,0,0,177,377,St. Matthew's Anglican Church
24,ETOBICOKE--LAKESHORE,14,U,TORONTO,0,76,24,1,1,1,1,65,3,0,0,0,172,396,St. Matthew's Anglican Church
24,ETOBICOKE--LAKESHORE,15,U,TORONTO,0,125,21,1,0,2,0,66,5,1,0,0,221,492,Islington United Church
24,ETOBICOKE--LAKESHORE,016A,U,TORONTO,2,101,38,3,0,1,1,44,4,1,0,0,195,510,Church of the Resurrection
24,ETOBICOKE--LAKESHORE,016B,U,TORONTO,0,93,39,3,0,0,0,50,6,0,0,0,191,500,Church of the Resurrection
24,ETOBICOKE--LAKESHORE,17,U,TORONTO,0,34,18,0,0,0,0,14,3,0,0,0,69,285,Church of the Resurrection
24,ETOBICOKE--LAKESHORE,18,U,TORONTO,0,82,31,1,1,0,0,52,4,0,0,0,171,409,"Cloverdale Mall - East Entrances, Near Pharmaplus"
24,ETOBICOKE--LAKESHORE,19,U,TORONTO,1,71,27,1,0,0,0,76,3,2,0,0,181,428,"Cloverdale Mall - East Entrances, Near Pharmaplus"
24,ETOBICOKE--LAKESHORE,20,U,TORONTO,1,77,16,0,0,1,0,48,1,1,0,0,145,304,"Cloverdale Mall - East Entrances, Near Pharmaplus"
24,ETOBICOKE--LAKESHORE,21,U,TORONTO,1,75,25,0,1,0,2,58,4,3,0,0,169,384,"Cloverdale Mall - East Entrances, Near Pharmaplus"
24,ETOBICOKE--LAKESHORE,22,U,TORONTO,1,86,25,0,1,2,0,59,3,2,0,0,179,404,"Cloverdale Mall - East Entrances, Near Pharmaplus"
24,ETOBICOKE--LAKESHORE,023A,U,TORONTO,0,89,35,3,0,0,0,49,5,1,0,0,182,477,"Cloverdale Mall - East Entrances, Near Pharmaplus"
24,ETOBICOKE--LAKESHORE,023B,U,TORONTO,1,90,38,0,0,1,1,45,2,0,0,0,178,463,"Cloverdale Mall - East Entrances, Near Pharmaplus"
24,ETOBICOKE--LAKESHORE,024A,U,TORONTO,1,101,11,0,0,0,0,31,8,1,0,0,153,301,Church of the Resurrection
24,ETOBICOKE--LAKESHORE,024B,U,TORONTO,1,81,11,1,0,0,1,21,2,2,1,0,121,325,Church of the Resurrection
24,ETOBICOKE--LAKESHORE,25,U,TORONTO,1,158,38,2,2,0,0,66,3,0,0,0,270,540,Church of the Resurrection
24,ETOBICOKE--LAKESHORE,26,U,TORONTO,2,47,11,0,0,0,0,28,1,0,1,0,90,292,The Royal Canadian Legion - Branch 210
24,ETOBICOKE--LAKESHORE,27,U,TORONTO,1,93,28,3,3,1,0,25,3,2,1,0,160,414,The Royal Canadian Legion - Branch 210
24,ETOBICOKE--LAKESHORE,28,U,TORONTO,0,40,10,1,1,0,0,26,4,0,1,0,83,237,The Royal Canadian Legion - Branch 210
