"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BAGHEL","CEOLIN","GILL","MCCONNELL","QAADRI","SHARMA","SINGH","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"025","ETOBICOKE NORTH","001","U","TORONTO","1","2","3","2","104","35","55","0","0","0","202","576","Monsignor John Corrigan School"
"025","ETOBICOKE NORTH","002","U","TORONTO","1","0","1","0","54","45","28","1","0","0","130","370","Monsignor John Corrigan School"
"025","ETOBICOKE NORTH","003","U","TORONTO","0","5","2","3","91","73","63","6","0","0","243","546","Monsignor John Corrigan School"
"025","ETOBICOKE NORTH","004","U","TORONTO","0","1","5","0","58","33","25","0","2","0","124","301","Claireville Public School"
"025","ETOBICOKE NORTH","005","U","TORONTO","0","6","8","3","94","64","53","0","0","0","228","600","Claireville Public School"
"025","ETOBICOKE NORTH","006","U","TORONTO","1","3","6","2","87","49","30","0","1","0","179","524","Claireville Public School"
"025","ETOBICOKE NORTH","007","U","TORONTO","0","1","2","2","49","22","14","0","0","0","90","325","Claireville Public School"
"025","ETOBICOKE NORTH","008","U","TORONTO","0","0","1","0","47","31","18","0","1","0","98","354","Melody Village School"
"025","ETOBICOKE NORTH","009","U","TORONTO","0","2","1","0","51","34","12","0","0","0","100","286","Melody Village School"
"025","ETOBICOKE NORTH","010","U","TORONTO","2","0","6","0","86","52","41","2","1","0","190","525","Melody Village School"
"025","ETOBICOKE NORTH","011","U","TORONTO","2","0","3","2","77","32","22","0","0","0","138","381","Melody Village School"
"025","ETOBICOKE NORTH","012","U","TORONTO","0","2","3","0","100","39","61","4","0","0","209","492","John D. Parker Junior School"
"025","ETOBICOKE NORTH","013","U","TORONTO","0","4","5","2","90","48","37","2","0","0","188","526","John D. Parker Junior School"
"025","ETOBICOKE NORTH","014","U","TORONTO","2","2","3","2","104","34","33","2","0","0","182","615","North Kipling Community Centre"
"025","ETOBICOKE NORTH","015","U","TORONTO","1","1","0","4","81","42","20","0","0","0","149","500","North Kipling Community Centre"
"025","ETOBICOKE NORTH","016","U","TORONTO","1","5","2","0","110","34","37","1","0","0","190","412","John D. Parker Junior School"
"025","ETOBICOKE NORTH","017","U","TORONTO","0","0","6","1","88","37","34","0","0","0","166","471","John D. Parker Junior School"
"025","ETOBICOKE NORTH","018","U","TORONTO","0","2","0","2","59","37","27","0","0","0","127","427","John D. Parker Junior School"
"025","ETOBICOKE NORTH","019","U","TORONTO","0","0","2","2","74","39","47","2","0","0","166","420","John D. Parker Junior School"
"025","ETOBICOKE NORTH","020","U","TORONTO","2","0","2","3","106","50","14","0","0","0","177","682","North Kipling Community Centre"
"025","ETOBICOKE NORTH","021","U","TORONTO","1","1","1","0","132","91","62","3","0","0","291","653","Smithfield Public School"
"025","ETOBICOKE NORTH","022","U","TORONTO","0","1","3","0","63","34","44","0","1","0","146","360","Smithfield Public School"
"025","ETOBICOKE NORTH","023","U","TORONTO","2","5","0","1","106","26","30","0","0","0","170","612","Smithfield Public School"
"025","ETOBICOKE NORTH","024","U","TORONTO","3","2","1","7","80","26","38","0","0","0","157","653","Highfield Junior School"
"025","ETOBICOKE NORTH","025","U","TORONTO","0","1","5","0","55","47","38","0","0","0","146","420","North Albion Collegiate"
"025","ETOBICOKE NORTH","026","U","TORONTO","2","3","1","0","96","48","32","0","1","0","183","503","North Albion Collegiate"
"025","ETOBICOKE NORTH","027","U","TORONTO","0","2","0","4","56","16","9","0","0","2","89","381","North Albion Collegiate"
"025","ETOBICOKE NORTH","028","U","TORONTO","1","1","5","1","79","21","34","0","1","0","143","468","Highfield Junior School"
"025","ETOBICOKE NORTH","029","U","TORONTO","0","1","1","2","52","18","13","1","0","0","88","385","Highfield Junior School"
"025","ETOBICOKE NORTH","030","U","TORONTO","2","1","2","1","53","16","5","1","0","0","81","342","North Kipling Community Centre"
"025","ETOBICOKE NORTH","031","U","TORONTO","1","2","7","1","88","26","21","0","0","0","146","322","2645 Kipling Avenue"
"025","ETOBICOKE NORTH","032","U","TORONTO","0","4","4","5","77","53","39","0","0","0","182","541","St. Andrew Catholic School"
