"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BENDER","DYCK","GARVIE","GORDON","ICHIM","SANDALS","SCHIRK","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"027","GUELPH","001A","U","GUELPH","0","10","0","30","0","47","48","1","0","0","136","417","St. Patrick Catholic School"
"027","GUELPH","001B","U","GUELPH","3","5","1","38","0","62","44","1","0","0","154","387","St. Patrick Catholic School"
"027","GUELPH","002","U","GUELPH","3","11","1","49","0","78","90","1","0","0","233","534","New Life Christian Reformed Church"
"027","GUELPH","003","U","GUELPH","1","8","0","28","0","35","19","2","0","0","93","307","New Life Christian Reformed Church"
"027","GUELPH","004","U","GUELPH","1","11","1","29","0","62","56","0","0","0","160","368","New Life Christian Reformed Church"
"027","GUELPH","005","U","GUELPH","1","24","2","57","1","50","26","0","0","0","161","412","New Life Christian Reformed Church"
"027","GUELPH","006","U","GUELPH","0","12","0","13","0","40","24","1","0","0","90","179","New Life Christian Reformed Church"
"027","GUELPH","007","U","GUELPH","0","2","1","21","0","70","53","0","0","0","147","363","Waverley Drive Public School"
"027","GUELPH","008","U","GUELPH","1","11","1","37","0","40","44","0","0","0","134","320","New Life Christian Reformed Church"
"027","GUELPH","009","U","GUELPH","0","3","0","36","0","26","18","0","0","0","83","342","St. Patrick Catholic School"
"027","GUELPH","010","U","GUELPH","4","9","0","32","0","81","49","0","0","0","175","364","St. Patrick Catholic School"
"027","GUELPH","011","U","GUELPH","0","2","0","44","0","61","44","2","0","0","153","386","St. Patrick Catholic School"
"027","GUELPH","012","U","GUELPH","1","5","0","31","0","34","21","0","0","0","92","278","St. Patrick Catholic School"
"027","GUELPH","013","U","GUELPH","0","13","0","41","0","64","46","1","0","0","165","337","Waverley Drive Public School"
"027","GUELPH","014","U","GUELPH","0","6","0","46","1","62","37","0","0","0","152","313","Waverley Drive Public School"
"027","GUELPH","015","U","GUELPH","1","6","3","38","0","61","37","0","0","1","147","339","Waverley Drive Public School"
"027","GUELPH","016","U","GUELPH","2","5","0","36","0","71","53","0","0","0","167","370","Waverley Drive Public School"
"027","GUELPH","017","U","GUELPH","0","13","0","47","0","58","55","0","0","0","173","370","Waverley Drive Public School"
"027","GUELPH","018","U","GUELPH","0","9","0","47","0","49","41","0","0","0","146","390","Parkview Church"
"027","GUELPH","019","U","GUELPH","0","8","0","30","0","54","38","0","0","0","130","313","Parkview Church"
"027","GUELPH","020","U","GUELPH","1","10","2","35","1","41","22","0","0","0","112","280","Trinity United Church"
"027","GUELPH","021","U","GUELPH","1","11","0","25","0","79","44","0","1","0","161","363","Trinity United Church"
"027","GUELPH","022","U","GUELPH","2","9","0","12","1","101","56","1","1","0","183","348","Trinity United Church"
"027","GUELPH","023","U","GUELPH","0","5","0","20","0","35","45","0","0","0","105","336","St. Patrick Catholic School"
"027","GUELPH","024","U","GUELPH","0","14","0","72","2","94","79","1","0","0","262","643","Westminster St. Paul's Church"
"027","GUELPH","025","U","GUELPH","3","5","0","35","0","71","47","0","0","0","161","356","Westminster St. Paul's Church"
"027","GUELPH","026","U","GUELPH","0","11","0","41","2","81","54","1","0","0","190","390","Ottawa Crescent Public School"
"027","GUELPH","027","U","GUELPH","4","8","1","36","0","83","32","0","0","0","164","335","Trinity United Church"
"027","GUELPH","028","U","GUELPH","0","17","0","36","2","61","20","2","0","0","138","331","Trinity United Church"
"027","GUELPH","029","U","GUELPH","0","3","0","23","0","34","14","0","0","0","74","185","Trinity United Church"
"027","GUELPH","030","U","GUELPH","0","24","0","73","0","90","16","0","0","0","203","454","First Baptist Church"
"027","GUELPH","031","U","GUELPH","0","11","1","49","0","72","46","1","0","0","180","363","Laurine Avenue Public School"
"027","GUELPH","032","U","GUELPH","1","7","1","62","2","76","41","2","1","0","193","395","Ottawa Crescent Public School"
"027","GUELPH","033","U","GUELPH","2","18","1","42","2","53","60","0","1","0","179","324","Ottawa Crescent Public School"
"027","GUELPH","034","U","GUELPH","1","12","0","42","1","48","48","0","0","0","152","398","Westminster St. Paul's Church"
"027","GUELPH","035","U","GUELPH","1","5","0","20","0","42","13","0","0","0","81","299","Westminster St. Paul's Church"
"027","GUELPH","036A","U","GUELPH","1","11","1","26","1","53","41","0","0","0","134","374","Ken Danby Public School"
"027","GUELPH","036B","U","GUELPH","0","4","0","23","0","41","62","0","0","0","130","351","Ken Danby Public School"
"027","GUELPH","037A","U","GUELPH","0","4","0","34","0","57","53","1","0","0","149","339","The Royal Canadian Legion"
"027","GUELPH","037B","U","GUELPH","1","6","0","27","0","57","35","1","0","0","127","300","The Royal Canadian Legion"
"027","GUELPH","038","U","GUELPH","2","6","0","34","0","76","44","0","0","0","162","500","The Royal Canadian Legion"
"027","GUELPH","039","U","GUELPH","0","14","0","35","1","55","44","1","0","0","150","356","Ken Danby Public School"
"027","GUELPH","040","U","GUELPH","3","11","1","22","0","38","38","0","0","0","113","382","Ken Danby Public School"
"027","GUELPH","041","U","GUELPH","1","10","0","42","2","65","35","0","0","0","155","353","St. James Catholic High School"
"027","GUELPH","042","U","GUELPH","2","13","1","48","0","57","37","0","0","0","158","488","St. James Catholic High School"
"027","GUELPH","043","U","GUELPH","2","8","0","53","0","82","36","1","0","0","182","391","Ottawa Crescent Public School"
"027","GUELPH","044","U","GUELPH","1","14","0","46","1","85","33","0","0","0","180","329","Laurine Avenue Public School"
"027","GUELPH","045","U","GUELPH","0","3","0","39","0","46","13","0","0","0","101","265","Italian Canadian Club"
"027","GUELPH","046","U","GUELPH","0","6","0","44","1","82","14","0","0","0","147","326","Italian Canadian Club"
"027","GUELPH","047","U","GUELPH","0","6","1","36","0","68","22","0","0","0","133","314","Laurine Avenue Public School"
"027","GUELPH","048","U","GUELPH","0","3","1","29","0","24","12","0","0","0","69","270","St. James Catholic High School"
"027","GUELPH","049","U","GUELPH","1","41","0","41","1","71","13","2","0","0","170","389","St. James Catholic High School"
"027","GUELPH","050","U","GUELPH","1","10","0","52","1","48","44","1","0","0","157","382","St. James Catholic High School"
"027","GUELPH","051","U","GUELPH","1","13","0","45","0","27","38","0","0","0","124","321","St. James Catholic High School"
"027","GUELPH","052","U","GUELPH","1","15","1","28","0","63","39","0","0","0","147","363","Ken Danby Public School"
"027","GUELPH","053","U","GUELPH","1","16","0","37","0","48","30","0","0","1","133","384","Ken Danby Public School"
"027","GUELPH","054","U","GUELPH","2","10","0","39","0","46","38","0","0","1","136","414","St. James Catholic High School"
"027","GUELPH","055","U","GUELPH","4","10","0","40","0","80","50","0","0","0","184","446","St. James Catholic High School"
"027","GUELPH","056","U","GUELPH","1","8","0","37","0","60","49","0","1","0","156","417","The Royal Canadian Legion"
"027","GUELPH","057","U","GUELPH","1","7","0","40","0","54","49","1","0","0","152","380","The Royal Canadian Legion"
"027","GUELPH","058","U","GUELPH","0","5","0","42","0","35","41","0","0","0","123","361","The Royal Canadian Legion"
"027","GUELPH","059","U","GUELPH","1","5","2","34","0","54","62","0","0","0","158","384","The Royal Canadian Legion"
"027","GUELPH","060","U","GUELPH","0","9","0","35","0","70","43","0","0","0","157","454","The Royal Canadian Legion"
"027","GUELPH","061","U","GUELPH","1","3","2","11","0","15","17","0","0","0","49","231","The Royal Canadian Legion"
"027","GUELPH","062","U","GUELPH","0","12","0","49","1","46","29","1","0","0","138","355","Italian Canadian Club"
"027","GUELPH","063","U","GUELPH","0","15","1","37","2","46","22","2","0","1","126","323","Italian Canadian Club"
"027","GUELPH","064","U","GUELPH","2","15","1","73","1","58","25","0","0","0","175","445","Italian Canadian Club"
"027","GUELPH","065","U","GUELPH","0","15","0","31","0","35","15","0","0","0","96","238","Laurine Avenue Public School"
"027","GUELPH","066","U","GUELPH","0","19","0","39","1","47","20","0","0","0","126","378","Italian Canadian Club"
"027","GUELPH","067","U","GUELPH","2","12","2","72","0","82","33","1","0","0","204","548","Guelph Little Theatre"
"027","GUELPH","068","U","GUELPH","0","9","1","43","1","27","12","0","0","0","93","246","Guelph Little Theatre"
"027","GUELPH","069","U","GUELPH","3","28","1","71","1","48","30","1","17","0","200","415","Guelph Little Theatre"
"027","GUELPH","070","U","GUELPH","2","22","0","55","0","62","37","0","1","0","179","357","Guelph Little Theatre"
"027","GUELPH","071","U","GUELPH","1","3","0","28","0","20","11","0","0","0","63","302","Evergreen Seniors Centre"
"027","GUELPH","072A","U","GUELPH","0","7","1","33","0","33","21","0","0","0","95","347","St. Paul's Lutheran Church"
"027","GUELPH","072B","U","GUELPH","1","8","0","23","0","28","20","0","0","0","80","319","St. Paul's Lutheran Church"
"027","GUELPH","073","U","GUELPH","2","3","0","32","0","48","43","0","0","0","128","362","Three Willows United Church"
"027","GUELPH","074","U","GUELPH","2","8","1","34","0","64","53","0","0","0","162","534","Mitchell Woods Public School"
"027","GUELPH","075","U","GUELPH","1","8","1","28","0","49","31","1","0","0","119","308","Three Willows United Church"
"027","GUELPH","076","U","GUELPH","0","11","0","30","0","92","49","0","0","0","182","406","Westwood Public School"
"027","GUELPH","077","U","GUELPH","0","11","0","30","1","32","30","0","0","0","104","304","Three Willows United Church"
"027","GUELPH","078","U","GUELPH","2","9","0","46","1","67","41","1","0","0","167","362","Westwood Public School"
"027","GUELPH","079","U","GUELPH","0","7","0","22","0","46","31","1","0","1","108","322","St. Paul's Lutheran Church"
"027","GUELPH","080","U","GUELPH","1","6","1","36","0","58","28","0","1","0","131","426","Shelldale Community Centre"
"027","GUELPH","081","U","GUELPH","1","10","2","38","1","50","33","0","0","0","135","531","Our Lady of Lourdes Catholic High School"
"027","GUELPH","082","U","GUELPH","0","4","0","43","2","51","44","1","0","0","145","342","Our Lady of Lourdes Catholic High School"
"027","GUELPH","083","U","GUELPH","0","8","0","38","0","50","39","0","0","0","135","350","Our Lady of Lourdes Catholic High School"
"027","GUELPH","084","U","GUELPH","0","8","0","45","0","62","31","1","0","0","147","326","Our Lady of Lourdes Catholic High School"
"027","GUELPH","085","U","GUELPH","0","3","0","21","0","44","38","0","0","0","106","273","Evergreen Seniors Centre"
"027","GUELPH","086","U","GUELPH","0","2","0","22","0","45","25","0","0","0","94","430","Evergreen Seniors Centre"
"027","GUELPH","087","U","GUELPH","0","10","0","46","1","58","29","1","0","0","145","404","Evergreen Seniors Centre"
"027","GUELPH","088","U","GUELPH","1","27","0","63","0","44","23","0","0","1","159","317","Parkview Church"
"027","GUELPH","089","U","GUELPH","0","12","1","53","0","62","24","0","0","0","152","306","First Baptist Church"
"027","GUELPH","090","U","GUELPH","2","23","0","71","0","53","29","0","1","0","179","366","Our Lady of Lourdes Catholic High School"
"027","GUELPH","091","U","GUELPH","0","17","0","43","0","92","32","1","1","0","186","356","Our Lady of Lourdes Catholic High School"
"027","GUELPH","092","U","GUELPH","1","20","0","39","0","76","25","0","0","0","161","340","Our Lady of Lourdes Catholic High School"
"027","GUELPH","093","U","GUELPH","3","6","0","11","0","16","3","0","0","0","39","203","Shelldale Community Centre"
"027","GUELPH","094","U","GUELPH","0","5","1","9","0","18","6","0","0","0","39","248","Shelldale Community Centre"
"027","GUELPH","095","U","GUELPH","0","4","2","29","0","16","14","1","0","0","66","238","Shelldale Community Centre"
"027","GUELPH","096","U","GUELPH","1","5","0","25","0","57","22","0","0","0","110","307","St. Joseph Catholic School"
"027","GUELPH","097","U","GUELPH","2","9","1","39","0","33","39","0","0","0","123","393","St. Paul's Lutheran Church"
"027","GUELPH","098","U","GUELPH","1","5","1","28","0","37","32","1","0","0","105","249","Westwood Public School"
"027","GUELPH","099","U","GUELPH","1","9","0","35","0","47","33","0","0","0","125","333","Three Willows United Church"
"027","GUELPH","100","U","GUELPH","0","9","0","30","0","92","71","0","0","1","203","481","Mitchell Woods Public School"
"027","GUELPH","101","U","GUELPH","0","7","0","37","0","90","59","0","0","1","194","476","Mitchell Woods Public School"
"027","GUELPH","102","U","GUELPH","2","10","1","22","0","79","58","0","0","0","172","483","Mitchell Woods Public School"
"027","GUELPH","103A","U","GUELPH","1","7","0","32","0","48","21","0","0","0","109","327","Mitchell Woods Public School"
